MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DEC  2021,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 023184,20/12/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 023184,20/12/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023184,20/12/2021,FERGLOBIN 250MG, 7.00 , 517.86 ," 3,625.00 ", -   ," 3,625.00 ", 325.00 ," 2,275.00 "," 1,350.00 ",37%
Admin,DR 023184,20/12/2021,CIXTOR-Z 500mg, 7.00 , 450.00 ," 3,150.00 ", -   ," 3,150.00 ", 210.00 ," 1,470.00 "," 1,680.00 ",53%
Admin,DR 023183,14/12/2021,FERGLOBIN 250MG, 7.00 , 517.86 ," 3,625.02 ", -   ," 3,625.02 ", 325.00 ," 2,275.00 "," 1,350.02 ",37%
Admin,DR 023183,14/12/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.02 ", -   ," 9,400.02 ", 146.80 ," 2,055.20 "," 7,344.82 ",78%
Admin,DR 023183,14/12/2021,CIXTOR-Z 500mg, 14.00 , 630.00 ," 8,820.00 ", -   ," 8,820.00 ", 210.00 ," 2,940.00 "," 5,880.00 ",67%
Admin,DR 023183,14/12/2021,HEMOSTAP 500mg, 3.00 ," 2,100.00 "," 6,300.00 ", -   ," 6,300.00 ", 420.00 ," 1,260.00 "," 5,040.00 ",80%
Admin,DR 023178,13/12/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 023178,13/12/2021,FOLACID 5MG, 7.00 , 464.29 ," 3,250.03 ", -   ," 3,250.03 ", 196.88 ," 1,378.16 "," 1,871.87 ",58%
Admin,DR 023178,13/12/2021,EVENING PRIMEROSE OIL 1000mg, 7.00 ," 1,000.00 "," 7,000.00 ", -   ," 7,000.00 ", 357.00 ," 2,499.00 "," 4,501.00 ",64%
Admin,DR 023178,13/12/2021,GLOVES (M), 3.00 , 450.00 ," 1,350.00 ", -   ," 1,350.00 ", 600.00 ," 1,800.00 ", (450.00),-33%
Admin,DR 023178,13/12/2021,HYCLENS WOUND SPRAY (60ML), 10.00 , 229.32 ," 2,293.20 ", -   ," 2,293.20 ", 114.66 ," 1,146.60 "," 1,146.60 ",50%
Admin,DR MS 001090,05/12/2021,LEVEFLOX 500MG, 0.10 ," 1,500.00 ", 150.00 , -   , 150.00 , 724.00 , 72.40 , 77.60 ,52%
Admin,DR MS 001090,05/12/2021,CEFUSAPH, 0.10 ," 2,200.00 ", 220.00 , -   , 220.00 , 112.00 , 11.20 , 208.80 ,95%
Admin,DR MS 001090,05/12/2021,FUROSE 10MG/ML, 0.10 ," 1,000.00 ", 100.00 , -   , 100.00 , 80.00 , 8.00 , 92.00 ,92%
Admin,DR 023310,29/11/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023310,29/11/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023310,29/11/2021,SOLVAPRINE 10MG, 14.00 , 671.43 ," 9,400.00 ", -   ," 9,400.00 ", 146.80 ," 2,055.20 "," 7,344.80 ",78%
Admin,DR 023309,24/11/2021,CIXTOR-Z 500mg, 14.00 , 450.00 ," 6,300.00 ", -   ," 6,300.00 ", 210.00 ," 2,940.00 "," 3,360.00 ",53%
Admin,DR 023309,24/11/2021,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 10.00 , 655.00 ," 6,550.00 ", -   ," 6,550.00 ", 400.00 ," 4,000.00 "," 2,550.00 ",39%
Admin,DR 023309,24/11/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023309,24/11/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023309,24/11/2021,SOLVAPRINE 10MG, 7.00 , 671.43 ," 4,700.00 ", -   ," 4,700.00 ", 146.80 ," 1,027.60 "," 3,672.40 ",78%
Admin,DR 023308,15/11/2021,ENCLOXIL 500MG, 7.00 ," 1,392.86 "," 9,750.02 ", -   ," 9,750.02 ", 780.00 ," 5,460.00 "," 4,290.02 ",44%
Admin,DR 023308,15/11/2021,FERGLOBIN 250MG, 7.00 , 517.86 ," 3,625.02 ", -   ," 3,625.02 ", 325.00 ," 2,275.00 "," 1,350.02 ",37%
Admin,DR 023308,15/11/2021,"MICROPORE 1"" - 1530-1 - 3M", 1.00 ," 1,080.00 "," 1,080.00 ", -   ," 1,080.00 ", 380.00 , 380.00 , 700.00 ,65%
Admin,DR 023306,15/11/2021,"MICROPORE 1"" - 1530-1 - 3M", 2.00 , 570.00 ," 1,140.00 ", -   ," 1,140.00 ", 380.00 , 760.00 , 380.00 ,33%
Admin,DR 023306,15/11/2021,PREGNANCY TEST - PARTNERS, 0.20 ," 2,000.00 ", 400.00 , -   , 400.00 ," 1,040.00 ", 208.00 , 192.00 ,48%
Admin,DR 023306,15/11/2021,INHIBITA 40MG, 1.00 , 180.00 , 180.00 , -   , 180.00 , 90.00 , 90.00 , 90.00 ,50%
