MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2024,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 024116,04/01/2024,SANOMAX-FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 024116,04/01/2024,CIUMADE TAB, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024116,04/01/2024,FERGLOBIN FA 60MG/400MCG CAP, 7.00 , 642.86 ," 4,500.02 ", -   ," 4,500.02 ", 325.00 ," 2,275.00 "," 2,225.02 ",49%
Admin,DR 024116,04/01/2024,SOLVAPRINE 10MG TAB, 7.00 , 671.43 ," 4,700.01 ", -   ," 4,700.01 ", 150.00 ," 1,050.00 "," 3,650.01 ",78%
Admin,DR 024116,04/01/2024,ERGON 125MCG TAB, 7.00 ," 2,000.00 "," 14,000.00 ", -   ," 14,000.00 ", 170.00 ," 1,190.00 "," 12,810.00 ",92%
Admin,DR 024116,04/01/2024,APCELAC 500MG, 14.00 , 655.00 ," 9,170.00 ", -   ," 9,170.00 ", 400.00 ," 5,600.00 "," 3,570.00 ",39%
Admin,DR 024116,04/01/2024,BENERVA PLUS 500MG/50MG/100MG/100MCG, 3.00 ," 1,708.00 "," 5,124.00 ", -   ," 5,124.00 ", 615.00 ," 1,845.00 "," 3,279.00 ",64%
Admin,DR 024116,04/01/2024,HAEMOREX 500MG CAP, 3.00 ," 1,500.00 "," 4,500.00 ", -   ," 4,500.00 ", 430.00 ," 1,290.00 "," 3,210.00 ",71%
Admin,DR 024122,23/01/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024122,23/01/2024,SANOMAX - FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 024122,23/01/2024,DOLSAPH 325MG/37.5MG, 7.00 ," 1,414.29 "," 9,900.03 ", -   ," 9,900.03 ", 140.00 , 980.00 ," 8,920.03 ",90%
Admin,DR 024122,23/01/2024,FERGLOBIN FA 60MG/400MCG, 7.00 , 642.86 ," 4,500.02 ", -   ," 4,500.02 ", 325.00 ," 2,275.00 "," 2,225.02 ",49%
Admin,DR 024122,23/01/2024,SOLVAPRINE 10MG, 7.00 , 671.43 ," 4,700.01 ", -   ," 4,700.01 ", 150.00 ," 1,050.00 "," 3,650.01 ",78%
Admin,DR 024122,23/01/2024,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 7.00 , 655.00 ," 4,585.00 ", -   ," 4,585.00 ", 400.00 ," 2,800.00 "," 1,785.00 ",39%
Admin,DR 024122,23/01/2024,NOVAROSE 1000MG/992MG, 3.00 ," 1,000.00 "," 3,000.00 ", -   ," 3,000.00 ", 128.00 , 384.00 ," 2,616.00 ",87%
Admin,DR 024122,23/01/2024,AFENAX 100MG, 3.00 ," 1,900.00 "," 5,700.00 ", -   ," 5,700.00 ", 595.00 ," 1,785.00 "," 3,915.00 ",69%
Admin,DR 024122,23/01/2024,CIXTOR-Z 500mg, 14.00 , 630.00 ," 8,820.00 ", -   ," 8,820.00 ", 210.00 ," 2,940.00 "," 5,880.00 ",67%
Admin,DR 024122,23/01/2024,CEPROTRON 500MG, 3.00 ," 1,750.00 "," 5,250.00 ", -   ," 5,250.00 ", 550.00 ," 1,650.00 "," 3,600.00 ",69%
Admin,DR 024123,26/01/2024,HYCLENS WOUND SPRAY 2% 60ML, 8.00 , 137.59 ," 1,100.72 ", -   ," 1,100.72 ", 114.66 , 917.28 , 183.44 ,17%
Admin,DR 024118,10/01/2024,FOLACID 5MG, 7.00 , 464.29 ," 3,250.03 ", -   ," 3,250.03 ", 236.25 ," 1,653.75 "," 1,596.28 ",49%
Admin,DR 024118,10/01/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024118,10/01/2024,SANOMAX - FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 024118,10/01/2024,ENCLOXIL 500MG, 7.00 ," 1,392.86 "," 9,750.02 ", -   ," 9,750.02 ", 780.00 ," 5,460.00 "," 4,290.02 ",44%
Admin,DR 024118,10/01/2024,FLUCYSTEINE 600MG, 7.00 , 925.71 ," 6,479.97 ", -   ," 6,479.97 ", 110.00 , 770.00 ," 5,709.97 ",88%
Admin,DR 024118,10/01/2024,DOPAMET 250MG TAB, 7.00 , 780.00 ," 5,460.00 ", -   ," 5,460.00 ", 195.00 ," 1,365.00 "," 4,095.00 ",75%
Admin,DR 024118,10/01/2024,CEPROTRON 500MG, 3.00 ," 1,750.00 "," 5,250.00 ", -   ," 5,250.00 ", 550.00 ," 1,650.00 "," 3,600.00 ",69%
Admin,DR 024118,10/01/2024,COMOX 625MG, 3.00 ," 2,800.00 "," 8,400.00 ", -   ," 8,400.00 "," 1,047.80 "," 3,143.40 "," 5,256.60 ",63%
Admin,DR 024118,10/01/2024,GLOVES MEDIUM NITRILE NONSTERILE (SURGITECH), 3.00 , 450.00 ," 1,350.00 ", -   ," 1,350.00 ", 200.00 , 600.00 , 750.00 ,56%
Admin,DR 024124,26/01/2024,HYCLENS WOUND SPRAY (60ML), 20.00 , 229.32 ," 4,586.40 ", -   ," 4,586.40 ", 114.66 ," 2,293.20 "," 2,293.20 ",50%
Admin,DR 024129,30/01/2024,SAPHLOR-50 50MG, 1.00 , 150.00 , 150.00 , -   , 150.00 , 63.00 , 63.00 , 87.00 ,58%
Admin,DR 024132,05/02/2024,ENCLOXIL 500MG, 7.00 ," 1,392.86 "," 9,750.02 ", -   ," 9,750.02 ", 780.00 ," 5,460.00 "," 4,290.02 ",44%
Admin,DR 024132,05/02/2024,EMICOX 200MG, 7.00 ," 2,800.00 "," 19,600.00 ", -   ," 19,600.00 ", 198.00 ," 1,386.00 "," 18,214.00 ",93%
Admin,DR 024130,02/02/2024,AXMEL 500MG CAP, 3.00 , 250.00 , 750.00 , -   , 750.00 , 146.00 , 438.00 , 312.00 ,42%
Admin,DR 024133,12/02/2024,FOLACID 5MG, 7.00 , 464.29 ," 3,250.03 ", -   ," 3,250.03 ", 236.25 ," 1,653.75 "," 1,596.28 ",49%
Admin,DR 024133,12/02/2024,FERGLOBIN FA 60MG/400MCG CAP, 7.00 , 642.86 ," 4,500.02 ", -   ," 4,500.02 ", 325.00 ," 2,275.00 "," 2,225.02 ",49%
Admin,DR 024133,12/02/2024,APCELAC 500MG, 7.00 , 655.00 ," 4,585.00 ", -   ," 4,585.00 ", 400.00 ," 2,800.00 "," 1,785.00 ",39%
Admin,DR 024133,12/02/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024133,12/02/2024,SANOMAX - FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 024133,12/02/2024,ACTEINSAPH-600 600MG, 7.00 , 588.00 ," 4,116.00 ", -   ," 4,116.00 ", 270.00 ," 1,890.00 "," 2,226.00 ",54%
Admin,DR 024133,12/02/2024,HAEMOREX 500MG CAP, 3.00 ," 1,500.00 "," 4,500.00 ", -   ," 4,500.00 ", 430.00 ," 1,290.00 "," 3,210.00 ",71%
Admin,DR 024134,19/02/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024134,19/02/2024,FOLACID 5MG, 7.00 , 464.29 ," 3,250.03 ", -   ," 3,250.03 ", 236.25 ," 1,653.75 "," 1,596.28 ",49%
Admin,DR 024134,19/02/2024,CIXTOR-Z 500mg, 7.00 , 630.00 ," 4,410.00 ", -   ," 4,410.00 ", 210.00 ," 1,470.00 "," 2,940.00 ",67%
Admin,DR 024134,19/02/2024,SANOMAX - FA, 7.00 , 857.14 ," 5,999.98 ", -   ," 5,999.98 ", 560.00 ," 3,920.00 "," 2,079.98 ",35%
Admin,DR 024134,19/02/2024,APCELAC 500MG HERBAL FOOD SUPPLEMENT, 7.00 , 655.00 ," 4,585.00 ", -   ," 4,585.00 ", 400.00 ," 2,800.00 "," 1,785.00 ",39%
Admin,DR 024134,19/02/2024,FERGLOBIN FA 60MG/400MCG CAP, 7.00 , 642.86 ," 4,500.02 ", -   ," 4,500.02 ", 325.00 ," 2,275.00 "," 2,225.02 ",49%
