YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,5.2,29.5,24,26.75,86,5,40
2017,1,2,6,28,23.6,25.8,86,5,40
2017,1,3,14,29,23.5,26.25,80,3,40
2017,1,4,71.5,28,24,26,94,3,40
2017,1,5,18.5,28.5,23.5,26,83,3,40
2017,1,6,1,29.5,23.4,26.45,80,2,40
2017,1,7,0,29.5,24.2,26.85,78,2,40
2017,1,8,0,28.5,24.5,26.5,81,2,40
2017,1,9,27,28.5,23.5,26,85,3,40
2017,1,10,62,26.5,23,24.75,92,2,40
2017,1,11,49,27,23,25,93,2,40
2017,1,12,0.7,27.5,23.9,25.7,88,2,40
2017,1,13,0,29.1,24.9,27,84,2,40
2017,1,14,0,28.5,24.9,26.7,81,2,40
2017,1,15,7,28.9,22.4,25.65,85,3,40
2017,1,16,4.5,28.5,21.9,25.2,78,3,40
2017,1,17,0,28,23.5,25.75,76,3,80
2017,1,18,12,27.9,22.6,25.25,83,2,50
2017,1,19,-1,28,23.8,25.9,80,2,50
2017,1,20,0,28.9,24.2,26.55,73,3,50
2017,1,21,2.8,29,23.3,26.15,76,3,80
2017,1,22,5.6,26.5,23,24.75,93,2,40
2017,1,23,-1,29.5,21.3,25.4,86,1,80
2017,1,24,8.6,28,21.3,24.65,87,2,80
2017,1,25,0,28.5,20,24.25,83,1,70
2017,1,26,21.2,27,20.5,23.75,86,2,70
2017,1,27,10,28.5,22,25.25,82,2,80
2017,1,28,7.6,28,22.5,25.25,86,3,50
2017,1,29,36.2,27.5,23,25.25,91,2,40
2017,1,30,18.6,27.5,23.5,25.5,94,2,40
2017,1,31,1.8,29,24.4,26.7,89,2,40
2017,2,1,0,30,24.1,27.05,89,2,40
2017,2,2,8.4,27,23,25,91,4,40
2017,2,3,20.5,28,22.5,25.25,83,2,40
2017,2,4,1.5,27.8,22.5,25.15,81,1,40
2017,2,5,14.5,28.5,22.5,25.5,87,1,70
2017,2,6,1,28,23,25.5,81,3,40
2017,2,7,0.5,29,24,26.5,77,3,70
2017,2,8,0,29,23.5,26.25,82,1,40
2017,2,9,3,28.7,22.8,25.75,77,2,40
2017,2,10,21.5,29,21,25,82,2,20
2017,2,11,5,27.2,21.1,24.15,79,2,40
2017,2,12,1.2,27.9,21.1,24.5,73,2,70
2017,2,13,3,26.7,21.4,24.05,70,2,40
2017,2,14,4.5,27.1,20.6,23.85,69,4,40
2017,2,15,1,27.9,21.1,24.5,68,4,40
2017,2,16,0.5,28.5,22.4,25.45,74,2,30
2017,2,17,19.5,26.5,22.9,24.7,91,2,40
2017,2,18,0,29.6,23.7,26.65,88,1,40
2017,2,19,39,27,22.1,24.55,92,2,70
2017,2,20,0,28.7,23,25.85,89,1,40
2017,2,21,1.8,30,23.4,26.7,85,2,40
2017,2,22,4.6,28.5,22,25.25,87,2,40
2017,2,23,1.6,30,22,26,82,1,60
2017,2,24,10.8,28,23,25.5,87,2,50
2017,2,25,2.6,29,22.3,25.65,88,1,40
2017,2,26,0,29.5,22.4,25.95,91,1,50
2017,2,27,0,30.5,23.5,27,83,3,40
2017,2,28,-1,29.5,23.4,26.45,83,2,40
2017,3,1,14.8,29,22.3,25.65,83,2,50
2017,3,2,5.6,30,23.2,26.6,88,2,40
2017,3,3,6.5,29,22.5,25.75,83,2,20
2017,3,4,-1,27.6,20.5,24.05,87,1,70
2017,3,5,0,29.5,21,25.25,84,1,40
2017,3,6,0,30.5,22.4,26.45,86,1,40
2017,3,7,0.2,30,23.5,26.75,85,2,40
2017,3,8,0,30,24,27,83,2,40
2017,3,9,0,30.5,24,27.25,82,2,40
2017,3,10,0,30.5,23.4,26.95,83,2,40
2017,3,11,0.5,31,24,27.5,84,2,40
2017,3,12,0,29.5,24.4,26.95,82,2,40
2017,3,13,0,28.5,22.6,25.55,86,1,40
2017,3,14,9.9,31.5,24,27.75,84,2,40
2017,3,15,2.7,28.7,23.6,26.15,84,2,40
2017,3,16,0,29.2,23.5,26.35,77,2,40
2017,3,17,0,28.6,23.5,26.05,79,2,40
2017,3,18,0.5,29.2,22.9,26.05,76,2,40
2017,3,19,0,29.4,23,26.2,80,2,40
2017,3,20,0.7,29.7,23.4,26.55,76,2,40
2017,3,21,11.8,27,22.6,24.8,91,1,40
2017,3,22,0.2,31,23,27,89,1,220
2017,3,23,0,31.5,24,27.75,95,1,40
2017,3,24,0,31.7,18,24.85,83,1,40
2017,3,25,0,31.8,22.5,27.15,81,2,40
2017,3,26,0,31.5,25.5,28.5,88,3,40
2017,3,27,35.2,30,23,26.5,81,5,40
2017,3,28,0.8,29.5,24,26.75,81,4,40
2017,3,29,0,31,24.9,27.95,82,4,40
2017,3,30,0,31,24.2,27.6,81,3,40
2017,3,31,0,32,22,27,81,2,40
2017,4,1,1.2,31.5,23.5,27.5,87,2,40
2017,4,2,55.8,27.5,22,24.75,89,4,40
2017,4,3,-1,26.8,22.5,24.65,78,4,40
2017,4,4,0,29.5,24,26.75,75,3,40
2017,4,5,0,29.5,24.5,27,79,2,40
2017,4,6,0,30.5,25.5,28,79,2,40
2017,4,7,-1,30.5,24.5,27.5,86,1,40
2017,4,8,0,31.5,23.5,27.5,87,1,70
2017,4,9,0,32.5,22.8,27.65,84,1,40
2017,4,10,0,32.2,21.9,27.05,83,1,220
2017,4,11,0,32.9,20.9,26.9,81,1,250
2017,4,12,0,31.6,25.3,28.45,82,1,40
2017,4,13,0.4,31.5,25.4,28.45,78,1,90
2017,4,14,3,31.3,24.4,27.85,80,2,40
2017,4,15,22.2,31.7,23.3,27.5,86,2,40
2017,4,16,14.5,28.9,23,25.95,91,1,50
2017,4,17,0,31.9,23.1,27.5,84,1,50
2017,4,18,0,32.6,24.4,28.5,84,1,50
2017,4,19,0,33.2,24.5,28.85,80,1,220
2017,4,20,0,33.5,24.5,29,83,1,220
2017,4,21,0,33.3,24,28.65,82,2,220
2017,4,22,0.8,33.3,24.4,28.85,82,2,220
2017,4,23,0,32,23.7,27.85,84,2,40
2017,4,24,0,32.5,24,28.25,82,2,40
2017,4,25,0,33,24.4,28.7,79,1,50
2017,4,26,0,33,23.5,28.25,82,1,40
2017,4,27,0,33,22.5,27.75,79,1,20
2017,4,28,74.8,33,23.5,28.25,81,1,20
2017,4,29,42.6,33.5,23.5,28.5,81,1,20
2017,4,30,0,31.5,24,27.75,89,1,40
2017,5,1,0.1,32.5,24.5,28.5,85,1,40
2017,5,2,3,33,25.2,29.1,81,1,40
2017,5,3,0,32,24.5,28.25,89,1,20
2017,5,4,0,33,25.5,29.25,84,1,220
2017,5,5,9,33,25.5,29.25,80,1,40
2017,5,6,17,32.5,25,28.75,87,1,20
2017,5,7,0,33.5,25.2,29.35,80,1,40
2017,5,8,0,32.5,26,29.25,82,2,40
2017,5,9,0,32.5,25.8,29.15,83,1,40
2017,5,10,6,33,24.6,28.8,83,1,70
2017,5,11,4,31.5,24,27.75,88,2,40
2017,5,12,0.5,32.4,25.1,28.75,82,1,40
2017,5,13,14,32,25.1,28.55,82,1,50
2017,5,14,0,31.6,24,27.8,82,1,40
2017,5,15,0,32.5,24.1,28.3,82,1,40
2017,5,16,0,33.5,25.8,29.65,80,1,220
2017,5,17,0,33.5,25,29.25,84,1,220
2017,5,18,35.5,34,25.4,29.7,85,1,90
2017,5,19,0,30.3,24.9,27.6,87,1,80
2017,5,20,0,33.6,26.4,30,83,1,220
2017,5,21,0.2,34.3,24.8,29.55,82,1,220
2017,5,22,2.8,34,24.7,29.35,87,1,220
2017,5,23,3.2,33,25,29,87,2,220
2017,5,24,7.6,33,24,28.5,83,1,220
2017,5,25,0,33,24.7,28.85,85,1,220
2017,5,26,22.4,33.5,24.4,28.95,82,1,220
2017,5,27,0,33,24.7,28.85,87,1,220
2017,5,28,0,33.5,25.4,29.45,82,1,220
2017,5,29,0,33.9,24.7,29.3,80,1,220
2017,5,30,0,34,25.3,29.65,83,1,220
2017,5,31,0,34.3,26.2,30.25,80,1,220
2017,6,1,0,34,25.7,29.85,82,2,220
2017,6,2,1.6,34.3,25,29.65,81,1,220
2017,6,3,0,34,24.8,29.4,82,1,220
2017,6,4,0,34.5,25.4,29.95,78,1,250
2017,6,5,0,34.2,25,29.6,83,1,220
2017,6,6,15,33,25,29,85,1,40
2017,6,7,39,33,23.5,28.25,92,1,220
2017,6,8,38,33,24,28.5,89,1,40
2017,6,9,38,32.5,24,28.25,92,1,20
2017,6,10,1.5,30,24.6,27.3,92,1,220
2017,6,11,0,33,24.5,28.75,85,1,220
2017,6,12,-1,33.4,24.2,28.8,85,1,50
2017,6,13,0,34,25.1,29.55,82,1,80
2017,6,14,0,34.5,24.9,29.7,82,1,80
2017,6,15,0,34.4,24.4,29.4,78,1,230
2017,6,16,0,34.5,24.2,29.35,79,1,230
2017,6,17,10,33.9,23.1,28.5,81,1,230
2017,6,18,0,34.1,24.6,29.35,79,1,80
2017,6,19,2.1,33.5,24.5,29,82,1,80
2017,6,20,0,33.5,24.5,29,84,1,230
2017,6,21,0,33,24.5,28.75,84,1,220
2017,6,22,0.6,33,24.5,28.75,83,1,220
2017,6,23,0,33.2,24,28.6,85,1,220
2017,6,24,0,34,24.4,29.2,81,1,220
2017,6,25,1,34.5,23.9,29.2,84,1,220
2017,6,26,14.6,33.7,23.4,28.55,81,1,250
2017,6,27,9.2,33.3,24.5,28.9,86,1,250
2017,6,28,17.2,30.5,23.9,27.2,91,1,250
2017,6,29,31.4,32.5,24.2,28.35,86,1,40
2017,6,30,-1,32.5,24.5,28.5,85,1,40
2017,7,1,5.2,30,24,27,90,1,40
2017,7,2,0.2,32,23.8,27.9,89,1,220
2017,7,3,1.5,31.5,24,27.75,87,1,220
2017,7,4,23.5,30.5,23.5,27,91,1,40
