YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0.4,29.6,22.9,26.25,90,2,40
2017,1,2,0,31.5,23.4,27.45,79,2,40
2017,1,3,-1,32,24,28,77,4,40
2017,1,4,0.8,31.5,23.4,27.45,85,3,40
2017,1,5,3.8,28.3,20.6,24.45,86,2,40
2017,1,6,0,30.5,22.5,26.5,79,2,40
2017,1,7,0,30.1,22.4,26.25,77,4,40
2017,1,8,0,29.5,20.9,25.2,81,3,40
2017,1,9,-1,29.5,23.5,26.5,84,2,40
2017,1,10,31.8,27,23.8,25.4,94,2,40
2017,1,11,5,27.8,23.3,25.55,91,3,40
2017,1,12,1.4,31,21.8,26.4,88,1,40
2017,1,13,0,31.4,22.6,27,80,2,40
2017,1,14,0,30.5,24.5,27.5,78,2,40
2017,1,15,0.6,29.8,23.7,26.75,83,5,40
2017,1,16,-1,28.5,22.4,25.45,81,4,40
2017,1,17,0,29.9,22.6,26.25,80,2,40
2017,1,18,0,28.4,22.6,25.5,82,2,40
2017,1,19,0,31,22.7,26.85,76,2,40
2017,1,20,0,31.2,23.8,27.5,77,3,40
2017,1,21,0,30,23.7,26.85,72,3,40
2017,1,22,0.2,30.7,23.6,27.15,85,3,40
2017,1,23,15.8,30.2,22.5,26.35,89,2,40
2017,1,24,6.7,28.4,22.4,25.4,88,4,40
2017,1,25,-1,28.3,22.4,25.35,85,1,40
2017,1,26,1.8,27.5,21.5,24.5,88,2,40
2017,1,27,0,29.7,21.5,25.6,84,3,40
2017,1,28,3.2,30.2,22,26.1,83,2,40
2017,1,29,-1,28.2,24.3,26.25,85,3,40
2017,1,30,0,30.4,24.4,27.4,86,2,40
2017,1,31,15.6,30.8,23.6,27.2,85,2,40
2017,2,1,0.1,32,23.8,27.9,83,2,40
2017,2,2,14.9,29.5,23.2,26.35,91,2,40
2017,2,3,0.4,28.2,22,25.1,87,2,40
2017,2,4,0,29.2,19.6,24.4,81,2,40
2017,2,5,0,30.4,20,25.2,74,1,20
2017,2,6,0,30,22.2,26.1,75,2,40
2017,2,7,0,30.5,22.2,26.35,75,3,40
2017,2,8,0,31,20.5,25.75,79,3,40
2017,2,9,0,31.9,17.8,24.85,79,2,40
2017,2,10,0.2,31,17.5,24.25,77,3,40
2017,2,11,-1,30.5,17.8,24.15,78,3,40
2017,2,12,1.2,31.5,18,24.75,81,3,40
2017,2,13,0.4,31.5,17.4,24.45,85,3,40
2017,2,14,0,27.5,20.5,24,68,4,40
2017,2,15,0,28,21.5,24.75,72,6,40
2017,2,16,0,28.9,21.8,25.35,75,4,40
2017,2,17,0,27.8,23.5,25.65,83,4,40
2017,2,18,0.4,30,23.4,26.7,87,2,40
2017,2,19,2.6,27.3,20.5,23.9,87,3,40
2017,2,20,0,32.2,21.3,26.75,82,2,20
2017,2,21,0,32.5,21.2,26.85,77,2,40
2017,2,22,0,30.1,23.4,26.75,78,3,40
2017,2,23,0,32.7,24.4,28.55,76,1,40
2017,2,24,0,31.2,23.5,27.35,79,3,20
2017,2,25,0,31,23,27,75,4,40
2017,2,26,0,32,21.5,26.75,82,1,40
2017,2,27,0,31.2,23.7,27.45,81,2,40
2017,2,28,0,32.5,23.8,28.15,80,3,20
2017,3,1,-1,32.7,23.3,28,80,2,40
2017,3,2,-1,31.2,23.1,27.15,78,3,40
2017,3,3,3.8,31,22.7,26.85,79,2,40
2017,3,4,8.8,28,21.1,24.55,87,2,40
2017,3,5,0,31.2,19.2,25.2,77,3,40
2017,3,6,0,31.5,20,25.75,80,1,70
2017,3,7,0,31,20.5,25.75,79,1,40
2017,3,8,0,32,20.2,26.1,73,2,40
2017,3,9,0,32.5,20,26.25,74,2,40
2017,3,10,0,32.8,19.9,26.35,81,3,40
2017,3,11,0,32.7,23.7,28.2,71,2,40
2017,3,12,0,32.2,23.7,27.95,72,3,40
2017,3,13,0,33.2,23.6,28.4,79,2,20
2017,3,14,3,35.2,24,29.6,80,1,40
2017,3,15,0,30.8,23.5,27.15,78,1,40
2017,3,16,0,32.7,21.7,27.2,77,3,40
2017,3,17,0,33,21.5,27.25,73,4,40
2017,3,18,0,33.5,21.3,27.4,76,4,40
2017,3,19,0,32.1,22.6,27.35,73,2,40
2017,3,20,0,31.7,24.1,27.9,70,4,40
2017,3,21,-1,30.5,24.1,27.3,80,2,40
2017,3,22,0,33.6,22.9,28.25,83,1,210
2017,3,23,0,34,23.5,28.75,81,1,240
2017,3,24,0,34.6,22.1,28.35,77,1,40
2017,3,25,0,34.2,21.8,28,79,1,20
2017,3,26,0,34.6,24.9,29.75,72,1,40
2017,3,27,0.6,32.4,23.5,27.95,76,2,40
2017,3,28,3.2,30.2,23.1,26.65,76,5,40
2017,3,29,0,30.5,24.2,27.35,75,5,40
2017,3,30,0,32,22.2,27.1,74,1,40
2017,3,31,0,33.3,21.2,27.25,78,1,20
2017,4,1,0,35.2,21.5,28.35,78,1,40
2017,4,2,1.4,35.5,23.4,29.45,78,3,40
2017,4,3,0,30.1,23.4,26.75,72,4,40
2017,4,4,0,31.8,23.5,27.65,69,3,40
2017,4,5,0,32.5,23.4,27.95,70,5,40
2017,4,6,0,33,24.7,28.85,74,4,20
2017,4,7,0,33,24,28.5,75,2,40
2017,4,8,0,33.3,24.4,28.85,79,1,40
2017,4,9,0,35.4,21.7,28.55,77,1,220
2017,4,10,0,35,22.3,28.65,78,1,220
2017,4,11,0,36.2,22.3,29.25,76,1,40
2017,4,12,0,36.5,23,29.75,70,1,40
2017,4,13,0,36,24.3,30.15,67,3,40
2017,4,14,0,35.5,24,29.75,71,4,40
2017,4,15,1,33.1,24,28.55,83,2,40
