YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,26.3,23.2,24.75,91,2,40
2017,1,2,4.8,25.5,23.5,24.5,97,2,80
2017,1,3,0,26.8,24.4,25.6,96,4,80
2017,1,4,0,27.6,23.6,25.6,89,3,40
2017,1,5,0,27.4,22.1,24.75,91,3,40
2017,1,6,0,27,22.1,24.55,83,2,40
2017,1,7,0,27.3,22.1,24.7,92,1,180
2017,1,8,0,27.3,22.1,24.7,96,1,90
2017,1,9,0,27.5,22.1,24.8,94,2,40
2017,1,10,-1,26.2,24.6,25.4,94,5,40
2017,1,11,-1,26.4,22.3,24.35,88,4,70
2017,1,12,-1,27,23,25,88,1,140
2017,1,13,0.5,28.2,23.5,25.85,92,2,40
2017,1,14,7,25.8,23.2,24.5,90,3,20
2017,1,15,2.4,25,23.2,24.1,94,2,80
2017,1,16,-1,27.1,21.5,24.3,92,1,40
2017,1,17,0.7,24.4,22.2,23.3,92,2,180
2017,1,18,0,27,21.2,24.1,81,2,40
2017,1,19,0,28,21.4,24.7,84,2,40
2017,1,20,0,28,21,24.5,89,2,90
2017,1,21,0,26.4,21.2,23.8,92,2,40
2017,1,22,5.5,26,22.4,24.2,94,6,40
2017,1,23,4,23.4,21.2,22.3,97,6,40
2017,1,24,8.5,24,21.2,22.6,97,6,80
2017,1,25,30.2,22.8,19.4,21.1,94,4,40
2017,1,26,7.2,23,19.4,21.2,86,3,40
2017,1,27,3,24.2,21.2,22.7,89,1,40
2017,1,28,0,25.2,22,23.6,90,1,90
2017,1,29,1.2,27.3,22,24.65,94,2,40
2017,1,30,40.5,24.8,22.4,23.6,93,4,40
2017,1,31,2,24.2,22.6,23.4,97,6,40
2017,2,1,6.6,24.6,22,23.3,93,9,40
2017,2,2,4.6,23,22,22.5,89,6,40
2017,2,3,0,24.4,21.2,22.8,95,2,40
2017,2,4,0,25.4,21.3,23.35,93,1,40
2017,2,5,1.3,26.3,22,24.15,90,2,40
2017,2,6,10,27.1,22.4,24.75,92,2,40
2017,2,7,-1,25,22.4,23.7,95,5,40
2017,2,8,0,26.4,23.6,25,83,4,40
2017,2,9,11.6,27,21,24,90,5,40
2017,2,10,14.3,22.1,20.2,21.15,89,6,40
2017,2,11,22.5,20.5,19.4,19.95,93,4,40
2017,2,12,1,22.4,19.4,20.9,86,2,90
2017,2,13,0,23.1,21.2,22.15,79,4,40
2017,2,14,4,23.8,18.4,21.1,84,5,60
2017,2,15,0.6,21.8,19.3,20.55,89,2,70
2017,2,16,0,24.2,20.8,22.5,84,1,180
2017,2,17,-1,24.1,21,22.55,86,1,40
2017,2,18,21.5,24.3,21,22.65,93,3,80
2017,2,19,-1,23.5,22,22.75,86,1,140
2017,2,20,1,26,22.3,24.15,89,1,180
2017,2,21,0,27,23.3,25.15,84,1,140
2017,2,22,0,28.8,23.4,26.1,77,3,180
2017,2,23,0,29,24,26.5,87,1,180
2017,2,24,0.2,27,23.6,25.3,88,4,40
2017,2,25,0,26.4,24.1,25.25,90,3,40
2017,2,26,27,24.8,22.5,23.65,90,4,40
2017,2,27,31.9,24,21.8,22.9,96,5,40
2017,2,28,1,25.8,22,23.9,84,4,80
2017,3,1,3,25.6,23,24.3,86,4,40
2017,3,2,1.8,26.8,22.4,24.6,82,6,40
2017,3,3,0,25,22.6,23.8,83,4,40
2017,3,4,0,25,22.5,23.75,84,2,40
2017,3,5,0,28.4,23.1,25.75,84,1,180
2017,3,6,0,28.6,24,26.3,85,2,320
2017,3,7,0,27.6,24,25.8,82,4,40
2017,3,8,0,27.2,24.4,25.8,79,4,40
2017,3,9,0,26.8,23,24.9,82,3,70
2017,3,10,0,28.8,23.4,26.1,80,2,180
2017,3,11,0,29.6,23.4,26.5,84,2,40
2017,3,12,0,28.6,23,25.8,84,2,40
2017,3,13,0,29.4,23.4,26.4,87,1,180
2017,3,14,0,28,24.2,26.1,83,4,40
2017,3,15,0,25.8,22.8,24.3,77,4,40
2017,3,16,0,28,22.4,25.2,79,2,40
2017,3,17,0,28.4,23.3,25.85,82,1,40
2017,3,18,0,29,23.2,26.1,78,2,90
2017,3,19,0,29,22.2,25.6,82,2,80
2017,3,20,0,28.5,22.6,25.55,80,1,40
2017,3,21,18,29.2,23.4,26.3,85,4,40
2017,3,22,0.8,27.4,24.4,25.9,91,2,180
2017,3,23,0,30.5,24.8,27.65,86,2,40
2017,3,24,0,26.3,23,24.65,88,2,40
2017,3,25,0,29.3,23,26.15,89,2,40
2017,3,26,0,29,24,26.5,85,6,40
2017,3,27,0.6,24.4,23.5,23.95,83,8,40
2017,3,28,0,25.8,22.4,24.1,82,3,40
2017,3,29,0,29.6,23.6,26.6,84,2,70
2017,3,30,0,29.5,23.8,26.65,85,3,40
2017,3,31,0,29.6,25,27.3,86,1,40
2017,4,1,8.7,25.6,23,24.3,87,8,40
2017,4,2,0,25,22.3,23.65,85,8,40
2017,4,3,0,24.6,21.4,23,73,1,90
2017,4,4,0,25.2,21.4,23.3,85,2,90
2017,4,5,0,28.8,22.3,25.55,85,2,40
2017,4,6,0,29.3,23.2,26.25,82,1,40
2017,4,7,0,31,24.2,27.6,81,2,40
2017,4,8,0,31,25.8,28.4,83,1,180
2017,4,9,0,30.6,25.2,27.9,84,2,40
2017,4,10,0,31,25.4,28.2,82,2,40
2017,4,11,0,30.6,26.4,28.5,87,2,40
2017,4,12,0,31.6,25,28.3,81,3,40
2017,4,13,0,31.2,24.8,28,82,3,40
2017,4,14,0,31.4,25.4,28.4,89,4,180
2017,4,15,0,31.4,26.5,28.95,92,1,40
2017,4,16,0,31.4,26.6,29,86,1,140
2017,4,17,1.5,31.5,26,28.75,89,1,180
2017,4,18,0,31.3,26.8,29.05,91,1,360
2017,4,19,2,32.4,26.2,29.3,90,1,220
2017,4,20,0,32.3,26.6,29.45,87,2,360
2017,4,21,0,31,26.2,28.6,84,2,360
2017,4,22,4.5,31.2,26,28.6,82,1,360
2017,4,23,1,29.6,26,27.8,89,2,40
2017,4,24,0,30.6,26,28.3,89,3,40
2017,4,25,0,31.8,26.2,29,79,3,180
2017,4,26,0,32,27.2,29.6,82,3,360
2017,4,27,0,31.4,26,28.7,81,3,360
2017,4,28,25.4,27.4,24.4,25.9,88,4,40
2017,4,29,0,28.8,25,26.9,82,3,40
2017,4,30,0,30,25,27.5,83,1,40
2017,5,1,0,30.6,25.6,28.1,86,2,40
2017,5,2,0,32.2,26.2,29.2,85,2,40
2017,5,3,0,31,25,28,85,3,180
2017,5,4,0,32,26.4,29.2,81,3,320
2017,5,5,0,32.4,26.4,29.4,81,1,180
2017,5,6,0,32.2,27,29.6,78,1,180
2017,5,7,0,32.4,27,29.7,82,1,40
2017,5,8,0,33.3,27,30.15,76,1,40
2017,5,9,0,35,26,30.5,81,1,220
2017,5,10,0,32.6,28,30.3,80,3,40
2017,5,11,0,33.2,27,30.1,71,2,180
2017,5,12,0,32.4,26.6,29.5,78,2,180
2017,5,13,0,34.2,26.2,30.2,82,2,40
2017,5,14,0,32.5,26.2,29.35,79,2,180
2017,5,15,0,33,26.6,29.8,81,2,180
2017,5,16,5.5,33,25.8,29.4,84,2,180
2017,5,17,0,30.8,26.2,28.5,88,1,360
2017,5,18,-1,29,26.6,27.8,87,1,360
2017,5,19,10,32.3,25,28.65,84,2,180
2017,5,20,7.5,30.2,26,28.1,87,1,320
2017,5,21,23,29.2,25.2,27.2,92,1,180
2017,5,22,4,30.8,25.8,28.3,86,2,180
2017,5,23,68.5,30.8,25.6,28.2,87,2,20
2017,5,24,0,32.2,26.2,29.2,87,2,180
2017,5,25,0.5,31,25,28,88,3,180
2017,5,26,49,31.4,25.2,28.3,89,2,180
2017,5,27,0,30,25.8,27.9,89,1,180
2017,5,28,3.1,32,25.8,28.9,89,1,180
2017,5,29,7.5,30.2,25,27.6,88,2,180
2017,5,30,4,30.3,25,27.65,88,2,180
2017,5,31,0,31.2,25.4,28.3,84,3,180
2017,6,1,0,32.4,26.2,29.3,83,3,180
2017,6,2,0,33.5,27.2,30.35,83,2,180
2017,6,3,0,33.4,27,30.2,81,2,180
2017,6,4,0,33.1,27.6,30.35,87,2,40
2017,6,5,2.7,33,27.2,30.1,86,2,360
2017,6,6,0,33.2,28,30.6,83,2,180
2017,6,7,0,33.8,28.4,31.1,70,2,40
2017,6,8,0,33.5,28.2,30.85,76,2,180
2017,6,9,0,33.3,27.4,30.35,82,2,40
2017,6,10,0,32.8,27,29.9,87,3,180
2017,6,11,0,32.2,26.8,29.5,92,2,220
2017,6,12,0,35.2,27.5,31.35,79,1,180
2017,6,13,3,33,26.8,29.9,79,2,40
2017,6,14,30,33,24,28.5,84,2,360
2017,6,15,25,32.8,25,28.9,80,3,180
2017,6,16,0,32.4,26,29.2,77,2,180
2017,6,17,9,33,27,30,79,2,180
2017,6,18,0,33,27,30,83,1,360
2017,6,19,0,33.4,27,30.2,80,2,180
2017,6,20,0,32.8,26.2,29.5,81,3,180
2017,6,21,0,33,26.6,29.8,80,2,360
2017,6,22,38,33,26.6,29.8,82,2,360
2017,6,23,11,30.6,25,27.8,83,2,320
2017,6,24,0.5,33.2,27.4,30.3,83,2,360
2017,6,25,2,32.8,25,28.9,85,4,180
2017,6,26,0,32.7,27.2,29.95,75,2,360
2017,6,27,0,32.4,27.5,29.95,78,3,40
2017,6,28,0,32.8,26.6,29.7,76,2,180
2017,6,29,0,32,27,29.5,79,2,180
2017,6,30,0,32.4,27,29.7,81,1,180
2017,7,1,1.5,33,25.6,29.3,76,3,180
2017,7,2,0,32.7,27,29.85,81,3,170
2017,7,3,2.2,32,26,29,83,2,180
2017,7,4,0,31.8,27,29.4,77,2,180
2017,7,5,2,33,26.4,29.7,77,2,180
2017,7,6,0,32.8,27,29.9,73,1,40
2017,7,7,0,33,26.6,29.8,76,3,40
2017,7,8,-1,33.2,27.2,30.2,73,1,180
2017,7,9,0,34.8,27.5,31.15,74,3,180
2017,7,10,0,33.6,26.5,30.05,78,3,180
2017,7,11,0.4,32.8,27.4,30.1,76,2,140
2017,7,12,2,33.6,24.8,29.2,81,2,180
2017,7,13,0,32,26.2,29.1,80,2,180
2017,7,14,0,33.2,27,30.1,78,1,180
2017,7,15,0,31.6,27,29.3,78,1,180
2017,7,16,0.7,28.6,26.4,27.5,84,1,160
2017,7,17,0,32.4,27,29.7,76,1,90
2017,7,18,0.6,31.5,26.2,28.85,80,1,180
2017,7,19,10,33.8,26.4,30.1,83,3,180
2017,7,20,-1,30,26.2,28.1,82,1,180
2017,7,21,5,31.2,25.8,28.5,82,2,360
2017,7,22,-1,31.6,26.2,28.9,83,3,180
2017,7,23,0,32,26.2,29.1,82,2,180
2017,7,24,0,32.8,27,29.9,82,2,180
2017,7,25,0,33.8,25.5,29.65,83,3,180
2017,7,26,4,32.2,26,29.1,83,2,180
2017,7,27,9,32.4,25.8,29.1,87,2,180
2017,7,28,2,31,26.4,28.7,80,2,180
2017,7,29,0,31,26.6,28.8,78,2,180
2017,7,30,2.5,31.2,25.6,28.4,81,2,180
2017,7,31,-1,32.5,26.6,29.55,80,2,220
2017,8,1,9.1,31.8,26,28.9,90,2,180
2017,8,2,0,30.4,25.8,28.1,87,2,180
2017,8,3,0,32.6,25.8,29.2,79,2,180
2017,8,4,5,31.4,25.8,28.6,84,2,360
2017,8,5,0.5,33,26.4,29.7,83,1,180
2017,8,6,0,32.4,27,29.7,82,1,220
2017,8,7,10.5,34,26,30,82,1,360
2017,8,8,6.5,33.2,26.5,29.85,84,2,360
2017,8,9,0,32.4,27.2,29.8,82,2,180
2017,8,10,0,32.4,26.8,29.6,81,2,360
2017,8,11,0,33,27.2,30.1,84,2,360
2017,8,12,0,32.5,26.5,29.5,82,2,360
2017,8,13,0,32.6,27.2,29.9,81,2,180
2017,8,14,0,33.6,26.2,29.9,83,2,180
2017,8,15,0,33,27,30,80,2,360
2017,8,16,0,33.2,26,29.6,81,3,180
2017,8,17,0,34,27.2,30.6,72,2,180
2017,8,18,0,34,27,30.5,80,2,40
2017,8,19,0.5,32.8,26.8,29.8,78,1,40
2017,8,20,2.2,33.5,25,29.25,82,2,320
2017,8,21,89,27.3,24.4,25.85,89,4,180
2017,8,22,0,30.6,25.8,28.2,76,3,180
2017,8,23,14.8,33,25.4,29.2,80,2,180
2017,8,24,19,31.2,24.8,28,85,1,220
2017,8,25,6.6,29,25.2,27.1,89,3,60
2017,8,26,0.2,29.2,26,27.6,82,2,180
2017,8,27,4,30,26,28,86,2,180
2017,8,28,43.5,30.6,26,28.3,87,1,320
2017,8,29,77,27.4,25,26.2,91,4,360
2017,8,30,5,26.2,25.4,25.8,96,1,360
2017,8,31,42,32,25.6,28.8,86,1,160
2017,9,1,2,33,27.2,30.1,76,3,180
2017,9,2,0,32.4,27.2,29.8,76,3,180
2017,9,3,0,32,26.4,29.2,79,2,40
2017,9,4,25,31.4,24.6,28,85,3,360
2017,9,5,57.1,25.6,24.4,25,91,4,180
2017,9,6,0,31,25,28,87,3,250
2017,9,7,-1,32.4,26.8,29.6,79,2,360
2017,9,8,0,32.8,27,29.9,82,2,360
2017,9,9,0,32.5,27.2,29.85,82,3,40
2017,9,10,0,32.5,27,29.75,80,2,220
2017,9,11,24,31.4,26.5,28.95,84,3,20
2017,9,12,0,32,26.2,29.1,79,3,70
2017,9,13,1.2,30.6,26.6,28.6,82,3,180
2017,9,14,25,31.8,25.4,28.6,82,3,180
2017,9,15,0,31.2,25.6,28.4,84,2,180
2017,9,16,0,31.8,26.5,29.15,81,2,220
2017,9,17,0,32,26.2,29.1,83,2,320
2017,9,18,0,32.4,27,29.7,80,2,360
2017,9,19,3.5,32.4,26.2,29.3,82,2,320
2017,9,20,-1,31.2,27.2,29.2,88,2,320
2017,9,21,0,32.8,27.2,30,79,1,40
2017,9,22,7.6,32.4,27.2,29.8,82,2,40
2017,9,23,0,31.8,26.5,29.15,77,3,140
2017,9,24,0,32.5,26.8,29.65,88,3,180
2017,9,25,-1,32.2,26.2,29.2,80,2,50
2017,9,26,0,30.2,26.5,28.35,83,2,40
2017,9,27,0,32.8,27,29.9,82,3,40
2017,9,28,6,31.2,26.2,28.7,87,2,360
2017,9,29,5,28.6,25,26.8,88,2,180
2017,9,30,0,31.2,26.2,28.7,85,3,60
2017,10,1,0,31.2,26.8,29,83,2,80
2017,10,2,0,32,26.2,29.1,80,3,60
2017,10,3,3,31,25.4,28.2,88,2,180
2017,10,4,33.2,28.2,25.4,26.8,93,3,60
2017,10,5,6.9,30.4,26.6,28.5,88,2,180
2017,10,6,12.6,32,25.4,28.7,85,3,40
2017,10,7,55.8,26.8,24.2,25.5,93,2,180
2017,10,8,20,25.5,24.2,24.85,98,2,180
2017,10,9,0.5,30.4,25.1,27.75,90,2,60
2017,10,10,26.5,31.8,26.2,29,89,3,360
2017,10,11,85.8,28,24.4,26.2,92,4,70
2017,10,12,165,27,24.2,25.6,96,6,340
2017,10,13,0,28.4,26.1,27.25,92,2,180
2017,10,14,0,31.8,27,29.4,81,3,180
2017,10,15,0,30.5,26.5,28.5,85,2,180
2017,10,16,-1,30.4,26,28.2,89,2,270
2017,10,17,11,29.8,26.8,28.3,90,3,90
2017,10,18,3,31.8,26.8,29.3,81,4,40
2017,10,19,1,30.2,26.2,28.2,85,3,20
2017,10,20,14,29.2,26.4,27.8,90,4,320
2017,10,21,3.5,29,25.2,27.1,89,3,340
2017,10,22,7,27.6,26,26.8,83,4,40
2017,10,23,18.5,29.2,22.8,26,71,4,80
2017,10,24,13.5,28.2,24,26.1,87,4,20
2017,10,25,21,27,24.2,25.6,85,5,20
2017,10,26,6.4,28.8,23.8,26.3,81,5,20
2017,10,27,2,28,23.2,25.6,84,3,340
2017,10,28,0,28.8,24,26.4,80,2,340
2017,10,29,4,27.5,24.5,26,90,8,40
2017,10,30,0.5,27.2,25,26.1,82,11,40
2017,10,31,2,29.6,25.8,27.7,73,6,40
2017,11,1,17,28.4,24.2,26.3,-999,3,70
2017,11,2,21.2,25.2,24,24.6,-999,1,140
2017,11,3,45,28.2,24.2,26.2,-999,3,20
2017,11,4,136.5,27.5,24.8,26.15,-999,5,90
2017,11,5,115.4,25.8,23.8,24.8,-999,4,80
2017,11,6,23,25.5,24,24.75,-999,3,180
