YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,22.6,13.2,17.9,83,2,110
2017,1,2,0,24.8,13.8,19.3,74,1,140
2017,1,3,0,23.8,13,18.4,82,3,160
2017,1,4,0,23.8,14.5,19.15,79,2,160
2017,1,5,0,25,13.2,19.1,83,1,160
2017,1,6,0,22.8,13,17.9,75,1,160
2017,1,7,0,22,11.5,16.75,77,2,180
2017,1,8,0,23.4,11,17.2,84,1,180
2017,1,9,0,23.5,13.5,18.5,77,2,110
2017,1,10,0.6,23.2,14.8,19,82,3,90
2017,1,11,1,20,13.5,16.75,82,3,90
2017,1,12,0,22.6,14,18.3,85,2,110
2017,1,13,0,24,14.5,19.25,88,1,360
2017,1,14,4.8,22.6,13.6,18.1,90,1,360
2017,1,15,17.3,22.6,13.6,18.1,96,1,360
2017,1,16,0,22,11.2,16.6,87,2,140
2017,1,17,0,20.8,12.5,16.65,80,4,90
2017,1,18,0,21.4,11.6,16.5,75,2,110
2017,1,19,0,24,12.6,18.3,71,2,110
2017,1,20,0,23,11.2,17.1,90,2,110
2017,1,21,0,23.4,12.2,17.8,77,2,110
2017,1,22,0,21.4,14.2,17.8,75,2,110
2017,1,23,-1,22.4,14.4,18.4,81,2,110
2017,1,24,-1,22,13.5,17.75,83,3,110
2017,1,25,3.6,21,13.2,17.1,89,1,360
2017,1,26,10.4,19.4,11,15.2,91,1,110
2017,1,27,0.4,21.6,11.4,16.5,82,2,90
2017,1,28,0,22,11.5,16.75,86,2,160
2017,1,29,0,24,13.4,18.7,69,2,110
2017,1,30,1.8,21.8,15,18.4,85,2,140
2017,1,31,0,24.6,15.5,20.05,87,3,110
2017,2,1,38.4,23,14.8,18.9,96,2,110
2017,2,2,0,22,14.5,18.25,83,2,110
2017,2,3,0.6,22.2,13.2,17.7,78,1,110
2017,2,4,-1,23.4,13.2,18.3,89,1,180
2017,2,5,1.9,20.6,12.5,16.55,91,1,320
2017,2,6,3,22.6,11.5,17.05,90,2,160
2017,2,7,0,23.6,11.7,17.65,78,1,110
2017,2,8,0,21,12.5,16.75,87,1,360
2017,2,9,0,21,10.5,15.75,90,1,160
2017,2,10,0,19.6,9.6,14.6,83,2,90
2017,2,11,-1,19.8,9.2,14.5,86,2,110
2017,2,12,0,21.2,9.4,15.3,89,2,110
2017,2,13,0,19.4,8,13.7,86,2,110
2017,2,14,0,18,7.3,12.65,70,2,110
2017,2,15,0,18.8,8,13.4,75,1,160
2017,2,16,0,23.4,12,17.7,67,3,110
2017,2,17,0,21.4,14,17.7,84,3,110
2017,2,18,3,22.4,15,18.7,92,2,140
2017,2,19,0,20.6,14.2,17.4,84,3,90
2017,2,20,21.3,23.4,15.3,19.35,84,1,110
2017,2,21,0,24,14.8,19.4,88,3,140
2017,2,22,-1,25.8,16,20.9,85,1,180
2017,2,23,0,25,15.5,20.25,83,1,160
2017,2,24,1.8,24.4,15.4,19.9,90,1,160
2017,2,25,0.5,23.8,15.4,19.6,86,1,180
2017,2,26,-1,23.8,15,19.4,85,1,140
2017,2,27,0,22.2,14.5,18.35,89,1,160
2017,2,28,1,24.2,14.2,19.2,90,2,110
2017,3,1,0.4,21.8,15.1,18.45,89,1,180
2017,3,2,1.8,21.4,13.6,17.5,93,1,180
2017,3,3,0,23.2,13.5,18.35,84,1,180
2017,3,4,0,23.6,14,18.8,84,1,110
2017,3,5,0,21,14.3,17.65,92,1,110
2017,3,6,0,22.2,14,18.1,84,1,110
2017,3,7,0,22.2,13.2,17.7,86,1,40
2017,3,8,0,24.4,14.2,19.3,81,2,180
2017,3,9,0,23.6,13.2,18.4,87,2,160
2017,3,10,0,23.8,15.5,19.65,78,1,180
2017,3,11,0,26.2,15.2,20.7,80,1,160
2017,3,12,0,26,15.4,20.7,70,1,140
2017,3,13,0,25.8,16.9,21.35,75,1,180
2017,3,14,1.4,27.6,15,21.3,83,2,110
2017,3,15,0.1,23.2,14,18.6,92,1,90
2017,3,16,0,23.4,14.5,18.95,83,1,250
2017,3,17,0,23.6,13,18.3,91,2,20
2017,3,18,0,25,12.2,18.6,74,2,140
2017,3,19,0,23.8,14,18.9,69,2,110
2017,3,20,0,25.2,14.5,19.85,67,1,110
2017,3,21,0.4,26.2,15,20.6,84,3,110
2017,3,22,0,24.2,16,20.1,86,2,110
2017,3,23,0,27,16.5,21.75,87,2,160
2017,3,24,0.4,24.4,15.5,19.95,88,1,110
2017,3,25,0,26.2,16,21.1,83,1,340
2017,3,26,0,26.8,15.6,21.2,84,1,160
2017,3,27,0.2,24.6,14.7,19.65,80,2,110
2017,3,28,0,23,14.4,18.7,86,2,140
2017,3,29,0,24.8,15,19.9,81,1,110
2017,3,30,0,26.6,15.5,21.05,76,1,220
2017,3,31,0,24.2,15.2,19.7,82,1,340
2017,4,1,0,24.2,14.6,19.4,87,2,110
2017,4,2,0.4,23.2,12.2,17.7,89,2,110
2017,4,3,0,23.8,12.6,18.2,87,1,270
2017,4,4,0,23.4,13.6,18.5,83,1,250
2017,4,5,0,24.8,13,18.9,78,2,90
2017,4,6,0,25.6,14.8,20.2,78,1,140
2017,4,7,0,25.6,16,20.8,84,2,180
2017,4,8,0,26,17.2,21.6,87,2,110
2017,4,9,0.4,24.8,16.6,20.7,87,1,110
2017,4,10,0,26.4,17.2,21.8,88,2,220
2017,4,11,0.4,25.6,17.2,21.4,85,1,140
2017,4,12,9.2,25.2,17.2,21.2,88,1,340
2017,4,13,7.2,25,15.6,20.3,92,2,140
2017,4,14,0,24.2,15.2,19.7,86,2,110
2017,4,15,0,26.8,16.6,21.7,69,1,140
2017,4,16,0.4,26.4,16,21.2,85,3,110
2017,4,17,-1,23.6,17.6,20.6,85,2,160
2017,4,18,0,26.8,16.5,21.65,91,2,90
2017,4,19,0,26.2,15.5,20.85,86,2,340
2017,4,20,0,25.8,16.6,21.2,85,2,340
2017,4,21,0,25.6,17.4,21.5,84,1,340
2017,4,22,0,24.2,16.5,20.35,83,2,340
2017,4,23,-1,26,16.6,21.3,82,1,340
2017,4,24,30.8,24.2,15.5,19.85,85,1,160
2017,4,25,2.9,24.8,16,20.4,90,1,360
2017,4,26,9.6,24,17,20.5,90,1,340
2017,4,27,0,24.2,16,20.1,78,1,340
2017,4,28,0,25,16.5,20.75,80,1,340
2017,4,29,-1,25.6,17,21.3,88,2,90
2017,4,30,0,25.6,17.5,21.55,88,1,110
2017,5,1,0.5,25.6,17,21.3,89,2,110
2017,5,2,2.8,26.4,17,21.7,81,2,340
2017,5,3,38.6,24,16,20,89,1,110
2017,5,4,6,26.2,16.5,21.35,83,2,110
2017,5,5,12.2,24,16.5,20.25,91,1,360
2017,5,6,12.2,26.4,16.6,21.5,88,1,110
2017,5,7,0,25.2,16,20.6,87,1,110
2017,5,8,0,24.2,16.5,20.35,84,2,160
2017,5,9,6.6,24.2,16.4,20.3,87,1,140
2017,5,10,43.6,26.8,16.5,21.65,82,2,110
2017,5,11,0,26.4,16.5,21.45,85,2,110
2017,5,12,0,27.4,17.4,22.4,84,1,220
2017,5,13,4.4,25.6,17,21.3,88,2,110
2017,5,14,16,25.6,16.4,21,93,1,110
2017,5,15,0,26.8,17.5,22.15,81,2,110
2017,5,16,15.2,25.2,16,20.6,93,2,160
2017,5,17,4.2,23.8,17.2,20.5,92,2,90
2017,5,18,3.2,22.6,17.5,20.05,94,1,110
2017,5,19,50.2,25,17,21,92,1,90
2017,5,20,0,22.8,17.5,20.15,90,1,180
2017,5,21,23.6,21.2,16.2,18.7,94,1,340
2017,5,22,74,24.4,16.6,20.5,95,1,320
2017,5,23,-1,24.6,17.2,20.9,88,1,200
2017,5,24,4,23.4,17,20.2,93,1,340
2017,5,25,45,23.6,17.2,20.4,96,1,340
2017,5,26,32,22.8,17.3,20.05,94,2,160
2017,5,27,83.4,22.8,17.2,20,95,1,160
2017,5,28,36.8,25.4,17.5,21.45,92,1,180
2017,5,29,14.6,24,17,20.5,94,2,160
2017,5,30,40.6,23.6,17.2,20.4,93,1,250
2017,5,31,0.4,22.8,17.5,20.15,92,1,340
2017,6,1,7.4,24.2,16.6,20.4,89,2,340
2017,6,2,22,23.6,16.6,20.1,91,1,250
2017,6,3,18.6,24.6,17.2,20.9,92,1,270
2017,6,4,1.4,25.8,17.6,21.7,88,1,250
2017,6,5,0.4,24.6,17.3,20.95,89,2,110
2017,6,6,0,26.6,17.5,22.05,91,2,110
2017,6,7,0,25.2,17.4,21.3,84,2,110
2017,6,8,0,25.4,17.5,21.45,83,1,110
2017,6,9,3.2,27,17.2,22.1,83,2,90
2017,6,10,2.5,22.4,17.2,19.8,88,3,110
2017,6,11,-1,21.2,17,19.1,94,4,140
2017,6,12,0,25.4,17.4,21.4,89,3,140
2017,6,13,0,25.8,17.3,21.55,82,2,140
2017,6,14,-1,28.4,17.6,23,82,1,160
2017,6,15,55.2,27,16,21.5,90,1,160
2017,6,16,0,25.8,16.6,21.2,85,1,160
2017,6,17,0,25.2,16.2,20.7,90,1,140
2017,6,18,0,27.2,18,22.6,86,1,160
2017,6,19,14,24.3,17.2,20.75,87,2,160
2017,6,20,0,24.8,17.6,21.2,90,1,140
2017,6,21,0,25.4,17,21.2,90,2,140
2017,6,22,9.2,23.6,17.5,20.55,89,1,160
2017,6,23,0,24.8,16.6,20.7,88,1,180
2017,6,24,0,26.4,16.8,21.6,89,1,180
2017,6,25,28.4,25.8,16,20.9,85,2,340
2017,6,26,2,25.6,16.8,21.2,85,1,250
2017,6,27,7,24.8,17,20.9,93,1,110
2017,6,28,28.6,25.2,15.8,20.5,89,2,110
2017,6,29,8.6,24.2,16.5,20.35,89,2,180
2017,6,30,-1,25.4,17,21.2,91,2,140
2017,7,1,-1,24.8,16.5,20.65,84,2,180
2017,7,2,21,23.6,16.4,20,88,1,290
2017,7,3,11.8,24.8,16.6,20.7,94,2,140
2017,7,4,-1,22.4,16.5,19.45,90,5,140
2017,7,5,7.6,23.6,16.2,19.9,88,3,140
2017,7,6,3.6,25.4,16.2,20.8,89,2,110
2017,7,7,0,26.6,17.2,21.9,82,2,140
2017,7,8,13.2,25.4,16,20.7,90,1,110
2017,7,9,0,25.6,17.8,21.7,89,2,110
