YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,2,25,21.5,23.25,89,2,180
2017,1,2,0,30,22.4,26.2,82,1,350
2017,1,3,0.6,29,22.5,25.75,84,1,180
2017,1,4,0,27.2,23.3,25.25,85,1,180
2017,1,5,2.4,26.5,22.7,24.6,89,1,180
2017,1,6,6,30.4,21.5,25.95,84,1,360
2017,1,7,0,30.3,22.5,26.4,81,0,0
2017,1,8,0.2,29.5,21.6,25.55,81,1,360
2017,1,9,0,31,22.6,26.8,81,1,160
2017,1,10,96,25,21.2,23.1,94,2,180
2017,1,11,5,27.4,21,24.2,89,2,360
2017,1,12,38,24.5,21.1,22.8,97,3,360
2017,1,13,0,29.1,22.9,26,84,1,140
2017,1,14,0,29.8,22.5,26.15,86,1,160
2017,1,15,1.5,26.5,21.5,24,89,1,180
2017,1,16,4.8,26,20.5,23.25,81,1,360
2017,1,17,19.5,23.2,20,21.6,93,3,360
2017,1,18,0,29.5,21.3,25.4,75,2,180
2017,1,19,0,29.4,21,25.2,75,2,360
2017,1,20,0,29.9,21.1,25.5,75,2,160
2017,1,21,0,29.5,21.6,25.55,77,1,360
2017,1,22,112,26,21,23.5,93,2,180
2017,1,23,126,23.5,19.5,21.5,98,2,360
2017,1,24,97,22,20,21,99,3,360
2017,1,25,25.8,22.9,19.9,21.4,98,1,360
2017,1,26,3.8,26.5,20.5,23.5,90,1,360
2017,1,27,15,27,20,23.5,85,1,360
2017,1,28,39,23.2,20.5,21.85,97,2,360
2017,1,29,0,28.5,22.6,25.55,87,-999,-999
2017,1,30,4.4,29,22.5,25.75,89,1,360
2017,1,31,23,26,22,24,96,2,360
2017,2,1,96,30,21,25.5,88,1,180
2017,2,2,63.8,24.4,20,22.2,98,2,360
2017,2,3,4.8,23.4,20.4,21.9,91,2,180
2017,2,4,3.5,28,20.5,24.25,86,1,360
2017,2,5,0,29.5,21.5,25.5,83,1,40
2017,2,6,0,27.5,21.5,24.5,81,2,360
2017,2,7,0,27.5,21.5,24.5,85,1,360
2017,2,8,0,29.2,21,25.1,84,1,360
2017,2,9,1.9,29.7,20,24.85,82,2,160
2017,2,10,0,27.8,20.1,23.95,76,2,160
2017,2,11,0,27.4,19.8,23.6,78,1,360
2017,2,12,0,24.5,19.3,21.9,84,1,180
2017,2,13,-1,23.5,20,21.75,81,2,180
2017,2,14,0,27.2,19.5,23.35,65,3,360
2017,2,15,0,28.4,20.3,24.35,68,2,360
2017,2,16,2,28.8,20.5,24.65,78,2,360
2017,2,17,7.6,25.8,21,23.4,88,1,320
2017,2,18,156,23.5,20,21.75,98,1,360
2017,2,19,24.4,23,19.8,21.4,98,1,180
2017,2,20,0,27.7,22.5,25.1,89,1,360
2017,2,21,3,29.2,22.3,25.75,91,1,160
2017,2,22,0,30.2,21.8,26,83,1,320
2017,2,23,0,30.8,21.9,26.35,83,2,140
2017,2,24,1.8,29.9,22.6,26.25,85,2,140
2017,2,25,0,28,22,25,88,1,360
2017,2,26,4.8,29.5,22,25.75,87,1,180
2017,2,27,3,29,21.5,25.25,90,1,160
2017,2,28,57,26,21.1,23.55,97,1,360
2017,3,1,0,29.5,22.4,25.95,87,1,360
2017,3,2,0,30,21.2,25.6,84,2,360
2017,3,3,11,27,21,24,88,1,200
2017,3,4,99.9,24,20,22,99,1,360
2017,3,5,0.5,26,21,23.5,92,1,360
2017,3,6,0,29.5,21.6,25.55,87,1,140
2017,3,7,11.6,30.5,22.3,26.4,86,1,180
2017,3,8,2,29.5,21,25.25,82,3,160
2017,3,9,2.8,25.5,21.2,23.35,89,1,200
2017,3,10,0,29.7,21.5,25.6,81,1,360
2017,3,11,0,31.5,22.3,26.9,82,0,0
2017,3,12,0,30.8,22.5,26.65,86,0,0
2017,3,13,0,31,22.5,26.75,84,2,140
2017,3,14,0,31.8,23.9,27.85,83,1,140
2017,3,15,1.8,26.9,22,24.45,86,1,160
2017,3,16,0,28.5,22.4,25.45,78,1,140
2017,3,17,0,30.4,22.8,26.6,80,2,160
2017,3,18,4.9,31,21.3,26.15,79,1,160
2017,3,19,0,30,21.5,25.75,84,1,160
2017,3,20,0,30.4,22,26.2,80,2,320
2017,3,21,21.8,26.4,22.9,24.65,86,2,20
2017,3,22,44,29.2,23.4,26.3,94,1,140
2017,3,23,7.2,31,22.8,26.9,91,2,140
2017,3,24,0,31.5,23.2,27.35,88,2,140
2017,3,25,4.7,31.6,23,27.3,84,1,160
2017,3,26,0,31.5,22.6,27.05,88,2,160
2017,3,27,21.6,27.4,21.3,24.35,93,2,180
2017,3,28,2.2,28,22.1,25.05,91,1,360
2017,3,29,0,30.5,23,26.75,87,1,360
2017,3,30,1.4,29.5,22.3,25.9,87,2,360
2017,3,31,0,31,22,26.5,86,1,140
2017,4,1,7,30.7,22.4,26.55,89,1,180
2017,4,2,1.4,28.7,20.4,24.55,84,2,360
2017,4,3,0,25.2,21,23.1,78,2,180
2017,4,4,0,27.2,21.5,24.35,78,1,360
2017,4,5,2,27.5,21.5,24.5,84,1,160
2017,4,6,0.2,27.4,23,25.2,87,2,140
2017,4,7,0,31,23.1,27.05,83,1,320
2017,4,8,6.8,30.5,23,26.75,89,0,0
2017,4,9,9.6,29,23.5,26.25,93,1,160
2017,4,10,0,31,24.5,27.75,89,1,180
2017,4,11,0,31.2,24.2,27.7,89,1,160
2017,4,12,0,32,23.5,27.75,83,1,160
2017,4,13,0,31.6,23,27.3,81,1,360
2017,4,14,0,32.2,24.2,28.2,80,1,140
2017,4,15,8.4,32.4,23,27.7,87,1,140
2017,4,16,5.9,31,23.2,27.1,91,1,360
2017,4,17,0,31,24,27.5,90,1,290
2017,4,18,0,31.8,25,28.4,87,1,140
2017,4,19,40.4,32.5,24.2,28.35,87,2,160
2017,4,20,10.8,31,24.2,27.6,87,2,140
2017,4,21,0,32,24.8,28.4,86,1,140
2017,4,22,0,32.5,23.5,28,86,1,360
2017,4,23,0,29.8,23.3,26.55,88,1,360
2017,4,24,-1,31.8,23.5,27.65,84,2,160
2017,4,25,18.6,31,23,27,88,2,160
2017,4,26,0,32.4,25,28.7,82,1,160
2017,4,27,0.4,32,24.5,28.25,85,2,160
2017,4,28,0,31.6,24.9,28.25,83,2,140
2017,4,29,39.7,31.8,23.5,27.65,86,1,360
2017,4,30,0,31.8,24.3,28.05,90,1,160
2017,5,1,13.8,32,23.9,27.95,89,2,320
2017,5,2,0,32,24.5,28.25,86,2,320
2017,5,3,11.6,33,23.5,28.25,87,1,320
2017,5,4,5.4,31.6,24.2,27.9,84,1,320
2017,5,5,6.2,31.3,24.2,27.75,87,2,320
2017,5,6,2.6,31.7,24.5,28.1,86,1,360
2017,5,7,8.6,32.5,23,27.75,87,1,160
2017,5,8,0,31.5,24,27.75,84,2,360
2017,5,9,22.2,32.5,24,28.25,83,1,160
2017,5,10,5.4,31.5,24.5,28,87,1,140
2017,5,11,32.6,32.3,23.3,27.8,87,1,180
2017,5,12,1.8,31.5,24.5,28,90,1,290
2017,5,13,0,32,24.8,28.4,86,1,160
2017,5,14,0,32.5,24,28.25,85,1,160
2017,5,15,0,32.5,25.3,28.9,81,1,140
2017,5,16,0,32.5,25.6,29.05,80,1,320
2017,5,17,3.6,32.5,24.5,28.5,85,3,320
2017,5,18,164.6,33,23.4,28.2,88,2,160
2017,5,19,6.6,30.4,24.7,27.55,90,2,290
2017,5,20,5.4,31.8,25.5,28.65,89,2,160
2017,5,21,1.4,33.8,24.5,29.15,79,4,290
2017,5,22,48.6,32.4,23.5,27.95,87,2,320
2017,5,23,34.8,31.5,23.6,27.55,90,2,320
2017,5,24,0.2,33,25,29,86,3,290
2017,5,25,0.2,32.2,25.8,29,82,2,290
2017,5,26,12.2,32.4,23.8,28.1,82,2,180
2017,5,27,23.4,31,23.5,27.25,92,2,290
2017,5,28,0,30.5,24,27.25,90,1,180
