YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,24.8,20,22.4,74,6,90
2017,1,2,0,25.5,20.6,23.05,75,4,110
2017,1,3,0,25.4,20.2,22.8,72,5,90
2017,1,4,0,25.6,20.4,23,79,5,110
2017,1,5,0,25.6,20,22.8,71,5,110
2017,1,6,0,25.9,21,23.45,74,6,110
2017,1,7,0,26,22.2,24.1,80,5,140
2017,1,8,0.1,27.7,21.1,24.4,81,3,160
2017,1,9,1.6,24,19,21.5,86,6,60
2017,1,10,0.9,23.4,19.5,21.45,80,6,90
2017,1,11,1.3,24,19.5,21.75,77,7,90
2017,1,12,0,25.4,21.5,23.45,80,6,120
2017,1,13,1.4,25.4,19.5,22.45,83,4,60
2017,1,14,2.1,22.9,19.5,21.2,89,5,60
2017,1,15,7,24,18.8,21.4,80,4,60
2017,1,16,17.5,23.5,18.5,21,90,5,90
2017,1,17,13.1,23.8,18,20.9,81,7,140
2017,1,18,0,25.2,20.4,22.8,76,6,140
2017,1,19,0,26.1,21,23.55,78,4,120
2017,1,20,13.8,26,17.5,21.75,82,5,20
2017,1,21,4.9,21,17.3,19.15,93,4,40
2017,1,22,7.9,20.5,16.5,18.5,87,6,60
2017,1,23,5.8,21,18,19.5,87,6,120
2017,1,24,13,21,16,18.5,85,8,120
2017,1,25,12.2,21.7,17,19.35,86,4,120
2017,1,26,1.7,22,18,20,80,6,60
2017,1,27,1,23.1,17.8,20.45,78,8,120
2017,1,28,0,24,18.8,21.4,74,7,120
2017,1,29,0,25,19.5,22.25,74,6,120
2017,1,30,1.8,25.2,19.3,22.25,80,4,40
2017,1,31,10.2,23,18,20.5,90,5,60
2017,2,1,8.6,22,18,20,89,5,60
2017,2,2,2.4,22,18,20,82,6,40
2017,2,3,0,22.7,18,20.35,74,7,60
2017,2,4,0,25,19.2,22.1,76,6,140
2017,2,5,0.6,24.5,20,22.25,83,4,40
2017,2,6,38,23,18.2,20.6,86,7,60
2017,2,7,0,23.5,18,20.75,70,6,60
2017,2,8,0,24,19,21.5,69,3,60
2017,2,9,4.9,23,15.5,19.25,82,4,40
2017,2,10,0.3,20,16.2,18.1,77,5,40
2017,2,11,-1,19.2,15.2,17.2,75,5,60
2017,2,12,0.1,20.7,17,18.85,71,5,60
2017,2,13,0,22,16.5,19.25,66,6,60
2017,2,14,0,21.2,15.5,18.35,58,6,60
2017,2,15,0,22.3,16,19.15,62,7,100
2017,2,16,0,24.3,17.4,20.85,66,5,130
2017,2,17,2.4,24.4,19.6,22,75,5,120
2017,2,18,2,23.2,19.5,21.35,83,5,120
2017,2,19,0.8,24.2,19.5,21.85,80,6,160
2017,2,20,0.2,25.7,21.4,23.55,90,4,160
2017,2,21,0.2,25,21.1,23.05,89,3,60
2017,2,22,0,26.6,22.2,24.4,85,5,160
2017,2,23,4.8,27.8,18.6,23.2,88,5,360
2017,2,24,1.4,23.5,19,21.25,90,2,40
2017,2,25,0,24.7,20.4,22.55,81,3,110
2017,2,26,0,24.7,19.4,22.05,81,5,40
2017,2,27,0.6,22.6,18.3,20.45,79,3,40
2017,2,28,2.7,24.1,18,21.05,77,4,110
2017,3,1,0,25.7,18.5,22.1,78,2,10
2017,3,2,0,23,17,20,78,5,40
2017,3,3,0,22.6,17,19.8,74,6,110
2017,3,4,0,24,19,21.5,76,6,120
2017,3,5,0,26,21,23.5,79,5,160
2017,3,6,0,27.2,19.5,23.35,85,4,40
2017,3,7,0.2,23.4,19.2,21.3,83,4,60
2017,3,8,0,24,18.4,21.2,81,4,40
2017,3,9,0,24.6,19.7,22.15,79,5,120
2017,3,10,0,27.4,22,24.7,85,5,180
2017,3,11,0,26.9,20.5,23.7,85,4,360
2017,3,12,0,26.7,20.9,23.8,81,3,90
2017,3,13,0,28.6,21.4,25,85,2,180
2017,3,14,2.4,25.3,17.5,21.4,83,6,40
2017,3,15,0,22,18.4,20.2,78,5,40
2017,3,16,0,24,20,22,76,5,140
2017,3,17,0.5,24.4,21,22.7,83,5,110
2017,3,18,0,25.7,21,23.35,81,6,160
2017,3,19,0,26.8,20,23.4,82,4,140
2017,3,20,0,26.7,20.9,23.8,81,4,160
2017,3,21,0,26.5,21.2,23.85,79,6,120
2017,3,22,4.4,25.5,20,22.75,91,6,140
2017,3,23,2,28,20.5,24.25,86,4,110
2017,3,24,0,26.5,21,23.75,84,5,140
2017,3,25,0,27,20.2,23.6,82,4,20
2017,3,26,0,24.8,18,21.4,84,5,40
2017,3,27,0,23,17.2,20.1,72,7,60
2017,3,28,0,24,19.8,21.9,68,7,140
2017,3,29,0,26.3,19.5,22.9,77,5,140
2017,3,30,0,27.3,20.1,23.7,80,5,120
2017,3,31,0.6,27.5,17.7,22.6,86,5,180
2017,4,1,6,20.5,16.5,18.5,81,5,40
2017,4,2,0,21.7,17,19.35,66,5,60
2017,4,3,0,23.1,17,20.05,63,5,110
2017,4,4,0,24.2,15.5,19.85,67,5,140
2017,4,5,0,25.1,18.5,21.8,79,4,140
2017,4,6,0,27,21.8,24.4,81,5,140
2017,4,7,0,28,22.7,25.35,83,4,160
2017,4,8,0,27.9,23.3,25.6,89,4,160
2017,4,9,0,29.5,23.2,26.35,89,3,180
2017,4,10,0,30,23.6,26.8,79,3,280
2017,4,11,0,29.4,22.2,25.8,87,3,280
2017,4,12,0,28.1,21.8,24.95,86,3,60
2017,4,13,64.4,26.8,21.4,24.1,87,3,60
2017,4,14,0,28,22.8,25.4,85,4,150
2017,4,15,0,28.1,22.8,25.45,83,6,160
2017,4,16,0,28.5,24,26.25,86,5,160
2017,4,17,0,28.3,23.7,26,86,4,180
2017,4,18,0,29,23.8,26.4,85,3,270
2017,4,19,1.2,29.8,23.8,26.8,86,3,160
2017,4,20,0,29.7,22.6,26.15,91,5,180
2017,4,21,0,30,23,26.5,79,2,290
2017,4,22,1.8,29.3,20.5,24.9,86,4,20
2017,4,23,0,26.6,21.4,24,85,5,60
2017,4,24,9.5,28,23,25.5,87,4,110
2017,4,25,0,29,24,26.5,87,4,140
2017,4,26,0,29.2,24,26.6,86,2,340
2017,4,27,1.4,29.8,20,24.9,86,4,10
2017,4,28,0.8,27.6,19.7,23.65,78,2,20
2017,4,29,0,25.1,21,23.05,76,4,110
2017,4,30,0,26.4,22.6,24.5,82,4,110
2017,5,1,0,27.2,22.8,25,89,4,10
2017,5,2,0,28.7,23.5,26.1,89,2,40
2017,5,3,0,29.2,24.2,26.7,91,3,110
2017,5,4,0,29.2,23.5,26.35,91,3,120
2017,5,5,0,29.8,24.6,27.2,89,4,160
2017,5,6,0,30,24.5,27.25,90,3,40
2017,5,7,-1,29.4,24.3,26.85,89,3,60
2017,5,8,0,30,25,27.5,84,4,40
2017,5,9,0,31.2,24.6,27.9,85,3,120
2017,5,10,0,31,25.4,28.2,83,4,180
2017,5,11,0.2,31.2,25,28.1,83,4,360
2017,5,12,0,30,25,27.5,84,4,90
2017,5,13,0,30.6,24.5,27.55,83,2,180
2017,5,14,74.2,29.6,20.2,24.9,87,2,40
2017,5,15,0,30.1,24.6,27.35,85,4,40
2017,5,16,15.4,30.5,22.9,26.7,84,4,140
2017,5,17,37.2,27.3,23,25.15,92,2,110
2017,5,18,21.6,27.1,23.3,25.2,91,3,160
2017,5,19,73.4,26.2,21.8,24,94,2,140
2017,5,20,0.6,27,22.8,24.9,90,5,160
2017,5,21,0,28.6,23.8,26.2,84,3,120
2017,5,22,0,28.7,23.6,26.15,84,2,140
2017,5,23,0,29.1,24.5,26.8,80,1,110
2017,5,24,0.2,30.5,24.2,27.35,85,3,140
2017,5,25,35.2,30.5,22.9,26.7,85,2,20
