YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,6.6,30.2,25,27.6,87,2,40
2017,1,2,41.3,30,24.6,27.3,91,1,40
2017,1,3,5.5,29.6,24.8,27.2,86,3,60
2017,1,4,18.8,29.6,25.4,27.5,89,3,40
2017,1,5,0,30.6,25.9,28.25,81,2,40
2017,1,6,1.6,29.5,23.8,26.65,84,1,70
2017,1,7,8.4,28.1,23.8,25.95,88,2,340
2017,1,8,89.4,26,23.7,24.85,95,2,360
2017,1,9,91.3,26.7,23.8,25.25,94,2,90
2017,1,10,74.8,29.4,25,27.2,92,1,70
2017,1,11,10.6,29.7,22,25.85,86,2,90
2017,1,12,38.8,27.2,22.7,24.95,95,1,40
2017,1,13,18.6,27,23.7,25.35,95,1,270
2017,1,14,74.5,29.2,24,26.6,93,1,270
2017,1,15,98,29.4,23,26.2,90,2,340
2017,1,16,136,27.2,22.6,24.9,96,3,40
2017,1,17,5.6,27.4,23.9,25.65,84,2,40
2017,1,18,0.6,29,24,26.5,86,3,40
2017,1,19,40.2,28.2,22.5,25.35,89,2,340
2017,1,20,17,29,23.4,26.2,92,2,40
2017,1,21,18.9,30.1,24,27.05,89,2,40
2017,1,22,2.2,29.6,24.3,26.95,88,2,40
2017,1,23,0,29.1,24.2,26.65,76,4,80
2017,1,24,2.6,29.3,23.6,26.45,81,4,40
2017,1,25,0.2,29.7,25.2,27.45,86,3,40
2017,1,26,0.2,30.2,24.6,27.4,83,2,40
2017,1,27,0,29.6,24.9,27.25,78,2,40
2017,1,28,6.2,29.8,24.2,27,89,3,40
2017,1,29,0.5,29.4,25.3,27.35,89,1,40
2017,1,30,0,31,24.1,27.55,88,1,40
2017,1,31,14.6,29.7,24,26.85,90,2,60
2017,2,1,2.8,29.2,23.6,26.4,88,2,90
2017,2,2,28.6,30.1,23.4,26.75,91,2,40
2017,2,3,2.4,28,23.8,25.9,82,2,20
2017,2,4,13.2,28,23.9,25.95,91,2,40
2017,2,5,19,28.1,24.4,26.25,94,2,320
2017,2,6,15.1,28.2,22.7,25.45,94,1,320
2017,2,7,1.8,28.2,24,26.1,88,3,320
2017,2,8,3.2,29.2,23.1,26.15,88,2,320
2017,2,9,0,30.4,23,26.7,87,2,360
2017,2,10,11.8,29.2,23,26.1,88,2,360
2017,2,11,4.1,27.2,23,25.1,75,3,60
2017,2,12,1,27,22.5,24.75,76,2,40
2017,2,13,-1,29,23,26,75,3,360
2017,2,14,13.2,29.1,22.2,25.65,88,2,360
2017,2,15,17,25.8,23,24.4,85,3,40
2017,2,16,25.8,27,22.2,24.6,91,2,40
2017,2,17,1.3,29.8,24.3,27.05,89,2,40
2017,2,18,3.8,30,25.1,27.55,90,2,40
2017,2,19,15.8,28.2,23,25.6,88,3,60
2017,2,20,0.2,28.5,22.6,25.55,91,1,90
2017,2,21,18.9,30.5,24,27.25,87,1,40
2017,2,22,8.4,29.5,24.5,27,89,2,40
2017,2,23,95.8,26.2,22,24.1,97,1,320
2017,2,24,0,29,22.7,25.85,93,1,40
2017,2,25,2.2,29.8,23.7,26.75,85,2,40
2017,2,26,0.2,30,24.1,27.05,86,1,40
2017,2,27,9.8,27.9,23.5,25.7,85,1,30
2017,2,28,0.2,29,24.4,26.7,87,1,40
2017,3,1,0.6,30.6,25.1,27.85,84,2,40
2017,3,2,2,30.4,23.6,27,85,1,70
2017,3,3,1.2,29.6,23.8,26.7,79,3,60
2017,3,4,0,29.8,23.7,26.75,87,2,40
2017,3,5,0,30.1,24,27.05,78,2,360
2017,3,6,117.6,29,23.8,26.4,92,1,360
2017,3,7,89.8,28,21.2,24.6,92,2,20
2017,3,8,2.4,28.8,24.7,26.75,85,3,40
2017,3,9,2.6,28.7,24.8,26.75,81,2,40
2017,3,10,44,28.8,24.1,26.45,91,2,320
2017,3,11,52.6,27.7,24,25.85,94,2,360
2017,3,12,0.1,28,22,25,94,1,40
2017,3,13,0,31,23,27,87,1,90
2017,3,14,44.2,31.4,24.9,28.15,88,1,70
2017,3,15,4.6,29,23,26,85,2,60
2017,3,16,5.4,29.2,24,26.6,86,2,40
2017,3,17,0,29.8,25.4,27.6,77,2,70
2017,3,18,0,31.5,23.3,27.4,81,2,70
2017,3,19,10.2,29.4,21.2,25.3,80,2,320
2017,3,20,44.5,28.1,22.2,25.15,93,2,320
2017,3,21,4.4,31.1,24.5,27.8,88,1,90
2017,3,22,1,31,22.6,26.8,90,1,80
2017,3,23,0,30.3,22.8,26.55,87,2,90
2017,3,24,-1,30.6,23.4,27,87,2,40
2017,3,25,2.2,31,21,26,87,2,60
2017,3,26,21.6,30.1,23,26.55,89,2,320
2017,3,27,7.4,29.4,24,26.7,80,3,60
2017,3,28,32.5,29.1,24.5,26.8,89,3,40
2017,3,29,0,30,23,26.5,87,3,40
2017,3,30,23.8,29,23.6,26.3,92,2,40
2017,3,31,16.6,27.7,24.6,26.15,91,2,60
2017,4,1,32.3,29,23.7,26.35,93,2,320
2017,4,2,3.2,30.3,23.4,26.85,86,2,40
2017,4,3,61.4,27.2,23.4,25.3,93,4,40
2017,4,4,115.8,27,23.6,25.3,88,2,60
2017,4,5,16.8,30.1,25.6,27.85,82,2,70
2017,4,6,66.8,28.8,23,25.9,91,1,40
2017,4,7,5.8,30.2,24.5,27.35,88,2,40
2017,4,8,0.8,30.4,24.6,27.5,89,1,270
