YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,2.6,30,23.5,26.75,90,1,100
2017,1,2,0,30.7,21.8,26.25,87,1,360
2017,1,3,7.3,31.9,24.5,28.2,87,1,350
2017,1,4,0.2,33.6,23.5,28.55,77,2,320
2017,1,5,20.4,29.5,23.6,26.55,91,1,320
2017,1,6,88.4,25.4,24,24.7,95,1,280
2017,1,7,58.8,25,23,24,94,2,290
2017,1,8,69.4,24.3,23.2,23.75,93,4,290
2017,1,9,6,30.8,24.1,27.45,90,1,80
2017,1,10,5.2,30.8,24.8,27.8,89,2,90
2017,1,11,3.4,29.7,23.7,26.7,92,1,140
2017,1,12,0.3,30.5,23.8,27.15,86,2,300
2017,1,13,0,30.5,24.4,27.45,86,2,360
2017,1,14,22.2,30.8,25.2,28,86,2,360
2017,1,15,20.3,30.5,25,27.75,90,2,330
2017,1,16,4.1,32.5,24.4,28.45,91,1,130
2017,1,17,1.6,29,23.6,26.3,89,1,290
2017,1,18,58.2,27.2,23.7,25.45,94,1,360
2017,1,19,35.8,29.1,21.7,25.4,94,1,330
2017,1,20,0.4,29.5,24,26.75,90,1,340
2017,1,21,3.2,30.6,24,27.3,87,2,320
2017,1,22,13.8,32,24.2,28.1,90,2,130
2017,1,23,6.4,30.6,23,26.8,92,1,140
2017,1,24,8.8,29.5,22.7,26.1,88,2,120
2017,1,25,1.6,30,21.5,25.75,87,1,100
2017,1,26,-1,31,23,27,80,1,260
2017,1,27,49.9,30,24,27,86,3,300
2017,1,28,69.4,25,23.3,24.15,97,1,320
2017,1,29,0.2,32,24.5,28.25,87,2,130
2017,1,30,2.4,31.4,23.8,27.6,89,1,360
2017,1,31,0.6,32.6,24.2,28.4,87,1,350
2017,2,1,2.8,30.2,22.5,26.35,91,1,160
2017,2,2,3.5,30,24,27,87,2,330
2017,2,3,0.6,31,24.2,27.6,85,2,310
2017,2,4,2.2,27.7,23.8,25.75,86,4,310
2017,2,5,8.8,28.3,24.5,26.4,89,4,300
2017,2,6,15.6,30,23.6,26.8,85,5,320
2017,2,7,15.2,30.1,24.2,27.15,85,2,320
2017,2,8,10.5,30.8,24.7,27.75,85,3,300
2017,2,9,1.7,30.3,24,27.15,89,3,300
2017,2,10,0,29.8,23.2,26.5,83,3,310
2017,2,11,0,29.2,23,26.1,87,1,270
2017,2,12,0,28.9,22,25.45,78,2,290
2017,2,13,0,29.1,22.2,25.65,78,3,320
2017,2,14,2.2,28.8,23.9,26.35,85,2,290
2017,2,15,84,28.5,23.3,25.9,89,2,290
2017,2,16,55.7,24,20.8,22.4,96,1,220
2017,2,17,6.2,28.3,23,25.65,92,2,120
2017,2,18,12.8,31,23.8,27.4,89,2,120
2017,2,19,45.2,30.1,22.8,26.45,87,1,110
2017,2,20,3.3,29.2,22.8,26,87,2,110
2017,2,21,2.1,31.1,22.1,26.6,81,2,120
2017,2,22,12.2,31.2,24.3,27.75,84,2,170
2017,2,23,67.3,31.3,23.6,27.45,91,2,130
2017,2,24,0,31.7,22.5,27.1,84,1,340
2017,2,25,-1,32,23,27.5,81,1,90
2017,2,26,15.5,31.2,24.5,27.85,78,2,300
2017,2,27,12.6,29.1,23.1,26.1,89,2,190
2017,2,28,4.2,32.1,23.3,27.7,85,1,210
2017,3,1,15.1,30.6,23.5,27.05,86,1,10
2017,3,2,6.2,28.2,23.4,25.8,94,1,90
2017,3,3,5,29,22.4,25.7,88,1,120
2017,3,4,0,31.3,24,27.65,82,2,340
2017,3,5,39.9,27.5,24,25.75,94,4,320
2017,3,6,67.8,25.4,23,24.2,94,1,290
2017,3,7,6.8,28.3,23.7,26,94,1,120
2017,3,8,37.5,29.7,23.5,26.6,88,1,330
2017,3,9,9.4,29,24,26.5,88,1,300
2017,3,10,18.6,30,24.3,27.15,89,2,280
2017,3,11,3.4,30.7,24.5,27.6,86,2,340
2017,3,12,40.6,31.6,23.5,27.55,86,2,350
2017,3,13,0.9,31.9,24.4,28.15,83,2,330
2017,3,14,0,32,23.7,27.85,83,2,320
2017,3,15,8.2,31.8,24.4,28.1,87,1,350
2017,3,16,0.8,32,22.8,27.4,83,2,150
2017,3,17,0,31.6,24.2,27.9,79,2,300
2017,3,18,4.2,32.7,24.5,28.6,76,1,340
2017,3,19,0.7,32.1,25.5,28.8,80,2,350
2017,3,20,0,31,22.9,26.95,78,3,350
2017,3,21,-1,33.5,24,28.75,80,3,140
2017,3,22,0,32.7,22.5,27.6,80,2,150
2017,3,23,0,34.5,22.5,28.5,69,3,150
2017,3,24,0,34.2,22.2,28.2,74,2,140
2017,3,25,0,33.4,23.2,28.3,76,1,320
2017,3,26,6.1,32.5,25,28.75,86,1,360
2017,3,27,23.9,30.2,23.7,26.95,88,1,130
2017,3,28,15.9,29.2,23.2,26.2,90,1,300
2017,3,29,4.3,32.1,24.2,28.15,87,1,350
2017,3,30,4.5,33,24.2,28.6,78,2,350
2017,3,31,4.4,28.3,23.5,25.9,91,1,360
2017,4,1,14.6,31.3,23.8,27.55,86,1,350
2017,4,2,0.1,31.1,22.8,26.95,88,1,350
2017,4,3,9.8,31.5,24.3,27.9,84,1,360
2017,4,4,4.9,29.4,23.2,26.3,87,1,40
2017,4,5,61.8,29.1,23.3,26.2,93,1,50
2017,4,6,8.4,30.4,23,26.7,92,1,150
2017,4,7,0.2,30.5,23.9,27.2,87,2,320
2017,4,8,-1,34.4,23.8,29.1,76,2,90
2017,4,9,0,33.5,23.8,28.65,77,2,120
2017,4,10,0,32,24,28,82,2,350
2017,4,11,-1,34.2,24.1,29.15,79,2,120
2017,4,12,1.5,32.3,24.2,28.25,85,2,110
2017,4,13,18.9,31.4,23.7,27.55,87,1,330
2017,4,14,33,30,24.5,27.25,90,2,320
2017,4,15,14.6,31.3,25,28.15,89,2,100
2017,4,16,0,33,25.2,29.1,77,2,130
2017,4,17,0,34.4,23.9,29.15,77,2,140
2017,4,18,0,32.8,24.6,28.7,80,2,110
2017,4,19,0.7,33.7,24.5,29.1,81,2,110
2017,4,20,0,34.3,24.2,29.25,78,2,120
2017,4,21,0,34.2,24.5,29.35,75,2,360
2017,4,22,0,33.8,24.5,29.15,75,2,350
2017,4,23,0,33.2,25,29.1,77,2,110
2017,4,24,0,33.9,23.8,28.85,76,2,120
2017,4,25,0,32.6,24.1,28.35,84,2,320
2017,4,26,0,32.5,24.5,28.5,83,2,350
2017,4,27,0,34.3,24.6,29.45,78,2,190
2017,4,28,0,34.2,24.4,29.3,79,2,360
2017,4,29,0.2,35,25.3,30.15,79,2,130
2017,4,30,0,34.6,24.3,29.45,78,2,120
2017,5,1,10.7,35.8,24.8,30.3,78,2,120
2017,5,2,1.6,34.5,25,29.75,83,2,120
2017,5,3,14,32.6,24.2,28.4,92,1,120
2017,5,4,0,34.5,24.5,29.5,79,2,130
2017,5,5,11.4,33,24.5,28.75,85,2,110
2017,5,6,0,33.2,24.5,28.85,79,1,150
2017,5,7,6,33,25.5,29.25,89,2,360
2017,5,8,2.9,35.1,24.2,29.65,83,2,140
2017,5,9,16.2,31.7,24.4,28.05,82,1,110
2017,5,10,0.2,32.7,25.7,29.2,81,1,120
2017,5,11,5.4,33.4,24.5,28.95,87,2,180
2017,5,12,19.9,33.5,24.5,29,84,2,180
2017,5,13,3.8,29.4,24.2,26.8,92,1,110
2017,5,14,2,33.1,25.2,29.15,85,2,120
2017,5,15,1.6,32.5,25,28.75,82,2,130
2017,5,16,0,33.2,25.7,29.45,82,2,330
2017,5,17,0,34.4,25.5,29.95,78,2,150
2017,5,18,-1,35,26,30.5,80,2,130
2017,5,19,0,35.1,26,30.55,82,2,190
2017,5,20,25.4,34.2,24.2,29.2,80,2,200
2017,5,21,0.4,34.7,24.9,29.8,78,2,120
2017,5,22,33.6,35,24.4,29.7,81,2,330
2017,5,23,-1,34,25.4,29.7,80,2,330
2017,5,24,66.6,33.7,24.5,29.1,81,1,120
2017,5,25,0.3,33.8,25.4,29.6,84,2,90
2017,5,26,1.8,34.4,25,29.7,81,3,120
2017,5,27,2.2,34.4,26.2,30.3,88,2,160
2017,5,28,2.7,34.6,24.7,29.65,87,2,320
2017,5,29,2,32.6,24.7,28.65,83,2,70
2017,5,30,-1,34.6,25.1,29.85,76,2,130
2017,5,31,0,34.7,25.6,30.15,82,2,150
2017,6,1,-1,35.4,24.6,30,78,2,150
2017,6,2,7.6,35.5,25,30.25,79,2,330
2017,6,3,32.9,35.6,24.8,30.2,78,2,350
2017,6,4,4,35.2,24.8,30,80,2,330
2017,6,5,1.3,33.8,24.5,29.15,81,2,330
2017,6,6,0,32.8,24.8,28.8,78,2,360
2017,6,7,16.4,30,25,27.5,87,1,190
2017,6,8,4.2,31.3,24.6,27.95,86,1,310
2017,6,9,2.4,32.2,24.4,28.3,82,2,100
2017,6,10,0,32.7,25.2,28.95,83,1,340
2017,6,11,0.6,35,25,30,76,2,110
2017,6,12,8.6,32,24.1,28.05,89,1,110
2017,6,13,0,33.4,25.1,29.25,81,1,150
2017,6,14,-1,34.3,24.3,29.3,80,2,140
2017,6,15,2.8,34.7,24.8,29.75,79,1,350
2017,6,16,0,31.5,24.2,27.85,82,2,140
2017,6,17,3,33.6,24.8,29.2,85,2,100
2017,6,18,2.6,34,25,29.5,81,2,350
2017,6,19,0.1,35.1,24.6,29.85,74,2,130
2017,6,20,23.9,32.9,23.7,28.3,85,2,90
2017,6,21,5.6,33.1,24.3,28.7,90,1,90
2017,6,22,48.8,33.4,23.5,28.45,83,2,190
2017,6,23,3,33.8,23.8,28.8,80,2,160
2017,6,24,0,33.5,24.5,29,77,1,140
2017,6,25,2.9,34.7,23.4,29.05,78,2,110
2017,6,26,0.8,33.7,23.8,28.75,83,2,350
2017,6,27,0.2,33.4,23.8,28.6,83,1,320
2017,6,28,0,34.6,25,29.8,80,1,360
2017,6,29,38.3,34.8,24.8,29.8,85,2,320
2017,6,30,1.4,32.8,24,28.4,82,2,350
2017,7,1,71.8,33.4,24,28.7,85,2,120
2017,7,2,18.8,32.5,23.8,28.15,84,2,330
2017,7,3,-1,30.5,25,27.75,85,1,110
2017,7,4,21.2,32.7,22.7,27.7,84,2,120
2017,7,5,0.2,33.5,24.6,29.05,81,2,110
2017,7,6,7.7,31.5,24.5,28,83,2,110
2017,7,7,14.4,32.7,23.9,28.3,85,1,120
2017,7,8,6.6,32.9,23.8,28.35,82,2,340
2017,7,9,-1,32.5,24.5,28.5,87,2,0
2017,7,10,1.1,33.5,24,28.75,82,2,130
2017,7,11,0,32.4,24,28.2,81,1,340
2017,7,12,5.6,32.2,24,28.1,81,2,210
2017,7,13,0.8,33.1,24.3,28.7,81,2,340
2017,7,14,0,32.7,24.3,28.5,84,2,340
2017,7,15,14,33.8,24.5,29.15,83,2,110
2017,7,16,0,33.1,25.2,29.15,81,2,0
2017,7,17,20.6,33.5,24.5,29,81,2,120
2017,7,18,7.1,32.5,24,28.25,85,2,190
2017,7,19,2,31.7,24.4,28.05,83,1,140
2017,7,20,0,32,24.6,28.3,82,1,190
2017,7,21,1.6,31.2,24.3,27.75,85,1,70
2017,7,22,6.1,29.3,23.8,26.55,90,1,140
2017,7,23,-1,31,25.5,28.25,76,5,350
2017,7,24,0,32.5,25.4,28.95,76,4,330
2017,7,25,0,32,25.3,28.65,84,2,360
2017,7,26,0,33.7,25,29.35,75,2,190
2017,7,27,0,35.3,24.6,29.95,75,2,350
2017,7,28,0,35.3,24.8,30.05,75,2,130
2017,7,29,0,35.2,25,30.1,73,3,110
2017,7,30,0,34.7,25,29.85,72,3,360
2017,7,31,0,35.1,24.8,29.95,75,2,350
2017,8,1,0,33.6,26.2,29.9,77,2,360
2017,8,2,0,33,24.8,28.9,81,2,350
2017,8,3,-1,32.6,24.6,28.6,80,2,350
2017,8,4,0,33.9,24.5,29.2,76,2,350
2017,8,5,8.4,34.3,24.8,29.55,80,2,90
2017,8,6,0.6,34.5,25,29.75,79,2,360
2017,8,7,0,34,26.1,30.05,71,3,130
2017,8,8,1,35.5,25.2,30.35,77,3,130
2017,8,9,3,33.7,23.7,28.7,83,2,340
2017,8,10,-1,33.6,23.7,28.65,80,2,120
2017,8,11,0.4,35.2,23.7,29.45,79,2,90
2017,8,12,1.8,35,24.3,29.65,82,2,120
2017,8,13,0,33.5,24.8,29.15,81,1,330
2017,8,14,1.2,33,24.8,28.9,86,1,330
2017,8,15,1.5,32.1,23.6,27.85,92,2,360
2017,8,16,0,30.8,24.5,27.65,85,2,80
2017,8,17,6.4,34.3,25.4,29.85,80,2,210
2017,8,18,0,33.2,24.8,29,83,2,340
2017,8,19,1.4,33.2,24.8,29,82,2,350
2017,8,20,2,33,25,29,77,2,350
2017,8,21,14.9,33,23.7,28.35,82,3,130
2017,8,22,13.5,33.5,25.3,29.4,78,2,130
2017,8,23,1,31,24.3,27.65,85,2,130
2017,8,24,-1,32,24,28,86,2,330
2017,8,25,-1,33.1,23.3,28.2,80,2,340
2017,8,26,0,33.6,23.8,28.7,78,2,350
2017,8,27,1,34,24.8,29.4,78,2,360
2017,8,28,1.6,31.6,23.6,27.6,84,2,330
2017,8,29,5.9,32.9,24,28.45,86,1,120
2017,8,30,0,34.2,25.7,29.95,80,2,140
2017,8,31,0,34.7,24.5,29.6,75,2,340
2017,9,1,0,35.2,24.2,29.7,78,2,330
2017,9,2,0,35.4,24.2,29.8,72,2,120
2017,9,3,0.1,35,24.2,29.6,75,2,110
2017,9,4,29.5,34.5,22.4,28.45,79,2,360
2017,9,5,0,33.6,23.9,28.75,79,2,320
2017,9,6,2.7,34.8,23.9,29.35,83,2,120
2017,9,7,0.8,33.7,24.8,29.25,87,2,40
2017,9,8,13.6,33.8,24.8,29.3,77,2,320
2017,9,9,24.2,33.6,25.5,29.55,79,3,320
2017,9,10,-1,31.8,25,28.4,82,2,360
2017,9,11,3.5,33,24.2,28.6,79,3,120
2017,9,12,2.8,34.1,24.4,29.25,84,2,170
2017,9,13,0.1,30,25.1,27.55,91,2,140
2017,9,14,14.5,34.3,24,29.15,75,2,180
2017,9,15,0,33.2,24,28.6,80,2,360
2017,9,16,0,33.2,24.8,29,87,2,130
2017,9,17,-1,33.1,24.8,28.95,80,2,360
2017,9,18,12.7,33,23.7,28.35,82,2,130
2017,9,19,9,32.9,23.4,28.15,86,1,100
2017,9,20,0,32.4,24.3,28.35,82,2,320
2017,9,21,9.9,30.5,24.6,27.55,87,1,140
2017,9,22,5,31.2,25,28.1,85,2,120
2017,9,23,0,31.7,23.5,27.6,82,2,360
2017,9,24,3,32.6,23.4,28,86,2,130
2017,9,25,30.7,31.6,23.1,27.35,88,2,120
2017,9,26,1.5,32.2,24.1,28.15,84,2,160
2017,9,27,1.6,32.3,24.2,28.25,84,3,130
2017,9,28,0,32.7,25,28.85,81,1,360
2017,9,29,-1,31.1,24.5,27.8,86,2,320
2017,9,30,-1,33.2,24.8,29,79,2,310
2017,10,1,0.1,34.9,24.8,29.85,76,3,130
2017,10,2,0,33.5,23.5,28.5,84,2,120
2017,10,3,44.2,34.5,23.2,28.85,84,2,140
2017,10,4,0,32.4,25.3,28.85,90,1,110
2017,10,5,6.4,34,23.6,28.8,85,2,130
2017,10,6,10.6,32.5,25.2,28.85,81,3,350
2017,10,7,0.4,32.1,25,28.55,82,2,130
2017,10,8,20.9,33.6,24.2,28.9,80,2,200
2017,10,9,33.9,31.6,22.9,27.25,83,1,60
2017,10,10,-1,33,23.7,28.35,82,1,180
2017,10,11,0,33.4,25.8,29.6,83,2,360
2017,10,12,0,33.1,26.4,29.75,81,3,120
2017,10,13,0,33.5,26.2,29.85,80,2,120
2017,10,14,1.2,33.7,25,29.35,86,1,130
2017,10,15,29.7,31.1,23.2,27.15,84,3,330
2017,10,16,28.3,31.8,24,27.9,81,5,330
2017,10,17,1.9,31.9,25,28.45,80,3,330
2017,10,18,0.2,32.2,24.6,28.4,83,2,320
2017,10,19,-1,30.9,24.8,27.85,89,1,330
2017,10,20,0,32.6,25.3,28.95,85,2,90
2017,10,21,0.1,32.6,24.4,28.5,87,2,360
2017,10,22,0,33.9,25.1,29.5,82,2,350
2017,10,23,1.3,33.2,26.9,30.05,76,4,360
2017,10,24,19.8,29.5,23.7,26.6,88,2,320
2017,10,25,0,30,24.4,27.2,86,1,320
2017,10,26,0,32.3,23.7,28,81,2,10
2017,10,27,2,31.7,23.4,27.55,84,2,330
2017,10,28,0,33.4,24.5,28.95,81,1,90
2017,10,29,0,32.5,24.2,28.35,80,2,330
2017,10,30,29.1,31.8,23.8,27.8,88,2,300
2017,10,31,3.4,30.7,24,27.35,87,1,160
2017,11,1,7.3,33.3,23.1,28.2,82,2,110
2017,11,2,13,33.5,23.3,28.4,82,2,140
2017,11,3,0,33.1,23.8,28.45,85,2,130
2017,11,4,0,32.7,24.8,28.75,83,2,180
