YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0.4,29.5,23.2,26.35,84,3,80
2017,1,2,4.4,29.4,23.7,26.55,91,2,60
2017,1,3,0.8,29.8,23.3,26.55,88,2,60
2017,1,4,11,29.6,23,26.3,91,3,60
2017,1,5,0.8,29.6,22.6,26.1,89,2,90
2017,1,6,0,29.8,23.2,26.5,90,2,90
2017,1,7,0,29.7,22.8,26.25,87,2,90
2017,1,8,0,29.3,22.2,25.75,88,1,120
2017,1,9,8.4,29.4,23.2,26.3,87,2,60
2017,1,10,20.8,29.2,22.2,25.7,91,2,60
2017,1,11,22.4,28.8,22.4,25.6,94,3,90
2017,1,12,4,29.8,22.3,26.05,90,2,60
2017,1,13,0,30,23,26.5,88,2,90
2017,1,14,0,30.2,23.1,26.65,86,2,120
2017,1,15,0.2,30,22.4,26.2,87,2,60
2017,1,16,8.6,29.2,22.8,26,87,3,90
2017,1,17,0.8,29,22.5,25.75,89,2,60
2017,1,18,0.6,29.2,21.8,25.5,87,2,90
2017,1,19,0,29.4,22.3,25.85,89,2,100
2017,1,20,0,29.5,22.7,26.1,87,2,90
2017,1,21,1,30,23,26.5,83,2,100
2017,1,22,0.2,30,23.1,26.55,85,2,80
2017,1,23,1.2,30.1,23.2,26.65,88,2,120
2017,1,24,0.2,30.4,22.8,26.6,87,2,80
2017,1,25,1.8,29.5,22.2,25.85,89,2,100
2017,1,26,0,29.8,22.2,26,87,2,80
2017,1,27,1,29.4,22.6,26,91,1,90
2017,1,28,21.2,29.2,22.8,26,91,2,90
2017,1,29,7.8,28,22.6,25.3,94,1,100
2017,1,30,1.6,29.2,23.1,26.15,92,2,90
2017,1,31,15.4,29.6,23,26.3,91,2,80
2017,2,1,2,30.2,23.2,26.7,89,2,90
2017,2,2,6.8,29,23.2,26.1,92,2,70
2017,2,3,4.4,27.8,22,24.9,91,1,80
2017,2,4,0.4,29.5,22.4,25.95,91,1,90
2017,2,5,0.4,29.6,21.8,25.7,86,1,120
2017,2,6,0.4,29.2,23.2,26.2,91,2,90
2017,2,7,1.2,29.6,23.4,26.5,86,1,90
2017,2,8,0,29.4,21.7,25.55,88,1,100
2017,2,9,0,29.8,22,25.9,85,2,90
2017,2,10,0,29.8,23,26.4,86,2,80
2017,2,11,5.8,29.4,21.8,25.6,84,2,90
2017,2,12,0.7,29.2,21.4,25.3,87,2,100
2017,2,13,0.6,29,22.3,25.65,87,3,90
2017,2,14,5.6,29.2,22.4,25.8,90,3,80
2017,2,15,0.6,29,21.2,25.1,86,2,90
2017,2,16,1.2,28.9,22,25.45,86,2,100
2017,2,17,2.8,28,22,25,93,1,100
2017,2,18,1,28.4,23.2,25.8,89,1,90
2017,2,19,0.2,28.8,22.2,25.5,89,2,90
2017,2,20,0,29,22.8,25.9,87,2,100
2017,2,21,0.4,29.6,23,26.3,87,2,90
2017,2,22,0,29.4,22.6,26,90,2,100
2017,2,23,0,30,23.6,26.8,89,2,90
2017,2,24,0.4,30.1,23.2,26.65,90,2,80
2017,2,25,5.3,29.2,23.6,26.4,91,1,90
2017,2,26,0,30.2,23,26.6,89,2,90
2017,2,27,0,30.3,23.7,27,86,2,120
2017,2,28,0.4,30.2,23.8,27,88,1,90
2017,3,1,0.7,29.8,23,26.4,88,1,90
2017,3,2,1.8,30,23.5,26.75,88,2,90
2017,3,3,6.8,30.2,23,26.6,89,1,90
2017,3,4,-1,29.8,23.3,26.55,89,2,100
2017,3,5,0,30.2,22.6,26.4,88,1,90
2017,3,6,0,30,22.5,26.25,86,2,90
2017,3,7,3,30.4,22.8,26.6,88,1,90
2017,3,8,0,30.5,22.4,26.45,85,1,120
2017,3,9,0,30,23.2,26.6,84,2,90
2017,3,10,0,30.2,23,26.6,85,1,90
2017,3,11,0,30,23.3,26.65,84,1,100
2017,3,12,0,30.7,23.6,27.15,86,1,90
2017,3,13,0,30.5,23.8,27.15,90,1,120
2017,3,14,0,30.6,23.5,27.05,88,1,90
2017,3,15,0.8,29.5,23.4,26.45,90,1,90
2017,3,16,0,30.8,23.1,26.95,85,2,100
2017,3,17,0,31,23.6,27.3,85,2,100
2017,3,18,0,31,23.5,27.25,85,2,120
2017,3,19,-1,30.8,23,26.9,86,1,90
2017,3,20,0.2,30.3,23.2,26.75,83,1,90
2017,3,21,1,30.2,23.2,26.7,84,1,160
2017,3,22,0,30.6,23,26.8,85,1,90
2017,3,23,0,31,22.8,26.9,88,2,90
2017,3,24,0,31.4,23.2,27.3,85,1,90
2017,3,25,0,31.2,23.7,27.45,83,2,90
2017,3,26,0,31,23.4,27.2,81,1,60
2017,3,27,4,31.2,23.2,27.2,86,2,90
2017,3,28,1.2,30.8,23,26.9,85,2,90
2017,3,29,1.2,31,23.6,27.3,86,2,90
2017,3,30,0,31.2,23,27.1,85,2,90
2017,3,31,0,31.4,23.5,27.45,81,2,90
2017,4,1,0,31.2,24,27.6,79,2,120
2017,4,2,12.6,30,21.8,25.9,90,2,70
2017,4,3,0,29,22.8,25.9,89,2,90
2017,4,4,0,29.6,23,26.3,86,2,110
2017,4,5,0,30.3,23,26.65,86,1,90
2017,4,6,0,31,24,27.5,86,1,90
2017,4,7,0,31.8,24,27.9,84,2,120
2017,4,8,0,31.6,24.3,27.95,84,2,90
2017,4,9,0.2,31.5,23.2,27.35,85,2,120
2017,4,10,0,31.8,23.5,27.65,84,1,90
2017,4,11,0,32.2,24.4,28.3,82,2,160
2017,4,12,0,32.5,23.5,28,83,1,90
2017,4,13,0,32.4,24.8,28.6,84,2,90
2017,4,14,0,33.1,24.4,28.75,82,2,90
2017,4,15,0,31.6,24.2,27.9,82,2,90
2017,4,16,65.6,30.9,23.6,27.25,92,2,90
2017,4,17,0,31.2,23.8,27.5,87,1,90
2017,4,18,0,32.2,24,28.1,82,1,180
2017,4,19,0,32.8,24.3,28.55,84,1,180
2017,4,20,0,32.6,24.5,28.55,84,1,100
2017,4,21,0,32.8,24.4,28.6,83,1,160
2017,4,22,0,32.5,24.6,28.55,83,1,180
2017,4,23,17.4,34.4,23.7,29.05,84,1,300
2017,4,24,48,33,23.5,28.25,81,2,90
2017,4,25,0,33.4,24.2,28.8,81,1,90
2017,4,26,0,33.2,23.6,28.4,80,1,120
2017,4,27,0,34,24.3,29.15,77,1,180
2017,4,28,0,34.2,24.5,29.35,81,1,350
2017,4,29,0,33.4,24.5,28.95,83,1,160
