YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,1.2,28,22.5,25.25,86,8,90
2017,1,2,0,28.5,20,24.25,89,4,40
2017,1,3,0,28.8,20.2,24.5,83,5,90
2017,1,4,1.8,29.3,21.8,25.55,87,5,90
2017,1,5,0,30,23,26.5,85,5,90
2017,1,6,0,30,23.5,26.75,85,5,90
2017,1,7,0,30.2,20.4,25.3,84,4,90
2017,1,8,0,31.8,20.2,26,88,3,90
2017,1,9,22.8,29.2,20.2,24.7,90,3,40
2017,1,10,11.6,27.8,21.2,24.5,91,6,70
2017,1,11,0,27.3,20.2,23.75,89,5,90
2017,1,12,0,27.6,20.8,24.2,87,5,90
2017,1,13,1.8,28.4,20.2,24.3,94,3,90
2017,1,14,19.2,27.4,20.2,23.8,93,5,40
2017,1,15,4,28.6,19.6,24.1,85,5,40
2017,1,16,20,27.6,20.2,23.9,92,4,40
2017,1,17,39.8,26.4,19.6,23,94,7,90
2017,1,18,0,27.2,21.7,24.45,86,6,90
2017,1,19,0,29.3,21.3,25.3,85,4,90
2017,1,20,2.4,29,22,25.5,83,4,90
2017,1,21,52.2,27,21,24,99,6,40
2017,1,22,22.2,26,21.3,23.65,97,9,40
2017,1,23,11.4,27,19.3,23.15,92,9,40
2017,1,24,25.4,25.8,19,22.4,96,7,40
2017,1,25,21,24,19,21.5,96,4,40
2017,1,26,11.2,28,18.6,23.3,92,5,40
2017,1,27,43.4,26.4,19,22.7,93,6,40
2017,1,28,1.2,27,22,24.5,87,7,90
2017,1,29,0,29,22.2,25.6,84,6,90
2017,1,30,5,28.6,19,23.8,88,5,40
2017,1,31,54.4,25.2,19.8,22.5,93,8,40
2017,2,1,47,25.3,18,21.65,97,10,40
2017,2,2,17.4,26.4,19,22.7,92,7,40
2017,2,3,0.8,28.8,18.2,23.5,77,7,40
2017,2,4,0.4,26,22,24,89,5,90
2017,2,5,17.2,28.5,22.5,25.5,88,4,40
2017,2,6,24,28.6,19.5,24.05,92,5,40
2017,2,7,0,27.2,19.8,23.5,88,6,70
2017,2,8,0,27.2,20,23.6,85,2,90
2017,2,9,43.6,28,18.4,23.2,87,3,40
2017,2,10,16,26,17,21.5,87,5,40
2017,2,11,2.4,23,18,20.5,93,6,40
2017,2,12,0.2,24,18.7,21.35,84,6,90
2017,2,13,1.2,28.2,17.5,22.85,78,6,70
2017,2,14,0.6,25.8,17,21.4,85,7,70
2017,2,15,0,25.7,19.5,22.6,88,7,90
2017,2,16,0,28.4,19,23.7,76,5,40
2017,2,17,6.8,28.6,19.4,24,90,5,40
2017,2,18,11.4,27,21,24,97,5,40
2017,2,19,5.4,26,20,23,94,5,90
2017,2,20,0,28,22,25,93,2,360
2017,2,21,0,30,23,26.5,93,4,90
2017,2,22,0,30.2,19.4,24.8,90,5,40
2017,2,23,7.6,30,20.4,25.2,93,4,40
2017,2,24,15.2,28,19.4,23.7,97,4,40
2017,2,25,1,28,22,25,90,5,40
2017,2,26,5,28,22,25,95,4,40
2017,2,27,6.6,27,21,24,91,7,40
2017,2,28,2,29,22,25.5,87,5,90
2017,3,1,1,29,19,24,87,4,90
2017,3,2,1.8,27.6,18,22.8,87,5,40
2017,3,3,1.4,27.6,18.8,23.2,84,6,40
2017,3,4,0,28,22,25,83,6,90
2017,3,5,0,29,21,25,90,4,140
2017,3,6,0,29,22,25.5,90,3,90
2017,3,7,9,29,21,25,87,5,40
2017,3,8,11.4,29.4,19.8,24.6,90,5,40
2017,3,9,0,29.2,20,24.6,85,6,90
2017,3,10,0,30.4,19.6,25,88,3,40
2017,3,11,0,30,22,26,91,2,220
2017,3,12,0,29,22,25.5,87,3,90
2017,3,13,0,30,21.3,25.65,92,2,360
2017,3,14,4.2,31.2,19,25.1,87,4,40
2017,3,15,2.2,28.2,18.2,23.2,85,4,40
2017,3,16,0,28,22,25,84,5,90
2017,3,17,0.4,30.4,20.2,25.3,87,5,90
2017,3,18,0,29,22,25.5,86,6,90
2017,3,19,0,29.5,22,25.75,85,6,90
2017,3,20,0,30,23,26.5,82,5,140
2017,3,21,4.4,28.5,23,25.75,85,5,90
2017,3,22,4.4,29,22,25.5,94,5,90
2017,3,23,0,31,23,27,92,4,90
2017,3,24,0,29,22,25.5,87,4,90
2017,3,25,2.4,30,22,26,89,3,90
2017,3,26,6.2,28,21,24.5,93,6,40
2017,3,27,0,27,20,23.5,81,7,40
2017,3,28,0,29,22,25.5,79,8,90
2017,3,29,0,30,23,26.5,85,5,90
2017,3,30,0,31.2,20.4,25.8,87,5,90
2017,3,31,0.4,31.4,20,25.7,89,3,40
2017,4,1,11.4,28.8,18,23.4,88,5,40
2017,4,2,0,27.8,16,21.9,66,6,40
2017,4,3,0,27,19,23,72,7,90
2017,4,4,0,27,20,23.5,81,7,90
2017,4,5,0,29,21,25,78,6,90
2017,4,6,0,30,21,25.5,85,5,140
2017,4,7,0,31,21.2,26.1,88,2,90
2017,4,8,0,32.4,20,26.2,90,2,90
2017,4,9,0,32.8,20,26.4,91,2,90
2017,4,10,0,33.2,21.2,27.2,89,2,90
2017,4,11,0,33.3,21,27.15,89,3,270
2017,4,12,1.6,33.4,21.5,27.45,89,3,90
2017,4,13,0,32.6,21.4,27,87,3,90
2017,4,14,0,30.3,21.6,25.95,85,5,90
2017,4,15,0,31.4,21.2,26.3,84,5,90
2017,4,16,0,32.8,22.4,27.6,86,5,90
2017,4,17,0,33.3,23.8,28.55,86,1,110
2017,4,18,0,33.4,22.7,28.05,84,1,270
2017,4,19,0,33.4,23.8,28.6,83,2,110
2017,4,20,0,33,23,28,85,1,270
2017,4,21,0,33.8,20.2,27,83,2,270
2017,4,22,0,34,22.2,28.1,86,2,90
2017,4,23,56.8,32.4,21.6,27,87,3,90
2017,4,24,0,30.9,23.8,27.35,87,3,90
2017,4,25,0,33.4,22.4,27.9,86,3,90
2017,4,26,0,33.3,23.8,28.55,87,1,270
2017,4,27,28.2,33,23.6,28.3,92,2,180
2017,4,28,8.6,29,22,25.5,95,3,40
2017,4,29,0,29,22,25.5,86,3,90
2017,4,30,0,31,23,27,89,3,90
2017,5,1,0,33,22,27.5,88,3,90
2017,5,2,0,33,22.2,27.6,87,2,140
2017,5,3,0,33,23,28,87,1,90
2017,5,4,0,33.2,23,28.1,80,2,40
2017,5,5,0,33.4,23.4,28.4,93,3,140
2017,5,6,0,33,25,29,88,4,90
2017,5,7,0,33,24.3,28.65,88,4,90
2017,5,8,0,33.8,24.5,29.15,86,3,90
2017,5,9,0,33,23.8,28.4,86,1,90
2017,5,10,0,33.3,23,28.15,84,4,90
2017,5,11,0,33,22.4,27.7,85,4,90
2017,5,12,0,34.4,21.4,27.9,82,3,140
2017,5,13,0,34,24.5,29.25,88,1,220
2017,5,14,0,34.5,25,29.75,79,2,90
2017,5,15,0,34,23.2,28.6,80,2,90
2017,5,16,21.4,33.5,23,28.25,84,3,270
2017,5,17,35,28.8,22.5,25.65,98,1,320
2017,5,18,1.4,30,23.8,26.9,97,1,360
2017,5,19,23.6,32,24,28,94,2,180
2017,5,20,53.2,32.2,21.4,26.8,92,2,270
