YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,3.4,27.8,21.7,24.75,90,5,360
2017,1,2,1.7,29.8,22.4,26.1,92,4,360
2017,1,3,4.7,29.8,23,26.4,95,5,40
2017,1,4,0.8,28.4,23,25.7,95,4,360
2017,1,5,3.2,27.6,21,24.3,96,2,360
2017,1,6,1.4,30,21,25.5,93,2,360
2017,1,7,0,30,20.6,25.3,90,2,40
2017,1,8,0,30,19.8,24.9,97,2,40
2017,1,9,2.3,30.4,20.5,25.45,92,4,40
2017,1,10,142.7,25.8,22,23.9,99,5,20
2017,1,11,3.8,27.6,22.6,25.1,91,4,40
2017,1,12,14.2,28,23,25.5,96,2,40
2017,1,13,1.5,29.8,22.6,26.2,93,2,40
2017,1,14,2.2,30,21.5,25.75,94,3,40
2017,1,15,15.4,24.5,21.5,23,97,3,40
2017,1,16,4.9,26,20.2,23.1,92,3,40
2017,1,17,12.6,25.4,21.8,23.6,96,2,360
2017,1,18,0,29,19,24,87,2,40
2017,1,19,0,29,18.8,23.9,90,2,40
2017,1,20,0,29,19,24,86,3,40
2017,1,21,0,28,19.6,23.8,88,2,40
2017,1,22,128,29.2,22.2,25.7,94,4,40
2017,1,23,202,25.5,21,23.25,99,4,360
2017,1,24,145.3,24,21.2,22.6,99,3,360
2017,1,25,81,24,20.5,22.25,97,2,360
2017,1,26,2.2,27,19,23,93,3,40
2017,1,27,28.3,25,20.8,22.9,92,3,40
2017,1,28,5.2,27.2,21,24.1,94,4,360
2017,1,29,1,30.4,22.4,26.4,88,5,40
2017,1,30,41,28,23,25.5,96,4,40
2017,1,31,38.1,27.4,22.8,25.1,98,4,360
2017,2,1,48,29,21,25,97,3,40
2017,2,2,68,24,21,22.5,96,3,40
2017,2,3,6.5,25.4,20.6,23,95,4,360
2017,2,4,1.6,28.6,20.4,24.5,89,3,40
2017,2,5,0,29,21,25,90,2,40
2017,2,6,0,28.4,20.4,24.4,85,4,40
2017,2,7,0.8,27,21,24,92,3,40
2017,2,8,0,28,19.5,23.75,87,2,40
2017,2,9,0,28.5,18,23.25,92,4,40
2017,2,10,0,26,19,22.5,87,5,40
2017,2,11,0,26.4,18.8,22.6,83,4,40
2017,2,12,0.5,25.8,18.7,22.25,91,4,40
2017,2,13,1.8,24.6,19.4,22,93,5,20
2017,2,14,3.5,25.2,19,22.1,90,4,360
2017,2,15,4,26.7,19.2,22.95,91,3,360
2017,2,16,2.7,26.8,20.2,23.5,93,2,40
2017,2,17,6.2,27.2,22,24.6,94,3,360
2017,2,18,142.7,26.4,20,23.2,99,3,360
2017,2,19,22.5,24.8,19.5,22.15,97,2,360
2017,2,20,1.5,28,21.5,24.75,91,1,40
2017,2,21,0.5,30,21,25.5,92,3,40
2017,2,22,0,29.8,19.2,24.5,93,2,40
2017,2,23,0,31.5,21,26.25,91,1,360
2017,2,24,0,28.8,22.4,25.6,92,2,40
2017,2,25,0,29,20.8,24.9,91,3,360
2017,2,26,5.1,28.5,21.3,24.9,90,3,40
2017,2,27,15.6,28,22.2,25.1,93,3,360
2017,2,28,48.7,26.8,21,23.9,97,2,40
2017,3,1,0,29.6,22.5,26.05,89,2,40
2017,3,2,0,29,22.4,25.7,90,4,20
2017,3,3,13.2,27,20,23.5,94,4,40
2017,3,4,70.8,24,19.5,21.75,97,1,40
2017,3,5,4,27.4,20.2,23.8,96,1,360
2017,3,6,0,31.2,20.6,25.9,90,1,180
2017,3,7,0,29.2,21,25.1,90,3,40
2017,3,8,27.1,29.8,21.4,25.6,87,3,40
2017,3,9,4.1,25,18.5,21.75,97,2,360
2017,3,10,0,29.5,20,24.75,89,1,40
2017,3,11,0,30.8,20.4,25.6,94,2,40
2017,3,12,0,30.9,20.8,25.85,90,2,40
2017,3,13,0,32,21,26.5,89,1,40
2017,3,14,0,31.2,23.6,27.4,87,4,40
2017,3,15,0,30,20.5,25.25,89,5,40
2017,3,16,0,28,21.6,24.8,88,2,40
2017,3,17,2.2,29.6,22,25.8,92,3,40
2017,3,18,1,30.8,21,25.9,87,1,40
2017,3,19,0,30.4,19.6,25,84,2,40
2017,3,20,0,30,20.6,25.3,85,3,40
2017,3,21,60.5,28,22,25,92,2,40
2017,3,22,16,28.2,22.8,25.5,93,1,90
2017,3,23,0,32.4,24,28.2,92,2,180
2017,3,24,0,31.6,22.4,27,90,2,40
2017,3,25,0,31.6,23.8,27.7,88,1,220
2017,3,26,3,31.2,23.2,27.2,91,4,40
2017,3,27,20,29,20.5,24.75,97,4,40
2017,3,28,2,28,21.4,24.7,93,3,40
2017,3,29,0.8,30,23,26.5,92,2,360
2017,3,30,0,30.4,21.8,26.1,89,2,40
2017,3,31,0,31,21,26,91,1,180
2017,4,1,2.4,30.5,22,26.25,92,4,40
2017,4,2,0,27.5,20,23.75,87,5,40
2017,4,3,0,25,21,23,88,3,40
2017,4,4,0,26.6,19.6,23.1,90,3,360
2017,4,5,0,29.2,20,24.6,87,2,40
2017,4,6,0,29,22,25.5,87,2,360
2017,4,7,0,31,23,27,89,1,40
2017,4,8,14,30.2,22,26.1,93,1,320
2017,4,9,5.3,29,23.6,26.3,91,1,180
2017,4,10,0,30,24.4,27.2,94,1,180
2017,4,11,0,32.2,23.8,28,89,1,180
2017,4,12,0,32.5,22,27.25,86,1,360
2017,4,13,0,32.5,21.5,27,84,1,40
2017,4,14,0,32.5,23,27.75,83,2,90
2017,4,15,9.5,31.8,24,27.9,86,3,40
2017,4,16,11.9,31,23.4,27.2,88,2,360
2017,4,17,0.7,31.6,23.5,27.55,93,1,180
2017,4,18,0,32.5,24.6,28.55,87,1,180
2017,4,19,5.2,32.5,25.2,28.85,92,1,180
2017,4,20,-1,32.5,25.5,29,85,1,180
2017,4,21,0.5,32,25.4,28.7,85,1,180
2017,4,22,0.6,32,24.8,28.4,92,1,40
2017,4,23,0,31.4,23,27.2,90,1,360
2017,4,24,1.3,32.8,24.4,28.6,85,1,220
2017,4,25,0,32.6,23,27.8,86,1,40
2017,4,26,0,33,25,29,87,1,180
2017,4,27,3.5,33.7,23.4,28.55,85,1,180
2017,4,28,3.5,33.5,24.8,29.15,90,1,140
2017,4,29,1.2,30.8,24,27.4,91,1,40
2017,4,30,0,32,24.4,28.2,88,1,40
2017,5,1,0.6,34.2,24.2,29.2,91,1,360
2017,5,2,0,33.5,24.5,29,85,1,360
2017,5,3,20.5,32.4,24.5,28.45,87,1,360
2017,5,4,14.5,33.5,24.5,29,89,1,180
2017,5,5,0.6,33.8,23.8,28.8,87,1,40
2017,5,6,0,33.6,23.7,28.65,85,1,40
2017,5,7,0.5,33.5,24,28.75,81,2,40
