YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,20.7,29,23.5,26.25,91,6,70
2017,1,2,22.5,29.4,22.8,26.1,90,5,40
2017,1,3,5.2,29.8,25,27.4,91,4,40
2017,1,4,28.4,30.2,23.6,26.9,89,3,90
2017,1,5,1,29.8,24.3,27.05,87,5,40
2017,1,6,0,29.8,25.6,27.7,84,5,40
2017,1,7,0.4,29.8,23.7,26.75,84,4,40
2017,1,8,37,29.4,23,26.2,91,5,40
2017,1,9,227,27.8,23.3,25.55,96,3,40
2017,1,10,63.8,27.4,23.8,25.6,98,3,90
2017,1,11,0.6,30.6,23,26.8,87,2,70
2017,1,12,23.3,27,23.9,25.45,91,4,40
2017,1,13,79.2,27.2,22.5,24.85,98,3,40
2017,1,14,18.6,27.4,23,25.2,94,3,20
2017,1,15,47.4,26.8,21.8,24.3,91,5,40
2017,1,16,13.6,26.5,22.7,24.6,87,6,40
2017,1,17,3,26.8,22.5,24.65,86,5,40
2017,1,18,12.2,28,23,25.5,87,5,70
2017,1,19,2.6,29.8,23.2,26.5,85,4,40
2017,1,20,64.8,28,22.8,25.4,93,5,40
2017,1,21,60.5,27.6,21.6,24.6,94,3,40
2017,1,22,4.1,29.6,22,25.8,93,2,40
2017,1,23,0,30,22.9,26.45,83,3,90
2017,1,24,2.4,29.8,20.4,25.1,78,4,70
2017,1,25,7.7,30,20.8,25.4,83,4,70
2017,1,26,0.8,30.2,23,26.6,81,5,70
2017,1,27,0.2,30.4,23.8,27.1,81,4,70
2017,1,28,5.6,30.2,22.8,26.5,84,3,40
2017,1,29,-1,27.9,22,24.95,88,2,40
2017,1,30,0.4,28,21,24.5,92,1,40
2017,1,31,1,30,21.8,25.9,91,1,70
2017,2,1,2.4,29.8,20.8,25.3,90,2,70
2017,2,2,9.7,30,23.2,26.6,88,4,70
2017,2,3,5.6,29.7,23,26.35,79,5,70
2017,2,4,0.5,29.6,22.7,26.15,84,5,20
2017,2,5,20.6,27.6,23.8,25.7,94,3,20
2017,2,6,0.8,27.7,23.2,25.45,89,4,20
2017,2,7,5.6,28.7,23.9,26.3,89,4,20
2017,2,8,-1,29.2,23.5,26.35,85,4,360
2017,2,9,-1,30.2,24.4,27.3,80,4,20
2017,2,10,0.8,29.8,23.7,26.75,73,5,40
2017,2,11,-1,29.3,22.7,26,80,6,40
2017,2,12,-1,29.1,22.7,25.9,84,6,40
2017,2,13,1.2,26.1,22.5,24.3,67,6,40
2017,2,14,1.4,27.4,23.6,25.5,78,6,40
2017,2,15,17.4,27.8,23.2,25.5,80,6,40
2017,2,16,17.5,27.7,22.6,25.15,83,4,40
2017,2,17,0.9,29.8,24,26.9,90,2,70
2017,2,18,20,28.9,22.9,25.9,90,2,40
2017,2,19,0,29.8,22.5,26.15,86,2,40
2017,2,20,1.6,29,23.2,26.1,93,1,90
2017,2,21,20,29.8,24.2,27,85,3,70
2017,2,22,7.8,29,23.8,26.4,88,3,90
2017,2,23,2.8,29.4,23.6,26.5,91,2,70
2017,2,24,4.7,29,22,25.5,94,2,40
2017,2,25,0,29.8,22,25.9,87,2,70
2017,2,26,0,30.2,24,27.1,84,4,40
2017,2,27,-1,29.7,25.2,27.45,80,4,40
2017,2,28,5.2,29.8,23.6,26.7,86,3,40
2017,3,1,7.8,30.8,24.2,27.5,85,3,40
2017,3,2,2.3,29.6,23.5,26.55,86,2,40
2017,3,3,0.6,30.5,22.6,26.55,83,2,40
2017,3,4,0,30.2,23,26.6,81,3,70
2017,3,5,0,30.4,24.4,27.4,79,4,40
2017,3,6,14.4,30,22.8,26.4,81,3,40
2017,3,7,17,27.2,24,25.6,91,4,40
2017,3,8,0.4,30.6,23.8,27.2,74,5,40
2017,3,9,0.2,29.6,23,26.3,80,4,40
2017,3,10,0.7,29.8,23.3,26.55,84,4,40
2017,3,11,43.3,26.9,23,24.95,88,3,40
