YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,30,22.7,26.35,76,3,320
2017,1,2,0,31.2,23,27.1,69,3,300
2017,1,3,0,31.2,23,27.1,71,3,300
2017,1,4,-1,30.8,24.6,27.7,69,3,310
2017,1,5,0,30.4,23,26.7,75,2,120
2017,1,6,0,31,23.8,27.4,71,3,320
2017,1,7,0,30.4,20.8,25.6,72,3,280
2017,1,8,0,30,21.9,25.95,71,3,300
2017,1,9,0,30.8,24.4,27.6,63,3,330
2017,1,10,3.1,28.4,23.2,25.8,81,3,340
2017,1,11,0.7,28.5,22.8,25.65,78,3,310
2017,1,12,-1,28.4,22.6,25.5,77,2,300
2017,1,13,0,32,22.8,27.4,72,2,40
2017,1,14,0,31.6,23.5,27.55,66,2,40
2017,1,15,5.2,30.4,23.2,26.8,79,2,310
2017,1,16,0,28.6,21.6,25.1,68,3,320
2017,1,17,0,27.9,22.2,25.05,70,4,320
2017,1,18,0,30.1,21.7,25.9,61,3,300
2017,1,19,0,30.7,22,26.35,63,3,320
2017,1,20,0,30,22,26,62,3,300
2017,1,21,0,30.4,22,26.2,63,3,70
2017,1,22,-1,29.8,22.7,26.25,67,3,20
2017,1,23,8.5,26.6,22.5,24.55,89,3,330
2017,1,24,2.9,27.5,22.4,24.95,76,3,310
2017,1,25,2.2,28,21.8,24.9,76,3,10
2017,1,26,0,29.4,21.2,25.3,68,2,90
2017,1,27,0,28.5,21,24.75,68,1,290
2017,1,28,-1,28.2,23,25.6,72,3,340
2017,1,29,0,29.7,24.2,26.95,63,3,30
2017,1,30,0.2,31.2,24.4,27.8,69,3,340
2017,1,31,0,31.7,24.8,28.25,68,2,20
2017,2,1,0.2,31.4,23.2,27.3,71,3,350
2017,2,2,2.1,29.4,23,26.2,74,3,130
2017,2,3,0,29,21,25,69,3,30
2017,2,4,0,29.8,21.8,25.8,67,2,40
2017,2,5,-1,31.2,22.8,27,69,2,330
2017,2,6,0,30.4,21.8,26.1,66,2,80
