YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,32.8,24,28.4,72,3,40
2017,1,2,0,32.5,24.7,28.6,75,1,360
2017,1,3,0.8,32.6,23.4,28,70,3,140
2017,1,4,2.6,33.2,25,29.1,74,3,140
2017,1,5,-1,32.3,23.5,27.9,73,5,40
2017,1,6,0,32.8,21.7,27.25,59,3,140
2017,1,7,0,32.5,21.7,27.1,64,2,140
2017,1,8,0,32.5,21.5,27,76,2,210
2017,1,9,0,31.8,23.5,27.65,76,2,360
2017,1,10,4.6,32.8,25,28.9,74,3,40
2017,1,11,14,29.8,24.4,27.1,83,4,40
2017,1,12,0,32,24,28,74,4,40
2017,1,13,4.8,33.4,24.4,28.9,73,2,210
2017,1,14,0,30.5,23.4,26.95,89,1,360
2017,1,15,19.8,32,24,28,82,2,210
2017,1,16,0,30.5,24.5,27.5,83,2,130
2017,1,17,0,32.8,25,28.9,67,3,40
2017,1,18,0,32.5,24.6,28.55,63,5,40
2017,1,19,0,32.4,23.2,27.8,69,4,150
2017,1,20,0,33.2,22.5,27.85,71,2,140
2017,1,21,0,33,23.2,28.1,71,2,210
2017,1,22,0,33.7,24.3,29,74,2,210
2017,1,23,0,32.4,25.2,28.8,66,5,40
2017,1,24,0,32.4,24.6,28.5,65,5,40
2017,1,25,0,32.3,25.1,28.7,66,4,40
2017,1,26,0,32.5,25.1,28.8,64,4,140
2017,1,27,0,31.8,22.5,27.15,64,3,40
2017,1,28,0,33,23.8,28.4,71,2,140
2017,1,29,0,27.2,24,25.6,91,2,40
2017,1,30,0,31.7,24.5,28.1,76,1,360
2017,1,31,0,34.3,24.3,29.3,67,2,160
2017,2,1,3.6,32.7,24.1,28.4,76,2,140
2017,2,2,0,33,24,28.5,70,3,140
2017,2,3,0,32.8,23.5,28.15,63,4,40
2017,2,4,0,32.6,22,27.3,-999,2,210
2017,2,5,9.4,33.4,21.6,27.5,73,2,180
2017,2,6,0,32.6,24.4,28.5,77,2,210
2017,2,7,0,33.6,22.5,28.05,71,2,180
2017,2,8,0,32.4,22.2,27.3,79,0,0
2017,2,9,0,32.5,22.6,27.55,71,2,320
2017,2,10,0,32.3,22,27.15,74,1,40
2017,2,11,0,31.8,24.5,28.15,66,4,40
2017,2,12,0,31.5,24.5,28,69,4,40
2017,2,13,0,31.7,23.7,27.7,63,5,40
2017,2,14,0,31.8,21.6,26.7,45,5,40
2017,2,15,0,32,21,26.5,53,4,140
2017,2,16,0,31.5,21.5,26.5,69,2,180
2017,2,17,0,34,23.3,28.65,66,2,140
2017,2,18,0,34,24.6,29.3,72,2,140
2017,2,19,0,33.5,24.1,28.8,74,6,140
2017,2,20,0,32.5,24.8,28.65,65,4,140
2017,2,21,0,32,25.2,28.6,75,4,140
2017,2,22,0,33.7,24.5,29.1,67,4,140
2017,2,23,0,35,24.6,29.8,63,3,140
2017,2,24,0,32.8,24,28.4,72,2,140
2017,2,25,0,32.5,25.2,28.85,73,3,150
2017,2,26,0,34.8,25,29.9,60,2,90
2017,2,27,0,33.6,22.5,28.05,58,2,130
2017,2,28,-1,34.3,23.3,28.8,45,2,140
2017,3,1,-1,33.5,24.3,28.9,74,3,140
2017,3,2,0.6,33.5,22.3,27.9,77,2,340
2017,3,3,0,33.4,24.4,28.9,72,2,140
2017,3,4,0,32.3,25.1,28.7,64,3,150
2017,3,5,0,31.6,22,26.8,63,4,140
2017,3,6,0,33.6,21,27.3,69,2,210
2017,3,7,0,33.8,22.6,28.2,66,2,210
2017,3,8,0,33.7,24,28.85,51,2,160
2017,3,9,0,32,24.6,28.3,69,3,140
2017,3,10,0,33.6,23.5,28.55,43,3,140
