YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,1.6,31.5,22.4,26.95,83,2,120
2017,1,2,2.4,33,22.2,27.6,80,2,150
2017,1,3,2.1,33.4,22.9,28.15,79,1,190
2017,1,4,-1,33.7,23.3,28.5,79,1,150
2017,1,5,-1,30.7,22.4,26.55,78,1,180
2017,1,6,4.8,30.8,22,26.4,86,2,180
2017,1,7,1.7,28.6,22.2,25.4,85,1,190
2017,1,8,0,31.4,22,26.7,81,2,270
2017,1,9,-1,33.2,22.2,27.7,74,2,300
2017,1,10,18.3,33.6,22.9,28.25,78,2,240
2017,1,11,0,33.7,22.8,28.25,75,2,270
2017,1,12,0,34.6,23,28.8,71,2,90
2017,1,13,0,34.1,23.4,28.75,74,2,270
2017,1,14,0,34.4,23.1,28.75,73,2,270
2017,1,15,-1,33.1,23.9,28.5,75,2,270
2017,1,16,1.9,31.7,23.9,27.8,84,2,150
2017,1,17,-1,34.3,23,28.65,74,2,150
2017,1,18,9.7,33.5,22.8,28.15,78,2,150
2017,1,19,-1,34,22.7,28.35,80,1,150
2017,1,20,7.6,33.4,22.9,28.15,76,2,150
2017,1,21,27.3,33,22.2,27.6,79,2,140
2017,1,22,12.6,34,22.6,28.3,77,2,120
2017,1,23,-1,29.6,23.8,26.7,73,3,150
2017,1,24,-1,29.9,23,26.45,73,3,150
2017,1,25,-1,32.7,22.5,27.6,72,2,150
2017,1,26,0,34.2,22,28.1,72,2,150
2017,1,27,-1,32,22.2,27.1,77,2,150
2017,1,28,26.8,28.4,22,25.2,85,2,240
2017,1,29,1.5,33,22.4,27.7,79,2,240
2017,1,30,0.2,32.8,21.8,27.3,81,1,240
2017,1,31,-1,34.8,23.2,29,74,1,30
2017,2,1,2.6,33.7,21.6,27.65,79,2,270
2017,2,2,-1,33.4,23.1,28.25,71,2,60
2017,2,3,0,33,23.3,28.15,75,2,90
2017,2,4,0,31.5,23,27.25,80,2,90
2017,2,5,0,32.8,23,27.9,77,1,330
2017,2,6,0,33.4,23.1,28.25,77,2,270
2017,2,7,0,34.8,23.7,29.25,77,2,240
2017,2,8,0,34.3,24.5,29.4,70,2,270
2017,2,9,0,33.3,23.6,28.45,70,2,300
2017,2,10,0,31.5,23.6,27.55,77,2,150
2017,2,11,0,32.7,23.5,28.1,77,2,150
2017,2,12,0,34.2,22.5,28.35,63,3,120
2017,2,13,0,34,22.4,28.2,62,3,150
2017,2,14,0,32.5,22.6,27.55,66,2,270
2017,2,15,10.7,31.7,22,26.85,81,1,120
2017,2,16,0.4,30.3,22.5,26.4,81,2,150
2017,2,17,0,31.6,22.2,26.9,74,2,120
2017,2,18,50.2,33.4,20.8,27.1,75,2,150
2017,2,19,34.7,35.1,22,28.55,81,1,180
2017,2,20,0,34.4,23.6,29,76,2,150
2017,2,21,0,34.2,24.7,29.45,68,3,120
2017,2,22,0,34.4,22.8,28.6,70,3,180
2017,2,23,5.3,33.1,22.5,27.8,77,2,120
2017,2,24,-1,31.7,23.4,27.55,76,2,140
