YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,-1,32.4,22,27.2,88,2,180
2017,1,2,0,31.2,22.8,27,87,2,360
2017,1,3,0,29.5,22,25.75,81,2,160
2017,1,4,0,29.8,23.2,26.5,85,1,340
2017,1,5,0,31.7,22.5,27.1,77,1,360
2017,1,6,0,32.3,22.5,27.4,68,2,180
2017,1,7,0,32.5,22,27.25,68,1,180
2017,1,8,0,29.5,21.8,25.65,83,1,340
2017,1,9,0,31,22,26.5,85,1,340
2017,1,10,-1,31,22,26.5,86,2,180
2017,1,11,-1,30,23,26.5,96,2,180
2017,1,12,0,32.5,23.5,28,74,2,180
2017,1,13,0,32,22,27,78,2,360
2017,1,14,0,33,23.5,28.25,77,2,90
2017,1,15,0,31.8,24,27.9,86,1,180
2017,1,16,0,31.4,21.7,26.55,83,2,180
2017,1,17,0,32,21.5,26.75,69,2,180
2017,1,18,0,31.5,20.5,26,68,3,180
2017,1,19,0,32.4,22,27.2,69,2,160
2017,1,20,0,29.5,21.5,25.5,70,1,180
2017,1,21,0,32,21,26.5,69,2,180
2017,1,22,0,31.3,22.2,26.75,84,1,180
2017,1,23,0,29.5,22,25.75,80,1,180
2017,1,24,0,31.3,22,26.65,72,1,180
2017,1,25,2.7,30.5,22,26.25,77,2,180
2017,1,26,-1,28.5,21.5,25,76,1,180
2017,1,27,0,30.5,21,25.75,71,2,180
2017,1,28,0,29.5,21,25.25,74,2,180
2017,1,29,0,30,22.2,26.1,82,2,340
2017,1,30,1.2,29.4,23.2,26.3,88,1,360
2017,1,31,0,29.5,22.6,26.05,79,2,360
2017,2,1,2,33,23,28,83,1,180
2017,2,2,1.2,29.2,23.6,26.4,88,2,260
2017,2,3,0,30,23,26.5,72,3,200
2017,2,4,0,30.5,22,26.25,75,2,180
2017,2,5,-1,29.8,22,25.9,83,2,180
2017,2,6,-1,29.8,23.3,26.55,85,2,180
2017,2,7,0,30,22,26,75,2,180
2017,2,8,0,30.5,22.8,26.65,73,1,180
2017,2,9,0,29,21.8,25.4,81,3,360
2017,2,10,0,29.5,21.5,25.5,71,2,360
2017,2,11,0,32,20,26,61,3,180
2017,2,12,0,29.6,20.9,25.25,73,2,180
2017,2,13,0,29.3,20.6,24.95,83,3,360
2017,2,14,0,30,18,24,63,2,180
2017,2,15,0,28.5,18.5,23.5,72,2,180
2017,2,16,0,30.5,20,25.25,74,2,180
2017,2,17,0,30.5,20.5,25.5,77,2,360
2017,2,18,0,32,23.5,27.75,79,1,180
2017,2,19,0,30.9,23.3,27.1,81,2,180
2017,2,20,0,33.4,23.4,28.4,82,2,180
2017,2,21,0,34.5,23,28.75,72,2,180
2017,2,22,0,33.5,23,28.25,68,2,180
2017,2,23,0,31.5,23.5,27.5,78,2,360
2017,2,24,0,34,23,28.5,72,2,180
2017,2,25,0,34.2,23,28.6,74,2,360
2017,2,26,0,34.5,24,29.25,80,3,360
2017,2,27,0,32.6,23.3,27.95,86,2,360
2017,2,28,0,33.3,23.5,28.4,73,2,180
2017,3,1,2.7,31.5,23.5,27.5,79,3,360
2017,3,2,0,32,23.5,27.75,83,2,360
2017,3,3,0,31.5,22.5,27,79,2,180
2017,3,4,0,31,24,27.5,78,2,180
