YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,7.4,27.7,24.2,25.95,92,1,20
2017,1,2,86.2,29.7,23.9,26.8,86,2,20
2017,1,3,0,31.6,25,28.3,82,2,20
2017,1,4,11.6,29.7,24,26.85,81,2,360
2017,1,5,4.4,26.8,24.1,25.45,91,2,360
2017,1,6,21.4,26.8,23,24.9,91,2,360
2017,1,7,2,26.6,23.1,24.85,91,2,360
2017,1,8,0.6,30.7,24,27.35,83,1,180
2017,1,9,-1,32,25,28.5,81,1,20
2017,1,10,0,32.5,25.6,29.05,79,2,200
2017,1,11,0,32.8,25.4,29.1,78,2,20
2017,1,12,-1,32.1,24,28.05,79,2,20
2017,1,13,0,32.4,25,28.7,80,1,200
2017,1,14,0,33.1,24.6,28.85,79,2,200
2017,1,15,0.3,33.3,26.6,29.95,77,2,200
2017,1,16,4.4,33.6,24.2,28.9,78,2,360
2017,1,17,4.2,32,25.1,28.55,81,2,360
2017,1,18,19.2,31.8,24.8,28.3,84,2,360
2017,1,19,7.4,29.6,23.7,26.65,90,2,360
2017,1,20,0,31,24.8,27.9,82,2,20
2017,1,21,16.4,31,24.5,27.75,87,1,20
2017,1,22,5.2,32.2,24.4,28.3,83,2,20
2017,1,23,12.6,27.2,23.6,25.4,86,2,20
2017,1,24,11.4,27.7,24.2,25.95,88,3,360
2017,1,25,-1,31,24.4,27.7,76,3,360
2017,1,26,-1,31.1,24.2,27.65,75,3,360
2017,1,27,3.6,27.9,24.3,26.1,86,2,20
2017,1,28,1.1,28.7,24.6,26.65,85,2,20
2017,1,29,0.8,31.6,25.6,28.6,83,2,200
2017,1,30,19.2,31.5,23.4,27.45,84,2,200
2017,1,31,2.8,32.3,24.8,28.55,83,2,360
2017,2,1,10.6,32.2,23.9,28.05,84,2,360
2017,2,2,0,31.2,24,27.6,77,2,20
2017,2,3,2,29.6,24.4,27,86,2,360
2017,2,4,0,28.4,23,25.7,82,2,20
2017,2,5,17.6,33.1,25,29.05,79,2,70
2017,2,6,-1,34,25.5,29.75,76,2,40
2017,2,7,0,32.7,25.4,29.05,73,3,20
2017,2,8,7.2,33.8,25.3,29.55,75,2,70
2017,2,9,-1,32.2,24.8,28.5,76,2,40
2017,2,10,0,31.1,24.2,27.65,73,2,360
2017,2,11,0,31.8,23.5,27.65,76,3,20
2017,2,12,0,29.2,22,25.6,71,4,360
2017,2,13,0,30.3,22.2,26.25,75,4,360
2017,2,14,0.2,30,23.7,26.85,74,3,20
2017,2,15,132.2,26.1,23.4,24.75,90,2,20
2017,2,16,2,26,22.2,24.1,86,3,360
2017,2,17,-1,29.3,23,26.15,84,2,360
2017,2,18,4,32.4,24.7,28.55,83,2,70
2017,2,19,0,31.5,24.2,27.85,82,2,40
2017,2,20,1.6,31.1,23.4,27.25,80,2,360
2017,2,21,0,32.2,24,28.1,76,3,20
2017,2,22,-1,32.3,25,28.65,76,2,360
2017,2,23,35.4,30.6,24,27.3,85,2,40
2017,2,24,0.2,31.1,23.8,27.45,81,2,360
2017,2,25,-1,30.3,24,27.15,79,3,360
2017,2,26,3.2,30,24.9,27.45,82,2,360
2017,2,27,15.4,30.5,24.2,27.35,86,2,360
2017,2,28,0,32.7,24.6,28.65,70,3,20
2017,3,1,-1,33.6,25,29.3,74,2,360
2017,3,2,6.4,30.6,23.9,27.25,84,2,20
2017,3,3,-1,26.8,23.7,25.25,84,2,360
2017,3,4,0,32,24.6,28.3,73,2,20
2017,3,5,3.6,29.4,25,27.2,84,2,40
2017,3,6,10.8,26.7,24.2,25.45,90,3,20
2017,3,7,21.8,30.7,24.2,27.45,83,2,20
2017,3,8,4.6,30.2,25,27.6,82,3,360
2017,3,9,6.8,28,23.4,25.7,90,2,20
2017,3,10,6.2,31.8,24.4,28.1,80,2,20
2017,3,11,28.4,32,24,28,82,2,180
2017,3,12,13.2,32.6,24.1,28.35,82,2,180
2017,3,13,26.4,32,24.2,28.1,82,2,140
2017,3,14,20,32.6,23.4,28,82,2,360
2017,3,15,2.8,32.4,24.4,28.4,79,2,340
2017,3,16,0,31.8,23.6,27.7,80,2,340
2017,3,17,0.2,31.7,24,27.85,75,3,360
2017,3,18,0,32,24.6,28.3,74,3,360
2017,3,19,-1,32.7,25,28.85,74,3,360
2017,3,20,0,33.2,24.2,28.7,73,3,20
2017,3,21,0,33.3,25.3,29.3,72,3,180
2017,3,22,0,34,24,29,72,3,360
2017,3,23,0,34,23.2,28.6,71,2,360
2017,3,24,0,34,25,29.5,71,2,40
2017,3,25,0,33.6,25.1,29.35,69,3,70
2017,3,26,2.4,33.7,25.6,29.65,77,2,360
2017,3,27,1.2,32.8,25,28.9,74,3,360
2017,3,28,9.2,29.5,24.7,27.1,87,2,360
2017,3,29,0,33.8,25.8,29.8,74,3,360
2017,3,30,0.2,33,25.3,29.15,75,2,360
2017,3,31,6,31.6,25,28.3,83,1,40
2017,4,1,0.2,31.3,24.3,27.8,80,2,70
2017,4,2,0,31.6,24.1,27.85,77,2,360
2017,4,3,0.4,31.9,24.7,28.3,81,2,40
2017,4,4,0,32,25,28.5,79,2,20
2017,4,5,16.2,30.6,24.6,27.6,83,2,20
2017,4,6,-1,32.3,25.3,28.8,78,1,40
2017,4,7,13.6,33.2,25.1,29.15,77,1,70
2017,4,8,0,33.2,24,28.6,75,2,70
2017,4,9,0,33.8,24.6,29.2,72,2,20
2017,4,10,1,34.3,24.6,29.45,74,2,40
2017,4,11,0,34.7,25.3,30,73,2,40
2017,4,12,0,33.8,25.7,29.75,73,2,360
2017,4,13,18,33,25,29,80,2,360
2017,4,14,0,32,26.3,29.15,78,2,360
2017,4,15,0,32.6,26,29.3,78,2,180
2017,4,16,0,32.9,25.4,29.15,78,2,360
2017,4,17,0,34.4,24.4,29.4,76,2,70
2017,4,18,-1,34.5,26.3,30.4,71,2,180
2017,4,19,0.2,34.1,26.8,30.45,72,2,180
2017,4,20,-1,34.1,25.2,29.65,73,2,200
2017,4,21,-1,32.9,26.1,29.5,75,1,200
2017,4,22,70.4,32.2,24,28.1,79,2,180
2017,4,23,-1,33.3,24.6,28.95,80,1,40
2017,4,24,0,34.4,25.6,30,74,2,70
2017,4,25,1,34.7,25.8,30.25,72,2,70
2017,4,26,9,33.3,26.3,29.8,75,2,180
2017,4,27,57.2,32,25.2,28.6,78,2,200
2017,4,28,3.8,33,25.3,29.15,81,1,360
2017,4,29,1.2,32.7,26,29.35,80,1,200
2017,4,30,-1,32,26.2,29.1,79,1,200
2017,5,1,14.8,33.2,26,29.6,79,2,180
2017,5,2,8,34,25.2,29.6,80,2,40
2017,5,3,51.8,32.5,24.4,28.45,82,2,70
2017,5,4,0,33.1,25.4,29.25,79,2,40
