YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,13.8,29.5,23.4,26.45,89,2,90
2017,1,2,-1,30.9,23.3,27.1,83,2,20
2017,1,3,3.6,31.2,23.5,27.35,85,2,20
2017,1,4,-1,30.4,23.3,26.85,86,2,90
2017,1,5,0,30.9,23.2,27.05,87,3,20
2017,1,6,3.3,29.8,23.3,26.55,91,2,90
2017,1,7,1.6,29.5,23.3,26.4,90,2,90
2017,1,8,2.6,29.8,23,26.4,90,1,90
2017,1,9,2.7,29.8,23.2,26.5,91,2,220
2017,1,10,70.2,29.4,23.3,26.35,93,2,40
2017,1,11,7.8,30.6,23.5,27.05,86,2,40
2017,1,12,0,30.9,23.4,27.15,89,2,90
2017,1,13,0,30.4,23.5,26.95,89,2,20
2017,1,14,0,33,23.5,28.25,84,2,270
2017,1,15,4.6,32.5,23.3,27.9,84,1,90
2017,1,16,209.7,27.9,22.7,25.3,94,2,20
2017,1,17,9.6,26.5,23,24.75,94,2,20
2017,1,18,12.6,28,23,25.5,94,2,20
2017,1,19,16.3,27.1,22.9,25,94,2,20
2017,1,20,1,29.9,23.5,26.7,88,2,20
2017,1,21,0.2,32.2,23.3,27.75,85,2,90
2017,1,22,0.5,32,23.4,27.7,84,2,90
2017,1,23,13.6,29.9,23.3,26.6,86,2,40
2017,1,24,0.2,29.6,23.3,26.45,89,3,40
2017,1,25,0.8,30.2,23.3,26.75,85,3,40
2017,1,26,0,30,23.2,26.6,86,3,90
2017,1,27,0,30.4,23.3,26.85,87,3,90
2017,1,28,18.5,29.5,23,26.25,91,2,90
2017,1,29,20,28.9,23.4,26.15,89,1,90
2017,1,30,9.3,29.3,23.2,26.25,91,2,90
2017,1,31,37.5,30.2,23.4,26.8,88,2,360
2017,2,1,11.5,30.9,23.6,27.25,86,2,40
2017,2,2,1.4,31.7,23.7,27.7,84,2,40
2017,2,3,3.2,30.3,23.7,27,88,2,40
2017,2,4,0,30,23.7,26.85,83,2,90
2017,2,5,0,31,23.5,27.25,83,2,360
2017,2,6,0,31,24,27.5,86,2,270
2017,2,7,0,31.7,23.6,27.65,82,2,40
2017,2,8,0,32.2,23.2,27.7,85,2,40
2017,2,9,2.2,32,23.3,27.65,82,2,20
2017,2,10,0,31.3,23.9,27.6,85,2,20
2017,2,11,0.2,31.2,23.8,27.5,79,2,90
2017,2,12,-1,29,23,26,83,2,40
2017,2,13,0,29.5,23.3,26.4,89,3,20
2017,2,14,2,28.9,23,25.95,89,3,20
