YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,7.7,29.6,24.7,27.15,89,3,320
2017,1,2,0,29.6,26,27.8,85,3,320
2017,1,3,0.8,31.1,24.2,27.65,77,3,40
2017,1,4,0,31.1,25.4,28.25,85,3,40
2017,1,5,4.8,30.1,25,27.55,67,4,40
2017,1,6,4.2,29,24.5,26.75,81,3,320
2017,1,7,-1,28,25.1,26.55,87,3,320
2017,1,8,6.8,26.6,23.8,25.2,91,4,320
2017,1,9,14.7,27.2,24.8,26,96,1,320
2017,1,10,35.8,30,25,27.5,84,4,40
2017,1,11,0,29,24.8,26.9,90,4,40
2017,1,12,15.4,29.1,24.3,26.7,92,3,320
2017,1,13,0.1,29.1,24.5,26.8,88,4,340
2017,1,14,20.5,29.2,24.6,26.9,92,3,320
2017,1,15,9.6,29.1,25.3,27.2,86,4,320
2017,1,16,81.8,25.6,24,24.8,97,3,320
2017,1,17,20.9,27.3,24.1,25.7,88,3,40
2017,1,18,26.4,26.4,24,25.2,95,3,90
2017,1,19,2.4,27,25,26,93,3,360
2017,1,20,0,28.8,25.4,27.1,91,4,360
2017,1,21,7.8,28.8,24.4,26.6,93,2,320
2017,1,22,0.1,30.1,25.5,27.8,86,4,40
2017,1,23,4.6,29,24,26.5,84,3,40
2017,1,24,6.8,29.4,25,27.2,82,5,40
2017,1,25,7.8,30,23.6,26.8,83,5,40
2017,1,26,0,29.1,22.9,26,84,4,40
2017,1,27,0,30,24,27,85,3,360
2017,1,28,4.8,27,24,25.5,92,3,290
2017,1,29,1.4,28.8,25.4,27.1,91,3,320
2017,1,30,6.7,29,24.3,26.65,97,1,40
2017,1,31,0.3,29.5,25,27.25,91,2,40
2017,2,1,-1,29.9,24.6,27.25,89,3,40
2017,2,2,-1,29.8,26,27.9,84,3,320
2017,2,3,10.6,28.1,24.1,26.1,94,3,320
2017,2,4,0,28,25,26.5,91,4,320
2017,2,5,0,30.4,23.2,26.8,81,3,320
2017,2,6,4,30.4,25,27.7,84,3,360
2017,2,7,0,29.6,25.9,27.75,79,4,360
2017,2,8,0,30,25,27.5,82,5,360
2017,2,9,-1,28.9,25.6,27.25,84,4,360
2017,2,10,2,27.5,23,25.25,92,2,360
2017,2,11,0.3,29.2,23.8,26.5,86,4,360
2017,2,12,-1,28,23.9,25.95,78,4,320
2017,2,13,0,28,23,25.5,65,4,360
2017,2,14,0.2,27.7,24.4,26.05,74,6,40
2017,2,15,0.6,28.9,23.8,26.35,85,4,40
2017,2,16,5.8,25.2,23.7,24.45,93,3,320
2017,2,17,1.5,29.3,24.2,26.75,88,3,40
2017,2,18,0,29.4,25,27.2,96,3,40
2017,2,19,0,29.6,25,27.3,86,4,40
2017,2,20,-1,28.2,24.8,26.5,87,3,40
2017,2,21,0,29.4,24.7,27.05,79,3,40
2017,2,22,3.2,29.5,25.2,27.35,89,3,340
2017,2,23,4,28.1,25,26.55,93,4,340
2017,2,24,0.1,29.7,23,26.35,89,3,360
2017,2,25,0,29.4,24,26.7,83,3,20
2017,2,26,5.7,29.7,23.9,26.8,84,3,320
2017,2,27,0.4,27.9,25,26.45,90,3,360
2017,2,28,0,29.3,25.3,27.3,86,4,360
2017,3,1,0,30.1,24.8,27.45,87,3,320
2017,3,2,0,30.6,25.4,28,84,4,40
2017,3,3,0,29.7,24.2,26.95,84,3,360
2017,3,4,0,29.8,23,26.4,81,2,40
2017,3,5,-1,29.2,25,27.1,86,3,320
2017,3,6,0,28.2,24.9,26.55,85,6,340
2017,3,7,19.5,27.8,24.4,26.1,92,3,360
2017,3,8,27.2,27.2,22.8,25,94,4,340
2017,3,9,8.1,25.7,23.3,24.5,92,2,340
2017,3,10,1.8,28.8,24.5,26.65,91,3,320
2017,3,11,5.6,29.3,25,27.15,89,4,320
2017,3,12,3,29.6,25.1,27.35,90,3,320
2017,3,13,0.4,29.8,23,26.4,90,2,40
2017,3,14,0,31.8,24,27.9,87,2,140
2017,3,15,4.7,31,24.6,27.8,88,1,40
2017,3,16,3,29,23.8,26.4,92,2,40
2017,3,17,0,30.2,25.4,27.8,79,4,360
2017,3,18,0,28.4,22.5,25.45,84,3,360
2017,3,19,0,29.3,24.8,27.05,83,3,360
2017,3,20,-1,28.5,23.4,25.95,84,5,320
2017,3,21,0,29.8,24.9,27.35,85,2,90
2017,3,22,0,31,25.2,28.1,85,2,70
2017,3,23,0,31.7,24,27.85,77,2,90
2017,3,24,0,31.5,25,28.25,82,2,40
2017,3,25,0,31.4,23.6,27.5,80,2,70
2017,3,26,-1,31,26.3,28.65,83,3,40
2017,3,27,1.6,30,25.1,27.55,84,3,40
2017,3,28,12,29.2,24.5,26.85,87,3,40
2017,3,29,2.2,30,25.8,27.9,87,4,40
2017,3,30,0.6,29,24.8,26.9,92,5,40
2017,3,31,1.3,29.5,24.8,27.15,93,3,320
2017,4,1,11.4,29.8,24.5,27.15,85,3,340
2017,4,2,2.4,30,25.2,27.6,87,2,20
2017,4,3,9.6,30,24.3,27.15,89,3,40
2017,4,4,14.4,26.1,24.3,25.2,95,3,40
2017,4,5,24,28.5,24.4,26.45,95,3,320
2017,4,6,0.4,28,25,26.5,92,2,20
2017,4,7,-1,30.2,25.9,28.05,84,3,360
2017,4,8,0,31.8,26,28.9,82,2,40
2017,4,9,0,31.6,24.7,28.15,82,1,20
2017,4,10,0,30.3,22,26.15,83,2,90
2017,4,11,0,30.7,26,28.35,82,3,40
2017,4,12,0,30.7,26.3,28.5,81,3,40
2017,4,13,0,31.3,26.1,28.7,80,4,340
2017,4,14,7.2,31.2,25.3,28.25,81,4,320
2017,4,15,0,31.9,26.5,29.2,85,3,340
2017,4,16,0,29.8,25.5,27.65,91,3,70
2017,4,17,0,31.2,25.4,28.3,87,2,360
2017,4,18,0,31.1,24.3,27.7,84,2,90
2017,4,19,0,31.5,25,28.25,88,3,90
2017,4,20,0,31.9,24.3,28.1,84,3,40
2017,4,21,0,31.4,25.5,28.45,86,3,70
2017,4,22,0,32.5,24.8,28.65,80,2,90
2017,4,23,0,33.1,25.5,29.3,77,2,40
2017,4,24,4.4,31.7,25.2,28.45,81,4,70
2017,4,25,0,31.7,24.2,27.95,80,2,90
2017,4,26,0,32.3,25.6,28.95,77,2,40
2017,4,27,-1,32,26,29,82,2,360
2017,4,28,3.4,32.1,25.2,28.65,81,3,20
2017,4,29,0,32.6,25.7,29.15,82,2,90
2017,4,30,0,32.8,25.5,29.15,79,2,90
2017,5,1,0,32.8,25,28.9,83,3,70
2017,5,2,0,32.4,25.4,28.9,80,2,90
2017,5,3,27.4,32.3,24,28.15,83,5,360
2017,5,4,0,31.9,26,28.95,85,1,40
2017,5,5,5.8,32.3,26.2,29.25,85,2,40
