YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,30,22.8,26.4,85,2,140
2017,1,2,0,30,23,26.5,86,2,330
2017,1,3,0.6,30.4,24,27.2,84,2,40
2017,1,4,0,31.3,23.3,27.3,87,1,330
2017,1,5,2,30.7,23.7,27.2,88,2,310
2017,1,6,16.8,28.4,23,25.7,94,2,270
2017,1,7,19.8,26.9,22.2,24.55,94,1,220
2017,1,8,23.2,26.5,22.2,24.35,96,1,210
2017,1,9,1.4,30,24.2,27.1,91,1,90
2017,1,10,0,30.2,24,27.1,87,2,320
2017,1,11,2.5,31,23,27,88,1,320
2017,1,12,0.2,29.9,24,26.95,86,2,330
2017,1,13,0,30.1,23.1,26.6,83,1,180
2017,1,14,-1,31.9,24,27.95,84,1,120
2017,1,15,1.1,30.8,24,27.4,85,2,320
2017,1,16,72.4,29.4,22.9,26.15,92,2,320
2017,1,17,0.6,30,24,27,89,1,320
2017,1,18,33.8,29.2,22.5,25.85,89,2,140
2017,1,19,11.8,27.2,23.2,25.2,93,1,180
2017,1,20,0,30.1,23.5,26.8,89,1,180
2017,1,21,4,30.5,24,27.25,93,2,150
2017,1,22,0.4,31.3,23.7,27.5,86,1,320
2017,1,23,0.6,31,24,27.5,81,1,320
2017,1,24,-1,30.2,23,26.6,86,2,360
2017,1,25,0,31.4,23.9,27.65,81,1,350
2017,1,26,0,30.9,21.4,26.15,78,2,330
2017,1,27,14.2,29.4,22.8,26.1,80,2,330
2017,1,28,74.5,25.2,22.1,23.65,93,4,300
2017,1,29,0,29.2,23.3,26.25,88,2,300
2017,1,30,29.5,30.6,23,26.8,88,1,120
2017,1,31,0,29.4,23.5,26.45,88,2,330
2017,2,1,7,30,23,26.5,89,1,180
2017,2,2,-1,29.8,23.3,26.55,84,2,340
2017,2,3,0.2,29.8,24,26.9,84,3,300
2017,2,4,3,28.6,22,25.3,82,2,300
2017,2,5,3.2,29.4,22.5,25.95,88,2,150
2017,2,6,0,29.7,25.2,27.45,85,2,320
2017,2,7,0,29.3,22.5,25.9,88,1,330
2017,2,8,-1,29.6,23,26.3,88,1,140
2017,2,9,1,30.4,24,27.2,80,2,320
2017,2,10,0,29.8,23.5,26.65,77,2,350
2017,2,11,0,30.2,24,27.1,79,2,330
2017,2,12,0,30,21.4,25.7,76,3,360
2017,2,13,0,30.4,23.4,26.9,78,3,360
2017,2,14,-1,28.2,23,25.6,82,4,340
2017,2,15,21.6,27.5,23,25.25,90,3,360
