YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,12.3,30,23.9,26.95,95,9,30
2017,1,2,5.6,30.4,24,27.2,92,8,40
2017,1,3,0.1,30.4,23,26.7,90,8,30
2017,1,4,21,31.3,23.6,27.45,94,7,30
2017,1,5,0,30.2,23.9,27.05,86,9,30
2017,1,6,0,29.8,25,27.4,86,10,20
2017,1,7,25.6,29.5,23,26.25,87,8,30
2017,1,8,133.1,28.8,22.6,25.7,97,12,30
2017,1,9,20,28,22,25,98,8,90
2017,1,10,8.1,28.5,22,25.25,94,10,40
2017,1,11,15.3,30.3,21.5,25.9,94,7,30
2017,1,12,16.5,27.6,23,25.3,95,7,30
2017,1,13,3,27,23,25,95,3,280
2017,1,14,5.4,31.5,23,27.25,92,4,280
2017,1,15,23.1,29,23,26,95,5,50
2017,1,16,43.7,27.5,23,25.25,96,13,30
2017,1,17,4.3,29.5,23,26.25,94,12,30
2017,1,18,4.6,30,21.1,25.55,88,11,40
2017,1,19,11.1,31,23.2,27.1,93,7,40
2017,1,20,0.2,30.2,24,27.1,93,6,40
2017,1,21,10.6,30.2,23,26.6,92,6,40
2017,1,22,4.8,31,22.2,26.6,91,8,60
2017,1,23,0.2,31.5,22.5,27,83,12,80
2017,1,24,0.2,31,20,25.5,82,12,40
2017,1,25,0,31.5,24.6,28.05,83,11,40
2017,1,26,0,30,24.7,27.35,81,9,40
2017,1,27,0.2,30.5,23,26.75,85,10,40
2017,1,28,11.8,29,22,25.5,91,11,40
2017,1,29,7,30.4,24,27.2,91,4,40
2017,1,30,1.8,31,24,27.5,93,4,30
2017,1,31,20.8,30,23,26.5,90,5,80
2017,2,1,1.4,30,23,26.5,87,8,60
2017,2,2,0.1,30,24.2,27.1,88,9,40
2017,2,3,3.7,29.5,22,25.75,94,11,30
2017,2,4,13,29.5,22,25.75,89,8,20
2017,2,5,13,29.2,22.9,26.05,95,4,300
2017,2,6,17.8,28.3,23,25.65,90,3,300
2017,2,7,8,29.5,22,25.75,91,4,280
2017,2,8,3.9,29.8,23,26.4,91,4,300
2017,2,9,0,30.1,22.6,26.35,84,7,20
2017,2,10,0.5,28.6,23.5,26.05,82,8,40
2017,2,11,0.8,28.4,21,24.7,75,12,30
2017,2,12,0,29,20,24.5,66,12,40
