YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,38.4,29,24.4,26.7,88,3,350
2017,1,2,14.6,29.8,24.2,27,84,3,360
2017,1,3,32.6,29.6,24.1,26.85,86,2,20
2017,1,4,40.6,30.2,24.4,27.3,86,2,20
2017,1,5,135.7,31.7,23.9,27.8,94,2,230
2017,1,6,147.9,27.6,22.5,25.05,93,3,290
2017,1,7,52.7,25.5,23,24.25,93,3,280
2017,1,8,1,27.7,23.4,25.55,87,3,270
2017,1,9,19.4,29.8,24.4,27.1,88,2,90
2017,1,10,3.2,30.8,24.8,27.8,88,3,100
2017,1,11,3,28.2,23.9,26.05,91,1,40
2017,1,12,19,29.6,23.6,26.6,91,1,300
2017,1,13,0,32.6,24.2,28.4,80,2,270
2017,1,14,0,31.3,24.6,27.95,87,2,270
2017,1,15,-1,32.3,24.9,28.6,80,2,270
2017,1,16,39,30.5,23.5,27,89,2,70
2017,1,17,58.4,28.6,24.9,26.75,92,3,360
2017,1,18,23.2,28.9,24.8,26.85,88,4,70
2017,1,19,43.5,28.4,22,25.2,94,2,260
2017,1,20,20.2,28.6,23.4,26,91,1,290
2017,1,21,24,29.2,23.4,26.3,86,2,70
2017,1,22,14.8,29.4,25.1,27.25,83,4,360
2017,1,23,59,28.8,22.7,25.75,91,4,360
2017,1,24,6.8,28.2,23.6,25.9,83,5,20
2017,1,25,0.8,29.4,24,26.7,80,4,40
2017,1,26,17.8,29.4,23.8,26.6,83,4,360
2017,1,27,90.3,28.7,23.7,26.2,88,3,290
2017,1,28,9.2,27.5,23.5,25.5,89,2,270
2017,1,29,1.2,30,24.6,27.3,86,2,120
2017,1,30,14.2,31.1,24.1,27.6,87,2,270
2017,1,31,5.6,31.2,24.2,27.7,86,2,290
2017,2,1,36.7,28.9,23,25.95,92,1,280
2017,2,2,12.6,29.4,24,26.7,86,2,360
2017,2,3,9.6,28.1,23.6,25.85,89,2,290
2017,2,4,1.4,27.3,23.1,25.2,88,2,290
2017,2,5,2.8,30.7,24,27.35,81,3,280
2017,2,6,0.2,31.7,24,27.85,79,3,290
2017,2,7,0,32.2,23.1,27.65,84,2,280
2017,2,8,0,31.6,23.5,27.55,85,2,310
2017,2,9,8.4,32.4,22.5,27.45,88,2,320
2017,2,10,6.6,27.5,22.4,24.95,85,2,270
2017,2,11,23.4,28.2,22,25.1,87,3,340
2017,2,12,6.3,27.2,21.3,24.25,87,3,320
2017,2,13,7.9,26.8,21.4,24.1,83,2,290
2017,2,14,23.1,27.8,22.7,25.25,90,3,340
2017,2,15,176.9,26.4,23,24.7,94,4,360
2017,2,16,37.9,24,21.5,22.75,97,2,280
2017,2,17,112.8,26.3,22,24.15,93,1,290
2017,2,18,17.2,30,23,26.5,94,2,270
2017,2,19,68.4,29.2,22.5,25.85,90,2,40
2017,2,20,16,26,21.8,23.9,94,1,290
2017,2,21,0,28.9,23,25.95,87,2,70
2017,2,22,19.2,29.5,25.1,27.3,89,3,40
2017,2,23,75,28.8,23.5,26.15,91,3,140
2017,2,24,8,29.4,22.7,26.05,87,2,290
2017,2,25,8.4,29.5,23.7,26.6,83,3,30
2017,2,26,40.5,30,23.4,26.7,85,3,20
2017,2,27,20.6,29.8,22.4,26.1,87,2,40
2017,2,28,8,30,24,27,80,3,360
2017,3,1,52.4,30.1,23,26.55,85,3,40
2017,3,2,75.4,27.5,23,25.25,94,2,110
2017,3,3,19.4,28.2,23.2,25.7,87,2,340
2017,3,4,7.2,29.7,23.4,26.55,79,3,340
2017,3,5,49.4,26.8,23.6,25.2,93,2,20
2017,3,6,130.5,26.4,23,24.7,96,1,330
2017,3,7,53.4,29,24,26.5,87,2,40
2017,3,8,96.6,29.9,23.2,26.55,95,2,340
2017,3,9,6.6,27.2,23.4,25.3,94,2,270
2017,3,10,0,31.2,23.4,27.3,86,2,270
2017,3,11,2.8,32,23.4,27.7,86,3,270
2017,3,12,0,32.1,23.5,27.8,85,2,90
2017,3,13,0,32.2,24,28.1,85,2,90
2017,3,14,-1,31.5,24.3,27.9,84,2,110
2017,3,15,6.6,31.7,23.6,27.65,86,2,270
2017,3,16,25.6,31.5,23.5,27.5,82,3,70
2017,3,17,30.8,28.5,23.6,26.05,88,2,350
2017,3,18,0,29.8,24,26.9,78,4,350
2017,3,19,0,30.2,24,27.1,78,2,300
2017,3,20,0,31.2,24.5,27.85,84,3,70
2017,3,21,6.4,31.2,24,27.6,83,2,110
2017,3,22,0,31.5,23.2,27.35,86,2,70
2017,3,23,0,30.9,22.5,26.7,79,2,70
2017,3,24,0,30.7,22.3,26.5,80,2,270
2017,3,25,0,30.8,23.6,27.2,80,3,40
2017,3,26,8.4,30.5,25,27.75,83,2,20
2017,3,27,14.6,30.2,25,27.6,86,4,30
2017,3,28,36.2,31.8,23.5,27.65,89,2,20
2017,3,29,3.2,31.2,25.5,28.35,82,3,20
2017,3,30,18.6,30.3,24.5,27.4,87,2,40
2017,3,31,3.5,31.5,24.2,27.85,89,2,210
2017,4,1,2.2,30,24,27,82,2,320
2017,4,2,8.4,27.8,23,25.4,91,1,360
2017,4,3,26.4,29.5,22.4,25.95,88,2,360
2017,4,4,36,30.1,24,27.05,86,1,360
2017,4,5,66.6,29.5,24.1,26.8,92,3,40
2017,4,6,25.5,29.6,23.5,26.55,89,2,310
2017,4,7,6.9,29,24,26.5,90,2,300
2017,4,8,0.2,32.2,24.1,28.15,82,2,270
2017,4,9,0,30.6,23,26.8,81,2,40
2017,4,10,0,31.3,23.6,27.45,82,2,40
2017,4,11,0.4,31.5,24.9,28.2,80,2,270
2017,4,12,12.5,31.2,24.9,28.05,82,2,40
2017,4,13,29.1,30.7,24,27.35,88,3,30
2017,4,14,1.8,30.8,25.2,28,86,2,340
2017,4,15,0,33.2,25.6,29.4,80,5,130
2017,4,16,4.2,32.7,24.6,28.65,83,3,90
2017,4,17,0,31.8,23.2,27.5,83,2,320
2017,4,18,2.6,31.6,24.4,28,81,2,270
2017,4,19,0.1,32.6,25.3,28.95,82,3,140
2017,4,20,0,32.9,24,28.45,84,2,260
2017,4,21,0,33.5,24.7,29.1,78,2,120
2017,4,22,10.2,33.2,24.5,28.85,82,2,80
2017,4,23,0,32.3,24,28.15,80,2,70
2017,4,24,0,32.5,23.8,28.15,81,2,270
2017,4,25,0,31.7,24.4,28.05,76,3,270
2017,4,26,0,32.6,24.9,28.75,79,2,270
2017,4,27,0,33.2,25,29.1,81,2,290
2017,4,28,7.4,31.5,24.1,27.8,81,2,220
2017,4,29,1.4,33.4,25,29.2,78,2,90
2017,4,30,1.6,34.8,25,29.9,77,2,270
2017,5,1,0,33.5,25,29.25,79,2,110
2017,5,2,28.2,31.6,25.5,28.55,83,2,70
2017,5,3,7.1,32.6,24.5,28.55,87,2,110
2017,5,4,0,33.1,24.5,28.8,83,2,110
2017,5,5,76.3,33.6,24.5,29.05,84,3,70
2017,5,6,8.7,30.2,24,27.1,89,1,250
2017,5,7,55,30.9,24.5,27.7,86,2,360
