YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0.7,33,22.4,27.7,66,2,70
2017,1,2,0,33.8,22.5,28.15,78,2,320
2017,1,3,0,31.6,21.1,26.35,71,2,320
2017,1,4,0,31.6,23,27.3,79,2,90
2017,1,5,0,32,22,27,80,2,320
2017,1,6,0,31.3,22,26.65,79,1,320
2017,1,7,0,33.3,19.5,26.4,73,2,90
2017,1,8,0,30,20.2,25.1,75,1,90
2017,1,9,0,31.2,21,26.1,72,2,320
2017,1,10,0.4,31,23,27,73,2,140
2017,1,11,-1,31.6,23,27.3,76,2,140
2017,1,12,0,31.8,21.7,26.75,75,2,90
2017,1,13,0,33.8,21.5,27.65,82,2,320
2017,1,14,14.6,30,21.2,25.6,87,2,320
2017,1,15,3.6,30.6,22.9,26.75,85,2,320
2017,1,16,0,32,22.3,27.15,68,3,110
2017,1,17,0,30.8,23,26.9,66,2,90
2017,1,18,0,31.6,22.3,26.95,59,3,110
2017,1,19,0,31,21.4,26.2,70,3,90
2017,1,20,0,30.8,22.5,26.65,68,3,90
2017,1,21,0,30.8,20.1,25.45,72,2,320
2017,1,22,0,30.6,23.2,26.9,78,1,320
2017,1,23,0.2,29.4,22,25.7,79,2,110
2017,1,24,0,33.2,23.2,28.2,68,2,140
2017,1,25,0.1,30.7,22.6,26.65,78,2,90
2017,1,26,0,30.6,21.8,26.2,69,3,110
2017,1,27,0,31.2,19.5,25.35,64,2,320
2017,1,28,0,29,21.2,25.1,72,2,140
2017,1,29,0,31,22.5,26.75,74,2,290
2017,1,30,0.1,30.8,23,26.9,82,1,320
2017,1,31,0,32.2,25,28.6,76,3,290
2017,2,1,3.1,31.5,23.5,27.5,79,2,90
2017,2,2,0.1,31.7,23.4,27.55,76,2,110
2017,2,3,0,34,23,28.5,71,2,110
2017,2,4,0,31.5,22.6,27.05,68,2,90
2017,2,5,-1,31.4,22,26.7,75,2,320
2017,2,6,0,30.2,23,26.6,72,2,110
2017,2,7,0,31.6,21.5,26.55,75,3,110
2017,2,8,0,31,20.4,25.7,79,2,320
2017,2,9,0,32.3,20,26.15,78,2,360
2017,2,10,0,30.5,21.5,26,70,3,110
2017,2,11,0,33.2,19.9,26.55,73,4,110
2017,2,12,0,33,21,27,67,3,110
2017,2,13,0,30.4,20.6,25.5,61,3,110
2017,2,14,0,31.6,20.4,26,52,3,110
2017,2,15,0,30.8,20.4,25.6,55,5,90
2017,2,16,0,31,21.5,26.25,69,4,90
2017,2,17,0,31,21.9,26.45,74,3,320
2017,2,18,6.8,32.3,22,27.15,83,2,320
2017,2,19,0,33.4,23.5,28.45,71,4,90
2017,2,20,0,33.5,22,27.75,82,3,320
2017,2,21,0,32.5,22,27.25,80,2,320
2017,2,22,0,31.5,21.8,26.65,80,2,90
2017,2,23,0,32,22,27,73,2,320
2017,2,24,0,31.8,23,27.4,76,2,290
2017,2,25,0,32.2,23.4,27.8,75,2,110
2017,2,26,0.2,32.1,22.8,27.45,81,2,320
2017,2,27,0,32.7,22,27.35,80,2,290
2017,2,28,0,32,21.4,26.7,82,2,90
2017,3,1,7.8,32.3,22.1,27.2,82,2,320
2017,3,2,11.3,31.8,21.5,26.65,86,2,40
2017,3,3,0,29.9,21.4,25.65,74,2,90
2017,3,4,0,31,23.6,27.3,70,2,110
2017,3,5,0,32,21.2,26.6,77,2,110
2017,3,6,0,32,20.5,26.25,80,2,290
2017,3,7,0,32,20.5,26.25,77,2,90
2017,3,8,0,31.5,22.9,27.2,80,2,290
2017,3,9,0,32,22.8,27.4,79,2,110
2017,3,10,0,31.5,21,26.25,77,2,320
2017,3,11,0,32.2,20.5,26.35,75,2,320
2017,3,12,0,33,20.6,26.8,77,2,320
2017,3,13,0,32,23,27.5,78,2,290
2017,3,14,0,32.2,21.2,26.7,79,2,320
2017,3,15,0,32.2,23.3,27.75,75,2,90
2017,3,16,0,32,23,27.5,73,2,110
2017,3,17,0,36.5,23.3,29.9,64,3,110
2017,3,18,0,33.1,20.9,27,64,1,320
2017,3,19,0,34,21.4,27.7,64,2,320
2017,3,20,0,34.1,20.5,27.3,60,1,110
2017,3,21,4,32,23,27.5,72,1,290
2017,3,22,0,31.2,23,27.1,79,1,220
2017,3,23,0,33,24,28.5,81,2,320
2017,3,24,0,33.5,22.5,28,79,2,290
2017,3,25,0,33,23.2,28.1,81,2,320
2017,3,26,0,33.5,22.5,28,77,2,320
2017,3,27,0,33,24.5,28.75,69,2,320
2017,3,28,0,33.5,24.5,29,59,3,90
2017,3,29,0,33.2,23,28.1,65,2,90
2017,3,30,0,33,23.2,28.1,68,3,220
2017,3,31,0,33,25,29,67,2,320
2017,4,1,0,32.5,22.6,27.55,77,2,320
2017,4,2,6.4,30.6,23.3,26.95,72,4,90
2017,4,3,0,35,23.2,29.1,57,4,110
2017,4,4,0,32.9,22.5,27.7,64,4,110
2017,4,5,0,33.8,24,28.9,65,3,320
2017,4,6,0,32.4,24.6,28.5,70,3,290
2017,4,7,0,32.8,23,27.9,67,2,320
2017,4,8,0,33.2,24.6,28.9,74,2,320
2017,4,9,0,34.6,26.3,30.45,69,2,90
2017,4,10,0,33,26,29.5,77,2,220
2017,4,11,0,33.5,26,29.75,79,2,20
2017,4,12,0,34,25,29.5,74,2,90
2017,4,13,0,33.4,25,29.2,76,3,290
2017,4,14,0,34,24.6,29.3,75,2,290
2017,4,15,0,34,26,30,70,2,320
2017,4,16,8.2,34.3,25.2,29.75,75,2,110
2017,4,17,0,34.4,25.2,29.8,73,4,220
2017,4,18,0,33,23.5,28.25,77,3,180
2017,4,19,0,33,24.6,28.8,75,2,250
2017,4,20,0,34,24.7,29.35,76,2,360
2017,4,21,0,33.5,23.7,28.6,74,2,290
2017,4,22,0,34.1,24.6,29.35,78,3,320
2017,4,23,0,34.6,25,29.8,77,2,320
2017,4,24,0,33,24.5,28.75,74,2,110
2017,4,25,7.6,34.3,23.2,28.75,78,2,110
2017,4,26,0,33,25.4,29.2,76,2,290
2017,4,27,0,34.2,24,29.1,77,2,320
2017,4,28,0,33.5,24.8,29.15,77,2,340
2017,4,29,0,34,23.8,28.9,77,2,290
