YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,3.3,28.9,22.5,25.7,86,2,60
2017,1,2,1.3,28.5,23.8,26.15,87,3,30
2017,1,3,5.1,29.7,22.5,26.1,89,3,30
2017,1,4,20,27.3,21.6,24.45,93,3,60
2017,1,5,7.9,27.2,22.7,24.95,94,2,60
2017,1,6,0,29.4,23.4,26.4,91,1,40
2017,1,7,0.1,29,22.2,25.6,88,2,320
2017,1,8,4.7,28.1,22.5,25.3,92,2,340
2017,1,9,11.7,28.2,22.8,25.5,86,3,40
2017,1,10,37.1,26.7,21,23.85,97,3,360
2017,1,11,57.2,26.7,22.5,24.6,91,2,70
2017,1,12,7.2,27,23.3,25.15,98,1,330
2017,1,13,0.1,28.6,22,25.3,92,2,340
2017,1,14,-1,29,23.5,26.25,91,2,60
2017,1,15,13,28,23,25.5,93,3,360
2017,1,16,3.8,26,22.5,24.25,90,3,30
2017,1,17,1,27.5,22.5,25,87,3,90
2017,1,18,0,28.6,23.4,26,82,2,50
2017,1,19,2,27.6,22.7,25.15,88,2,360
2017,1,20,0,28.5,21.9,25.2,91,2,40
2017,1,21,2.5,28.6,21.5,25.05,88,3,320
2017,1,22,92.7,25.8,23.2,24.5,98,2,310
2017,1,23,47.4,28,22.3,25.15,95,2,90
2017,1,24,33.3,26,21.8,23.9,98,2,60
2017,1,25,8.6,27.2,22,24.6,93,3,60
2017,1,26,39.8,25.4,21.4,23.4,97,2,310
2017,1,27,5.8,26.8,21,23.9,88,2,40
2017,1,28,13.6,27.4,21.5,24.45,94,2,40
2017,1,29,10.7,27.2,22,24.6,93,3,40
2017,1,30,12.2,28,22.5,25.25,94,3,40
2017,1,31,31.4,27.1,20.2,23.65,94,2,320
2017,2,1,58,27.9,22.7,25.3,97,2,330
2017,2,2,23.2,26.5,23,24.75,94,2,30
2017,2,3,5.6,27.1,21.6,24.35,93,2,20
2017,2,4,0.2,27.5,21.2,24.35,87,2,360
2017,2,5,2.1,28.4,22.5,25.45,90,2,320
2017,2,6,4,27.2,23,25.1,84,3,360
2017,2,7,1.4,27.8,21.1,24.45,88,3,350
2017,2,8,0.2,28.5,23.4,25.95,88,3,340
2017,2,9,13.7,28.8,21,24.9,91,2,90
2017,2,10,16.8,26.7,21.4,24.05,88,3,360
2017,2,11,1.1,26,22,24,90,3,360
2017,2,12,3.2,25.5,19,22.25,90,2,30
2017,2,13,2.8,24.8,21,22.9,88,4,30
2017,2,14,0.6,27,20.2,23.6,84,4,90
2017,2,15,0,28.5,22.8,25.65,78,3,30
2017,2,16,2.5,27.2,22.5,24.85,88,2,70
2017,2,17,37.6,25.3,21.8,23.55,96,3,320
2017,2,18,183.1,25.2,21,23.1,98,2,310
2017,2,19,114.7,24.1,20,22.05,98,3,320
2017,2,20,0.5,27.4,23,25.2,95,2,340
2017,2,21,12.2,28.6,21.7,25.15,93,2,360
2017,2,22,0.7,27.5,23.6,25.55,94,2,320
2017,2,23,0,28.3,22.9,25.6,94,2,330
2017,2,24,3.1,28.5,22.1,25.3,94,2,320
2017,2,25,3.8,28.2,20.7,24.45,91,2,320
2017,2,26,2.7,28,23,25.5,93,2,320
2017,2,27,19,28.8,22.5,25.65,91,2,320
2017,2,28,2.3,29,22,25.5,91,3,320
2017,3,1,1.5,28.1,22.3,25.2,91,1,300
2017,3,2,13.2,26.8,22.5,24.65,96,2,30
