YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,25.5,19.7,22.6,80,5,90
2017,1,2,0,25.6,19.2,22.4,81,4,90
2017,1,3,0,26.2,19.5,22.85,79,4,90
2017,1,4,0,26.2,19.5,22.85,83,5,90
2017,1,5,0,26.4,20.6,23.5,83,3,90
2017,1,6,0,26.2,20.4,23.3,84,3,90
2017,1,7,0,27,21,24,82,3,140
2017,1,8,7.4,27.8,20.8,24.3,87,2,40
2017,1,9,1.6,23,19,21,88,6,40
2017,1,10,0,24.5,19,21.75,81,6,70
2017,1,11,0.2,25.5,20,22.75,81,6,70
2017,1,12,0,26,21,23.5,87,4,120
2017,1,13,2.6,27,20.4,23.7,92,3,40
2017,1,14,0.3,23.6,19.2,21.4,88,6,40
2017,1,15,1,24.5,19.2,21.85,83,4,70
2017,1,16,9.9,24.6,18.8,21.7,89,4,40
2017,1,17,6.2,24.2,19.2,21.7,86,5,120
2017,1,18,0,25.8,20,22.9,82,4,120
2017,1,19,0,26.5,19.2,22.85,85,2,90
2017,1,20,10.6,26.2,17.5,21.85,87,4,40
2017,1,21,9,22,17.2,19.6,93,5,40
2017,1,22,3.8,21.6,15,18.3,90,6,40
2017,1,23,3.4,21.5,16.2,18.85,92,6,40
2017,1,24,9,21.5,17,19.25,87,6,70
2017,1,25,8.2,21.5,18.5,20,93,3,90
2017,1,26,2.9,22.5,18.7,20.6,87,6,70
2017,1,27,3.6,23.3,19.3,21.3,85,5,90
2017,1,28,0.2,25.3,19.8,22.55,83,4,90
2017,1,29,0,25.6,20,22.8,81,3,90
2017,1,30,4.4,25.8,19.5,22.65,87,5,40
2017,1,31,12.2,21.8,18.5,20.15,95,6,40
2017,2,1,13,22.8,18.4,20.6,95,6,70
2017,2,2,1.9,22.2,18.1,20.15,87,6,40
2017,2,3,0,23,18.2,20.6,83,5,90
2017,2,4,0,24.5,19,21.75,80,4,90
2017,2,5,0.6,25,19.4,22.2,85,3,70
2017,2,6,14,22.5,18,20.25,86,6,40
2017,2,7,0,24,17.8,20.9,78,4,70
2017,2,8,0,25,16.4,20.7,85,2,70
2017,2,9,2.4,24.5,16.3,20.4,89,4,40
2017,2,10,0.2,19.7,14.8,17.25,81,6,70
2017,2,11,0,19.5,14.6,17.05,81,6,40
2017,2,12,-1,22,16.4,19.2,78,4,70
2017,2,13,0,22.7,16.5,19.6,79,4,70
2017,2,14,0,22,16,19,74,4,70
2017,2,15,0,23.9,17.1,20.5,75,5,90
2017,2,16,0,25.2,18,21.6,80,5,90
2017,2,17,-1,25.4,18.6,22,76,4,90
2017,2,18,0,25,18.6,21.8,84,4,70
2017,2,19,0,25.5,20,22.75,86,5,120
2017,2,20,0,27,21.4,24.2,90,2,140
2017,2,21,2.1,25.6,21.5,23.55,94,4,40
2017,2,22,0,27.2,22.8,25,89,5,160
2017,2,23,1.5,28.5,19.2,23.85,90,4,40
2017,2,24,0,23.8,19,21.4,87,4,70
2017,2,25,0,25.5,19.7,22.6,85,3,40
2017,2,26,0,26,18.7,22.35,84,4,20
2017,2,27,0.2,24.5,18.5,21.5,87,4,40
2017,2,28,1.4,24.4,19,21.7,82,2,90
2017,3,1,6.5,26,17,21.5,86,1,70
2017,3,2,0,23.5,17.5,20.5,79,6,70
2017,3,3,0,22.5,17.6,20.05,84,4,70
2017,3,4,0,24.7,19.4,22.05,83,4,90
2017,3,5,0,26.7,21,23.85,85,3,150
2017,3,6,0,28,19,23.5,87,3,40
2017,3,7,0.6,23.8,18.7,21.25,86,4,70
2017,3,8,0,23.5,18.2,20.85,87,3,70
2017,3,9,0,24.5,19,21.75,83,4,90
2017,3,10,0,27.6,22.1,24.85,90,3,140
2017,3,11,0,27.3,19.5,23.4,85,2,70
2017,3,12,0,26.2,20,23.1,87,3,70
2017,3,13,0,28.5,22,25.25,90,2,310
2017,3,14,0.6,25.2,17.1,21.15,91,5,40
2017,3,15,0,22.1,17.2,19.65,79,6,40
2017,3,16,0,24.2,18.5,21.35,82,2,90
2017,3,17,0,25.5,21,23.25,85,3,90
2017,3,18,0,26.9,21.6,24.25,86,4,120
2017,3,19,0,27.3,21,24.15,85,3,120
2017,3,20,0,27,20.6,23.8,86,3,140
2017,3,21,0,27.2,21,24.1,89,4,70
2017,3,22,2,26.3,19.5,22.9,89,4,90
2017,3,23,0,28.7,20,24.35,87,4,70
2017,3,24,0,26,20.2,23.1,89,3,90
2017,3,25,0,28.5,19.8,24.15,87,3,360
2017,3,26,0,24.5,16.5,20.5,85,5,70
2017,3,27,0,23.3,16.6,19.95,76,6,70
2017,3,28,0,24.3,18.5,21.4,79,6,90
2017,3,29,0,27,20,23.5,84,4,90
2017,3,30,0,27.8,20.5,24.15,81,3,120
2017,3,31,2.8,28,17.5,22.75,87,3,160
2017,4,1,2.4,22,15.5,18.75,86,6,40
2017,4,2,0,22.5,15,18.75,69,5,70
2017,4,3,0,23.5,15,19.25,66,4,70
2017,4,4,0,25.1,16.8,20.95,73,4,90
2017,4,5,0,26.7,20.2,23.45,83,4,120
2017,4,6,0,27.2,21.8,24.5,88,4,120
2017,4,7,0,27.8,22.8,25.3,90,3,120
2017,4,8,0,29,24.1,26.55,91,2,120
2017,4,9,0,31.2,23.7,27.45,85,2,180
2017,4,10,0,30.8,24,27.4,89,2,270
2017,4,11,0,29.8,23.4,26.6,92,2,270
2017,4,12,0,29.3,21,25.15,89,2,40
2017,4,13,1.4,24.4,21.2,22.8,94,3,40
2017,4,14,0.2,28.5,23.7,26.1,91,2,120
2017,4,15,0,29.8,23.7,26.75,86,4,120
2017,4,16,0,29.8,23.8,26.8,88,4,120
2017,4,17,0,30.9,24,27.45,87,3,120
2017,4,18,0,30,23.5,26.75,87,2,270
2017,4,19,4.2,30.5,24.7,27.6,90,1,120
2017,4,20,15,29.5,24.2,26.85,92,3,270
2017,4,21,6.2,30,24.2,27.1,86,2,270
2017,4,22,0.8,27.8,20.8,24.3,83,4,40
2017,4,23,-1,26.5,21,23.75,86,3,70
2017,4,24,3.8,27.8,22,24.9,87,3,70
2017,4,25,0,29.8,23.4,26.6,88,2,120
2017,4,26,0,30.8,24.5,27.65,88,2,270
2017,4,27,3.4,29.5,19.5,24.5,90,4,20
2017,4,28,0.2,25.3,19.2,22.25,87,3,40
2017,4,29,0,26.6,19.7,23.15,82,3,90
2017,4,30,0,27.5,20.7,24.1,83,3,90
2017,5,1,0,28.5,22.4,25.45,87,3,90
2017,5,2,0,30.1,24,27.05,92,1,90
2017,5,3,0.2,30.5,24.7,27.6,94,2,120
2017,5,4,0,31,25,28,91,2,140
2017,5,5,0,31,24.6,27.8,90,2,120
2017,5,6,0.8,31.5,25,28.25,91,2,90
2017,5,7,4.2,29.8,24.3,27.05,92,2,90
2017,5,8,0,30.5,24.8,27.65,89,3,120
2017,5,9,0,33,24.3,28.65,90,1,270
2017,5,10,0,32,25.2,28.6,88,3,90
2017,5,11,0,31.5,25.5,28.5,89,4,120
2017,5,12,0,31.5,25,28.25,85,3,120
2017,5,13,0,31.4,25,28.2,86,2,270
2017,5,14,0,32.5,24.2,28.35,87,2,90
2017,5,15,0,32.5,25.2,28.85,85,1,120
2017,5,16,5.4,32,23.5,27.75,93,2,270
2017,5,17,70.3,28.2,23,25.6,96,2,360
2017,5,18,26.6,27,23.4,25.2,94,3,90
2017,5,19,84.2,26.8,22.8,24.8,97,4,90
2017,5,20,0.7,27.5,23,25.25,92,4,360
2017,5,21,4,29.6,23.2,26.4,94,1,360
2017,5,22,0,29.8,23.8,26.8,90,2,70
2017,5,23,0,30.2,24,27.1,88,2,180
2017,5,24,8.6,31.5,24,27.75,88,4,270
2017,5,25,6,32.5,24.5,28.5,90,2,360
2017,5,26,232,29,23,26,96,3,40
2017,5,27,42.6,28,23.5,25.75,95,3,90
2017,5,28,19.2,27.8,23.6,25.7,97,1,60
2017,5,29,9.6,28.5,23.7,26.1,97,1,340
2017,5,30,12.2,29.5,24,26.75,92,2,220
2017,5,31,3,30.6,24.5,27.55,95,4,250
2017,6,1,5,31,24.8,27.9,87,5,270
2017,6,2,0,31.3,26.4,28.85,90,5,270
2017,6,3,2,31.5,26,28.75,91,3,270
2017,6,4,0,31.6,26.6,29.1,93,3,230
2017,6,5,0,32.5,26.7,29.6,93,1,90
2017,6,6,0,32.7,26.5,29.6,88,3,110
2017,6,7,0,32.5,25.8,29.15,86,3,110
2017,6,8,0,31.5,25.5,28.5,91,3,120
2017,6,9,0.4,31.9,23,27.45,84,3,120
2017,6,10,0,31.3,26.5,28.9,87,4,120
2017,6,11,0,33.1,24.5,28.8,88,3,180
2017,6,12,0,33,26,29.5,90,1,180
2017,6,13,0,33.3,26.2,29.75,89,1,180
2017,6,14,0,32.5,25.5,29,86,4,270
2017,6,15,-1,32.1,25.5,28.8,86,4,270
2017,6,16,0.9,32,26,29,88,3,270
2017,6,17,1.6,31.9,24.8,28.35,89,2,270
2017,6,18,0,31.6,25,28.3,88,2,270
2017,6,19,0,32.6,25.8,29.2,90,2,240
2017,6,20,0,32.7,25.9,29.3,88,2,250
2017,6,21,0.2,33,25.4,29.2,88,1,180
2017,6,22,0,33.2,25,29.1,89,1,180
2017,6,23,16.6,34,25,29.5,90,1,270
2017,6,24,0,31.7,25.8,28.75,84,2,270
2017,6,25,0,32.5,26,29.25,88,3,270
2017,6,26,0,32.5,26,29.25,89,2,270
2017,6,27,0,33,26.5,29.75,90,2,270
2017,6,28,0,32.5,24,28.25,87,1,310
2017,6,29,0,31.2,24.8,28,84,3,120
2017,6,30,0,31.8,25.8,28.8,92,2,120
2017,7,1,1.2,33.7,25.5,29.6,90,2,140
2017,7,2,0.4,32.3,24.5,28.4,94,1,90
2017,7,3,4,32.8,24.5,28.65,84,3,140
2017,7,4,10,30.5,25,27.75,88,5,140
2017,7,5,3.9,31.5,25,28.25,85,4,140
2017,7,6,10.9,30.5,24.7,27.6,95,2,180
2017,7,7,0,32.5,25.5,29,88,3,140
2017,7,8,1.8,32,25.5,28.75,90,3,120
2017,7,9,0,32,26,29,85,4,120
2017,7,10,0,32.5,25.5,29,82,3,120
2017,7,11,0,32.8,25.6,29.2,82,3,140
2017,7,12,0,32.5,25.4,28.95,85,2,110
2017,7,13,0,32,25,28.5,86,2,110
2017,7,14,6.7,32.4,25.5,28.95,88,3,120
2017,7,15,1.5,32,25.6,28.8,88,4,120
2017,7,16,37.7,30.6,23,26.8,93,4,120
2017,7,17,1,30,25.8,27.9,90,3,90
2017,7,18,-1,31.5,25.6,28.55,88,2,120
2017,7,19,-1,31.5,25.4,28.45,90,2,90
2017,7,20,2.8,31.5,24.6,28.05,88,2,90
2017,7,21,16.4,30.2,23.8,27,91,3,90
2017,7,22,0.3,29.6,25.1,27.35,94,2,90
2017,7,23,2.4,31,25.4,28.2,90,1,90
2017,7,24,0,32.4,24,28.2,88,1,90
2017,7,25,14.6,32.5,24.2,28.35,92,1,90
2017,7,26,0,30.5,23.5,27,88,1,90
2017,7,27,105,33.1,24.5,28.8,89,1,320
2017,7,28,78.8,29.8,25,27.4,96,4,270
2017,7,29,10.6,30.5,24.7,27.6,90,5,270
2017,7,30,4.4,31.5,25,28.25,83,8,210
2017,7,31,-1,32.1,25.8,28.95,89,4,210
2017,8,1,11.8,31,25.5,28.25,92,2,250
2017,8,2,0.6,30.6,26,28.3,91,2,250
2017,8,3,1.6,31,26,28.5,90,2,270
2017,8,4,0,31.2,25.6,28.4,89,2,270
2017,8,5,2,31.7,25,28.35,88,2,270
2017,8,6,0,31.5,26.1,28.8,90,3,250
2017,8,7,0,32,25.8,28.9,87,3,270
2017,8,8,0,31.8,25.8,28.8,89,3,270
2017,8,9,0,31.5,26.2,28.85,90,3,270
2017,8,10,0,31.6,26.3,28.95,88,4,250
2017,8,11,0,31.5,25.8,28.65,89,2,270
2017,8,12,0,32,25.8,28.9,88,2,270
2017,8,13,0,32.5,24.2,28.35,90,1,270
2017,8,14,0,32.7,25,28.85,87,1,270
2017,8,15,0,32,24.5,28.25,92,1,270
2017,8,16,12.4,32.8,25.2,29,91,1,360
2017,8,17,0,32,26,29,89,2,90
2017,8,18,0,32,25.8,28.9,81,3,90
2017,8,19,1,31.8,25,28.4,84,3,70
2017,8,20,44,32,24.5,28.25,86,2,360
2017,8,21,37,29.5,24.4,26.95,95,7,360
2017,8,22,97.4,29,23.5,26.25,92,3,120
2017,8,23,4.7,30.2,24.6,27.4,92,2,120
2017,8,24,25.8,30.2,23.5,26.85,94,2,70
2017,8,25,4.8,30.6,24,27.3,87,5,70
2017,8,26,3,30,25,27.5,89,4,90
2017,8,27,16.4,29.5,24.5,27,92,1,90
2017,8,28,28.2,30.8,23.8,27.3,92,2,360
2017,8,29,40.6,30,24.5,27.25,94,3,40
2017,8,30,38.6,29.8,22.8,26.3,94,5,40
2017,8,31,6.2,30,25.2,27.6,93,4,90
2017,9,1,11.6,31,24.8,27.9,90,1,120
2017,9,2,0,30.5,24.5,27.5,90,2,250
2017,9,3,0,31.5,25.2,28.35,88,2,210
2017,9,4,0,31.7,26,28.85,90,2,340
2017,9,5,11.8,31.5,24.6,28.05,94,4,40
2017,9,6,0,30.8,24.6,27.7,90,3,210
2017,9,7,0,31,24.5,27.75,90,1,270
2017,9,8,0.2,31,25,28,95,1,90
2017,9,9,0,31.5,25.4,28.45,88,2,90
2017,9,10,3.2,31.5,25.9,28.7,90,2,90
2017,9,11,10.6,31.6,25.7,28.65,88,2,70
2017,9,12,0,31.7,26.2,28.95,89,4,70
2017,9,13,0,31.5,25.7,28.6,87,2,150
2017,9,14,0,31,25.8,28.4,90,2,250
2017,9,15,0,31,26,28.5,90,4,270
2017,9,16,4.6,31.5,25.5,28.5,88,2,270
2017,9,17,1.8,29.5,24.7,27.1,92,3,40
2017,9,18,0,29.5,25,27.25,90,4,40
2017,9,19,1.6,30.8,25.5,28.15,90,2,90
2017,9,20,20.9,31,25,28,92,3,70
2017,9,21,2.2,31,25,28,93,2,130
2017,9,22,2.6,31,25.7,28.35,90,3,90
2017,9,23,1.4,31.3,26,28.65,89,5,120
2017,9,24,0,31.5,25.5,28.5,90,2,120
2017,9,25,0,31.6,25.4,28.5,87,3,90
2017,9,26,0,31.3,26,28.65,89,2,90
2017,9,27,0,32,25.6,28.8,90,1,90
2017,9,28,1.4,32.4,25,28.7,88,1,270
2017,9,29,13.6,31.2,23.2,27.2,93,3,90
2017,9,30,36.9,28.7,24,26.35,93,4,90
2017,10,1,7.2,30,24.5,27.25,92,2,90
2017,10,2,3.2,31,25.5,28.25,88,2,90
2017,10,3,0,31,24.5,27.75,85,3,70
2017,10,4,13.6,31,23.9,27.45,85,2,70
2017,10,5,0,30.6,25.5,28.05,88,3,70
2017,10,6,2.8,31,25.5,28.25,90,3,70
2017,10,7,27.8,30.5,25,27.75,90,5,70
2017,10,8,17,29.8,24.5,27.15,91,6,70
2017,10,9,8.2,29.6,25,27.3,90,4,90
2017,10,10,2.2,30.5,25.2,27.85,87,4,40
2017,10,11,15.6,29.6,22.8,26.2,92,5,70
2017,10,12,56.2,30,24,27,92,6,70
2017,10,13,34.2,28.3,24.5,26.4,95,6,120
2017,10,14,14.2,29.8,25.5,27.65,93,7,120
2017,10,15,16,30,25,27.5,87,5,120
2017,10,16,0,30,25,27.5,90,3,90
2017,10,17,9.4,29.6,24.8,27.2,88,5,70
2017,10,18,2.8,29.5,25.2,27.35,92,4,40
2017,10,19,30.8,30.2,24.5,27.35,91,5,360
2017,10,20,4.8,28.6,23.8,26.2,91,6,360
2017,10,21,0,27.6,22,24.8,88,4,360
2017,10,22,0,28,20,24,80,3,20
2017,10,23,0,27.9,20.6,24.25,74,4,40
2017,10,24,1.2,27.8,20.5,24.15,75,6,40
2017,10,25,0,27.6,20.5,24.05,79,4,40
2017,10,26,0,27.5,21.2,24.35,84,5,360
2017,10,27,0,27.3,21.2,24.25,86,4,360
2017,10,28,0,27.7,22.8,25.25,85,3,20
2017,10,29,0.8,28.2,21,24.6,80,7,20
2017,10,30,0,27,19.2,23.1,72,7,20
2017,10,31,0,27.1,20.6,23.85,78,5,40
2017,11,1,10.9,27.8,20.6,24.2,86,4,70
2017,11,2,0.4,28.5,23.8,26.15,90,5,90
2017,11,3,0.8,28.6,23,25.8,86,5,70
2017,11,4,42,28.4,20.6,24.5,88,9,360
2017,11,5,38.6,26.8,22.5,24.65,95,7,40
2017,11,6,0.3,27.5,23.8,25.65,92,5,90
2017,11,7,16,28.5,24.2,26.35,92,3,90
2017,11,8,2.3,28.6,23.8,26.2,89,3,90
2017,11,9,3.4,27.8,23.5,25.65,91,4,90
2017,11,10,6.4,28,23.1,25.55,91,3,90
2017,11,11,0,28.5,23,25.75,92,3,40
2017,11,12,1.1,29.1,23.2,26.15,93,2,360
2017,11,13,1.6,28.7,23.7,26.2,92,1,90
2017,11,14,0.4,28.5,23.7,26.1,89,2,40
2017,11,15,1,28.8,23.5,26.15,91,2,70
2017,11,16,3.8,28,23.6,25.8,90,3,110
2017,11,17,0,29.1,23.6,26.35,89,3,140
2017,11,18,0.1,30.3,21.5,25.9,89,4,40
2017,11,19,0.8,26.5,21,23.75,90,6,70
2017,11,20,80.6,28,22.9,25.45,91,3,90
2017,11,21,9.1,26.9,22,24.45,94,2,120
2017,11,22,17.3,27.9,21.4,24.65,91,3,70
2017,11,23,15.5,25.7,21.5,23.6,92,6,40
2017,11,24,15.4,25.2,21.5,23.35,89,6,40
2017,11,25,1,26.7,21.8,24.25,86,5,90
2017,11,26,0.1,27.5,22,24.75,92,4,40
2017,11,27,-1,27.5,23.1,25.3,91,5,40
2017,11,28,2,28.5,23.3,25.9,89,5,70
2017,11,29,1.4,27.5,22.4,24.95,91,5,90
2017,11,30,71.2,27.5,22.2,24.85,97,5,70
2017,12,1,18.2,25,22.3,23.65,94,6,40
2017,12,2,6.6,25.5,21.8,23.65,93,5,360
2017,12,3,8.4,26.7,22.2,24.45,94,3,360
2017,12,4,0,25.8,18.4,22.1,81,5,360
2017,12,5,4,25.3,18,21.65,86,5,70
2017,12,6,20.2,23.5,17.3,20.4,94,4,70
2017,12,7,36,24.5,18.2,21.35,97,2,360
2017,12,8,2.7,23.5,17.2,20.35,93,8,40
2017,12,9,3.6,23.6,17.5,20.55,96,3,40
2017,12,10,9.4,24.2,18.6,21.4,88,3,70
2017,12,11,17.8,24.5,18.7,21.6,88,5,70
2017,12,12,1.6,23.8,17.5,20.65,84,5,70
2017,12,13,1,25.1,18.5,21.8,79,5,90
2017,12,14,0,25,18.6,21.8,80,6,90
2017,12,15,0,25.2,18.9,22.05,81,4,70
2017,12,16,2.1,25.5,17.4,21.45,86,6,20
2017,12,17,1,23.5,17,20.25,86,9,40
2017,12,18,3,22.2,15.4,18.8,95,6,40
2017,12,19,8.4,22.2,17,19.6,95,8,40
2017,12,20,-1,22,16.2,19.1,84,9,40
2017,12,21,0,22,16,19,75,6,40
2017,12,22,0,23.8,17.8,20.8,83,5,40
2017,12,23,0.2,24.7,19.8,22.25,88,4,70
2017,12,24,9.4,24.7,17,20.85,95,4,40
2017,12,25,0.2,21.2,15.9,18.55,91,7,70
2017,12,26,1.4,22.3,17.5,19.9,90,5,40
2017,12,27,0,22.5,18,20.25,80,5,40
2017,12,28,-1,24,18.5,21.25,87,4,40
2017,12,29,0.3,24.5,18.5,21.5,86,4,70
2017,12,30,0,24.6,18,21.3,80,4,90
2017,12,31,-1,24.6,18.2,21.4,79,5,70
2018,1,1,1,23.8,18,20.9,85,6,70
2018,1,2,-1,23.5,18,20.75,77,6,90
2018,1,3,0.1,24,18.5,21.25,87,5,70
2018,1,4,0,25.5,19.5,22.5,92,4,120
2018,1,5,2,27,18.2,22.6,94,3,40
2018,1,6,1.1,23.6,18.2,20.9,97,4,40
2018,1,7,0,24.8,18.7,21.75,95,3,360
2018,1,8,-1,28.5,20.2,24.35,92,2,340
2018,1,9,7.8,21.5,15.2,18.35,93,7,40
2018,1,10,2.72,19.2,15,17.1,84,5,40
2018,1,11,1.2,19,13.5,16.25,89,5,40
2018,1,12,0,22,12.7,17.35,80,6,40
2018,1,13,0.3,19.6,13.4,16.5,75,6,40
2018,1,14,0,22.5,17.1,19.8,81,4,40
2018,1,15,8,23.5,18.7,21.1,85,4,40
2018,1,16,13.4,24.5,19.8,22.15,94,4,150
2018,1,17,-1,27.5,21,24.25,93,3,120
2018,1,18,0,25.5,21,23.25,89,3,90
2018,1,19,0,25.6,21,23.3,92,3,70
2018,1,20,0,25.4,20.6,23,91,3,40
2018,1,21,6.2,25.5,20.3,22.9,88,2,90
2018,1,22,2.3,25.1,18.9,22,94,3,40
2018,1,23,6,24,19,21.5,92,4,40
2018,1,24,0.2,24,19.8,21.9,88,4,40
2018,1,25,9.2,24.5,19.8,22.15,93,4,70
2018,1,26,24.8,25,18.3,21.65,94,6,40
2018,1,27,5.4,23.6,20.2,21.9,93,6,40
2018,1,28,13.3,25.2,18.5,21.85,92,6,120
2018,1,29,4.7,21,16.7,18.85,86,5,40
2018,1,30,1.4,23,18,20.5,85,4,90
2018,1,31,0,25.5,18.1,21.8,88,3,90
2018,2,1,0,22.7,17.7,20.2,87,5,40
2018,2,2,0.8,24.1,17.2,20.65,85,5,70
