YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,25.8,28,24.4,26.2,90,4,40
2017,1,2,33,29.5,24.8,27.15,89,4,40
2017,1,3,68,26.8,24.5,25.65,92,3,40
2017,1,4,31.6,27.8,24,25.9,91,4,40
2017,1,5,11.6,27.8,22.6,25.2,87,3,40
2017,1,6,1.6,27.7,23,25.35,87,2,20
2017,1,7,3.2,28.5,23.5,26,88,2,40
2017,1,8,32,26.6,23.5,25.05,92,2,40
2017,1,9,203.6,26,23.5,24.75,95,3,40
2017,1,10,51.6,26.1,23,24.55,94,4,40
2017,1,11,4,29.9,24.1,27,87,2,90
2017,1,12,31,27.8,23.5,25.65,88,3,40
2017,1,13,55.4,25,23,24,96,1,40
2017,1,14,19.4,26.1,23.6,24.85,95,1,90
2017,1,15,39.2,26.5,23,24.75,94,4,40
2017,1,16,3.2,26.4,22.7,24.55,88,4,40
2017,1,17,5.6,26.4,22.7,24.55,81,4,40
2017,1,18,14.8,26.5,23.5,25,87,3,40
2017,1,19,0.8,28,23.3,25.65,86,3,40
2017,1,20,9.4,25.8,23.6,24.7,91,3,20
2017,1,21,79.4,26.6,23.5,25.05,90,3,20
2017,1,22,35.8,26.9,23.5,25.2,95,2,90
2017,1,23,0,29.5,25.3,27.4,80,5,60
2017,1,24,5,28.5,23.8,26.15,81,4,90
2017,1,25,11.8,26.2,21.4,23.8,86,3,40
2017,1,26,4.4,28.3,24,26.15,81,3,60
2017,1,27,6,27.2,23,25.1,86,3,60
2017,1,28,7.4,27.5,24,25.75,85,3,40
2017,1,29,5.8,27.8,23.4,25.6,93,2,60
2017,1,30,-1,30.2,24.3,27.25,89,1,20
2017,1,31,12.6,27,23.5,25.25,93,1,40
2017,2,1,8.2,29.2,22.3,25.75,88,2,60
2017,2,2,24.8,26.4,23.5,24.95,92,4,60
2017,2,3,10.8,28,22.5,25.25,88,3,40
2017,2,4,0,27.8,21.4,24.6,87,2,40
2017,2,5,0.6,27.9,22.5,25.2,88,2,20
2017,2,6,0,28,23.6,25.8,82,3,40
2017,2,7,2.6,29.5,22.4,25.95,83,2,20
2017,2,8,0,29.5,23.5,26.5,83,4,40
2017,2,9,0,29,21.1,25.05,79,3,20
2017,2,10,2,27.6,22.3,24.95,82,3,40
2017,2,11,9.2,26,22,24,85,4,40
2017,2,12,2.2,26.5,21.4,23.95,80,3,40
2017,2,13,1.5,27.1,20.9,24,76,4,20
2017,2,14,9.4,26.8,21,23.9,82,4,40
2017,2,15,10,26,22,24,81,3,40
2017,2,16,11,26.9,22.5,24.7,89,4,20
2017,2,17,15.2,27.8,24.5,26.15,89,3,60
2017,2,18,23,29.1,23.5,26.3,91,2,60
2017,2,19,1.2,29,23.4,26.2,85,2,60
2017,2,20,-1,27.8,24,25.9,89,2,40
2017,2,21,4.6,28.5,24,26.25,86,3,40
2017,2,22,8.4,26.7,23.2,24.95,91,3,40
2017,2,23,18.4,26.7,23.5,25.1,94,2,20
2017,2,24,0,29.1,22.4,25.75,89,2,40
2017,2,25,0.8,29,21.9,25.45,88,2,60
2017,2,26,0,29,23.2,26.1,85,2,40
2017,2,27,0,29.1,22.5,25.8,79,3,40
2017,2,28,11.4,28.9,23.1,26,86,4,40
2017,3,1,0.6,28.3,22.5,25.4,89,2,60
2017,3,2,3.6,28.5,22.5,25.5,87,1,40
2017,3,3,6,26.8,22.1,24.45,93,1,60
2017,3,4,0,29.6,23,26.3,79,2,60
2017,3,5,0,29.1,21,25.05,81,2,40
2017,3,6,0,31,21.8,26.4,81,2,40
2017,3,7,0,28.3,23.1,25.7,78,3,40
2017,3,8,9,28.4,23.5,25.95,81,2,40
2017,3,9,1.6,27,21.8,24.4,84,2,40
2017,3,10,0,29.2,23.7,26.45,83,3,40
2017,3,11,56.2,27,24,25.5,93,2,20
2017,3,12,16.6,27.5,23.5,25.5,92,2,40
2017,3,13,0,28.2,23,25.6,91,1,90
2017,3,14,0,30.4,23.8,27.1,87,2,40
2017,3,15,48.8,27.2,22.6,24.9,94,1,40
2017,3,16,0.2,29,23.3,26.15,84,3,40
2017,3,17,0,29.8,23.1,26.45,78,1,60
2017,3,18,3,27.6,24,25.8,79,2,60
2017,3,19,0.4,29.8,22,25.9,82,2,90
