YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,32,19.2,25.6,69,3,90
2017,1,2,0,32,21.3,26.65,76,2,40
2017,1,3,0,32.7,19.8,26.25,66,3,40
2017,1,4,0,33.2,19.7,26.45,72,1,70
2017,1,5,0,30.4,19.8,25.1,77,2,320
2017,1,6,0,30.6,20.2,25.4,77,2,90
2017,1,7,0,29.8,20.3,25.05,79,2,320
2017,1,8,0,28.8,19.6,24.2,81,2,320
2017,1,9,0,32.1,18.6,25.35,71,2,40
2017,1,10,0,32.8,22.2,27.5,66,3,40
2017,1,11,-1,31.7,22.7,27.2,64,4,90
2017,1,12,0,31.1,23.4,27.25,76,2,320
2017,1,13,0,30.4,22.4,26.4,80,2,360
2017,1,14,0,31.6,24.8,28.2,76,5,20
2017,1,15,0,29.8,21.7,25.75,63,3,20
2017,1,16,0,30.6,18,24.3,63,3,40
2017,1,17,0,31.4,19.1,25.25,68,3,90
2017,1,18,0,31.1,17.8,24.45,72,2,90
2017,1,19,0,29.6,18.2,23.9,75,2,320
2017,1,20,0,30.6,17.2,23.9,67,2,360
2017,1,21,0,30.6,19.2,24.9,77,3,360
2017,1,22,0,31,23.4,27.2,74,4,20
2017,1,23,-1,30.7,23.5,27.1,64,4,40
2017,1,24,-1,30.2,23.7,26.95,62,3,40
2017,1,25,-1,30.4,22.4,26.4,65,5,20
2017,1,26,0,28.4,17.5,22.95,61,4,40
2017,1,27,0,32,20.4,26.2,68,2,40
2017,1,28,0,31.8,18.4,25.1,64,2,90
2017,1,29,0,30,20.6,25.3,73,2,340
2017,1,30,0.8,31,22.5,26.75,70,4,40
2017,1,31,0,34,24.5,29.25,59,4,40
2017,2,1,-1,31.3,25,28.15,69,5,20
2017,2,2,0,30.2,21.5,25.85,59,4,40
2017,2,3,0,31.2,20.2,25.7,60,3,40
2017,2,4,0,29.6,22.8,26.2,66,2,340
2017,2,5,-1,28.4,23,25.7,75,1,340
2017,2,6,0.8,30,20,25,66,3,40
2017,2,7,0,30.8,19.4,25.1,64,3,40
2017,2,8,0,29.6,22.2,25.9,73,2,320
2017,2,9,0,28.2,22,25.1,63,5,360
2017,2,10,0,26.4,19.7,23.05,62,5,40
2017,2,11,0,30,17.2,23.6,63,2,40
2017,2,12,0,30.2,18.5,24.35,60,2,40
2017,2,13,0,29.5,18.5,24,58,3,70
2017,2,14,0,28.3,16.1,22.2,53,4,90
2017,2,15,0,29.6,16,22.8,61,2,90
2017,2,16,0,29.8,17.1,23.45,64,3,340
2017,2,17,0,29.7,20.2,24.95,63,2,340
2017,2,18,-1,30.4,24,27.2,66,2,40
2017,2,19,0,30.4,23.3,26.85,64,2,340
2017,2,20,0,30,22.4,26.2,75,3,340
2017,2,21,0,34.1,23.4,28.75,72,3,340
2017,2,22,0,30.5,22.3,26.4,79,3,360
2017,2,23,0,29.5,22,25.75,80,3,340
2017,2,24,0,31.1,23.6,27.35,72,3,40
2017,2,25,0,32,24.3,28.15,68,3,360
2017,2,26,0,29.6,24,26.8,71,5,360
2017,2,27,0,31.6,24.3,27.95,64,5,20
2017,2,28,0,33.6,23,28.3,62,2,360
2017,3,1,0,30.2,23.8,27,71,5,360
2017,3,2,0,30.8,21.7,26.25,64,3,360
2017,3,3,0,31.6,20.1,25.85,63,3,360
2017,3,4,0,31,21.4,26.2,64,2,320
2017,3,5,0,30.4,22,26.2,77,2,270
2017,3,6,0,29.8,20.6,25.2,76,4,360
2017,3,7,0,31.4,22.1,26.75,69,3,360
2017,3,8,0,30.6,21.4,26,66,2,340
2017,3,9,0,32.2,21.8,27,70,2,180
2017,3,10,0,30,21.2,25.6,74,3,290
2017,3,11,0,30.6,21.2,25.9,76,3,360
2017,3,12,0,32.2,21.9,27.05,74,2,250
2017,3,13,0,30.8,23.4,27.1,89,2,290
2017,3,14,0,30.4,23.3,26.85,72,3,360
2017,3,15,0,32.8,21.2,27,62,3,360
2017,3,16,0,30.5,22.5,26.5,60,2,320
2017,3,17,0,30.6,22.3,26.45,76,3,270
2017,3,18,0,30.6,21.3,25.95,76,2,320
2017,3,19,0,30.4,20.8,25.6,77,2,320
2017,3,20,0,30.4,22,26.2,76,2,290
2017,3,21,0,31.4,23.2,27.3,77,3,320
2017,3,22,0,30.8,24.5,27.65,79,2,270
2017,3,23,0,31,23,27,77,2,320
2017,3,24,0,33.2,23.4,28.3,68,3,320
2017,3,25,0,31.8,22.4,27.1,72,3,340
2017,3,26,0,32.5,23.5,28,67,5,40
2017,3,27,0,34.8,24,29.4,52,3,40
2017,3,28,0,33,22.6,27.8,61,3,340
2017,3,29,0,31.4,22.4,26.9,68,2,340
2017,3,30,0,31.8,23.6,27.7,76,2,340
2017,3,31,0,31.2,23,27.1,78,3,250
2017,4,1,10,30.4,23.2,26.8,67,5,20
2017,4,2,0,30.8,20.1,25.45,57,4,20
2017,4,3,0,31.6,20.7,26.15,57,4,340
2017,4,4,0,30.4,21.3,25.85,63,2,320
2017,4,5,0,30.6,21.4,26,69,2,340
2017,4,6,0,31.4,22.5,26.95,73,2,340
2017,4,7,0,31.8,23.7,27.75,75,3,320
2017,4,8,0,33.4,23.2,28.3,81,3,270
2017,4,9,0,32.4,24.3,28.35,74,2,270
2017,4,10,0,32.4,24.5,28.45,76,2,270
2017,4,11,0,32.1,23.1,27.6,78,3,290
2017,4,12,0,33,23.4,28.2,71,3,360
2017,4,13,0,32.6,23.6,28.1,74,2,290
2017,4,14,0,31.6,23.8,27.7,80,2,320
2017,4,15,0,32,23.2,27.6,78,2,340
2017,4,16,0,32.4,25.3,28.85,78,2,270
2017,4,17,10.2,33,25.2,29.1,79,3,270
2017,4,18,0,32,25.7,28.85,84,2,290
2017,4,19,1.2,32,24.6,28.3,77,3,250
2017,4,20,0,32,22.6,27.3,76,3,250
2017,4,21,0,31.8,23.4,27.6,71,2,320
2017,4,22,2.8,32.8,24.8,28.8,70,2,320
2017,4,23,0,32.5,24.2,28.35,74,2,340
2017,4,24,0,32.4,24.1,28.25,76,2,290
2017,4,25,0,32.2,24.6,28.4,77,2,290
2017,4,26,0,32.8,24.4,28.6,77,2,290
2017,4,27,0,32,24.7,28.35,76,3,340
2017,4,28,0,32,24.2,28.1,74,3,220
2017,4,29,0,32.6,23.9,28.25,68,3,360
2017,4,30,0,32,24.6,28.3,76,2,270
2017,5,1,0,32.4,24,28.2,77,1,270
2017,5,2,0,32.4,24.2,28.3,77,2,320
2017,5,3,0,32.4,24.3,28.35,79,2,340
2017,5,4,0,32.8,24.6,28.7,74,2,290
2017,5,5,0,33,24.1,28.55,75,3,320
2017,5,6,0,33,24.6,28.8,75,2,270
2017,5,7,0,33.2,25.1,29.15,74,2,320
2017,5,8,0,33.2,26.6,29.9,76,2,270
2017,5,9,0,33.4,25.5,29.45,71,4,360
2017,5,10,0,33.6,26,29.8,74,2,290
2017,5,11,0,33.6,26.1,29.85,75,2,320
2017,5,12,0,33.6,25.5,29.55,74,3,320
2017,5,13,0,34.4,24.7,29.55,69,3,320
2017,5,14,0,34.4,25.5,29.95,72,2,270
2017,5,15,-1,34,26.4,30.2,74,3,250
2017,5,16,6.6,33,26,29.5,73,2,220
2017,5,17,11.8,27.8,25,26.4,93,1,90
2017,5,18,9.6,27.4,24.1,25.75,94,1,90
2017,5,19,12,31.6,24.4,28,84,1,110
2017,5,20,54.6,29.7,24.3,27,92,2,220
2017,5,21,33,29.2,24.2,26.7,95,1,180
2017,5,22,-1,32,25.2,28.6,81,2,290
2017,5,23,6.4,32,25.4,28.7,84,2,220
2017,5,24,0.2,31.2,25,28.1,84,3,220
2017,5,25,0.2,31.5,25.4,28.45,83,2,220
2017,5,26,0.6,31.6,25.8,28.7,86,2,250
2017,5,27,53.8,30.8,24.3,27.55,90,1,290
2017,5,28,27,31.4,24.5,27.95,89,2,270
2017,5,29,0.4,31,25.4,28.2,84,1,360
2017,5,30,15,32,24.9,28.45,87,2,110
2017,5,31,1.4,32.3,24.6,28.45,85,3,220
2017,6,1,0,32.2,25.9,29.05,79,3,220
2017,6,2,0,33.3,25.3,29.3,78,4,220
2017,6,3,-1,33,26.3,29.65,75,6,220
2017,6,4,0,33.2,25.7,29.45,79,3,220
2017,6,5,3,33.2,24.2,28.7,83,3,110
2017,6,6,0,32.7,26.1,29.4,80,2,320
2017,6,7,0,32.7,26.4,29.55,79,3,340
2017,6,8,0,32.8,26.9,29.85,79,3,250
2017,6,9,14.8,33,25.5,29.25,84,2,270
2017,6,10,3.4,32.6,25.6,29.1,87,1,320
2017,6,11,-1,32.8,25.9,29.35,79,2,220
2017,6,12,0,32.2,25,28.6,80,3,220
2017,6,1.3,-1,33.1,25,29.05,78,2,220
2017,6,14,0,33.1,25.5,29.3,77,3,250
2017,6,15,0,32.6,24.9,28.75,78,3,250
2017,6,16,-1,32.5,25.9,29.2,76,3,220
2017,6,17,1,33,25.4,29.2,79,3,220
2017,6,18,0,33,27.3,30.15,78,2,220
2017,6,19,-1,33.2,25.5,29.35,79,2,110
2017,6,20,0,33.4,26,29.7,79,3,220
2017,6,21,0,33.2,26.9,30.05,78,3,270
2017,6,22,2.4,32.8,25.3,29.05,81,3,90
2017,6,23,83.4,31,24.4,27.7,88,2,250
2017,6,24,0,32.4,25.2,28.8,79,3,220
2017,6,25,-1,33.4,24.4,28.9,78,3,320
2017,6,26,0,33.1,25.9,29.5,77,2,340
2017,6,27,0,33.7,25.4,29.55,79,3,360
2017,6,28,-1,33.8,25.2,29.5,76,3,90
2017,6,29,22.6,32.2,24,28.1,84,2,320
2017,6,30,0.6,33.4,24.2,28.8,82,2,110
2017,7,1,29.2,33,24,28.5,83,2,90
2017,7,2,0,32.6,25.1,28.85,80,1,270
2017,7,3,26.8,32.6,23.8,28.2,84,2,290
2017,7,4,2.2,31.7,24.5,28.1,85,2,290
2017,7,5,-1,32.3,25.8,29.05,81,2,40
2017,7,6,2.2,32.6,25.1,28.85,82,2,220
2017,7,7,-1,32.5,25.4,28.95,80,2,320
2017,7,8,2.4,33,25.3,29.15,82,2,270
2017,7,9,0,32.8,25.1,28.95,80,2,270
2017,7,10,0.2,32.8,24.6,28.7,84,2,110
2017,7,11,0,31.7,26.5,29.1,82,2,290
2017,7,12,2.4,32.6,23.3,27.95,86,3,270
2017,7,13,-1,32,24.8,28.4,87,2,270
2017,7,14,13.6,32.8,25.2,29,85,2,270
2017,7,15,18.2,32.2,25.3,28.75,87,2,270
2017,7,16,4.8,30.8,24.5,27.65,88,2,320
2017,7,17,0,32.8,26,29.4,85,2,320
2017,7,18,6.4,33.2,25.5,29.35,83,2,270
2017,7,19,-1,32.5,25,28.75,83,2,270
2017,7,20,1,31.4,25,28.2,86,2,90
2017,7,21,23,32.2,24.2,28.2,86,2,290
2017,7,22,34.2,32.4,24.6,28.5,87,2,220
2017,7,23,0.2,32,25,28.5,85,2,220
2017,7,24,1.6,32.4,25.7,29.05,84,2,240
2017,7,25,39.6,32,24.2,28.1,88,2,220
2017,7,26,0,31.7,25.2,28.45,82,2,200
2017,7,27,0.2,30.8,25.5,28.15,84,2,180
2017,7,28,55,28.2,24.4,26.3,92,4,180
2017,7,29,102.2,27.8,24.2,26,89,6,180
2017,7,30,68.8,29,25,27,92,6,200
2017,7,31,13.1,31.7,26.1,28.9,87,4,170
2017,8,1,31.6,31,25.5,28.25,91,3,180
2017,8,2,20.6,28.4,25.2,26.8,95,2,130
2017,8,3,2.2,30.2,24.3,27.25,90,2,210
2017,8,4,19.4,31.2,24.4,27.8,89,2,230
2017,8,5,2.2,30.6,24.9,27.75,87,2,230
2017,8,6,0,32.3,26.4,29.35,83,3,220
2017,8,7,14,31,24.5,27.75,87,2,230
2017,8,8,1.2,32,25.2,28.6,85,2,240
2017,8,9,-1,31.7,25,28.35,82,3,230
2017,8,10,0,31.8,24.8,28.3,81,2,230
2017,8,11,-1,31.6,26.3,28.95,81,2,290
2017,8,12,0.4,31.8,24.4,28.1,85,2,300
2017,8,13,0,32,25.6,28.8,84,2,100
2017,8,14,4.7,32.6,24.5,28.55,86,2,330
2017,8,15,-1,31.6,25.5,28.55,85,2,90
2017,8,16,0.8,32.4,24.2,28.3,81,2,320
2017,8,17,0,32.4,26.5,29.45,82,2,250
2017,8,18,0,32.8,25.8,29.3,84,2,90
2017,8,19,-1,33.6,24.3,28.95,85,2,290
2017,8,20,-1,32.2,25.5,28.85,81,2,120
2017,8,21,142.2,26.7,23.2,24.95,97,3,180
2017,8,22,16.4,27.2,23.2,25.2,94,4,170
2017,8,23,0.4,31.4,25,28.2,85,3,90
2017,8,24,26.6,30.8,24.3,27.55,91,1,180
2017,8,25,20.6,31.4,24.8,28.1,87,3,40
2017,8,26,4.2,28,24.3,26.15,93,1,90
2017,8,27,0,31.2,23.9,27.55,88,3,340
2017,8,28,1.4,32.9,25.2,29.05,81,3,360
2017,8,29,0.8,31.4,24.7,28.05,81,4,20
2017,8,30,11.3,27,24.7,25.85,94,2,90
2017,8,31,31.8,30.2,25.2,27.7,89,3,180
2017,9,1,62.2,28.8,24.2,26.5,89,5,180
2017,9,2,12.4,30.6,23,26.8,89,3,220
2017,9,3,0,31.6,24.2,27.9,82,3,220
2017,9,4,6.7,31.7,24.9,28.3,85,2,300
2017,9,5,83,25.4,22.4,23.9,98,3,160
2017,9,6,1,28.4,23.4,25.9,91,3,180
2017,9,7,0,30.8,24.1,27.45,83,2,270
2017,9,8,0,31,25.2,28.1,85,3,340
