YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,14.2,27,23,25,88,1,40
2017,1,2,2.2,30.4,24,27.2,86,2,70
2017,1,3,0,30,24,27,81,2,40
2017,1,4,7,31.4,24,27.7,82,2,90
2017,1,5,4.4,29.2,23,26.1,91,2,40
2017,1,6,1.2,27.2,24,25.6,87,2,90
2017,1,7,27.2,28,23,25.5,89,1,320
2017,1,8,42,24.6,22.8,23.7,93,3,340
2017,1,9,29,27,23.8,25.4,97,2,100
2017,1,10,87.6,27,24,25.5,90,2,70
2017,1,11,88.2,25,23.4,24.2,93,2,160
2017,1,12,9.8,26,22.8,24.4,96,2,340
2017,1,13,1.8,28,23.8,25.9,90,2,320
2017,1,14,70.8,26,23.8,24.9,97,1,350
2017,1,15,40.4,27,23.9,25.45,94,1,320
2017,1,16,50.2,24.9,22.7,23.8,94,1,340
2017,1,17,27.4,25.5,23,24.25,93,5,140
2017,1,18,52.2,25.5,23.5,24.5,94,2,80
2017,1,19,44.4,25,23,24,96,2,340
2017,1,20,0.2,28.4,23.1,25.75,90,1,340
2017,1,21,5.2,27.7,23.6,25.65,90,1,330
2017,1,22,1.4,29.8,24.8,27.3,84,2,40
2017,1,23,1.6,29.8,24.6,27.2,79,6,70
2017,1,24,0,29,24.5,26.75,79,3,70
2017,1,25,3.5,29,23,26,77,4,90
2017,1,26,0.2,29.8,23,26.4,81,3,90
2017,1,27,2.8,29,23.4,26.2,80,1,340
2017,1,28,41.2,26,22.6,24.3,93,1,240
2017,1,29,0,29,25,27,89,1,340
2017,1,30,3.9,29.6,24.8,27.2,85,2,360
2017,1,31,1,31,24,27.5,86,1,120
2017,2,1,28.2,29.5,22.7,26.1,87,2,340
2017,2,2,4,29,24,26.5,85,2,320
2017,2,3,2.6,27.5,23,25.25,84,1,340
2017,2,4,0,27.2,23.7,25.45,86,2,320
2017,2,5,5.8,26.6,24,25.3,91,2,340
2017,2,6,-1,27,22,24.5,86,3,340
2017,2,7,2,28,23.6,25.8,86,2,360
2017,2,8,0,29,24,26.5,86,2,320
2017,2,9,8.6,28.5,23.2,25.85,89,1,330
2017,2,10,0,28,23,25.5,81,1,360
2017,2,11,0,28.2,24,26.1,87,3,320
2017,2,12,0,27.4,23.4,25.4,75,4,40
2017,2,13,0,28.2,23,25.6,82,8,40
2017,2,14,0,28.2,23,25.6,78,3,30
2017,2,15,1.8,28,23,25.5,87,1,360
2017,2,16,43.8,25.8,22.6,24.2,93,1,340
2017,2,17,2.8,29.8,24.2,27,100,1,140
2017,2,18,5,30.4,24,27.2,83,2,110
2017,2,19,15.8,29.6,24,26.8,86,1,40
2017,2,20,15,26,23,24.5,90,2,120
2017,2,21,0.1,30,24,27,79,2,40
2017,2,22,16.6,28,24,26,86,2,70
2017,2,23,55.6,29.5,24,26.75,90,2,70
2017,2,24,0,29.4,23.2,26.3,85,1,340
2017,2,25,0,31,24,27.5,81,3,60
2017,2,26,0,31,25,28,72,1,50
2017,2,27,12.8,29,23.6,26.3,86,2,350
2017,2,28,0.6,30,24.2,27.1,80,2,30
2017,3,1,0.2,29.2,22.8,26,82,1,360
2017,3,2,0,30,22.2,26.1,81,2,360
2017,3,3,0,29,24.2,26.6,82,1,40
2017,3,4,0,29.4,23,26.2,82,3,40
2017,3,5,2.2,28,24,26,83,1,40
2017,3,6,66.4,25.2,23.6,24.4,93,2,320
2017,3,7,26.6,28,23.8,25.9,88,1,340
2017,3,8,14.1,27,23,25,92,1,100
2017,3,9,3.6,26.2,23,24.6,92,1,360
2017,3,10,44.6,27.2,23.4,25.3,92,1,70
2017,3,11,5.8,27,24,25.5,91,2,360
2017,3,12,0,29.2,24.8,27,84,1,360
2017,3,13,-1,30.4,24.8,27.6,81,2,90
2017,3,14,0,30,24.8,27.4,90,1,340
2017,3,15,5.5,29.7,24,26.85,84,2,340
2017,3,16,0,28,23.2,25.6,87,1,30
2017,3,17,0,29,24.2,26.6,78,2,90
2017,3,18,0,29.8,24.8,27.3,80,2,70
2017,3,19,0,30.8,24,27.4,76,1,20
2017,3,20,0.8,25,23,24,86,2,360
2017,3,21,0,29.5,24.4,26.95,84,1,180
2017,3,22,0,32.5,24,28.25,77,2,90
2017,3,23,0,32.5,24.2,28.35,76,3,90
2017,3,24,0,31.2,23,27.1,80,2,70
2017,3,25,0,31,23.5,27.25,80,2,340
2017,3,26,0,30.6,24.6,27.6,81,1,40
2017,3,27,4.8,30,23.8,26.9,82,2,80
2017,3,28,31.8,28,23.8,25.9,86,2,70
2017,3,29,4.8,29.5,24.5,27,83,2,50
2017,3,30,16.6,29.6,23.6,26.6,85,3,90
2017,3,31,11,27.2,23.8,25.5,88,1,340
2017,4,1,0,30,25.1,27.55,83,1,340
2017,4,2,23.6,28.2,23.4,25.8,87,1,320
2017,4,3,85.8,27,23,25,91,1,270
2017,4,4,36.2,25,22.5,23.75,94,1,340
2017,4,5,17.4,28.5,23.6,26.05,89,2,340
2017,4,6,14.2,27,24,25.5,92,1,270
2017,4,7,0.2,30,24.9,27.45,84,1,90
2017,4,8,3.8,29.2,24.2,26.7,83,3,40
2017,4,9,0,31.5,22.5,27,83,1,40
2017,4,10,0,30.4,24.8,27.6,81,1,220
2017,4,11,0,32,25,28.5,79,1,90
2017,4,12,12.8,29.5,24.2,26.85,84,2,40
2017,4,13,0,32,24.7,28.35,80,2,220
2017,4,14,7,29,24.4,26.7,85,1,320
2017,4,15,11.6,28.9,25,26.95,88,2,140
2017,4,16,0,30,25.4,27.7,80,1,90
2017,4,17,0,32.4,24.6,28.5,79,2,80
2017,4,18,0,32.5,24,28.25,79,1,90
2017,4,19,0,31.5,26,28.75,78,1,140
2017,4,20,0,33,25.4,29.2,78,1,90
2017,4,21,0,31,25.2,28.1,79,1,140
2017,4,22,0,31.8,25.5,28.65,79,2,340
2017,4,23,0,31.2,24.2,27.7,81,1,90
2017,4,24,2.2,31.1,23.8,27.45,83,2,220
2017,4,25,0,31.2,24,27.6,79,1,20
2017,4,26,2.2,30.4,24.6,27.5,85,1,360
2017,4,27,0,31.5,25.4,28.45,81,2,340
2017,4,28,0,31.6,25,28.3,81,1,20
2017,4,29,0,31.8,24.9,28.35,79,1,180
2017,4,30,0,33,25.2,29.1,78,2,90
2017,5,1,0,33,24.5,28.75,79,2,220
2017,5,2,1.8,30.5,26,28.25,81,1,230
2017,5,3,6.6,29,25,27,89,1,70
2017,5,4,0,33,26,29.5,77,2,90
2017,5,5,5.6,32.2,25.2,28.7,77,2,90
2017,5,6,1.8,31.8,25,28.4,81,2,50
2017,5,7,11.2,28.6,24.2,26.4,90,2,340
2017,5,8,0,31.6,25.8,28.7,80,3,90
2017,5,9,45.2,31,24.4,27.7,75,2,90
2017,5,10,4.6,30,25,27.5,88,1,30
2017,5,11,4.4,29,25,27,90,2,60
2017,5,12,17.6,29,25,27,89,1,70
2017,5,13,0.4,28.2,25,26.6,86,1,270
2017,5,14,0,31,24.2,27.6,84,1,20
2017,5,15,0,31.4,26,28.7,81,2,90
2017,5,16,0,31.2,26,28.6,83,1,140
2017,5,17,0,31.6,26,28.8,83,2,160
2017,5,18,0,32,25.9,28.95,82,2,90
2017,5,19,0,32,26.2,29.1,79,2,20
2017,5,20,0,32,25,28.5,84,1,140
2017,5,21,1.8,31,26,28.5,85,1,180
2017,5,22,7.4,31.2,25.4,28.3,82,2,360
2017,5,23,0,31,25.6,28.3,83,1,130
2017,5,24,7.4,30.5,25,27.75,85,1,90
2017,5,25,0,31,25.1,28.05,87,1,360
2017,5,26,0,31.8,26.8,29.3,84,1,140
2017,5,27,0,32,26,29,81,2,160
2017,5,28,0,32.4,26.8,29.6,81,1,140
2017,5,29,-1,33.5,25.7,29.6,78,2,140
2017,5,30,0,33,26,29.5,78,2,20
2017,5,31,-1,33,26.8,29.9,78,2,160
2017,6,1,0,32.4,25.2,28.8,81,2,180
2017,6,2,0,31.8,25.1,28.45,82,1,40
2017,6,3,0,33,25.8,29.4,78,2,160
2017,6,4,0,32.2,25.4,28.8,83,1,340
2017,6,5,17,31,24,27.5,83,2,110
2017,6,6,1.6,29.2,24,26.6,88,2,360
2017,6,7,2.2,29,24,26.5,91,1,360
2017,6,8,19,26.8,24,25.4,91,1,90
2017,6,9,6.2,29,24.8,26.9,91,1,90
2017,6,10,0,30.5,25,27.75,86,1,360
2017,6,11,0,31.5,24.8,28.15,84,1,340
2017,6,12,0,31,24.8,27.9,83,2,360
2017,6,13,0,32.4,27,29.7,74,2,90
2017,6,14,0,33.4,26.8,30.1,77,1,330
2017,6,15,0,33.2,25,29.1,79,2,350
2017,6,16,0,32.6,26.2,29.4,74,1,160
2017,6,17,0,33.4,25,29.2,77,2,160
2017,6,18,0,33,26.8,29.9,76,1,180
2017,6,19,0,33.8,26.3,30.05,76,2,90
2017,6,20,0,34,24.6,29.3,77,1,360
2017,6,21,10.2,31,24,27.5,84,1,320
2017,6,22,0.2,30,24.6,27.3,86,1,350
2017,6,23,0.2,32,24,28,80,1,340
2017,6,24,0,31.2,25,28.1,82,2,340
2017,6,25,0,32,25,28.5,76,1,360
2017,6,26,2.4,31.2,24.8,28,83,2,140
2017,6,27,0,32.2,24.8,28.5,78,1,340
2017,6,28,0,32.1,25,28.55,79,2,350
2017,6,29,38.6,31.8,23.8,27.8,83,2,90
2017,6,30,30.2,29,24.4,26.7,89,1,40
2017,7,1,1.8,30.8,24,27.4,83,2,340
2017,7,2,15,30,24,27,86,1,340
2017,7,3,0,30,25,27.5,84,2,100
2017,7,4,4.2,28.8,24,26.4,91,1,340
2017,7,5,2,30,25,27.5,85,1,330
2017,7,6,38.4,31,23.2,27.1,89,2,360
2017,7,7,0,29.5,24.2,26.85,87,1,140
2017,7,8,57.8,30.4,23.4,26.9,78,1,90
2017,7,9,0,30,24,27,85,1,360
2017,7,10,2.4,31.4,24.5,27.95,83,1,360
2017,7,11,32.6,28,24,26,90,1,360
2017,7,12,0,29,24.5,26.75,88,1,360
2017,7,13,9.6,30,24.6,27.3,83,1,360
2017,7,14,17.2,29.6,24,26.8,86,1,340
2017,7,15,0.8,30,24.5,27.25,90,1,350
2017,7,16,1.4,30.2,25,27.6,84,2,360
2017,7,17,4,30.9,24.1,27.5,87,1,360
2017,7,18,28.4,31,22.5,26.75,84,2,90
2017,7,19,2.2,30,25,27.5,84,1,240
2017,7,20,0,30,25,27.5,83,2,360
2017,7,21,21,29.6,23,26.3,88,2,340
2017,7,22,13.2,28.4,23.8,26.1,86,1,20
2017,7,23,0,27,23.8,25.4,85,1,320
2017,7,24,3.8,29.2,24,26.6,86,2,360
2017,7,25,9,29.2,24,26.6,86,1,340
2017,7,26,0,29.2,25.2,27.2,85,2,240
2017,7,27,0,30.4,25,27.7,83,1,220
2017,7,28,0,31,26,28.5,83,1,180
2017,7,29,0,31.2,26,28.6,81,3,240
2017,7,30,0,30.8,26,28.4,82,2,220
2017,7,31,0,32,25.5,28.75,80,2,350
2017,8,1,4.2,31,25,28,88,2,240
2017,8,2,76.8,30.5,24,27.25,90,2,240
2017,8,3,2.2,29.5,25,27.25,86,2,240
2017,8,4,0,30.8,24.8,27.8,82,2,240
2017,8,5,0,31,25,28,81,1,180
2017,8,6,5.4,30,25.4,27.7,87,1,360
2017,8,7,0,31.8,26,28.9,81,2,90
2017,8,8,9.4,31.5,24.5,28,84,1,140
2017,8,9,0,30.5,25,27.75,87,1,180
2017,8,10,0,30.5,25,27.75,85,1,360
2017,8,11,0,29.2,25.4,27.3,88,1,40
2017,8,12,28.6,30.4,24,27.2,88,2,340
2017,8,13,0,31,24.9,27.95,82,1,140
2017,8,14,8.2,31.4,24.2,27.8,83,2,350
2017,8,15,0.2,29.5,24.6,27.05,87,1,140
2017,8,16,14.4,28.5,25,26.75,87,1,340
2017,8,17,0,30,25,27.5,83,1,360
2017,8,18,4.4,30.8,25.2,28,82,1,180
2017,8,19,26.4,27.8,25,26.4,91,2,340
2017,8,20,17.8,31.4,24.8,28.1,79,2,360
2017,8,21,4.4,30.8,26,28.4,82,3,220
2017,8,22,6.8,31,24.8,27.9,87,2,140
2017,8,23,-1,29.5,24.2,26.85,86,1,350
2017,8,24,184.6,29.5,22.2,25.85,87,1,270
2017,8,25,0,29.2,25,27.1,88,1,70
2017,8,26,0,31.8,25,28.4,82,2,360
2017,8,27,5.4,30.8,24,27.4,85,1,320
2017,8,28,1.6,29.6,24.8,27.2,84,1,360
2017,8,29,5,30,24.5,27.25,88,2,190
2017,8,30,0,31,26,28.5,79,2,200
2017,8,31,0,31.5,24.8,28.15,79,2,220
2017,9,1,0,32.2,25.8,29,79,1,240
2017,9,2,0,32,25.6,28.8,81,1,70
2017,9,3,0,31.2,25.2,28.2,84,1,360
2017,9,4,37.2,30.6,24,27.3,86,2,90
2017,9,5,0,31,25,28,85,1,180
2017,9,6,0,31.6,26.3,28.95,84,1,60
2017,9,7,0,31.8,24.4,28.1,83,2,140
2017,9,8,0.6,30.4,25.8,28.1,82,1,360
2017,9,9,0,31.4,25,28.2,84,2,330
