YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,8.4,30,24.8,27.4,86,4,360
2017,1,2,8,29.8,24.8,27.3,88,3,350
2017,1,3,1.4,31.4,25.6,28.5,76,4,40
2017,1,4,3,31.8,25,28.4,76,4,360
2017,1,5,0,31.4,25.4,28.4,79,5,40
2017,1,6,11.3,30,24.5,27.25,75,3,360
2017,1,7,3.8,29.2,24.6,26.9,82,3,20
2017,1,8,9.6,26.4,24.4,25.4,87,3,350
2017,1,9,3.1,28.5,24.4,26.45,88,4,350
2017,1,10,77.4,27.2,24,25.6,91,4,360
2017,1,11,15.4,26.1,23.4,24.75,94,2,340
2017,1,12,0,30.4,23.6,27,83,3,360
2017,1,13,11.6,30,24.2,27.1,91,2,300
2017,1,14,19.1,27.5,24.6,26.05,93,1,140
2017,1,15,46,30,24.4,27.2,86,3,360
2017,1,16,32,25.8,23.7,24.75,93,6,360
2017,1,17,1.8,27.1,23.6,25.35,87,6,40
2017,1,18,5,29,24.8,26.9,85,6,360
2017,1,19,11.7,27.8,23.7,25.75,90,4,350
2017,1,20,4.6,30.2,24.5,27.35,83,5,20
2017,1,21,0.4,30.2,24.8,27.5,84,4,20
2017,1,22,0.8,30.4,24.4,27.4,82,4,30
2017,1,23,0,30.4,24.4,27.4,79,6,20
2017,1,24,0,30.2,25.6,27.9,73,6,40
2017,1,25,0,30.5,24.6,27.55,72,6,20
2017,1,26,0,30,23.9,26.95,75,4,20
2017,1,27,-1,30.5,24.2,27.35,72,5,360
2017,1,28,7,28.8,24,26.4,82,4,10
2017,1,29,0,30.5,24.6,27.55,82,3,30
2017,1,30,0.4,31.6,25,28.3,82,2,20
2017,1,31,1,30.8,25.6,28.2,82,3,20
2017,2,1,1,30,24,27,88,3,40
2017,2,2,-1,32,24.6,28.3,73,5,360
2017,2,3,6.2,28.5,23.9,26.2,87,4,360
2017,2,4,0,29.5,24,26.75,78,5,10
2017,2,5,0,30.5,25,27.75,77,3,340
2017,2,6,0,30.6,23.8,27.2,74,4,340
2017,2,7,0,30.8,24.8,27.8,76,4,350
2017,2,8,0,31.6,24.1,27.85,79,4,20
2017,2,9,0,30.8,24.5,27.65,77,4,360
2017,2,10,0,29.8,23.6,26.7,71,4,20
2017,2,11,0,30.2,24.4,27.3,71,6,20
2017,2,12,0,30,23,26.5,68,6,20
2017,2,13,0,29.4,23.2,26.3,60,8,10
2017,2,14,0,29.6,24.4,27,73,7,20
2017,2,15,0,29.8,24.2,27,70,8,360
2017,2,16,12,26.2,22.9,24.55,89,6,20
2017,2,17,1,29.8,24.8,27.3,82,4,360
2017,2,18,0.4,30.6,25.5,28.05,84,4,20
2017,2,19,0,29.6,24.2,26.9,81,4,20
2017,2,20,2.1,27.5,24.2,25.85,85,3,340
2017,2,21,0,30,24.4,27.2,80,5,40
2017,2,22,7.6,29.9,24.6,27.25,81,4,30
2017,2,23,11.6,30.2,24,27.1,89,3,360
2017,2,24,0,29.8,23,26.4,83,3,20
2017,2,25,0,31.2,24,27.6,79,4,40
2017,2,26,0,31,25.2,28.1,73,5,40
2017,2,27,0,30,24.6,27.3,75,5,20
2017,2,28,0,31.4,24,27.7,77,4,20
2017,3,1,0,31,24.9,27.95,74,4,20
2017,3,2,0,31.5,24.6,28.05,74,4,20
2017,3,3,0,31.3,24.2,27.75,73,4,20
2017,3,4,0,31.5,24.7,28.1,73,4,20
2017,3,5,0,31.6,25,28.3,68,5,360
2017,3,6,12,29,24.4,26.7,80,4,360
2017,3,7,13.6,30.1,24.1,27.1,83,5,20
2017,3,8,7.6,31,23.2,27.1,78,6,10
2017,3,9,5.2,28,23.4,25.7,82,3,360
2017,3,10,2.2,31,24.8,27.9,73,5,10
2017,3,11,3.1,29,24.9,26.95,87,3,20
2017,3,12,2.4,30.5,24.4,27.45,84,2,30
2017,3,13,0,30.2,24,27.1,86,2,20
2017,3,14,2,30.7,25.6,28.15,86,2,40
2017,3,15,0,31,25,28,82,4,340
2017,3,16,1,29.4,23.6,26.5,85,4,20
2017,3,17,-1,31,23.6,27.3,74,5,20
2017,3,18,-1,30.3,23.3,26.8,73,4,40
2017,3,19,0,31,24.2,27.6,69,4,40
2017,3,20,1.3,28.5,24.2,26.35,81,2,340
2017,3,21,-1,31.8,25,28.4,79,3,90
2017,3,22,0,32.4,24,28.2,79,3,50
2017,3,23,0,32.4,24.8,28.6,74,3,40
2017,3,24,0,32.9,25.6,29.25,74,3,40
2017,3,25,0,32.8,25.1,28.95,71,3,50
2017,3,26,6.5,32.6,25.8,29.2,77,4,40
2017,3,27,0,31.5,26.2,28.85,81,5,20
2017,3,28,15.1,29.6,24.4,27,83,4,30
2017,3,29,-1,31.2,25.9,28.55,78,5,20
2017,3,30,9.9,29.5,24.4,26.95,87,4,20
2017,3,31,12,27.5,24.5,26,91,3,350
2017,4,1,0,30.6,25.4,28,82,4,360
2017,4,2,106,31.2,23.8,27.5,81,4,360
2017,4,3,10,30.3,23.8,27.05,90,5,360
2017,4,4,14.8,26.2,23.8,25,92,4,20
2017,4,5,2.8,30.8,24.6,27.7,84,5,360
2017,4,6,-1,29.2,25.2,27.2,88,4,20
2017,4,7,6,30.8,25,27.9,81,3,50
2017,4,8,0,31.5,24.4,27.95,78,3,50
2017,4,9,0,31.4,24.4,27.9,79,2,90
2017,4,10,0,31.9,23.8,27.85,77,2,40
2017,4,11,0,32.2,25,28.6,75,3,40
2017,4,12,0,31.8,25.6,28.7,78,4,50
2017,4,13,0,32.8,26.2,29.5,73,5,40
2017,4,14,-1,32.5,26.2,29.35,71,5,50
2017,4,15,78,31.5,24.8,28.15,80,3,30
2017,4,16,7.1,28.5,24.4,26.45,94,1,360
2017,4,17,0,31.8,24.3,28.05,81,2,50
2017,4,18,0,32.3,24.2,28.25,77,2,40
2017,4,19,0,32,25,28.5,74,2,50
2017,4,20,0,32.2,25.6,28.9,73,2,40
2017,4,21,0,32.4,25.6,29,74,2,80
2017,4,22,0,32.9,25.8,29.35,75,2,40
2017,4,23,0,32.8,25.6,29.2,76,2,40
2017,4,24,0,32.4,25.4,28.9,77,2,50
2017,4,25,0,32,25.8,28.9,76,3,60
2017,4,26,0,32.2,26,29.1,74,3,50
2017,4,27,0,32.2,24.4,28.3,76,2,40
2017,4,28,0,32,24.7,28.35,74,2,50
2017,4,29,0,33.1,25.8,29.45,75,1,90
2017,4,30,0,33.3,25.6,29.45,75,2,90
2017,5,1,0,33.4,26.2,29.8,74,2,40
2017,5,2,0,34.5,26.8,30.65,70,3,40
2017,5,3,22.9,33.5,23.5,28.5,80,3,90
2017,5,4,0,32.4,26.6,29.5,77,3,50
2017,5,5,0,32.6,27,29.8,73,3,50
2017,5,6,0.1,32.1,26.6,29.35,69,3,60
2017,5,7,2.4,30.5,25,27.75,82,3,360
2017,5,8,0,31.9,26,28.95,76,3,50
2017,5,9,11.3,32.4,25,28.7,80,3,40
2017,5,10,0,32,26,29,79,3,50
2017,5,11,0,31,26.1,28.55,83,3,360
2017,5,12,6.1,30.4,25.8,28.1,83,3,350
2017,5,13,0,31.3,26.4,28.85,81,2,50
2017,5,14,0,32.2,26.2,29.2,77,2,40
2017,5,15,-1,32.2,25.6,28.9,81,2,50
2017,5,16,3.4,32.5,25.3,28.9,83,3,90
2017,5,17,0,32.8,25.4,29.1,78,2,340
2017,5,18,0,33.3,26.5,29.9,80,2,60
2017,5,19,0.2,33.9,26.8,30.35,71,3,50
2017,5,20,18.4,32.9,24.9,28.9,81,1,20
2017,5,21,6.2,34,27,30.5,78,2,220
2017,5,22,2,32.1,26,29.05,85,1,200
2017,5,23,0,33.4,26.6,30,81,2,230
2017,5,24,0,33.6,26,29.8,84,3,240
2017,5,25,0,33,26.2,29.6,83,2,140
2017,5,26,-1,33.5,26.4,29.95,80,1,170
2017,5,27,0,33.1,27.1,30.1,76,2,60
2017,5,28,0,33.3,26.6,29.95,78,1,90
2017,5,29,0,33.3,27,30.15,79,2,60
2017,5,30,0.3,33.6,26.6,30.1,79,2,60
2017,5,31,2.4,33.6,26.2,29.9,84,1,160
2017,6,1,0,33.7,26,29.85,78,3,240
2017,6,2,0,34.2,26.8,30.5,74,2,250
2017,6,3,0,34.7,26.4,30.55,72,2,230
2017,6,4,0,35.8,26.8,31.3,67,2,150
2017,6,5,28.6,32.9,24.4,28.65,77,2,240
2017,6,6,1.4,32.2,24.8,28.5,84,3,90
2017,6,7,1.4,30.8,25.2,28,83,1,100
2017,6,8,69.4,29,23.8,26.4,91,1,300
2017,6,9,1.2,29.6,25.6,27.6,89,2,40
2017,6,10,0,32.5,25.8,29.15,83,2,180
2017,6,11,0.4,33.5,25.6,29.55,78,2,140
2017,6,12,1.2,32.5,25.8,29.15,78,2,340
2017,6,13,0,33.2,26.5,29.85,76,2,40
2017,6,14,0,32.9,26.1,29.5,78,2,40
2017,6,15,0,33.7,25.8,29.75,75,2,220
2017,6,16,0,32.8,25.8,29.3,75,1,80
2017,6,17,3.6,32.3,24.1,28.2,77,2,150
2017,6,18,18.8,32.4,25,28.7,77,2,50
2017,6,19,7,32.5,25.4,28.95,76,2,70
2017,6,20,1,32.6,25.6,29.1,82,2,180
2017,6,21,8.6,32.6,23.9,28.25,82,3,230
2017,6,22,0,32.4,26.4,29.4,81,2,220
2017,6,23,-1,32.2,25.6,28.9,78,2,60
2017,6,24,0,31,25.2,28.1,84,1,60
2017,6,25,3,32.7,26.4,29.55,78,2,40
2017,6,26,0.4,32.8,26.1,29.45,81,2,220
2017,6,27,1,33,25.6,29.3,81,2,40
2017,6,28,-1,32.1,24.4,28.25,83,2,140
2017,6,29,5.6,33.5,25.8,29.65,77,2,160
2017,6,30,50.2,31.4,24,27.7,81,2,340
2017,7,1,3.8,31.6,24.6,28.1,83,1,250
2017,7,2,11.3,31,24.4,27.7,85,2,240
2017,7,3,1,30.2,24.4,27.3,88,1,90
2017,7,4,1,31.6,25,28.3,85,2,240
2017,7,5,0,32.1,25.6,28.85,79,3,50
2017,7,6,20.2,31.8,24.1,27.95,82,2,60
2017,7,7,0.6,30.1,24.8,27.45,84,2,60
2017,7,8,34.1,32,25,28.5,83,2,150
2017,7,9,0.4,31.2,24.6,27.9,86,1,350
2017,7,10,1.8,32.1,25,28.55,87,2,100
2017,7,11,15,29.8,24.9,27.35,91,1,210
2017,7,12,1,31.2,23.7,27.45,87,2,200
2017,7,13,5,31.6,25,28.3,89,2,40
2017,7,14,4.8,30,24.7,27.35,86,2,220
2017,7,15,12.4,29.6,24.3,26.95,90,1,250
2017,7,16,6.8,31.5,24.4,27.95,85,1,90
2017,7,17,5.6,31.9,25,28.45,83,2,50
2017,7,18,37.6,31.6,23.2,27.4,80,3,360
2017,7,19,14.4,31.4,23.9,27.65,86,3,240
2017,7,20,0,32.3,25,28.65,81,2,220
2017,7,21,4.2,32,24.5,28.25,80,3,240
2017,7,22,6.6,31.3,23.8,27.55,84,3,220
2017,7,23,1.5,28,24.6,26.3,89,1,40
2017,7,24,0.4,31.6,24.4,28,77,4,220
2017,7,25,-1,31.4,25.6,28.5,80,3,240
2017,7,26,1.4,32.2,25.9,29.05,79,3,220
2017,7,27,0,33,26.5,29.75,74,4,220
2017,7,28,0,34,25.5,29.75,68,4,220
2017,7,29,0,33.8,26.5,30.15,70,4,240
2017,7,30,0,33.2,26.8,30,74,4,220
2017,7,31,0,33.9,26.8,30.35,68,5,240
2017,8,1,-1,33.4,26.9,30.15,72,4,240
2017,8,2,0,33,26.2,29.6,72,5,240
2017,8,3,-1,32.8,25.6,29.2,77,4,220
2017,8,4,15.1,32.6,24.8,28.7,83,3,240
2017,8,5,0,33.4,26,29.7,75,2,220
2017,8,6,2.4,33.9,25.2,29.55,77,2,220
2017,8,7,36.9,33.2,24.4,28.8,84,2,360
2017,8,8,-1,33,25.4,29.2,83,3,230
2017,8,9,1.3,33.8,24.8,29.3,75,2,220
2017,8,10,1.8,33.8,24.8,29.3,78,2,240
2017,8,11,0,32.6,25.5,29.05,77,1,50
2017,8,12,1.8,33.4,25.4,29.4,79,2,50
2017,8,13,3,33.2,25.6,29.4,82,2,240
2017,8,14,8,32.7,24.8,28.75,79,2,180
2017,8,15,13.2,31.3,24.5,27.9,84,2,80
2017,8,16,2.8,30.1,24.7,27.4,85,2,40
2017,8,17,10.8,31.3,24.8,28.05,82,2,50
2017,8,18,10.2,33.2,24,28.6,82,2,40
2017,8,19,0,30.3,25,27.65,83,2,230
2017,8,20,4.8,32.1,25,28.55,84,4,220
2017,8,21,37,31.7,25.4,28.55,86,3,220
2017,8,22,0,32.9,25.2,29.05,79,3,240
2017,8,23,5.7,32,24,28,82,3,210
2017,8,24,59.7,30.6,24,27.3,91,2,220
2017,8,25,0,31.3,24.6,27.95,83,2,230
2017,8,26,0,33,24.8,28.9,78,2,180
2017,8,27,1.4,32.1,25.5,28.8,81,2,50
2017,8,28,7.6,30.8,24.4,27.6,84,2,340
2017,8,29,7,32.6,25.2,28.9,82,4,220
2017,8,30,0.2,33,26.4,29.7,73,4,220
2017,8,31,0,33,26,29.5,76,4,220
2017,9,1,0,32.8,26.2,29.5,73,4,230
2017,9,2,0.6,34.1,26,30.05,79,3,220
2017,9,3,0,33.7,26,29.85,76,2,240
2017,9,4,0,32.5,26,29.25,80,2,220
2017,9,5,7.6,33.8,23.9,28.85,82,2,220
2017,9,6,35.4,33.1,24.1,28.6,79,2,50
2017,9,7,1,33,25.9,29.45,79,2,60
2017,9,8,68.8,32.6,24.2,28.4,78,2,50
2017,9,9,4.4,31.8,25,28.4,84,2,10
2017,9,10,10.6,31.9,24.6,28.25,88,2,240
2017,9,11,12.6,32,23.6,27.8,91,4,220
2017,9,12,0,32.4,26.4,29.4,79,5,220
2017,9,13,0,32.8,25.9,29.35,77,3,340
2017,9,14,0.5,32.1,25,28.55,80,3,230
2017,9,15,1.7,32,25.1,28.55,82,1,10
2017,9,16,30.6,32.7,23.1,27.9,80,2,80
2017,9,17,12.8,32.1,25.4,28.75,92,1,240
2017,9,18,1.8,31.7,25,28.35,89,2,240
2017,9,19,22.6,32.4,24.2,28.3,87,2,220
2017,9,20,4.8,31.1,24.4,27.75,88,2,230
2017,9,21,8,32,24.6,28.3,87,2,160
2017,9,22,17.8,31.8,24,27.9,87,3,240
2017,9,23,0,30.2,24.5,27.35,83,2,310
2017,9,24,35.2,31.2,23.6,27.4,86,2,40
2017,9,25,28.8,28.6,24,26.3,94,2,210
2017,9,26,0.4,32.4,25.4,28.9,82,2,220
2017,9,27,5,32.4,24.6,28.5,78,2,180
2017,9,28,5.2,31.5,25.8,28.65,90,1,120
2017,9,29,40.4,30.6,24.1,27.35,88,1,20
2017,9,30,1,31.1,25.3,28.2,85,1,350
2017,10,1,21.6,31.9,25,28.45,81,2,40
2017,10,2,0,32.4,25.6,29,80,1,80
2017,10,3,6,32.2,25,28.6,82,2,240
2017,10,4,0,31.2,24.8,28,85,2,60
2017,10,5,0,32.4,25.6,29,78,2,150
2017,10,6,-1,31.6,24.6,28.1,82,2,10
2017,10,7,-1,32.7,25.2,28.95,82,2,300
2017,10,8,9.2,32.4,25.4,28.9,81,2,220
2017,10,9,-1,32.3,24.6,28.45,81,2,340
2017,10,10,0,32.2,25.6,28.9,85,2,340
2017,10,11,0.4,33.8,26,29.9,73,4,220
2017,10,12,6.2,30,26.8,28.4,78,4,210
2017,10,13,8,31,25.8,28.4,81,4,200
2017,10,14,2,32,25.6,28.8,84,3,220
2017,10,15,39,32,24.8,28.4,81,3,240
2017,10,16,19,31.9,24,27.95,86,2,240
2017,10,17,0.2,32,25,28.5,83,2,220
2017,10,18,35.6,30.6,24.6,27.6,86,4,240
2017,10,19,4.5,28.2,24.9,26.55,87,5,240
2017,10,20,2.4,29.5,25.8,27.65,79,7,210
2017,10,21,0,31.9,26.4,29.15,79,5,210
2017,10,22,0,31.9,24.4,28.15,72,3,230
2017,10,23,-1,32,25.7,28.85,78,3,230
2017,10,24,2,31,25.4,28.2,77,3,20
2017,10,25,1,30.3,23.6,26.95,83,1,150
2017,10,26,1,31.2,24.8,28,77,2,160
2017,10,27,0,31.3,24.6,27.95,78,2,230
2017,10,28,2,31.7,24.2,27.95,81,2,350
2017,10,29,3.6,31.4,24.4,27.9,77,3,40
2017,10,30,0.4,31.2,25,28.1,78,4,40
2017,10,31,7,27,24.7,25.85,91,2,240
2017,11,1,3.6,31.2,24.8,28,91,2,120
2017,11,2,0,31.3,25.8,28.55,79,2,90
2017,11,3,0,31.8,25.1,28.45,78,3,60
2017,11,4,-1,31.6,26.8,29.2,77,3,50
2017,11,5,-1,31.7,26.6,29.15,78,3,60
2017,11,6,14.8,31.5,25.8,28.65,79,3,50
2017,11,7,23,30.2,25.1,27.65,87,3,40
2017,11,8,0,31.6,25.4,28.5,78,3,20
2017,11,9,5.4,31.5,25.2,28.35,86,2,130
2017,11,10,0.6,31.8,25.4,28.6,79,2,60
2017,11,11,-1,31.8,25.5,28.65,84,2,360
2017,11,12,2.6,31,25.3,28.15,84,2,10
2017,11,13,0,31.8,26.4,29.1,80,3,40
2017,11,14,0,32.4,25.8,29.1,79,3,40
2017,11,15,3.8,32.1,25.6,28.85,79,4,40
2017,11,16,58,29.9,24.4,27.15,86,4,10
2017,11,17,0,30.1,24.8,27.45,84,2,60
2017,11,18,0,31.6,25.5,28.55,84,2,350
2017,11,19,0,31.5,26.2,28.85,79,3,40
2017,11,20,0,31.9,26.7,29.3,76,3,360
2017,11,21,0.4,29.7,26.4,28.05,83,3,10
2017,11,22,6.7,32,25.5,28.75,76,4,40
2017,11,23,0,31.7,27,29.35,77,3,20
2017,11,24,0.6,32,25.6,28.8,80,4,50
