YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,31.2,23.8,27.5,72,3,40
2017,1,2,0,31.5,24.8,28.15,66,3,40
2017,1,3,0,32.7,25.1,28.9,66,3,40
2017,1,4,1,32,24.2,28.1,66,2,20
2017,1,5,2.8,28.6,24.1,26.35,75,2,200
2017,1,6,0,32,24,28,67,2,110
2017,1,7,0,31.5,22.5,27,65,2,90
2017,1,8,0,29.5,22.7,26.1,68,2,360
2017,1,9,0,31.1,25.2,28.15,67,2,320
2017,1,10,13.5,28,23.5,25.75,83,2,360
2017,1,11,2.2,29.6,23,26.3,78,2,40
2017,1,12,0.4,28,23.5,25.75,82,1,290
2017,1,13,0,31,24.8,27.9,73,1,250
2017,1,14,0,30.5,24,27.25,78,1,320
2017,1,15,1.8,31,24,27.5,78,1,20
2017,1,16,0,29,23,26,66,2,110
2017,1,17,0,30.7,23.7,27.2,64,3,110
2017,1,18,0,31.8,22.8,27.3,59,2,90
2017,1,19,0,30.2,23.5,26.85,71,2,250
2017,1,20,0,29.5,23.5,26.5,67,1,250
2017,1,21,0,31.4,23.4,27.4,61,1,110
2017,1,22,11,30.5,23,26.75,76,3,40
2017,1,23,6.1,29,22.5,25.75,82,3,20
2017,1,24,0.9,29,23,26,76,2,90
2017,1,25,0,30.5,23.5,27,77,3,70
2017,1,26,0,29,22.5,25.75,77,2,40
2017,1,27,0,29.7,22.9,26.3,72,2,20
2017,1,28,1,30,23.2,26.6,78,2,40
2017,1,29,0,29.5,24.6,27.05,72,3,20
2017,1,30,-1,31,25,28,81,2,200
2017,1,31,0.5,30,24.5,27.25,80,2,200
2017,2,1,13.6,30.5,24.6,27.55,85,2,250
2017,2,2,0.5,29.4,24,26.7,82,2,250
2017,2,3,-1,29.8,23.5,26.65,77,2,320
2017,2,4,0,29.5,23,26.25,69,2,250
2017,2,5,0,30,24,27,68,2,250
2017,2,6,0,30.2,23.4,26.8,69,2,250
2017,2,7,0,31.5,23.8,27.65,66,2,250
2017,2,8,0,30.4,23.9,27.15,70,2,250
2017,2,9,0,30.3,23.7,27,68,2,250
2017,2,10,0,29.5,23.3,26.4,66,2,250
2017,2,11,0,28.5,23,25.75,67,3,70
2017,2,12,0,29,22.7,25.85,70,2,250
2017,2,13,1.4,27,21.7,24.35,74,2,90
2017,2,14,0,27.9,21.4,24.65,59,3,40
2017,2,15,0,28.8,20.3,24.55,61,3,40
2017,2,16,0,28.5,22,25.25,71,2,90
2017,2,17,0,27.2,23.5,25.35,76,2,220
2017,2,18,19.1,28.7,23.2,25.95,85,2,110
2017,2,19,1.2,29.5,22.8,26.15,82,2,140
2017,2,20,0,32.8,24.9,28.85,77,3,140
2017,2,21,0,32.5,24.5,28.5,63,3,110
2017,2,22,0,32.2,24,28.1,67,2,70
2017,2,23,0,32.5,24.5,28.5,75,3,140
2017,2,24,0,31.5,24.2,27.85,72,2,290
2017,2,25,0,32,24.5,28.25,67,2,250
2017,2,26,0,30.7,25.2,27.95,71,2,90
2017,2,27,0,31.8,25,28.4,68,2,90
2017,2,28,0,32,24.5,28.25,70,3,290
2017,3,1,0,32,25,28.5,69,2,20
