YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,20.6,27,23.8,25.4,84,3,30
2017,1,2,14.2,24.8,23.8,24.3,88,4,40
2017,1,3,23.8,24.8,23.9,24.35,89,4,40
2017,1,4,33.6,27.1,23.9,25.5,87,3,40
2017,1,5,4.4,27.7,23.4,25.55,87,3,30
2017,1,6,0,26,23.7,24.85,84,3,30
2017,1,7,0,26.6,24,25.3,85,3,30
2017,1,8,1.2,25.8,24.1,24.95,86,3,30
2017,1,9,2,24.6,23.7,24.15,88,3,30
2017,1,10,37,24.7,23.6,24.15,88,3,30
2017,1,11,3.6,25.7,23.8,24.75,87,2,30
2017,1,12,0,27.9,24,25.95,84,2,30
2017,1,13,-1,26.3,23.7,25,86,2,30
2017,1,14,0.2,25.8,24.1,24.95,86,2,30
2017,1,15,5.4,27,22.9,24.95,84,3,30
2017,1,16,3,25,22.7,23.85,86,3,30
2017,1,17,-1,26.3,23.4,24.85,84,3,30
2017,1,18,5.2,27.1,22.9,25,86,3,30
2017,1,19,4.2,26.1,23,24.55,82,3,30
2017,1,20,0,24.9,23.6,24.25,85,4,30
2017,1,21,8.8,24.9,22.8,23.85,86,4,30
2017,1,22,8.6,25.9,23.3,24.6,85,3,30
2017,1,23,0,27.9,23.7,25.8,84,3,30
2017,1,24,-1,28,23.7,25.85,84,3,30
2017,1,25,0,28,22.9,25.45,84,3,40
2017,1,26,14.6,27.1,22.6,24.85,86,2,30
2017,1,27,2.6,26.2,23,24.6,86,2,30
2017,1,28,1.4,27.1,23.5,25.3,84,2,30
2017,1,29,13,25.5,23.6,24.55,86,3,30
2017,1,30,1.2,27.3,24,25.65,83,2,30
2017,1,31,2,27,24.4,25.7,84,2,30
2017,2,1,0,28.4,23.9,26.15,84,2,30
2017,2,2,4.6,27.1,23.3,25.2,84,2,30
2017,2,3,20.6,27,22.6,24.8,86,3,30
2017,2,4,0,25.6,22.9,24.25,86,3,30
2017,2,5,0,27.6,23.8,25.7,84,2,30
2017,2,6,0,26.8,23,24.9,84,2,30
2017,2,7,0,26.3,23.1,24.7,84,2,30
2017,2,8,0,27.5,23,25.25,84,2,30
2017,2,9,0,26.9,22.5,24.7,83,2,30
2017,2,10,1,26.8,21.9,24.35,83,3,30
2017,2,11,0.5,25.1,22.1,23.6,85,3,30
2017,2,12,0,26.1,21.8,23.95,85,3,30
2017,2,13,0,26.2,22,24.1,85,3,40
2017,2,14,0,25.1,21.1,23.1,83,3,30
2017,2,15,0,25.8,22,23.9,85,4,30
2017,2,16,6.8,25.2,22.6,23.9,85,3,30
2017,2,17,4,26.1,22.3,24.2,84,3,30
2017,2,18,0,28.9,24,26.45,82,2,40
2017,2,19,0,29,23.6,26.3,83,3,40
2017,2,20,0,26.9,23.8,25.35,84,2,30
2017,2,21,0.2,27.9,23.5,25.7,83,1,30
2017,2,22,3.2,27.6,23,25.3,85,2,40
2017,2,23,1,27.1,23.9,25.5,85,2,30
2017,2,24,0.2,27.9,23.8,25.85,85,2,30
2017,2,25,0,28.9,24,26.45,82,2,30
2017,2,26,0,27.7,24.1,25.9,84,2,30
2017,2,27,0,29,23.3,26.15,82,2,30
2017,2,28,43.2,28.3,23.1,25.7,84,2,30
2017,3,1,0,26.8,23.1,24.95,85,2,30
2017,3,2,19.6,28,23.1,25.55,84,2,30
2017,3,3,1.2,26.9,23.1,25,85,2,30
2017,3,4,0.2,28,22.8,25.4,84,2,30
2017,3,5,0,27.8,22.7,25.25,84,2,30
2017,3,6,0,26.9,23,24.95,83,2,30
2017,3,7,0,27.6,23.7,25.65,81,3,30
2017,3,8,0,27.4,23.8,25.6,81,2,30
2017,3,9,-1,26.9,23,24.95,84,3,40
2017,3,10,0,27.9,23.9,25.9,82,2,30
2017,3,11,-1,28,24.1,26.05,82,2,30
2017,3,12,10.8,25.9,23.1,24.5,85,2,30
2017,3,13,0,26.9,24,25.45,84,2,30
2017,3,14,63,29.6,23.9,26.75,82,2,30
2017,3,15,1.6,26.4,23.8,25.1,88,3,30
2017,3,16,-1,27.4,23.5,25.45,85,3,30
2017,3,17,-1,27.2,23,25.1,84,3,30
2017,3,18,0,27.9,23.1,25.5,86,2,30
2017,3,19,0.2,28.7,23.9,26.3,82,2,30
2017,3,20,1,28,23.2,25.6,83,3,30
2017,3,21,0.2,26.9,23.9,25.4,84,2,30
2017,3,22,0,29.1,24.7,26.9,83,1,30
2017,3,23,0,29.3,24.3,26.8,81,1,30
2017,3,24,0,29.6,24.5,27.05,83,2,30
2017,3,25,0,28.9,24.3,26.6,82,2,30
2017,3,26,0,29.9,25.2,27.55,82,2,30
2017,3,27,0.4,29.8,24.7,27.25,82,2,30
2017,3,28,0.4,28.9,24.8,26.85,83,3,30
2017,3,29,4.6,27.4,23.1,25.25,84,3,30
2017,3,30,0.6,28.4,23.8,26.1,83,2,30
2017,3,31,0,28.9,24,26.45,81,2,30
2017,4,1,0.2,29,24.5,26.75,83,2,30
2017,4,2,6,29.2,23,26.1,83,3,30
2017,4,3,0,25,23.3,24.15,86,4,30
2017,4,4,0.4,27.4,23.1,25.25,83,4,30
2017,4,5,0,28.1,23.8,25.95,82,3,30
2017,4,6,6.4,28.8,23.9,26.35,82,2,30
2017,4,7,7.5,28.8,24.6,26.7,83,2,30
2017,4,8,0.2,29,25,27,83,2,30
2017,4,9,0,29.9,23.2,26.55,81,2,30
2017,4,10,0,29.9,23.8,26.85,81,1,30
2017,4,11,0,30,24.1,27.05,81,1,360
2017,4,12,0,30.5,25.1,27.8,79,2,30
2017,4,13,0,30.4,24.8,27.6,79,2,30
2017,4,14,0,30.1,24.8,27.45,80,2,30
2017,4,15,7.8,28.9,24,26.45,82,2,30
2017,4,16,27,27,24,25.5,88,2,90
2017,4,17,3.2,29.1,24.7,26.9,81,1,210
2017,4,18,0,30.8,25,27.9,80,2,210
2017,4,19,0,29,25.1,27.05,82,1,210
2017,4,20,0,30.6,25.1,27.85,79,1,30
2017,4,21,0,30,25.2,27.6,82,1,360
2017,4,22,0,31.4,26.2,28.8,79,1,180
2017,4,23,0,31.1,25.1,28.1,79,1,80
2017,4,24,0,31,25.1,28.05,81,2,60
2017,4,25,0,31.3,25,28.15,80,2,60
2017,4,26,0,30.9,25.9,28.4,78,2,30
2017,4,27,0,31,26,28.5,78,1,360
2017,4,28,0,31.2,26.1,28.65,78,1,180
2017,4,29,-1,30.2,26,28.1,80,1,360
2017,4,30,0,30.7,25.9,28.3,80,1,360
2017,5,1,0,32.6,25.7,29.15,78,1,80
2017,5,2,0,32.9,26.6,29.75,77,1,90
2017,5,3,0,32.5,26.6,29.55,77,1,360
2017,5,4,0,32.2,26,29.1,77,1,360
2017,5,5,47.8,32.2,23,27.6,78,2,10
2017,5,6,0,31.2,26.1,28.65,80,2,90
2017,5,7,0,31.6,26.4,29,78,2,90
2017,5,8,0,31.1,26,28.55,80,2,80
2017,5,9,0,32,26.3,29.15,79,2,80
2017,5,10,0,31.6,25.9,28.75,81,2,90
2017,5,11,0.8,30.6,25.7,28.15,83,2,90
2017,5,12,0,31.3,26,28.65,80,2,80
2017,5,13,0,31.2,25.9,28.55,81,2,80
2017,5,14,0,30.8,26,28.4,80,2,80
2017,5,15,0,31.7,26.8,29.25,79,1,80
2017,5,16,5.2,30,26.5,28.25,81,1,180
2017,5,17,4.8,30.7,26.7,28.7,80,2,180
2017,5,18,0,31.9,26.6,29.25,81,1,90
2017,5,19,0,30.2,26.4,28.3,80,1,360
2017,5,20,0,31.6,27.1,29.35,78,1,210
2017,5,21,0,31.9,27.5,29.7,77,2,180
2017,5,22,0,32.1,26.2,29.15,79,2,180
2017,5,23,6.4,31.3,26.8,29.05,81,2,180
2017,5,24,1,30,26.1,28.05,79,2,180
2017,5,25,32.4,30.5,25,27.75,89,2,180
2017,5,26,16.6,31.6,25.5,28.55,81,2,210
