YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,6,29.5,26,27.75,85,5,40
2017,1,2,7,30.5,25.5,28,85,5,40
2017,1,3,51.5,29,25.4,27.2,89,5,40
2017,1,4,2.5,31,25.4,28.2,81,3,50
2017,1,5,-1,29.2,25.4,27.3,82,3,70
2017,1,6,0,30.3,25.2,27.75,82,5,20
2017,1,7,0,30,25.4,27.7,82,5,20
2017,1,8,4,28.5,25.1,26.8,90,6,360
2017,1,9,9.5,26.4,25,25.7,93,6,360
2017,1,10,43,27.2,25,26.1,91,5,90
2017,1,11,24,27,24.3,25.65,91,2,90
2017,1,12,9,29.2,25,27.1,87,3,70
2017,1,13,17.5,28,24.5,26.25,87,3,360
2017,1,14,13,27,25,26,91,4,320
2017,1,15,47,29.2,25,27.1,87,4,360
2017,1,16,15,26.1,24.4,25.25,92,5,40
2017,1,17,1,27.8,25.1,26.45,83,6,70
2017,1,18,0.5,29,25,27,87,5,40
2017,1,19,0,29.5,25,27.25,86,3,40
2017,1,20,25,29,25,27,86,5,20
2017,1,21,11.5,28,25,26.5,88,5,360
2017,1,22,-1,29.5,25,27.25,86,5,40
2017,1,23,0,29.5,25.3,27.4,82,4,70
2017,1,24,0,30.5,25,27.75,80,3,90
2017,1,25,1,29,25,27,86,3,70
2017,1,26,1,29.4,24.8,27.1,86,5,70
2017,1,27,0,29,25,27,82,3,360
2017,1,28,0.5,29.8,25.8,27.8,84,5,40
2017,1,29,-1,29,25,27,86,3,40
2017,1,30,0,30.5,25.5,28,85,2,40
2017,1,31,0,30.6,25.7,28.15,82,4,40
2017,2,1,1.5,31.5,25.8,28.65,84,4,40
2017,2,2,9,30.5,25.4,27.95,85,5,40
2017,2,3,0,29.2,25.4,27.3,84,3,360
2017,2,4,0,29,25,27,86,5,360
2017,2,5,0,30,25,27.5,82,3,360
2017,2,6,1.5,30,24.8,27.4,84,4,360
2017,2,7,2,29.6,25.2,27.4,84,6,360
2017,2,8,0,30,25.5,27.75,80,4,360
2017,2,9,0,30.4,25.8,28.1,79,5,360
2017,2,10,0,29.5,25,27.25,81,5,40
2017,2,11,2,29,24.4,26.7,84,6,40
2017,2,12,0,28.2,24.2,26.2,73,5,70
2017,2,13,-1,27,24,25.5,77,5,70
2017,2,14,6,27.5,24.4,25.95,77,4,70
2017,2,15,1.5,26.4,23.6,25,83,6,20
2017,2,16,8.5,27.3,24,25.65,85,4,40
2017,2,17,0,29.5,25.4,27.45,83,4,360
2017,2,18,0,30.4,26.4,28.4,84,4,40
2017,2,19,0,29.2,25.4,27.3,85,5,90
2017,2,20,-1,28.3,25,26.65,87,3,90
2017,2,21,-1,31,26.3,28.65,80,5,40
2017,2,22,5,31,25.2,28.1,84,5,40
2017,2,23,18,27.2,25,26.1,91,3,20
2017,2,24,0,30.2,25,27.6,87,3,360
2017,2,25,0,30,25,27.5,85,3,40
2017,2,26,0,29.5,25,27.25,83,3,40
2017,2,27,0,29.8,25.4,27.6,83,2,20
2017,2,28,0,31.4,26.4,28.9,80,5,40
2017,3,1,0,30.8,26,28.4,83,3,20
2017,3,2,0,29.8,25.3,27.55,86,3,360
2017,3,3,0,29.6,25.6,27.6,83,4,20
2017,3,4,0,30,25,27.5,75,4,90
2017,3,5,0,30,24.8,27.4,75,2,360
2017,3,6,0,30,26.2,28.1,74,4,360
2017,3,7,0,28.5,25.5,27,78,4,360
2017,3,8,0,29,25.4,27.2,84,3,360
2017,3,9,0.5,28.2,25,26.6,81,4,40
2017,3,10,0,30,25.3,27.65,80,3,360
2017,3,11,1.5,29,25.1,27.05,82,4,360
2017,3,12,0,28.7,25.2,26.95,85,3,360
2017,3,13,0,30.5,26.4,28.45,84,3,360
2017,3,14,0,31,26.4,28.7,83,2,360
2017,3,15,-1,31,25.5,28.25,83,5,360
2017,3,16,0,29.7,25,27.35,84,3,40
2017,3,17,0,30,25,27.5,83,4,70
2017,3,18,0,30.5,25.4,27.95,82,3,70
2017,3,19,0,30,25,27.5,83,4,360
2017,3,20,0.5,29.8,25,27.4,80,3,360
2017,3,21,0,30.5,26.4,28.45,81,3,320
2017,3,22,0,31.5,26.4,28.95,82,3,40
