YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,33.4,24.5,28.95,65,4,40
2017,1,2,0,32.5,24.5,28.5,83,3,30
2017,1,3,0,33.2,24,28.6,86,3,30
2017,1,4,2.3,35.1,24.1,29.6,81,4,50
2017,1,5,1.4,32.7,22.5,27.6,76,4,40
2017,1,6,0,33.8,22,27.9,72,3,60
2017,1,7,0,34,19.8,26.9,79,3,70
2017,1,8,0,31,21,26,83,1,30
2017,1,9,-1,30.7,23,26.85,79,2,280
2017,1,10,7.9,34.1,23.1,28.6,77,5,60
2017,1,11,0.4,30.4,24,27.2,83,5,50
2017,1,12,0,33.5,20.2,26.85,76,4,70
2017,1,13,0,31.7,23,27.35,82,2,270
2017,1,14,0,30.5,22.1,26.3,79,1,80
2017,1,15,3,31.5,23,27.25,85,1,260
2017,1,16,0,31.9,24,27.95,68,5,40
2017,1,17,0,33,23.1,28.05,65,5,40
2017,1,18,0,33.5,22.9,28.2,65,4,60
2017,1,19,0,33,23.1,28.05,70,3,50
2017,1,20,0,33.9,22.4,28.15,71,3,50
2017,1,21,0,34.2,24.1,29.15,66,3,30
2017,1,22,0,35.2,24.1,29.65,68,3,40
2017,1,23,0,33.1,24.2,28.65,73,5,50
2017,1,24,0,32.7,24.4,28.55,64,6,50
2017,1,25,0,32.1,22.1,27.1,76,5,60
2017,1,26,0,32.3,23.1,27.7,75,4,60
2017,1,27,0,32.5,21.6,27.05,64,4,60
2017,1,28,0,33,23,28,74,4,70
2017,1,29,0,33.5,22.6,28.05,76,2,330
2017,1,30,6.9,32.5,22.5,27.5,83,2,250
2017,1,31,0,32.1,23.1,27.6,88,2,250
2017,2,1,0,34.8,24.2,29.5,76,4,60
2017,2,2,0,35.4,24,29.7,72,4,60
2017,2,3,0,33,23.1,28.05,75,4,90
2017,2,4,0,33.2,20.4,26.8,75,3,70
2017,2,5,0,32.5,21.2,26.85,76,1,220
2017,2,6,-1,32.1,24,28.05,73,2,40
2017,2,7,0,34.5,21,27.75,76,2,50
2017,2,8,0,32,20.5,26.25,72,2,30
2017,2,9,0,32.1,20.1,26.1,80,2,210
2017,2,10,0,33.1,22,27.55,75,3,70
2017,2,11,0,32,21,26.5,65,4,70
2017,2,12,0,32.3,21.2,26.75,64,5,50
2017,2,13,0,30.7,21.2,25.95,69,6,60
2017,2,14,0,31.9,21.3,26.6,65,5,10
2017,2,15,0,33.1,21.2,27.15,66,3,50
2017,2,16,0,31.5,22.1,26.8,73,3,70
2017,2,17,0,33.3,22.3,27.8,74,3,60
2017,2,18,0,35.5,24.6,30.05,72,4,60
2017,2,19,0,33.6,24.4,29,73,6,60
2017,2,20,0,34.8,23.3,29.05,74,3,50
2017,2,21,0,34.8,24,29.4,67,5,60
2017,2,22,0.4,35.4,24.1,29.75,73,4,60
2017,2,23,1.1,33,24,28.5,78,3,70
2017,2,24,0,33.9,23,28.45,80,2,280
2017,2,25,0,35.5,23.6,29.55,74,4,70
2017,2,26,0,35,23.5,29.25,69,3,70
2017,2,27,0,33.7,23,28.35,77,3,70
2017,2,28,-1,35,23.1,29.05,66,3,60
2017,3,1,-1,34.5,23.6,29.05,78,2,60
2017,3,2,0,33.4,21.2,27.3,80,3,270
2017,3,3,0,34,23.4,28.7,75,3,50
2017,3,4,0,33.2,23,28.1,71,4,60
2017,3,5,0,34.9,24,29.45,71,4,70
2017,3,6,0,32.1,18.7,25.4,76,2,240
2017,3,7,0,32.5,22.1,27.3,80,2,40
2017,3,8,0,35.5,23.5,29.5,66,2,20
2017,3,9,0,35.4,23.3,29.35,68,4,50
2017,3,10,0,35,21.2,28.1,76,3,270
2017,3,11,0,32.8,22.5,27.65,74,2,250
2017,3,12,-1,34,24,29,78,2,330
2017,3,13,1.2,33.5,22.2,27.85,81,2,350
2017,3,14,2.6,33.2,23,28.1,84,2,130
2017,3,15,35.2,33,23.6,28.3,86,4,70
2017,3,16,0,34,23.4,28.7,74,5,70
2017,3,17,0,34,23,28.5,65,4,70
2017,3,18,0,33.4,23.4,28.4,69,6,60
2017,3,19,0,34,22.3,28.15,70,4,60
2017,3,20,0,32.6,24,28.3,73,2,270
2017,3,21,0.6,31,21.4,26.2,90,2,40
2017,3,22,0,33.9,23.5,28.7,80,3,140
2017,3,23,0,34,21,27.5,80,1,40
2017,3,24,0,37,21.2,29.1,70,2,300
2017,3,25,0,33,22.3,27.65,75,3,270
2017,3,26,0,33.6,25.6,29.6,74,3,70
2017,3,27,0,35.6,25,30.3,64,5,60
2017,3,28,0,35.8,25,30.4,70,6,40
2017,3,29,0,35,24.5,29.75,71,4,70
2017,3,30,0,35.7,23.4,29.55,71,3,70
2017,3,31,0,35.5,22.4,28.95,72,2,40
2017,4,1,0,32,23.5,27.75,79,2,240
2017,4,2,1,35.5,23.5,29.5,69,5,60
2017,4,3,0,33.4,24,28.7,66,5,30
2017,4,4,0,33.2,23.5,28.35,69,2,270
2017,4,5,0,32.6,22.5,27.55,75,3,270
2017,4,6,0,36,23.2,29.6,76,2,260
2017,4,7,0,35.2,25.6,30.4,68,4,60
2017,4,8,0,36.5,26.1,31.3,70,3,80
2017,4,9,0,35.8,21.5,28.65,68,3,80
2017,4,10,0,33.5,20.5,27,76,2,150
2017,4,11,0,33.2,20.6,26.9,72,2,230
2017,4,12,0,34,22.9,28.45,73,2,50
2017,4,13,0,35.6,23.5,29.55,76,3,270
2017,4,14,0,35.4,22.6,29,74,3,260
2017,4,15,0,33.3,25.3,29.3,69,2,270
2017,4,16,51.6,33,22.9,27.95,89,2,90
2017,4,17,0,33.5,22.8,28.15,86,2,130
2017,4,18,0,33.3,23.5,28.4,83,1,230
2017,4,19,0,33.1,22.3,27.7,81,2,140
2017,4,20,0,35.5,22.6,29.05,75,1,240
2017,4,21,0,33.7,23,28.35,80,2,140
2017,4,22,0,33.5,23,28.25,78,2,30
2017,4,23,7.3,33.9,23.4,28.65,87,1,320
2017,4,24,0,34.9,22.5,28.7,79,2,130
2017,4,25,0,34.4,22.2,28.3,74,2,60
2017,4,26,0,33.8,22,27.9,84,2,10
2017,4,27,0,33,23,28,79,1,210
2017,4,28,0,33.8,24.1,28.95,80,2,30
2017,4,29,0,34,23.5,28.75,79,1,260
2017,4,30,0,33.8,22.5,28.15,85,1,30
2017,5,1,0,33.6,22.3,27.95,82,2,230
2017,5,2,0,34,23,28.5,83,2,340
2017,5,3,-1,34.9,25.5,30.2,78,2,240
2017,5,4,0,36.8,25,30.9,76,3,50
2017,5,5,-1,36,23.5,29.75,82,3,50
2017,5,6,0,36,24.8,30.4,68,3,70
2017,5,7,0,36.6,23.6,30.1,74,3,60
2017,5,8,0,36.7,24.8,30.75,66,4,50
2017,5,9,0,36,26,31,73,4,60
2017,5,10,0,35.8,25.5,30.65,68,4,50
2017,5,11,2.3,36.6,24,30.3,77,5,70
2017,5,12,0,36.1,25.5,30.8,65,4,70
2017,5,13,0,37,26,31.5,69,3,70
2017,5,14,0,35.5,23,29.25,67,4,60
2017,5,15,0,35.5,23.5,29.5,74,3,110
2017,5,16,-1,32.5,23.7,28.1,78,2,220
2017,5,17,-1,34.4,23.5,28.95,80,1,40
2017,5,18,0,34.5,24,29.25,82,2,270
2017,5,19,0,34.3,23.5,28.9,81,2,170
2017,5,20,0,34.8,24.5,29.65,79,2,280
2017,5,21,1,35,24.4,29.7,78,2,260
2017,5,22,0,33.8,24.1,28.95,86,1,90
2017,5,23,36.7,33.5,24,28.75,85,2,50
2017,5,24,5.8,30.9,24,27.45,88,2,300
2017,5,25,25.1,32.2,23.2,27.7,84,1,240
2017,5,26,-1,33.5,24,28.75,86,1,200
2017,5,27,0,32.5,23.5,28,87,2,340
2017,5,28,0,33.5,23.5,28.5,84,2,360
2017,5,29,0,33.8,24,28.9,84,2,140
2017,5,30,0,35.2,23,29.1,82,2,90
2017,5,31,0,33.5,23.1,28.3,82,1,40
2017,6,1,6.5,33.4,23.2,28.3,85,2,320
2017,6,2,7.5,32.8,23.1,27.95,89,2,180
2017,6,3,13.8,32.9,22.3,27.6,89,2,340
2017,6,4,0,32.9,23.7,28.3,84,2,220
2017,6,5,0,32.7,23.6,28.15,86,2,280
2017,6,6,7.5,32.1,22.8,27.45,88,2,360
2017,6,7,1.6,29.6,23.3,26.45,95,1,340
2017,6,8,53.2,33,23,28,88,1,250
2017,6,9,32.3,28.5,23,25.75,92,2,50
2017,6,10,48.2,31.5,22.5,27,90,2,320
2017,6,11,5.5,29.5,22.5,26,91,1,360
2017,6,12,0,32,22.7,27.35,86,2,140
2017,6,13,0,33.9,24.7,29.3,84,2,90
2017,6,14,0,33.3,23.5,28.4,80,2,60
2017,6,15,0,33.7,22.8,28.25,85,2,40
2017,6,16,0,34,22.5,28.25,85,1,180
2017,6,17,17.2,33,22.5,27.75,82,2,140
2017,6,18,0,31.8,23,27.4,85,2,40
2017,6,19,0,34,24.3,29.15,82,2,140
2017,6,20,0.2,33.3,23.2,28.25,84,2,180
2017,6,21,47.9,32.6,22.1,27.35,85,2,150
2017,6,22,20.1,31.3,21.8,26.55,87,2,310
2017,6,23,0.2,30.5,22.5,26.5,88,2,360
2017,6,24,0,32.7,23.4,28.05,82,2,140
2017,6,25,0,33.3,23.5,28.4,86,1,290
2017,6,26,-1,33.2,23.1,28.15,87,1,20
2017,6,27,1,32.5,22,27.25,91,2,20
2017,6,28,5.4,31.9,22.4,27.15,91,2,260
2017,6,29,0,31.8,22.1,26.95,87,2,30
2017,6,30,0.5,32.9,23.1,28,85,2,70
2017,7,1,29.6,31.8,22,26.9,88,2,240
2017,7,2,30.6,30.2,22.6,26.4,92,2,330
2017,7,3,44.6,31,22.1,26.55,91,2,170
2017,7,4,55.5,31,22,26.5,92,2,140
2017,7,5,0.3,32.2,22.1,27.15,86,2,140
2017,7,6,0.1,34.5,22.6,28.55,83,2,60
2017,7,7,-1,34,23.6,28.8,88,2,80
2017,7,8,-1,31.9,23,27.45,88,1,360
2017,7,9,0,32.6,23.2,27.9,85,1,160
2017,7,10,0.5,32.7,23,27.85,83,2,90
2017,7,11,1.5,31.5,23,27.25,88,2,140
2017,7,12,23.6,31,22.1,26.55,92,2,340
2017,7,13,1.6,31.5,23.3,27.4,87,2,320
2017,7,14,14.2,32,22.5,27.25,88,2,150
2017,7,15,32.6,31.4,22.5,26.95,90,1,340
2017,7,16,10.7,31.2,23,27.1,91,2,40
2017,7,17,2.1,33.8,23.5,28.65,84,2,320
2017,7,18,3.6,32.7,22.5,27.6,93,1,320
2017,7,19,29.7,29.5,22.5,26,93,2,120
2017,7,20,41.9,29.2,21.1,25.15,92,2,20
2017,7,21,12.2,31.7,21.6,26.65,91,2,310
2017,7,22,6.4,31.5,22.1,26.8,89,2,240
2017,7,23,14.8,30.7,22.5,26.6,92,2,340
2017,7,24,46.9,29.2,22,25.6,91,2,350
2017,7,25,22,29.5,21.6,25.55,92,2,310
2017,7,26,8.4,30.7,23,26.85,89,3,310
2017,7,27,4,31.3,24.6,27.95,86,2,210
2017,7,28,1.2,31.1,26.1,28.6,85,3,210
2017,7,29,7.7,32.5,24.6,28.55,84,3,210
2017,7,30,4.9,32.5,24.7,28.6,88,2,260
2017,7,31,2.4,33,23.6,28.3,91,2,240
2017,8,1,12.5,33.5,24.5,29,88,3,260
2017,8,2,60.9,29.6,22.1,25.85,94,3,270
2017,8,3,10.4,28.7,22.7,25.7,95,4,280
2017,8,4,5.8,29.5,23,26.25,88,2,260
2017,8,5,16.2,31.2,22.3,26.75,92,2,290
2017,8,6,0,31.5,23.2,27.35,83,2,290
2017,8,7,0,31.5,23.4,27.45,87,2,260
2017,8,8,0,32.2,22.8,27.5,90,1,320
2017,8,9,0,32.5,23.5,28,86,1,30
2017,8,10,0,33,22.9,27.95,86,2,240
2017,8,11,-1,32.5,23,27.75,87,2,330
2017,8,12,-1,32.9,23.6,28.25,86,2,360
2017,8,13,39.5,33,22,27.5,90,1,220
2017,8,14,0,31.5,23,27.25,90,1,60
2017,8,15,0,33.4,24,28.7,86,2,140
2017,8,16,1.4,32.1,24,28.05,85,2,80
2017,8,17,-1,33.8,24.1,28.95,85,2,70
2017,8,18,9.1,31.6,23.2,27.4,92,1,60
2017,8,19,10.8,29.1,22,25.55,96,2,320
2017,8,20,7.5,30.1,22,26.05,92,2,300
2017,8,21,26.2,31.5,22.1,26.8,88,3,270
2017,8,22,19.2,30.2,23,26.6,93,2,180
2017,8,23,22.3,31.1,22.6,26.85,95,2,330
2017,8,24,3.8,29.6,21.6,25.6,92,1,340
2017,8,25,3.8,29,22,25.5,94,2,280
2017,8,26,-1,31.5,22,26.75,86,2,130
2017,8,27,0,31.3,21.8,26.55,87,1,220
2017,8,28,0,31.8,22.3,27.05,90,1,160
2017,8,29,50.8,32.1,22.3,27.2,89,3,270
2017,8,30,4.9,31.3,23.9,27.6,88,3,240
2017,8,31,10.2,30.5,23.8,27.15,89,2,240
2017,9,1,-1,32.8,23.5,28.15,84,2,210
2017,9,2,4.4,32.1,22.6,27.35,89,2,40
2017,9,3,0,32.8,22.6,27.7,84,2,240
2017,9,4,0.4,31.1,24,27.55,91,2,280
2017,9,5,0,31,22,26.5,87,3,310
2017,9,6,0,32,23,27.5,86,2,250
2017,9,7,-1,33.4,22,27.7,87,1,30
2017,9,8,0,33.3,23,28.15,85,2,270
2017,9,9,1,33,22.7,27.85,92,2,20
2017,9,10,3.8,32.3,23,27.65,89,1,20
2017,9,11,22.3,30.2,21.7,25.95,90,2,290
2017,9,12,37.1,29.5,22.1,25.8,92,3,150
2017,9,13,23.6,32.1,22.7,27.4,90,3,150
2017,9,14,0.7,32.5,23.2,27.85,89,2,170
2017,9,15,0,32.5,23.5,28,90,2,240
2017,9,16,0,31.7,22.3,27,88,2,340
2017,9,17,-1,32.2,22.5,27.35,90,2,10
2017,9,18,25.2,32.5,22,27.25,93,2,40
2017,9,19,3.5,31,22.5,26.75,93,1,180
2017,9,20,1,32,22.7,27.35,90,2,350
2017,9,21,7.2,31.7,23,27.35,91,2,320
2017,9,22,121.2,29.4,22,25.7,91,3,230
2017,9,23,0.3,28.7,22.4,25.55,92,2,40
2017,9,24,0.8,33.5,22.8,28.15,88,2,150
2017,9,25,23.3,27,22,24.5,95,1,330
2017,9,26,1.9,30.9,22.6,26.75,87,2,140
2017,9,27,6,32.2,22,27.1,87,1,180
2017,9,28,0,32,22.5,27.25,83,1,240
2017,9,29,2.6,32,22.3,27.15,91,2,30
2017,9,30,1.5,32,22,27,92,2,130
2017,10,1,0,31.6,22.1,26.85,91,1,70
2017,10,2,0,33.5,22.5,28,87,2,360
2017,10,3,-1,31.5,21.6,26.55,93,2,320
2017,10,4,0,32.2,22.5,27.35,83,2,250
2017,10,5,-1,32.9,22.6,27.75,90,2,50
2017,10,6,-1,33.6,22.1,27.85,84,2,20
2017,10,7,0,32.5,23,27.75,87,2,360
2017,10,8,0,31.8,23.3,27.55,86,1,60
2017,10,9,-1,31.1,23.1,27.1,91,1,10
2017,10,10,0,32.2,22.5,27.35,87,2,300
2017,10,11,0.5,33.5,22.7,28.1,83,3,260
2017,10,12,21.7,32,24,28,90,3,210
2017,10,13,9.9,29,24,26.5,92,3,210
2017,10,14,109.2,30.4,22.3,26.35,91,3,170
2017,10,15,11.1,29,22.4,25.7,95,2,320
2017,10,16,10.3,29.5,22.5,26,91,2,90
2017,10,17,-1,33,22.6,27.8,85,2,20
2017,10,18,26,30.5,22,26.25,92,2,20
2017,10,19,8.8,29.9,22.7,26.3,87,1,60
2017,10,20,123,26.9,21.6,24.25,95,3,210
2017,10,21,-1,31,23,27,88,3,240
2017,10,22,-1,30.4,22.3,26.35,92,2,330
2017,10,23,8.2,31.5,22.6,27.05,90,2,70
2017,10,24,-1,32.6,21.8,27.2,76,2,60
2017,10,25,0,32.4,22.4,27.4,81,2,60
2017,10,26,3.3,32,21.5,26.75,87,1,20
2017,10,27,0,30.2,22,26.1,88,1,10
2017,10,28,0,31.4,22.1,26.75,84,1,40
2017,10,29,8.8,32.8,21.4,27.1,84,2,70
2017,10,30,0.3,31.5,22.4,26.95,82,2,240
2017,10,31,12.7,31.5,21.8,26.65,88,3,20
2017,11,1,44.4,28,22,25,90,2,120
2017,11,2,0,30.5,23.5,27,83,2,130
2017,11,3,-1,33,22.2,27.6,80,2,70
2017,11,4,-1,30.8,22.4,26.6,87,2,60
2017,11,5,0,32.7,23.4,28.05,82,3,270
2017,11,6,0.3,32.6,24.2,28.4,76,4,40
2017,11,7,0,32.5,23.4,27.95,78,2,70
2017,11,8,0,33,23.6,28.3,79,3,50
