YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,32,25.1,28.55,77,4,360
2017,1,2,0,31,26.8,28.9,71,3,360
2017,1,3,0,32.4,27,29.7,70,3,360
2017,1,4,0.4,31.5,26,28.75,71,3,90
2017,1,5,1.2,27.3,25,26.15,83,3,90
2017,1,6,0,31.5,24.8,28.15,71,4,90
2017,1,7,0,31.1,25,28.05,73,3,90
2017,1,8,0,29.6,24.8,27.2,78,3,340
2017,1,9,0,31,26.1,28.55,74,2,340
2017,1,10,23.8,27.6,24.9,26.25,85,3,340
2017,1,11,2,28.4,24.7,26.55,84,3,90
2017,1,12,0,28.5,24.1,26.3,84,3,320
2017,1,13,0,31,24.9,27.95,78,3,160
2017,1,14,0,29.1,25.7,27.4,83,3,90
2017,1,15,4.2,29.1,25.1,27.1,81,2,360
2017,1,16,0,27.9,25.4,26.65,76,4,90
2017,1,17,0,30,25,27.5,73,5,90
2017,1,18,0,30.8,25.3,28.05,71,4,90
2017,1,19,0,30.2,24.6,27.4,73,5,110
2017,1,20,0,30.2,25,27.6,72,4,110
2017,1,21,0,31,24.2,27.6,75,3,90
2017,1,22,9,30.1,25,27.55,79,3,90
2017,1,23,3,28.4,24,26.2,81,4,360
2017,1,24,3.7,26.8,24,25.4,83,5,90
2017,1,25,0,28.9,24.5,26.7,78,4,90
2017,1,26,4.2,28.9,24.5,26.7,80,3,90
2017,1,27,0,29,23.5,26.25,71,3,360
2017,1,28,0.2,29.3,24.4,26.85,83,3,320
2017,1,29,0,28.4,25,26.7,78,3,340
2017,1,30,0,30.3,26,28.15,81,4,270
2017,1,31,0.8,30.7,26,28.35,83,2,140
2017,2,1,1,30.9,25.8,28.35,82,3,90
2017,2,2,0.4,28.7,24.8,26.75,83,3,40
2017,2,3,0,29.3,24,26.65,74,4,90
2017,2,4,0,29.6,24,26.8,76,3,70
2017,2,5,0,31,24.1,27.55,77,3,110
2017,2,6,0,29.2,25.1,27.15,75,3,90
2017,2,7,0,31.5,25,28.25,67,4,110
2017,2,8,0,30.3,24.6,27.45,72,4,110
2017,2,9,0,30.8,23.8,27.3,73,5,90
2017,2,10,0,30,23.8,26.9,71,3,90
2017,2,11,0,28,24,26,72,4,60
2017,2,12,0,28.4,23,25.7,76,4,90
2017,2,13,0.8,26.3,23,24.65,74,3,60
2017,2,14,0,28.1,23,25.55,65,5,20
2017,2,15,0,30,22.1,26.05,63,5,60
2017,2,16,0,29.5,24,26.75,72,4,90
2017,2,17,0,28.1,24,26.05,72,3,90
2017,2,18,3.2,28.2,24.9,26.55,86,2,60
2017,2,19,0,27,23.6,25.3,86,3,90
2017,2,20,0,32,25.2,28.6,77,5,90
2017,2,21,0,32,25.8,28.9,72,6,90
2017,2,22,0,31.7,25.1,28.4,72,3,90
2017,2,23,0,32.8,25.2,29,73,4,90
2017,2,24,0,32.5,25.1,28.8,78,4,110
2017,2,25,0,31.1,26,28.55,76,4,90
2017,2,26,0,30.5,26,28.25,78,4,90
2017,2,27,0,31.4,25.7,28.55,73,5,90
2017,2,28,0,32.1,25,28.55,71,5,90
2017,3,1,0,31,25.8,28.4,77,3,110
2017,3,2,1,29.5,25.8,27.65,80,4,90
2017,3,3,1.6,30.8,23.4,27.1,75,4,90
2017,3,4,2.4,28.3,24,26.15,82,4,90
2017,3,5,0,30.9,25,27.95,80,5,90
2017,3,6,0,32,24.3,28.15,72,4,110
2017,3,7,0,32.3,25,28.65,71,5,110
2017,3,8,0,32,25.7,28.85,77,5,110
2017,3,9,0,31,25.2,28.1,71,6,90
2017,3,10,0,32.5,25,28.75,65,5,90
2017,3,11,0,32.9,25.4,29.15,71,4,110
2017,3,12,0,32,26,29,78,4,90
2017,3,13,0,32,26.8,29.4,75,4,110
2017,3,14,0,33.2,27.5,30.35,77,3,90
2017,3,15,0,32,26.5,29.25,73,5,90
2017,3,16,0,32.5,25.3,28.9,67,6,90
2017,3,17,0,32.2,26,29.1,69,6,90
2017,3,18,0,32,25.3,28.65,72,5,60
2017,3,19,0,32,25,28.5,74,4,60
2017,3,20,0,32,25.8,28.9,72,4,90
2017,3,21,1.4,31,25.9,28.45,74,3,340
2017,3,22,0,33.7,26.7,30.2,77,3,140
2017,3,23,0,35,27.6,31.3,72,3,90
2017,3,24,0,34.1,26.8,30.45,72,5,110
2017,3,25,0,32.9,27.1,30,75,3,90
2017,3,26,0,34.1,27,30.55,75,4,90
2017,3,27,0,32,27,29.5,72,3,90
2017,3,28,0,31.1,26,28.55,68,5,110
2017,3,29,0,33.1,26,29.55,69,5,90
2017,3,30,0,33,26,29.5,70,5,90
2017,3,31,0,33.5,25.4,29.45,71,3,110
2017,4,1,0,33.1,27,30.05,73,3,60
2017,4,2,0.1,30.1,25.8,27.95,74,4,320
2017,4,3,0,31.8,24.6,28.2,73,4,90
2017,4,4,0,30.7,24.6,27.65,70,4,90
2017,4,5,0,32.2,25.4,28.8,72,5,110
2017,4,6,0,33,26,29.5,76,4,110
2017,4,7,0,33.8,27,30.4,70,4,90
2017,4,8,0,34,27.9,30.95,77,5,90
2017,4,9,0,35.5,27,31.25,76,4,90
2017,4,10,0,36.2,28,32.1,72,3,160
2017,4,11,0,34.6,27,30.8,72,3,110
2017,4,12,0,36.3,27,31.65,67,5,90
2017,4,13,0,35,27.2,31.1,66,4,90
2017,4,14,0,34.8,27.5,31.15,62,5,110
2017,4,15,0,34.7,26.9,30.8,73,3,90
2017,4,16,7.4,31.3,26.9,29.1,84,4,60
2017,4,17,17.4,34,27.1,30.55,77,3,90
2017,4,18,0,33.5,27,30.25,77,4,220
2017,4,19,0,33.5,27.8,30.65,76,3,220
2017,4,20,0,34,28.8,31.4,73,3,180
2017,4,21,0,34.6,28.7,31.65,75,4,110
2017,4,22,0,33.5,28,30.75,75,4,220
