YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,31,22.9,26.95,71,2,20
2017,1,2,0,30.9,23,26.95,63,2,360
2017,1,3,0,32.4,22.5,27.45,68,2,40
2017,1,4,0.2,32.1,24,28.05,68,2,360
2017,1,5,0.4,29,22,25.5,79,1,360
2017,1,6,0,32.1,21.5,26.8,65,1,40
2017,1,7,0,32,19,25.5,66,1,40
2017,1,8,0,29.6,20.4,25,69,1,320
2017,1,9,0,31.9,22.5,27.2,64,1,20
2017,1,10,14.8,27,22.4,24.7,86,1,360
2017,1,11,1,29.9,22.9,26.4,81,1,40
2017,1,12,-1,28.9,22.5,25.7,76,1,250
2017,1,13,0,32.3,23,27.65,69,1,40
2017,1,14,0,30.4,22.5,26.45,82,1,40
2017,1,15,-1,30.6,23.5,27.05,77,1,40
2017,1,16,0,30,22.1,26.05,69,1,140
2017,1,17,0,30.6,21.4,26,76,2,90
2017,1,18,0,31.6,21.2,26.4,72,1,360
2017,1,19,0,30.4,21.2,25.8,68,1,20
2017,1,20,0,30.6,20.5,25.55,69,1,20
2017,1,21,0,30.8,20.8,25.8,68,1,360
2017,1,22,20,30,23,26.5,77,1,360
2017,1,23,6.3,28.4,22.4,25.4,83,2,20
2017,1,24,0.4,29,22.8,25.9,82,1,90
2017,1,25,-1,30.4,22.9,26.65,73,2,40
2017,1,26,-1,29,22.4,25.7,75,1,40
2017,1,27,-1,28.3,20,24.15,72,1,180
2017,1,28,-1,29.8,21.5,25.65,81,1,340
2017,1,29,0,29.1,22.5,25.8,72,2,360
2017,1,30,-1,30.4,24,27.2,75,2,20
2017,1,31,0.8,31.3,24,27.65,74,2,40
2017,2,1,29.2,30,24.4,27.2,84,1,220
2017,2,2,5,29.4,23.2,26.3,88,1,270
2017,2,3,-1,28.7,21,24.85,79,1,360
2017,2,4,0,30,21.1,25.55,68,1,40
2017,2,5,0,30.6,21.8,26.2,71,1,90
2017,2,6,0,30.4,21.1,25.75,68,1,70
2017,2,7,0,31.6,21.8,26.7,62,1,340
2017,2,8,0,30.6,21.7,26.15,66,1,40
2017,2,9,0,30.4,22,26.2,71,1,320
2017,2,10,0,29.5,21.5,25.5,66,1,40
2017,2,11,0,29,21.2,25.1,63,2,360
2017,2,12,0,29.4,21.4,25.4,64,1,360
2017,2,13,0.1,26.3,19.2,22.75,73,2,360
2017,2,14,0,28.1,19.6,23.85,66,3,40
2017,2,15,0,29.5,19.1,24.3,67,2,90
2017,2,16,0,29.1,21.1,25.1,69,1,340
2017,2,17,0,28.8,20,24.4,73,1,360
2017,2,18,37.7,28.5,23,25.75,90,1,160
2017,2,19,1,28.3,22,25.15,78,1,200
2017,2,20,0,32.6,23.1,27.85,71,1,140
2017,2,21,0,32.7,21,26.85,63,2,150
2017,2,22,0,33.4,21.9,27.65,64,2,140
2017,2,23,0,32.5,23.8,28.15,68,1,180
2017,2,24,-1,31.2,22.6,26.9,71,1,360
2017,2,25,0,33.2,24.2,28.7,65,1,110
2017,2,26,-1,30.9,24.6,27.75,68,1,20
2017,2,27,-1,32.8,23.9,28.35,65,1,140
2017,2,28,0.8,32.8,21.8,27.3,67,1,360
2017,3,1,-1,32.3,23.4,27.85,68,1,70
2017,3,2,0.4,29,23.7,26.35,71,1,140
2017,3,3,-1,30.5,23.4,26.95,70,1,20
2017,3,4,5.8,28,21.5,24.75,77,1,140
2017,3,5,0,31.8,20.4,26.1,66,1,140
2017,3,6,0,32.6,19.5,26.05,65,2,220
2017,3,7,0,32.2,21,26.6,66,1,360
2017,3,8,0,31.7,21,26.35,66,1,360
2017,3,9,0,31.8,21,26.4,64,1,140
2017,3,10,0,32.6,20.5,26.55,61,1,40
2017,3,11,0,32.5,20.8,26.65,63,2,360
2017,3,12,0,33.9,23.4,28.65,58,1,110
2017,3,13,0,33.5,25,29.25,64,1,110
2017,3,14,-1,33.4,23,28.2,59,1,220
2017,3,15,0,32.1,23.8,27.95,63,1,70
2017,3,16,0,31.7,22,26.85,61,1,40
2017,3,17,0,32.5,21,26.75,59,1,90
2017,3,18,0,32.4,21,26.7,57,2,110
2017,3,19,0,32.8,21.8,27.3,62,2,70
2017,3,20,0,32.4,22.2,27.3,64,1,90
2017,3,21,0.8,31,24.6,27.8,69,1,360
2017,3,22,0,34.7,24.3,29.5,64,1,160
2017,3,23,0,34.9,25.8,30.35,64,2,140
2017,3,24,0,35.3,24,29.65,61,1,120
2017,3,25,0,33.9,23.5,28.7,61,1,140
2017,3,26,0,34.3,24.2,29.25,59,1,320
2017,3,27,0,31.9,25,28.45,63,1,40
2017,3,28,0,32,24,28,61,2,90
