YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,0,32.5,21,26.75,79,1,360
2017,1,2,0,31,21.8,26.4,78,2,360
2017,1,3,0,31,21.9,26.45,76,2,40
2017,1,4,0,32,21.4,26.7,77,1,360
2017,1,5,0,31,20.8,25.9,79,1,270
2017,1,6,0,31.7,20.8,26.25,76,1,40
2017,1,7,0,29.5,20.5,25,81,2,320
2017,1,8,0,29,19.9,24.45,86,1,40
2017,1,9,0,30,21.6,25.8,69,2,40
2017,1,10,0,33,23.5,28.25,70,2,40
2017,1,11,0,31.9,23.3,27.6,72,1,40
2017,1,12,0,30.3,23,26.65,77,1,270
2017,1,13,0,30.5,22.8,26.65,83,2,90
2017,1,14,0,31.2,22.1,26.65,81,3,40
2017,1,15,0,30.2,21.1,25.65,86,2,40
2017,1,16,0,31,20.4,25.7,74,2,40
2017,1,17,0,30.4,21.1,25.75,72,2,270
2017,1,18,0,29.9,19,24.45,73,1,40
2017,1,19,0,30,20.2,25.1,72,2,40
2017,1,20,0,29.5,21.5,25.5,64,2,360
2017,1,21,0,30.1,19.5,24.8,73,2,360
2017,1,22,0,29.4,21.8,25.6,82,2,40
2017,1,23,1.2,31.7,21.7,26.7,76,2,40
2017,1,24,0,31,22.8,26.9,71,2,360
2017,1,25,0,30.6,21,25.8,71,3,40
2017,1,26,0,28.6,19.6,24.1,65,3,40
2017,1,27,0,29.6,20.6,25.1,66,1,40
2017,1,28,0,31.5,20.4,25.95,74,2,40
2017,1,29,0,31,21.9,26.45,84,1,360
2017,1,30,0.3,31.6,21.9,26.75,76,2,40
2017,1,31,0,33.9,23.4,28.65,71,2,360
2017,2,1,0,30.6,23.1,26.85,74,3,360
2017,2,2,0,32.3,22.5,27.4,59,2,40
2017,2,3,0,32.5,22.1,27.3,59,2,40
2017,2,4,0,30.8,22.4,26.6,73,1,270
2017,2,5,0,28.6,22,25.3,85,2,270
2017,2,6,0.5,30.7,20.9,25.8,76,3,40
2017,2,7,0,31.9,20.5,26.2,74,3,40
2017,2,8,0,29.3,21,25.15,77,2,40
2017,2,9,0,28.5,18.8,23.65,71,3,360
2017,2,10,0,28.6,20.2,24.4,65,3,360
2017,2,11,0,30.2,20,25.1,62,3,40
2017,2,12,0,29,19,24,83,2,360
2017,2,13,0,30.2,19.5,24.85,65,3,40
2017,2,14,0,29.5,19.1,24.3,67,3,90
2017,2,15,0,29.3,19.4,24.35,65,3,90
2017,2,16,0,29.5,19.7,24.6,57,2,90
2017,2,17,0,30.8,21.4,26.1,62,2,320
2017,2,18,0,31.1,22.2,26.65,73,2,20
2017,2,19,0,31.2,22.8,27,86,1,360
2017,2,20,0,30.7,22.4,26.55,80,2,360
2017,2,21,0,33.2,23.3,28.25,76,2,300
2017,2,22,0,32,22.3,27.15,81,2,320
2017,2,23,0,29.5,22.5,26,85,2,90
2017,2,24,0,32,21.9,26.95,77,2,360
2017,2,25,0,32.1,23.5,27.8,76,2,320
2017,2,26,0,29.6,22,25.8,90,2,360
2017,2,27,0,30.5,22.1,26.3,75,4,360
2017,2,28,0,32.2,23.5,27.85,74,2,10
2017,3,1,0,29.6,21.4,25.5,78,2,20
2017,3,2,0,29.7,21.8,25.75,67,3,360
2017,3,3,0,31.8,20.6,26.2,70,2,320
2017,3,4,0,31,21.8,26.4,71,2,40
2017,3,5,0,30,22,26,89,2,270
2017,3,6,0,30.6,21,25.8,80,2,40
2017,3,7,0,31.7,21.6,26.65,76,1,360
2017,3,8,0,29.9,21,25.45,77,2,270
2017,3,9,0,30.6,22.2,26.4,73,2,270
2017,3,10,0,30.7,21.6,26.15,75,2,270
2017,3,11,0,30.5,21.3,25.9,77,3,360
2017,3,12,0,30.8,22.2,26.5,87,2,220
2017,3,13,0,30.6,23.2,26.9,81,2,220
2017,3,14,0,30.6,21.4,26,79,3,360
2017,3,15,0,32.4,20.5,26.45,74,2,320
2017,3,16,0,30.2,22,26.1,74,2,270
2017,3,17,0,30.2,21.8,26,80,2,270
2017,3,18,0,30,21.8,25.9,83,2,270
