YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,17.9,31,22.6,26.8,90,2,20
2017,1,2,6.7,30.4,24.4,27.4,87,2,40
2017,1,3,8.2,31.8,24,27.9,80,3,20
2017,1,4,11.2,32.5,24.2,28.35,82,2,70
2017,1,5,10.2,31,23.4,27.2,89,3,20
2017,1,6,29,29,23.6,26.3,88,1,40
2017,1,7,86.8,26.4,22,24.2,96,1,100
2017,1,8,152.8,28,22,25,97,2,340
2017,1,9,52.9,28.5,22.8,25.65,91,0,0
2017,1,10,71,29,23.2,26.1,94,3,220
2017,1,11,26,27.5,23.2,25.35,96,1,180
2017,1,12,3.4,30.5,23.2,26.85,93,1,40
2017,1,13,1,30,24,27,90,1,220
2017,1,14,5.8,30.8,23.2,27,88,1,270
2017,1,15,9.5,31.2,23,27.1,84,1,180
2017,1,16,40.5,28.2,23.2,25.7,92,1,60
2017,1,17,45.6,27.2,22.8,25,95,5,40
2017,1,18,179.8,28,22.6,25.3,94,4,40
2017,1,19,19.2,27.2,23,25.1,97,1,70
2017,1,20,12.6,29.5,22.4,25.95,93,1,20
2017,1,21,43.1,29.6,22.4,26,93,2,180
2017,1,22,2.2,30.5,22,26.25,82,3,70
2017,1,23,13.6,30.1,23.8,26.95,87,6,40
2017,1,24,1.8,30.5,23.4,26.95,80,5,40
2017,1,25,3.4,30.2,23.8,27,81,5,40
2017,1,26,0,31,24,27.5,78,4,40
2017,1,27,25.8,32.2,22,27.1,81,3,30
2017,1,28,40,28.2,22.4,25.3,88,3,40
2017,1,29,2.2,32.2,23,27.6,90,2,50
2017,1,30,0,31.5,23.8,27.65,87,1,30
2017,1,31,22.1,30.6,24,27.3,91,1,70
2017,2,1,18.9,29.5,23,26.25,93,1,140
2017,2,2,63.6,31.3,22.5,26.9,90,2,20
2017,2,3,7.9,30.2,23.5,26.85,86,3,40
2017,2,4,3.3,28.5,23.6,26.05,87,1,340
2017,2,5,14.2,28.5,23.4,25.95,88,1,320
2017,2,6,5,30.7,23.2,26.95,88,1,320
2017,2,7,1,30.6,23.8,27.2,80,1,250
2017,2,8,1.4,31.5,24.4,27.95,81,1,250
2017,2,9,0.2,30.2,24,27.1,81,1,20
2017,2,10,0,29.8,23,26.4,80,1,40
2017,2,11,0.7,28.2,22.6,25.4,82,4,40
2017,2,12,0.3,28.8,22,25.4,74,3,40
2017,2,13,0.8,28.5,21.4,24.95,78,2,20
2017,2,14,12.5,28.5,21.8,25.15,84,2,20
2017,2,15,47.8,28.5,23,25.75,89,5,40
2017,2,16,78,26,21,23.5,97,2,20
2017,2,17,7.4,28.5,22.8,25.65,91,3,70
2017,2,18,41.4,30.3,22.8,26.55,90,2,70
2017,2,19,54.6,30.5,22.5,26.5,91,3,70
2017,2,20,6,29,22,25.5,93,1,120
2017,2,21,0.6,30.4,23.2,26.8,80,3,40
2017,2,22,30.3,30.5,23.5,27,87,4,90
2017,2,23,41.2,30.2,23.5,26.85,95,2,60
2017,2,24,8.8,30.5,24,27.25,85,2,60
2017,2,25,1.3,31.2,23.5,27.35,81,3,40
2017,2,26,35,31.2,24.2,27.7,84,4,30
2017,2,27,6.6,29.5,24,26.75,88,4,40
2017,2,28,11.2,31,23.5,27.25,83,3,40
2017,3,1,10.1,30.5,24.2,27.35,88,2,40
2017,3,2,7.2,31,23.2,27.1,83,3,60
2017,3,3,14.2,30.1,23.4,26.75,86,2,40
2017,3,4,0,31.5,23.6,27.55,79,2,50
2017,3,5,101.7,27,23,25,92,1,20
2017,3,6,73,26,22.6,24.3,98,1,40
2017,3,7,46.6,29.3,20.8,25.05,91,2,120
2017,3,8,118.2,28.5,22,25.25,95,3,40
2017,3,9,60.7,26.5,22.4,24.45,97,2,40
2017,3,10,89.2,28,22.5,25.25,95,2,260
2017,3,11,2,30,23,26.5,91,1,300
2017,3,12,1,31,24,27.5,86,1,330
2017,3,13,0,31.6,24,27.8,84,1,20
2017,3,14,0,32.5,24.8,28.65,78,1,230
2017,3,15,54.6,32.8,24,28.4,86,2,40
2017,3,16,7.6,30.3,24,27.15,88,3,70
2017,3,17,-1,31.5,25,28.25,75,4,40
2017,3,18,0,31,24,27.5,76,4,40
2017,3,19,3.6,31.5,23.8,27.65,75,3,40
2017,3,20,-1,30.5,23,26.75,85,1,220
2017,3,21,5,31.5,24.2,27.85,80,1,40
2017,3,22,0,32.5,24.8,28.65,81,3,110
2017,3,23,0,33,25.5,29.25,76,2,60
2017,3,24,0,32.5,24.8,28.65,81,2,60
2017,3,25,0.6,33.3,24,28.65,79,2,70
2017,3,26,14.2,31,24.6,27.8,85,2,50
2017,3,27,113.1,30.8,23,26.9,89,5,40
2017,3,28,20.8,30,23,26.5,89,3,40
2017,3,29,2.8,31.5,24.9,28.2,89,3,40
2017,3,30,15.4,32.3,24,28.15,85,2,90
2017,3,31,12.8,30.5,24,27.25,92,1,150
2017,4,1,7.8,31.8,23.5,27.65,87,1,40
2017,4,2,13.5,30,23,26.5,89,2,100
2017,4,3,86,30,22.8,26.4,89,3,40
2017,4,4,27,27.5,22,24.75,95,1,40
2017,4,5,94.6,30.3,23.2,26.75,92,3,40
2017,4,6,68.2,28,23,25.5,97,1,40
2017,4,7,4.2,31.6,24.4,28,89,1,160
2017,4,8,0,32.6,24.5,28.55,81,2,40
2017,4,9,0,32.5,24,28.25,79,2,40
2017,4,10,0,31.8,24.5,28.15,78,1,110
