YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,11.2,31,24.5,27.75,89,2,90
2017,1,2,48.3,31,23.8,27.4,93,2,340
2017,1,3,0,31.1,24.3,27.7,83,1,90
2017,1,4,39.8,31.8,24.9,28.35,89,1,140
2017,1,5,-1,30.8,23.2,27,84,1,90
2017,1,6,0.4,30.4,24.4,27.4,84,1,320
2017,1,7,6.2,28.7,24.2,26.45,90,1,340
2017,1,8,106.6,25.5,23.5,24.5,94,2,320
2017,1,9,8.1,28.1,24.5,26.3,92,2,340
2017,1,10,12.7,27.2,24.7,25.95,93,2,90
2017,1,11,4.4,31.3,23.5,27.4,86,2,340
2017,1,12,12,26.8,23.6,25.2,93,1,320
2017,1,13,16.7,26.1,23.8,24.95,94,1,340
2017,1,14,0,30.4,25,27.7,90,1,320
2017,1,15,79,30.3,24.2,27.25,92,1,340
2017,1,16,147.5,24.9,22.5,23.7,97,2,340
2017,1,17,9.6,25.1,23.2,24.15,94,2,360
2017,1,18,2.9,28.5,23.6,26.05,91,1,340
2017,1,19,23.6,28.8,23.6,26.2,91,1,320
2017,1,20,17.8,30.5,24.5,27.5,92,1,320
2017,1,21,5,30.8,24.8,27.8,91,1,90
2017,1,22,5.3,28,25,26.5,93,2,140
2017,1,23,0.3,30.5,23.8,27.15,81,2,90
2017,1,24,-1,29.8,23.6,26.7,79,2,40
2017,1,25,0,30.4,23.1,26.75,78,2,340
2017,1,26,0,30,23.3,26.65,78,1,340
2017,1,27,0,30.9,23.2,27.05,77,2,320
2017,1,28,17.3,29.1,23.7,26.4,88,2,360
2017,1,29,-1,30.2,24.6,27.4,89,1,320
2017,1,30,0,31.2,24.5,27.85,83,1,140
2017,1,31,7.5,30.9,25,27.95,89,1,340
2017,2,1,6.6,29.5,23.2,26.35,86,1,320
2017,2,2,3.8,31,23.8,27.4,84,1,340
2017,2,3,4.8,29.5,23,26.25,87,2,320
2017,2,4,0.1,27.5,24,25.75,86,1,340
2017,2,5,5.2,28.6,24.5,26.55,88,2,320
2017,2,6,6,28.5,23.3,25.9,86,2,340
2017,2,7,0.6,29,23.9,26.45,91,2,270
2017,2,8,-1,31,24,27.5,81,2,320
2017,2,9,0.1,30.3,22.2,26.25,79,1,320
2017,2,10,-1,28.3,22,25.15,83,2,320
2017,2,11,0.8,28.6,21.2,24.9,84,1,340
2017,2,12,0,28.4,21.6,25,74,1,340
2017,2,13,0,29.8,22.9,26.35,86,2,340
2017,2,14,0.3,29.1,21.8,25.45,84,2,320
2017,2,15,1.5,28,22.2,25.1,83,2,320
2017,2,16,49.4,25.8,22,23.9,94,1,320
2017,2,17,1,30.6,24.2,27.4,86,2,90
2017,2,18,7.2,30.8,24.2,27.5,89,1,160
2017,2,19,14.9,28,23.9,25.95,92,1,270
2017,2,20,8.7,25.6,23.5,24.55,97,1,340
2017,2,21,3.8,30.5,24,27.25,84,1,140
2017,2,22,6.5,30.5,24.5,27.5,89,1,340
2017,2,23,33.7,27.3,23.3,25.3,96,1,360
2017,2,24,0.1,30.5,22.6,26.55,88,1,340
2017,2,25,0,31,23.4,27.2,86,2,340
2017,2,26,0,30.8,24.1,27.45,81,1,40
2017,2,27,4.7,29.7,24.1,26.9,86,2,320
2017,2,28,0,31,23.6,27.3,88,2,340
2017,3,1,1,32,24,28,79,2,160
2017,3,2,0,31.5,23.2,27.35,81,1,320
2017,3,3,0.3,31.1,22.2,26.65,82,1,320
2017,3,4,0,31.1,22.2,26.65,83,2,320
2017,3,5,0,31.1,23.8,27.45,76,2,340
2017,3,6,35.1,28.1,24,26.05,90,1,290
2017,3,7,59.5,30.3,23.2,26.75,94,1,340
2017,3,8,2.6,28.6,23.6,26.1,89,1,320
2017,3,9,0.2,28.9,23,25.95,80,1,360
2017,3,10,43,28.5,24.3,26.4,88,1,320
2017,3,11,31.4,29,23.9,26.45,92,1,340
2017,3,12,6.2,28.6,23.6,26.1,94,1,90
2017,3,13,0,31.1,24.9,28,87,1,250
2017,3,14,0.9,33.3,25.2,29.25,85,1,340
2017,3,15,56,28,23.5,25.75,92,1,320
2017,3,16,2.8,28.2,22.8,25.5,90,1,360
2017,3,17,0,30.9,23.2,27.05,83,2,320
2017,3,18,0,31,23.4,27.2,81,2,340
2017,3,19,0.2,31.5,23.5,27.5,79,2,290
2017,3,20,60.8,26.5,23.1,24.8,96,2,320
2017,3,21,0,30.2,24.5,27.35,87,2,90
2017,3,22,16,31.2,23.8,27.5,85,1,160
2017,3,23,0,31.4,23.7,27.55,86,2,340
2017,3,24,0,32.3,23.6,27.95,85,2,340
2017,3,25,0.1,31.9,24,27.95,86,2,360
2017,3,26,10.2,31,25,28,90,1,290
2017,3,27,6.4,30.4,24.8,27.6,86,1,320
2017,3,28,13.1,29.2,24.1,26.65,92,1,340
2017,3,29,10.6,31,24.8,27.9,88,1,160
2017,3,30,19.1,30.3,24.5,27.4,91,1,320
2017,3,31,42.1,27,24.2,25.6,97,1,340
2017,4,1,2,30.6,24,27.3,92,1,320
2017,4,2,4.6,31,24.6,27.8,86,1,340
2017,4,3,45.3,27.9,23.8,25.85,93,1,340
2017,4,4,104.5,26,22.6,24.3,97,1,340
2017,4,5,2.8,29.8,24.9,27.35,86,1,320
2017,4,6,1.3,28,24,26,90,1,340
2017,4,7,4.9,29.8,24.6,27.2,89,1,320
2017,4,8,-1,30,24,27,88,2,160
2017,4,9,0,30.9,22.6,26.75,81,2,270
2017,4,10,0,31.8,24.1,27.95,84,2,290
2017,4,11,0,31.5,24.6,28.05,80,1,140
2017,4,12,7.6,32.3,24.5,28.4,85,1,340
2017,4,13,7.2,32,24,28,80,2,110
2017,4,14,1.4,31.1,25,28.05,86,1,340
2017,4,15,161.4,29.3,24.2,26.75,96,3,270
2017,4,16,0.1,28,24.4,26.2,91,1,140
2017,4,17,0,30.6,24.5,27.55,87,2,140
2017,4,18,0,31.5,24.3,27.9,81,1,140
2017,4,19,0,31.9,25.6,28.75,85,2,140
2017,4,20,0,31.5,25.1,28.3,82,2,160
2017,4,21,0,31.5,25.5,28.5,83,2,140
2017,4,22,18.4,32,24.4,28.2,85,2,320
2017,4,23,0.2,31.8,25.1,28.45,85,1,290
2017,4,24,0,31.9,24.9,28.4,84,2,110
2017,4,25,0,32.2,25.8,29,83,1,340
2017,4,26,28.2,33,24.9,28.95,84,1,320
2017,4,27,0,32.8,24.5,28.65,79,2,220
2017,4,28,0,32.3,25.4,28.85,84,1,320
2017,4,29,0.3,31.8,26,28.9,85,2,140
2017,4,30,0,31.6,26.1,28.85,84,2,140
2017,5,1,0,32.5,25,28.75,81,2,140
2017,5,2,11,32.2,25.6,28.9,87,1,200
2017,5,3,11.8,32,24.6,28.3,92,1,90
2017,5,4,0,31.3,24.8,28.05,87,1,320
2017,5,5,2.4,33.3,25.4,29.35,88,2,160
2017,5,6,0.5,32,25.9,28.95,83,1,340
2017,5,7,10.6,29.1,25.1,27.1,89,1,270
2017,5,8,35.1,29.6,24.2,26.9,94,1,160
2017,5,9,0.4,31.2,26,28.6,89,1,90
2017,5,10,26,31.8,24.3,28.05,85,1,140
2017,5,11,20.3,28.8,24.4,26.6,93,1,340
2017,5,12,20.4,29.1,25,27.05,90,1,40
2017,5,13,0.3,30.6,24.8,27.7,91,1,180
2017,5,14,0,30.8,25.4,28.1,87,2,140
2017,5,15,0.2,31,25.5,28.25,86,3,140
2017,5,16,0.2,31.4,26.2,28.8,84,2,140
2017,5,17,0,31.5,27.1,29.3,82,2,160
2017,5,18,0,31.8,25.6,28.7,85,2,140
2017,5,19,1.5,32,26.4,29.2,86,1,110
2017,5,20,3.2,31.8,25.8,28.8,88,1,160
2017,5,21,0.2,32.5,26.3,29.4,87,1,140
2017,5,22,0,32,26.6,29.3,90,1,250
2017,5,23,3,33,26,29.5,88,2,320
2017,5,24,2,32,25.4,28.7,89,1,250
2017,5,25,0.1,32,25.8,28.9,83,1,180
2017,5,26,0,32.3,26.6,29.45,83,2,160
2017,5,27,0,32.2,25.6,28.9,81,2,140
2017,5,28,0,32.2,26.9,29.55,83,2,160
2017,5,29,0,32.5,26.8,29.65,81,1,160
2017,5,30,0,32,26.4,29.2,84,2,140
2017,5,31,0,32.5,25,28.75,82,2,160
2017,6,1,0,32.6,25.6,29.1,82,2,250
2017,6,2,13.2,33,25.9,29.45,82,2,140
2017,6,3,2.2,32.1,25.6,28.85,83,1,160
2017,6,4,5.4,32.8,25.6,29.2,80,2,140
2017,6,5,2.7,33.1,25.6,29.35,83,2,290
2017,6,6,59.4,31.1,24.1,27.6,89,1,320
2017,6,7,22.6,30.3,24.8,27.55,93,1,320
2017,6,8,42.9,28.5,24.3,26.4,94,1,340
2017,6,9,3.1,28.4,24.5,26.45,92,1,140
2017,6,10,0.3,31.3,26.8,29.05,83,2,140
2017,6,11,0.4,31.5,25.5,28.5,86,1,140
2017,6,12,1.6,31.9,25.5,28.7,87,1,320
2017,6,13,0.4,31.9,26.7,29.3,87,2,140
2017,6,14,0,32,26,29,84,2,140
2017,6,15,0,32,24.4,28.2,81,2,140
2017,6,16,0,32,25.9,28.95,79,2,140
2017,6,17,19.2,31.5,24.5,28,81,2,160
2017,6,18,0,31.8,26.3,29.05,81,1,140
2017,6,19,6.4,31.6,26.4,29,82,2,140
2017,6,20,1,32.6,24.8,28.7,85,1,320
2017,6,21,4.6,31.7,24.9,28.3,84,1,140
2017,6,22,0.3,31.4,25.3,28.35,85,1,320
2017,6,23,0.6,32.5,25.2,28.85,85,1,320
2017,6,24,0.1,30,24.9,27.45,89,1,320
2017,6,25,0,32.4,25.8,29.1,82,2,140
2017,6,26,0,31.9,25.4,28.65,85,1,270
2017,6,27,0,32.5,25.6,29.05,84,1,140
2017,6,28,0,32,24.9,28.45,84,1,160
2017,6,29,6.7,33,25.1,29.05,83,2,160
2017,6,30,44.2,33.3,23.8,28.55,84,1,270
2017,7,1,22,32,24,28,89,1,320
2017,7,2,0.6,30.4,24.4,27.4,88,1,160
2017,7,3,1.4,29,25.5,27.25,87,1,340
2017,7,4,4.4,28,24.9,26.45,94,1,200
2017,7,5,0,31.5,25,28.25,85,1,220
2017,7,6,25.5,31,23.8,27.4,88,1,340
2017,7,7,26.8,29.8,24.2,27,91,1,340
2017,7,8,24.6,30.8,23.9,27.35,89,1,90
2017,7,9,0.8,31.3,24.7,28,88,1,290
2017,7,10,0,30.8,24.4,27.6,88,1,250
2017,7,11,0.6,29.9,24.9,27.4,90,1,160
2017,7,12,0.8,29.1,24.6,26.85,91,1,90
2017,7,13,21.2,31.5,23.3,27.4,87,2,320
2017,7,14,0.2,30.4,25.2,27.8,89,1,340
2017,7,15,19.6,30.5,24.2,27.35,91,1,340
2017,7,16,0,30.8,25.3,28.05,89,1,340
2017,7,17,17,31.6,24,27.8,89,2,290
2017,7,18,30.5,29,23.3,26.15,94,1,340
2017,7,19,1.3,30.8,24,27.4,89,1,320
2017,7,20,0,31.9,25.2,28.55,80,1,320
2017,7,21,61,30.1,23.6,26.85,95,1,140
2017,7,22,46.4,31.4,23.5,27.45,84,1,200
2017,7,23,12.6,27.8,23.9,25.85,90,2,320
2017,7,24,20.3,31,24,27.5,83,2,320
2017,7,25,1.5,29,24.6,26.8,90,1,320
2017,7,26,0,31.9,25.6,28.75,83,1,320
2017,7,27,0.2,32.3,26.3,29.3,80,1,160
2017,7,28,0,33.7,26.4,30.05,77,1,160
2017,7,29,0,33.9,26.6,30.25,75,1,340
2017,7,30,0,33.5,26.3,29.9,75,1,340
2017,7,31,1,32.5,26.4,29.45,78,2,290
2017,8,1,0,33.9,26.4,30.15,78,1,340
2017,8,2,0,32,26.1,29.05,83,1,320
2017,8,3,6.9,32,25,28.5,88,1,320
2017,8,4,0,32.4,25.1,28.75,85,1,140
2017,8,5,1.1,32.9,25.3,29.1,84,2,140
2017,8,6,8.4,32.3,23.6,27.95,85,1,270
2017,8,7,-1,31.5,26.1,28.8,82,2,140
2017,8,8,0,32.4,26.8,29.6,80,2,140
2017,8,9,2,32.4,24.6,28.5,82,1,320
2017,8,10,0.6,33,25,29,86,1,290
2017,8,11,2,32.4,25.2,28.8,82,1,320
2017,8,12,2.4,32.1,24.7,28.4,90,1,320
2017,8,13,0,32,25,28.5,85,1,320
2017,8,14,9.4,32.5,24.9,28.7,84,2,140
