YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,3.5,28.3,22.5,25.4,89,3,40
2017,1,2,3.5,26,23,24.5,91,5,20
2017,1,3,3.5,28,23.5,25.75,88,5,40
2017,1,4,76,26,23,24.5,95,4,40
2017,1,5,57,25.6,23.2,24.4,93,3,40
2017,1,6,-1,29,23,26,83,3,30
2017,1,7,0,28.5,22.6,25.55,86,3,360
2017,1,8,-1,28.5,23,25.75,90,2,30
2017,1,9,7.9,28,22.5,25.25,90,4,20
2017,1,10,63.2,25.7,22.5,24.1,93,3,40
2017,1,11,42.7,25.5,22,23.75,93,4,40
2017,1,12,17.5,27,23,25,93,2,20
2017,1,13,0,29,24,26.5,88,2,40
2017,1,14,-1,27.5,23.8,25.65,86,3,360
2017,1,15,24.8,28.5,21,24.75,87,4,20
2017,1,16,7.9,26.5,21,23.75,88,3,40
2017,1,17,7.5,27.4,22.5,24.95,80,3,40
2017,1,18,7,27.3,21.7,24.5,87,3,360
2017,1,19,0,28,22.8,25.4,84,3,20
2017,1,20,0,28.5,23,25.75,84,4,360
2017,1,21,0,28,23.3,25.65,84,4,360
2017,1,22,3,27,22.5,24.75,92,2,20
2017,1,23,13.7,29,21.8,25.4,85,2,30
2017,1,24,6.4,28,21.5,24.75,81,2,40
2017,1,25,1.5,26.8,21.2,24,92,3,20
2017,1,26,16.5,27.5,21,24.25,92,2,40
2017,1,27,14.8,27.5,22,24.75,89,3,360
2017,1,28,28.1,26.5,22.8,24.65,92,3,40
2017,1,29,6.5,26.5,22,24.25,93,3,20
2017,1,30,1,28,22,25,91,3,20
2017,1,31,2.7,28.5,23,25.75,92,3,360
2017,2,1,14.4,29.3,23.5,26.4,86,2,20
2017,2,2,43,28.3,21.8,25.05,87,3,40
2017,2,3,6.1,26,22.5,24.25,90,3,20
2017,2,4,0.5,26.5,21.7,24.1,88,3,20
2017,2,5,0.5,29,22,25.5,83,2,360
2017,2,6,-1,28.2,22,25.1,86,4,10
2017,2,7,-1,28,22.5,25.25,83,4,30
2017,2,8,0,29.5,22.2,25.85,80,3,360
2017,2,9,0.5,29.5,21,25.25,83,3,40
2017,2,10,6.6,26,20.3,23.15,83,3,40
2017,2,11,8.5,26.5,19.7,23.1,86,3,20
2017,2,12,22.4,26.5,19.5,23,92,2,40
2017,2,13,8,25,19.5,22.25,89,3,70
2017,2,14,6,26,19.1,22.55,82,4,40
2017,2,15,3,27.5,20,23.75,86,4,40
2017,2,16,2.5,27.7,21.9,24.8,87,3,20
2017,2,17,9,26,22.5,24.25,89,2,20
2017,2,18,-1,30,23.6,26.8,88,2,20
2017,2,19,8,26.4,21.5,23.95,91,2,360
2017,2,20,0,30,23,26.5,87,3,20
2017,2,21,0.5,29,23,26,87,4,60
2017,2,22,2.3,26.3,22.7,24.5,90,3,40
2017,2,23,0,30.2,24.2,27.2,82,3,40
2017,2,24,7,28,23.5,25.75,90,2,360
2017,2,25,3,27,23.3,25.15,87,3,40
2017,2,26,1.5,30,23,26.5,87,2,40
2017,2,27,1.2,29.8,23,26.4,90,4,40
2017,2,28,2,28,23,25.5,87,3,40
2017,3,1,4,28,22.2,25.1,89,3,40
2017,3,2,0.7,28.6,21.5,25.05,87,3,20
2017,3,3,27,27,22.5,24.75,88,3,360
2017,3,4,0.5,27.5,21.8,24.65,88,2,360
2017,3,5,0,30,21.5,25.75,86,3,40
2017,3,6,0,28.5,21,24.75,84,3,10
2017,3,7,0,29.8,22.5,26.15,86,3,60
2017,3,8,-1,28.8,23,25.9,86,4,40
2017,3,9,-1,28.5,23,25.75,86,2,40
2017,3,10,0,29.5,22.9,26.2,87,4,360
2017,3,11,0,30,23.3,26.65,86,4,20
2017,3,12,0,30.5,22.5,26.5,86,3,40
2017,3,13,0,30,23,26.5,88,2,360
2017,3,14,-1,32,24,28,82,3,10
2017,3,15,2.7,28.5,23,25.75,87,3,40
2017,3,16,0,29.5,22.6,26.05,84,2,60
2017,3,17,0.5,27.5,23.1,25.3,86,3,40
2017,3,18,0.5,28,21.5,24.75,85,3,40
2017,3,19,1.5,29.5,22.3,25.9,87,3,40
2017,3,20,0,29.5,23,26.25,87,3,10
2017,3,21,17,28.5,23,25.75,91,2,30
2017,3,22,0,31,23.5,27.25,83,2,150
2017,3,23,0,31,24,27.5,83,2,360
2017,3,24,0,32,24.2,28.1,84,2,360
2017,3,25,0,32.5,23.8,28.15,80,2,360
2017,3,26,-1,31,24,27.5,87,3,10
2017,3,27,23.8,30,22,26,89,3,40
2017,3,28,3,28,22.5,25.25,88,4,40
2017,3,29,-1,29.7,23.8,26.75,88,4,20
2017,3,30,-1,30,23,26.5,85,3,30
2017,3,31,0,32,21.4,26.7,85,2,350
2017,4,1,15.5,32.5,23.3,27.9,85,2,360
2017,4,2,19.2,27.5,19.5,23.5,92,4,20
2017,4,3,0.5,25,20.5,22.75,91,4,20
2017,4,4,-1,28,22.7,25.35,85,4,30
2017,4,5,-1,29.7,23.5,26.6,86,3,30
2017,4,6,-1,30.8,24,27.4,83,3,40
2017,4,7,-1,30,24.5,27.25,86,3,40
2017,4,8,11.5,31,24,27.5,88,3,60
2017,4,9,0,32.5,23.5,28,81,2,180
2017,4,10,0,33,22,27.5,85,2,180
2017,4,11,0,32.7,22,27.35,85,1,330
2017,4,12,0,32,24,28,81,3,20
2017,4,13,0,32.5,24.8,28.65,82,3,360
2017,4,14,0,32,24.8,28.4,86,3,30
2017,4,15,12.5,31,23,27,86,2,40
2017,4,16,5,30,23.8,26.9,91,2,40
2017,4,17,0,32.2,23.6,27.9,87,2,350
2017,4,18,0,32.7,23.4,28.05,88,2,300
2017,4,19,0,32.5,23.2,27.85,81,1,180
2017,4,20,0,32.8,24.6,28.7,87,1,170
2017,4,21,0,32,23.2,27.6,88,1,220
2017,4,22,3.5,32.5,24.8,28.65,87,1,190
2017,4,23,0.5,32.4,24,28.2,89,1,290
2017,4,24,0,33,24.7,28.85,82,2,340
2017,4,25,-1,33.2,24.5,28.85,83,2,30
2017,4,26,0,33.4,24,28.7,83,2,90
2017,4,27,0,34.7,24.2,29.45,82,1,40
2017,4,28,-1,32,24.7,28.35,86,1,90
2017,4,29,22,33.5,24.2,28.85,85,1,150
2017,4,30,2.5,31,23,27,89,1,360
2017,5,1,11.7,33,24,28.5,88,2,330
2017,5,2,0,33,25,29,82,2,30
2017,5,3,0.5,33.5,25,29.25,82,2,40
2017,5,4,5.5,33.4,25.8,29.6,83,2,360
2017,5,5,0,34,25.5,29.75,81,3,360
2017,5,6,55.5,31,25,28,89,2,360
2017,5,7,1,33,24,28.5,85,3,40
2017,5,8,0,33.5,25,29.25,85,3,70
2017,5,9,0,33.7,25.5,29.6,85,3,40
