YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,5.2,27.5,21.3,24.4,87,1,360
2017,1,2,0.8,27.6,21.8,24.7,87,1,360
2017,1,3,0.4,28.5,22.4,25.45,86,1,360
2017,1,4,0,27.5,21.2,24.35,86,1,90
2017,1,5,0,29.5,20,24.75,81,1,40
2017,1,6,0,28.3,21.5,24.9,83,1,90
2017,1,7,0,29.8,19,24.4,78,1,180
2017,1,8,0,29.2,20,24.6,79,1,180
2017,1,9,0,29.4,21.8,25.6,75,1,360
2017,1,10,-1,26,22,24,88,1,360
2017,1,11,-1,27.5,21.8,24.65,85,1,90
2017,1,12,0,27.7,22.5,25.1,85,1,180
2017,1,13,0,30,22.8,26.4,84,1,180
2017,1,14,0,30.5,22.2,26.35,85,1,360
2017,1,15,0.1,26.2,21.3,23.75,83,1,360
2017,1,16,2.2,26.5,19.6,23.05,87,1,180
2017,1,17,-1,26,20,23,84,1,360
2017,1,18,0,28,17.7,22.85,80,1,180
2017,1,19,0,29.5,19.2,24.35,76,1,180
2017,1,20,0,29.9,19,24.45,73,1,360
2017,1,21,0,29.9,20,24.95,79,1,180
2017,1,22,0.2,27.2,21,24.1,88,1,360
2017,1,23,-1,25.6,19.8,22.7,87,2,360
2017,1,24,2.7,25.8,20.2,23,87,1,360
2017,1,25,11.8,25,18.8,21.9,91,1,360
2017,1,26,0.6,26.5,19.5,23,86,1,360
2017,1,27,3,26.8,21,23.9,86,1,360
2017,1,28,1.4,26.5,20,23.25,89,1,360
2017,1,29,0.2,28.9,20.3,24.6,78,1,40
2017,1,30,32.3,25.1,21,23.05,97,2,360
2017,1,31,17.2,27,22,24.5,89,1,360
2017,2,1,52.2,25.5,21,23.25,97,1,360
2017,2,2,0,24,20.3,22.15,92,2,360
2017,2,3,0.6,25.5,20,22.75,87,1,360
2017,2,4,0,27.8,20.5,24.15,82,1,270
2017,2,5,3.1,28.5,21.3,24.9,84,1,360
2017,2,6,0,28,20.5,24.25,79,1,360
2017,2,7,3.6,24.1,20.1,22.1,89,1,360
2017,2,8,0,28.8,21,24.9,82,1,270
2017,2,9,2.2,28,18,23,80,2,360
2017,2,10,0,25,18.5,21.75,83,2,360
2017,2,11,0,25,18.2,21.6,80,1,360
2017,2,12,1.4,26,17.5,21.75,81,1,360
2017,2,13,0,24,17.7,20.85,79,1,360
2017,2,14,0,24.2,17.2,20.7,74,1,360
2017,2,15,0.2,24,18.3,21.15,84,1,360
2017,2,16,0,25,19.4,22.2,84,1,90
2017,2,17,0,28.5,21.6,25.05,80,0,0
2017,2,18,20.2,27.5,20.2,23.85,90,1,360
2017,2,19,0.8,25.5,20.7,23.1,87,1,180
2017,2,20,0,30.1,22,26.05,84,1,180
2017,2,21,-1,29.2,21.8,25.5,87,1,180
2017,2,22,0,31.5,21,26.25,75,1,180
2017,2,23,0,32,21.5,26.75,78,1,360
2017,2,24,0,30.5,22,26.25,82,1,360
2017,2,25,0.1,29.2,23,26.1,87,1,360
2017,2,26,1,29,21.2,25.1,86,1,360
2017,2,27,1.2,28,21.2,24.6,87,2,360
2017,2,28,2.6,26.8,21.7,24.25,89,1,360
2017,3,1,0.1,28.7,21.5,25.1,86,1,360
2017,3,2,0,28.5,21,24.75,80,1,360
2017,3,3,0,27,21.4,24.2,82,1,360
2017,3,4,0.2,27.8,21.2,24.5,82,1,360
2017,3,5,0,30.8,22.4,26.6,74,1,180
2017,3,6,0,32.4,21.5,26.95,69,1,360
2017,3,7,0,30.8,21,25.9,76,1,360
2017,3,8,0,32,22.1,27.05,77,1,180
2017,3,9,0,29,21,25,86,1,180
2017,3,10,0,31.5,23,27.25,72,1,180
2017,3,11,0,32,22.3,27.15,78,1,360
2017,3,12,0,31.6,21,26.3,79,1,360
2017,3,13,0,33.7,21.8,27.75,74,1,180
2017,3,14,0,31.3,22.7,27,79,2,360
2017,3,15,0,30.5,19.5,25,75,2,360
2017,3,16,0,31.5,21.5,26.5,73,1,360
2017,3,17,0,31.8,21.5,26.65,68,1,180
2017,3,18,0,33.6,20.3,26.95,63,1,180
2017,3,19,0,32,19.3,25.65,69,1,180
2017,3,20,0,32.6,20.5,26.55,69,1,180
2017,3,21,20.6,33.8,22.5,28.15,74,1,360
2017,3,22,8.4,27.5,23,25.25,92,1,180
2017,3,23,0.2,33.5,24.8,29.15,77,1,360
2017,3,24,0.2,31.2,22.6,26.9,81,1,360
2017,3,25,-1,33.2,24.3,28.75,81,1,360
2017,3,26,0,31.4,22,26.7,79,2,360
2017,3,27,0,29,21.6,25.3,78,2,360
2017,3,28,0,27.8,20.5,24.15,82,4,150
2017,3,29,0,32.8,23,27.9,74,5,360
2017,3,30,0,33,21.6,27.3,70,1,180
2017,3,31,0,34,23,28.5,72,1,360
2017,4,1,0,32.6,17.5,25.05,77,3,360
2017,4,2,0,24.5,19.5,22,78,2,360
2017,4,3,0,25,20.5,22.75,73,1,360
2017,4,4,0,27,19.6,23.3,79,1,40
2017,4,5,0,31.8,20.6,26.2,70,0,0
2017,4,6,0,33.7,21.8,27.75,66,1,180
2017,4,7,0,34,24,29,67,1,180
2017,4,8,0,35,24.3,29.65,70,1,180
2017,4,9,0,35.4,25.1,30.25,70,1,180
2017,4,10,0,36.2,25.2,30.7,68,1,360
2017,4,11,0,35.6,25,30.3,71,1,340
2017,4,12,0,36.7,25,30.85,70,1,180
2017,4,13,0,35.5,23.5,29.5,68,1,180
2017,4,14,0,35.7,22.5,29.1,65,1,180
2017,4,15,0,35.6,24.5,30.05,65,1,180
2017,4,16,2,34,24,29,73,1,180
2017,4,17,-1,35.4,24.6,30,75,3,180
2017,4,18,6.6,34.8,25.5,30.15,76,1,180
2017,4,19,29.8,37.2,25.2,31.2,78,1,180
2017,4,20,0,35.8,25.1,30.45,78,1,360
2017,4,21,0,35.5,24.8,30.15,75,1,360
2017,4,22,0,35.2,25,30.1,70,1,360
2017,4,23,2.2,34.2,25,29.6,77,1,320
2017,4,24,3,35.3,24,29.65,78,1,180
2017,4,25,0,35.5,24.8,30.15,72,1,180
2017,4,26,0,35.9,25.1,30.5,70,1,360
2017,4,27,0,35.3,24.8,30.05,70,1,360
2017,4,28,0,34,24,29,77,2,360
2017,4,29,0,32,23.5,27.75,76,2,360
2017,4,30,0,34.2,25,29.6,71,1,360
2017,5,1,0.8,35.2,23.8,29.5,73,1,180
2017,5,2,10.6,35,24,29.5,77,1,180
2017,5,3,10.6,36,22.7,29.35,75,2,180
2017,5,4,0,35.1,25,30.05,71,1,180
2017,5,5,0,35,23.8,29.4,74,1,180
2017,5,6,0,36.2,24.8,30.5,68,1,180
2017,5,7,4.8,36,24.5,30.25,70,1,180
2017,5,8,0,35.9,24.8,30.35,69,1,180
2017,5,9,0,37.5,25.2,31.35,70,1,360
2017,5,10,0,37,25.2,31.1,70,1,180
2017,5,11,0,35.5,24.4,29.95,66,1,180
2017,5,12,0,36.5,25.2,30.85,65,1,180
2017,5,13,0,37.7,25.5,31.6,66,1,180
2017,5,14,2.2,37,24.3,30.65,68,1,360
2017,5,15,0,36.5,25.5,31,67,2,180
2017,5,16,8.3,37.2,24.8,31,73,1,340
2017,5,17,0,32.2,25.2,28.7,82,1,360
2017,5,18,0.2,31,25,28,84,1,180
2017,5,19,38.4,37.5,24,30.75,83,1,180
2017,5,20,7,31.3,25,28.15,88,1,180
2017,5,21,5.8,33,24.3,28.65,87,1,40
2017,5,22,1,33.5,24.8,29.15,83,1,180
2017,5,23,1,34.5,24.8,29.65,81,1,360
2017,5,24,0,33.8,24.8,29.3,78,1,180
2017,5,25,31,34,23.6,28.8,82,1,180
2017,5,26,45.6,33.2,24.4,28.8,84,1,180
2017,5,27,11.5,32.5,24,28.25,84,1,180
2017,5,28,7.6,34.2,24.8,29.5,86,1,180
2017,5,29,0.1,32.7,25,28.85,85,1,180
2017,5,30,44,33.8,24.2,29,86,1,180
2017,5,31,6.2,33.8,23.6,28.7,83,1,180
2017,6,1,0,35.5,24.2,29.85,76,1,180
2017,6,2,0,36.5,25.5,31,74,1,180
2017,6,3,0,35.6,24.5,30.05,79,1,180
2017,6,4,0,35.3,24.8,30.05,74,1,180
2017,6,5,0,35,25.6,30.3,74,1,360
2017,6,6,0,35.2,25.7,30.45,74,1,180
2017,6,7,0,35.5,25,30.25,68,1,180
2017,6,8,0,36.2,25.5,30.85,69,1,180
