YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,16.4,29.6,25.8,27.7,82,4,40
2017,1,2,7.3,30,24,27,81,5,40
2017,1,3,13.7,30,25.2,27.6,84,4,90
2017,1,4,18.2,29.6,24.8,27.2,88,5,40
2017,1,5,0,29.8,23.6,26.7,80,3,40
2017,1,6,0,30.2,22.8,26.5,75,3,40
2017,1,7,2.4,30.8,23.2,27,75,4,40
2017,1,8,2.6,29.2,24.2,26.7,81,2,40
2017,1,9,46.1,28.8,22.8,25.8,90,5,40
2017,1,10,33.4,28.4,23.4,25.9,82,6,40
2017,1,11,50.4,28.4,25.6,27,85,6,90
2017,1,12,0,29.8,24.8,27.3,85,4,40
2017,1,13,46.8,27.2,23.2,25.2,94,2,220
2017,1,14,25.6,25.8,23.2,24.5,95,3,90
2017,1,15,2.2,28.6,23.5,26.05,88,3,40
2017,1,16,0,27,24.4,25.7,73,5,90
2017,1,17,2,28.6,22.6,25.6,75,4,40
2017,1,18,9.2,27.8,22.6,25.2,84,5,40
2017,1,19,0,29.7,22.6,26.15,82,4,40
2017,1,20,0.6,27.4,21.6,24.5,83,2,320
2017,1,21,19.4,29.8,21.6,25.7,84,4,40
2017,1,22,37.8,28.4,19.2,23.8,91,4,40
2017,1,23,4.3,28.2,23.2,25.7,79,10,70
2017,1,24,4,29,24,26.5,79,7,70
2017,1,25,1.6,28.6,22.8,25.7,78,6,90
2017,1,26,1.2,29,22.6,25.8,83,4,40
2017,1,27,8.4,29,21.6,25.3,79,3,40
2017,1,28,12.2,29.6,22.6,26.1,80,6,80
2017,1,29,5.5,29.4,21,25.2,88,3,320
2017,1,30,0,29.5,24,26.75,89,2,140
2017,1,31,7,29,24.4,26.7,90,4,90
2017,2,1,4.4,28.4,23.4,25.9,88,3,90
2017,2,2,4.2,29.3,21.4,25.35,81,5,40
2017,2,3,4,28.6,18.6,23.6,82,4,90
2017,2,4,0,28.6,23,25.8,81,3,20
2017,2,5,0,29.4,23.4,26.4,83,3,360
2017,2,6,0,30.6,23.4,27,77,4,320
2017,2,7,0,29,24,26.5,81,3,320
2017,2,8,0,30.4,23.8,27.1,80,3,360
2017,2,9,0,30,21.5,25.75,79,3,340
2017,2,10,0,29.6,20.8,25.2,77,2,40
2017,2,11,0,26.6,21.6,24.1,80,4,40
2017,2,12,2.8,26.2,21,23.6,76,4,40
2017,2,13,0,27.2,21,24.1,68,5,20
2017,2,14,1,27.6,21.4,24.5,76,5,40
2017,2,15,0.5,28.4,19.4,23.9,76,3,40
2017,2,16,0,28.8,21.4,25.1,78,4,40
2017,2,17,5.2,28.4,21.2,24.8,88,4,90
2017,2,18,2.4,29.6,23.6,26.6,86,7,90
2017,2,19,0.6,28.2,23,25.6,82,3,90
2017,2,20,0.9,29.3,22.8,26.05,84,4,90
2017,2,21,1.6,30.4,23.6,27,77,5,40
2017,2,22,0.8,29.7,23.5,26.6,86,4,40
2017,2,23,7.2,30.6,22,26.3,87,4,40
2017,2,24,1.4,29.8,22.4,26.1,91,2,320
2017,2,25,6.6,29.4,23.4,26.4,88,4,40
2017,2,26,0,29.8,22.2,26,86,3,90
2017,2,27,0,30.4,23.4,26.9,75,2,90
2017,2,28,21.5,30.2,22.2,26.2,85,4,90
2017,3,1,0,29.6,22.6,26.1,84,3,40
2017,3,2,4.4,30,23,26.5,84,4,340
2017,3,3,14.8,28.4,22.2,25.3,85,4,40
2017,3,4,0,29,22,25.5,81,5,90
2017,3,5,0,29.4,21,25.2,79,3,40
2017,3,6,0,30.6,21.4,26,84,2,320
2017,3,7,0,31.2,23.6,27.4,73,5,360
2017,3,8,0,30.4,23,26.7,76,3,40
2017,3,9,0,29.8,23.5,26.65,76,4,40
2017,3,10,0,30.6,24.6,27.6,77,3,40
2017,3,11,10.8,28.8,23.4,26.1,91,3,290
2017,3,12,99.2,29,23.5,26.25,91,2,40
2017,3,13,32,26.6,22.6,24.6,97,2,320
2017,3,14,12.2,29.6,23.2,26.4,89,3,140
2017,3,15,58,26.8,23.4,25.1,94,2,40
2017,3,16,0,29,22.8,25.9,85,3,40
2017,3,17,0,28.8,23.6,26.2,75,4,40
2017,3,18,0,29.6,24.2,26.9,74,5,90
2017,3,19,2,29.6,22.8,26.2,84,2,40
2017,3,20,12.8,28.8,24.8,26.8,87,2,320
2017,3,21,1,29.8,25.4,27.6,89,4,110
2017,3,22,0,30,23.8,26.9,87,4,110
2017,3,23,0,30,21.8,25.9,86,3,140
2017,3,24,0,30.2,22.8,26.5,84,2,90
2017,3,25,0,31.4,23.4,27.4,82,3,90
2017,3,26,0,31,24.6,27.8,81,2,90
2017,3,27,0,29.8,24.8,27.3,76,4,40
2017,3,28,0,30.2,24,27.1,77,4,40
2017,3,29,0,30.4,25.3,27.85,77,4,90
2017,3,30,0,30.5,23.6,27.05,76,4,40
2017,3,31,0,30.4,24,27.2,82,3,300
2017,4,1,27,30,23.2,26.6,88,2,110
2017,4,2,0,29.6,23.5,26.55,84,2,40
2017,4,3,0,28.4,22.4,25.4,77,4,20
2017,4,4,0,29.8,23.5,26.65,74,5,40
2017,4,5,0.2,30,25,27.5,77,3,90
2017,4,6,0.6,31,25,28,77,4,90
2017,4,7,16.6,30.6,23,26.8,85,4,40
2017,4,8,2.8,30,23.4,26.7,90,5,90
2017,4,9,0,30,21,25.5,86,2,90
2017,4,10,0,30,21.4,25.7,83,2,110
2017,4,11,0,30.4,22.8,26.6,86,3,110
2017,4,12,0,31.2,24.8,28,83,3,110
2017,4,13,0,31.8,23,27.4,81,4,90
2017,4,14,3.6,31.6,25,28.3,84,2,90
2017,4,15,14.6,30,23.8,26.9,84,5,90
2017,4,16,48.8,30.2,23.6,26.9,91,3,90
