YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,16.3,31.2,23.9,27.55,82,1,270
2017,1,2,0.4,32,24.6,28.3,81,1,210
2017,1,3,0,33.5,23.9,28.7,80,1,70
2017,1,4,-1,32.2,24.3,28.25,80,1,270
2017,1,5,1.6,30.6,24.2,27.4,81,1,220
2017,1,6,0.4,31.5,23.6,27.55,84,1,250
2017,1,7,0.6,32.3,24.2,28.25,83,1,270
2017,1,8,0,31.8,23.6,27.7,79,1,180
2017,1,9,-1,34.8,23.8,29.3,73,1,270
2017,1,10,11.2,31.8,23.7,27.75,84,1,270
2017,1,11,0,34.2,23.5,28.85,80,1,30
2017,1,12,0,33.2,23.1,28.15,76,1,180
2017,1,13,0,33.4,23,28.2,74,1,180
2017,1,14,0.8,33.7,23.4,28.55,76,1,270
2017,1,15,2.6,32.7,24.5,28.6,81,1,270
2017,1,16,0,31.4,25.2,28.3,73,3,270
2017,1,17,23.8,32.8,24.1,28.45,82,1,40
2017,1,18,30.4,31.6,23.3,27.45,89,1,270
2017,1,19,48.3,29.8,23.4,26.6,92,0,0
2017,1,20,5.9,31.2,23,27.1,87,1,40
2017,1,21,6.5,33.2,23.1,28.15,79,1,270
2017,1,22,0,33.1,23.6,28.35,77,1,240
2017,1,23,0.2,33.4,24.8,29.1,82,1,30
2017,1,24,2.6,32.7,23.8,28.25,78,1,40
2017,1,25,-1,32.1,22.2,27.15,73,1,40
2017,1,26,0,32.1,22.5,27.3,75,1,60
2017,1,27,0,32.3,23.1,27.7,77,1,60
2017,1,28,0.1,30.2,24.2,27.2,81,1,60
2017,1,29,0.2,31.5,23.6,27.55,82,1,240
2017,1,30,0,34.1,24.5,29.3,78,1,240
2017,1,31,0,34.5,23.9,29.2,77,1,90
2017,2,1,2.3,33.2,24,28.6,76,1,180
2017,2,2,0,32.5,23.6,28.05,76,1,40
2017,2,3,0,32.5,24.5,28.5,71,1,240
2017,2,4,0,32.3,23,27.65,74,1,20
2017,2,5,0,33.6,22,27.8,70,1,190
2017,2,6,0,34,22.5,28.25,71,1,180
2017,2,7,0,33,22.8,27.9,72,1,200
2017,2,8,0,33.5,22.8,28.15,74,1,180
2017,2,9,0.1,33.1,23.4,28.25,75,0,0
2017,2,10,0,31.3,23.5,27.4,77,1,220
2017,2,11,0,32.5,23.7,28.1,76,1,270
2017,2,12,0,33,22.1,27.55,70,1,250
2017,2,13,0,32.5,22.8,27.65,67,1,40
2017,2,14,0,31.5,23.8,27.65,66,1,40
2017,2,15,-1,31.2,25.2,28.2,68,1,60
2017,2,16,-1,30.7,24,27.35,75,1,40
2017,2,17,0,31.8,23.4,27.6,75,1,60
2017,2,18,0.6,32.8,23.9,28.35,79,1,240
2017,2,19,0.6,34,24.2,29.1,78,1,80
2017,2,20,0,33,24.1,28.55,81,1,60
2017,2,21,0,34.1,24,29.05,76,2,160
2017,2,22,0,34.7,24.3,29.5,70,1,90
2017,2,23,36.6,30.8,23.5,27.15,84,1,40
2017,2,24,-1,32.9,23.1,28,78,1,60
2017,2,25,18,32.1,23.6,27.85,78,1,220
2017,2,26,6.8,31.8,24.6,28.2,79,1,270
2017,2,27,0,31.4,23.2,27.3,86,1,250
2017,2,28,0,32.1,23.1,27.6,79,1,210
2017,3,1,0,32.5,23.7,28.1,73,1,240
2017,3,2,8.7,32.2,24,28.1,81,1,240
