YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,2.9,-999,-999,86,4,40
2021,1,2,2.2,-999,-999,87,3,40
2021,1,3,0.2,-999,-999,90,3,40
2021,1,4,1.1,-999,-999,86,3,40
2021,1,5,0.2,-999,-999,84,6,40
2021,1,6,2,-999,-999,87,5,40
2021,1,7,7.2,-999,-999,92,7,20
2021,1,8,24.2,-999,-999,97,9,40
2021,1,9,7.2,-999,-999,94,6,40
2021,1,10,0,-999,-999,78,6,40
2021,1,11,0.1,-999,-999,74,3,40
2021,1,12,6.1,-999,-999,76,4,40
2021,1,13,2.3,-999,-999,88,4,40
2021,1,14,0,-999,-999,86,3,60
2021,1,15,2,-999,-999,79,4,40
2021,1,16,14,-999,-999,82,2,40
2021,1,17,23.7,-999,-999,88,9,40
2021,1,18,10.4,-999,-999,91,7,40
2021,1,19,1,-999,-999,94,6,40
2021,1,20,19.2,-999,-999,90,6,40
2021,1,21,25.4,-999,-999,95,2,360
2021,1,22,46.4,-999,-999,89,1,360
2021,1,23,30,-999,-999,96,2,360
2021,1,24,3.5,-999,-999,93,4,40
2021,1,25,1.8,-999,-999,94,6,40
2021,1,26,0.2,-999,-999,84,6,40
2021,1,27,0,-999,-999,83,5,80
2021,1,28,0,-999,-999,77,5,40
2021,1,29,2.5,-999,-999,76,8,40
2021,1,30,0,-999,-999,71,4,90
2021,1,31,-1,-999,-999,80,2,40
2021,2,1,0,-999,-999,85,1,360
2021,2,2,3,-999,-999,87,4,60
2021,2,3,4.4,-999,-999,85,5,60
2021,2,4,5.6,-999,-999,83,5,40
2021,2,5,0,-999,-999,78,3,40
2021,2,6,0,-999,-999,86,1,40
2021,2,7,15.7,-999,-999,94,3,40
2021,2,8,0,-999,-999,85,6,40
2021,2,9,1.4,-999,-999,89,5,60
2021,2,10,0.8,-999,-999,89,3,60
2021,2,11,0,-999,-999,88,4,340
2021,2,12,0,-999,-999,78,2,340
2021,2,13,0,-999,-999,77,2,40
2021,2,14,14,-999,-999,81,2,40
2021,2,15,-1,-999,-999,77,2,360
2021,2,16,0,-999,-999,84,3,360
2021,2,17,4.2,-999,-999,78,7,40
2021,2,18,3.8,-999,-999,77,10,40
2021,2,19,0,-999,-999,70,3,60
2021,2,20,0,-999,-999,67,4,60
2021,2,21,0,-999,-999,77,1,360
2021,2,22,5,-999,-999,88,2,40
2021,2,23,0,-999,-999,87,1,40
2021,2,24,57.8,-999,-999,91,4,40
2021,2,25,-1,-999,-999,91,2,40
2021,2,26,0,-999,-999,83,1,360
2021,2,27,-1,-999,-999,87,2,20
2021,2,28,0,-999,-999,85,3,60
2021,3,1,0,-999,-999,85,2,40
2021,3,2,0,-999,-999,85,5,40
2021,3,3,0,-999,-999,83,5,60
2021,3,4,0,-999,-999,84,2,180
2021,3,5,0,-999,-999,80,2,180
2021,3,6,0,-999,-999,81,2,40
2021,3,7,0,-999,-999,82,3,60
2021,3,8,0,-999,-999,78,3,60
2021,3,9,0,-999,-999,78,3,40
2021,3,10,0.5,-999,-999,80,4,40
2021,3,11,0,-999,-999,80,3,60
2021,3,12,0,-999,-999,78,4,40
2021,3,13,-1,-999,-999,76,5,40
2021,3,14,0,-999,-999,77,5,40
2021,3,15,2,-999,-999,85,3,40
2021,3,16,11,-999,-999,92,2,40
2021,3,17,0.4,-999,-999,89,1,360
2021,3,18,0,-999,-999,88,3,40
2021,3,19,-1,-999,-999,86,4,40
2021,3,20,0,-999,-999,87,2,360
2021,3,21,9.5,-999,-999,79,5,40
2021,3,22,3.4,-999,-999,87,8,40
2021,3,23,2.4,-999,-999,85,4,60
2021,3,24,2.4,-999,-999,85,1,360
2021,3,25,0,-999,-999,85,4,40
2021,3,26,0,-999,-999,85,4,60
2021,3,27,0,-999,-999,84,2,180
2021,3,28,0,-999,-999,82,2,180
2021,3,29,0,-999,-999,84,2,360
2021,3,30,0,-999,-999,89,4,360
2021,3,31,0,-999,-999,85,2,40
2021,4,1,0,-999,-999,77,2,180
2021,4,2,0,-999,-999,87,2,20
2021,4,3,0,-999,-999,82,2,40
2021,4,4,0,-999,-999,79,4,40
2021,4,5,1.4,-999,-999,89,5,40
2021,4,6,0,-999,-999,67,4,40
2021,4,7,-1,-999,-999,83,5,40
2021,4,8,0,-999,-999,71,5,40
2021,4,9,0,-999,-999,75,5,40
2021,4,10,0,-999,-999,72,4,40
2021,4,11,0,-999,-999,78,3,220
2021,4,12,0,-999,-999,81,4,40
