YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,22.6,13.8,83,1,110
2021,1,2,0,23.8,14.8,84,3,110
2021,1,3,0,24.6,15.5,79,2,110
2021,1,4,0,24,15.2,87,1,160
2021,1,5,0,24,15.2,91,1,360
2021,1,6,0,24,15,91,1,360
2021,1,7,0,24.5,14.4,86,1,360
2021,1,8,0,24.5,13,64,2,140
2021,1,9,0,22.8,10.4,87,2,110
2021,1,10,0,21.6,10.8,82,1,160
2021,1,11,0,22.5,11.2,81,1,360
2021,1,12,0,19.9,11.6,93,1,360
2021,1,13,0,22.6,13.2,88,2,110
2021,1,14,0,24.5,15,90,1,360
2021,1,15,0,23.8,15.4,90,1,360
2021,1,16,0.2,22.2,15,92,1,360
2021,1,17,0,24.4,14.6,83,2,110
2021,1,18,0,23.2,14.5,81,2,110
2021,1,19,0,23.8,15.2,82,2,110
2021,1,20,0,23.4,16.8,90,1,140
2021,1,21,5.6,22,17,93,2,140
2021,1,22,3,21.6,16,95,2,160
2021,1,23,13.2,18.4,15.6,96,1,110
2021,1,24,0,22.6,15.5,92,2,180
2021,1,25,-1,23.5,16.4,94,1,360
2021,1,26,8,24.2,16,93,1,360
2021,1,27,13.2,24.6,15.2,92,1,360
2021,1,28,1.4,21.8,12.4,89,1,360
2021,1,29,0,22.5,11,79,2,110
2021,1,30,0,20.4,9.4,87,2,110
2021,1,31,0,19.4,11,82,2,110
2021,2,1,0,22.7,11.3,87,1,160
2021,2,2,0,23.3,11.6,80,2,110
2021,2,3,0,23.3,12.2,77,2,110
2021,2,4,0,23.8,13,82,1,160
2021,2,5,0,24.5,15,82,2,90
2021,2,6,0.6,23.6,15.5,91,1,360
2021,2,7,0,24.4,14.6,77,1,110
2021,2,8,0,24.5,14.4,78,2,110
2021,2,9,0.6,24.7,15.5,79,3,110
2021,2,10,4.6,23.5,16.2,92,2,110
2021,2,11,0.8,21.6,15,93,1,360
2021,2,12,0,25.7,14.4,92,1,110
2021,2,13,0,23.8,13.6,87,1,160
2021,2,14,0,22.4,13.5,85,1,360
2021,2,15,0,23.5,13,88,2,160
2021,2,16,0,23,13,91,1,360
2021,2,17,0,21.7,13.2,90,0,0
2021,2,18,-1,22.2,11,81,1,360
2021,2,19,-1,19.8,9.5,88,1,90
2021,2,20,0,18.8,9,86,1,180
2021,2,21,0,24.2,13.2,73,2,110
2021,2,22,1.2,25.6,16.6,81,2,140
2021,2,23,9.8,23.4,15.6,86,1,360
2021,2,24,1.2,24.6,16,94,1,180
2021,2,25,-1,24.9,14.9,85,1,360
2021,2,26,0,25.3,14.8,85,1,360
2021,2,27,0,24,15.6,90,1,140
2021,2,28,0,24.4,15.7,88,1,90
