YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,24.9,32.2,23.3,83,1,60
2021,1,2,122.8,29,24.7,94,1,40
2021,1,3,12.4,31.3,24.4,89,2,40
2021,1,4,8.6,30.1,24.6,90,1,40
2021,1,5,24.4,32.6,24.4,87,1,40
2021,1,6,16.2,32,24,89,1,360
2021,1,7,61.2,30.4,23.7,89,1,350
2021,1,8,32.6,30.3,23.9,94,1,360
2021,1,9,131.2,31.1,23.6,92,1,360
2021,1,10,176.8,26.8,23.7,98,2,50
2021,1,11,219.8,28.9,23.7,97,2,320
2021,1,12,12.8,29,23,94,2,320
2021,1,13,22.7,27,23.2,95,1,360
2021,1,14,0,31.8,22,89,1,40
2021,1,15,2.2,30.5,23.4,89,1,360
2021,1,16,31.3,30.5,24.2,88,1,360
2021,1,17,33.2,30.9,24,84,1,40
2021,1,18,166,28,22.8,94,2,360
2021,1,19,22.6,29.8,24.5,91,1,160
2021,1,20,-1,30.9,23.3,94,1,360
2021,1,21,2,30,24,91,1,360
2021,1,22,0,31,23.3,87,1,360
2021,1,23,0,32.1,23.7,89,1,90
2021,1,24,0,32,23.9,88,1,360
2021,1,25,0,32.4,21.7,85,1,360
2021,1,26,27.4,32,23.8,87,1,320
2021,1,27,50,30.4,23.6,94,1,360
2021,1,28,13.4,29.5,24.9,93,1,40
2021,1,29,94.6,28.6,22.4,94,3,40
2021,1,30,2,29.4,24.5,84,3,40
2021,1,31,1.9,29.7,25.7,84,2,350
2021,2,1,49.6,30.4,23.8,86,2,40
2021,2,2,36.1,30.1,23.3,91,1,360
2021,2,3,23.3,30.4,23.5,87,1,90
2021,2,4,13.1,31.7,24.9,84,1,320
2021,2,5,4.4,31.3,25.3,91,1,360
2021,2,6,4.7,31.9,24.8,87,1,60
2021,2,7,114.6,29.3,23,93,2,40
2021,2,8,117.2,29,23.5,93,2,40
2021,2,9,89.4,28.8,23.6,91,2,110
2021,2,10,13.2,29.2,23.5,94,1,220
2021,2,11,0,31,23.5,89,1,360
2021,2,12,7,30.8,23.9,88,1,360
2021,2,13,10.4,31.6,24,90,1,360
2021,2,14,102.8,30.8,23.4,91,2,320
2021,2,15,2.4,28.4,23.5,90,1,330
2021,2,16,84.1,30.3,23,91,1,320
2021,2,17,43.4,28.1,23.4,95,2,320
2021,2,18,1.8,29.4,24.7,86,2,340
2021,2,19,4.7,28.9,21.2,83,3,360
2021,2,20,38.2,27.2,21.8,92,2,320
2021,2,21,64.3,29.3,23.2,91,2,350
2021,2,22,1.2,31.8,24.6,89,1,270
2021,2,23,-1,31,24.5,88,1,90
2021,2,24,0.6,31.9,24,86,1,90
2021,2,25,25.8,31,24.5,92,1,90
2021,2,26,4.2,31.8,24.3,91,1,360
2021,2,27,9.2,31.8,25,91,1,90
2021,2,28,2.8,31.5,22,88,1,40
2021,3,1,91.6,29.2,23,94,1,360
2021,3,2,0,31.5,24,90,1,360
2021,3,3,3.8,31,24,87,2,220
2021,3,4,20.4,31.6,25,86,1,40
2021,3,5,1.2,32,24.3,86,1,40
2021,3,6,0,31.2,24.5,86,1,40
2021,3,7,8.9,30,25,84,2,40
2021,3,8,5.2,31,24.8,87,1,40
2021,3,9,1.9,32,25,87,2,40
2021,3,10,35.8,30.5,23.4,87,3,40
2021,3,11,135.4,28,23.2,96,1,320
2021,3,12,26.6,29.1,23.3,92,2,70
2021,3,13,43.9,29.4,23.7,95,1,360
2021,3,14,4.1,29.8,24,95,1,360
2021,3,15,43.2,30,24.1,94,1,360
2021,3,16,0,32,24,89,1,360
2021,3,17,21.8,30.6,24.2,87,1,270
2021,3,18,4,31.8,23.8,88,1,360
2021,3,19,0,32.1,24.6,89,1,40
2021,3,20,25,30,25,90,1,90
