YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0.4,28.8,21.8,94,2,30
2021,1,2,6.4,29,22,92,2,90
2021,1,3,2.4,30,23.8,94,1,90
2021,1,4,3.6,29.6,23.9,91,2,30
2021,1,5,3.4,32,23.6,90,1,40
2021,1,6,0,30,23.6,91,1,90
2021,1,7,0,30.6,23.9,89,2,30
2021,1,8,2,31.2,23,89,2,40
2021,1,9,15,29.5,21.8,90,2,40
2021,1,10,4,29,21.2,92,2,90
2021,1,11,0,28.8,21.5,88,2,60
2021,1,12,4.4,28.6,21.4,92,2,40
2021,1,13,1.8,30.2,22.4,86,2,60
2021,1,14,18.4,30.6,22.8,89,2,130
2021,1,15,2.8,29,22.6,95,1,60
2021,1,16,16.8,29.7,22,92,2,120
2021,1,17,7.2,28.8,22.1,90,2,40
2021,1,18,1.2,28.8,22.7,92,2,60
2021,1,19,16,28.6,22.4,93,2,90
2021,1,20,2.6,28.8,22.6,94,2,90
2021,1,21,7.8,30.5,23.6,93,1,90
2021,1,22,0,30.4,23.8,91,2,120
2021,1,23,0,31.8,23.5,92,1,310
2021,1,24,0,31.4,23.8,89,2,90
2021,1,25,0,31.5,24.4,87,2,90
2021,1,26,0,32,24,87,2,120
2021,1,27,0,31,23.6,91,2,90
2021,1,28,0,30.7,21.8,92,3,90
2021,1,29,0,31.2,22,81,3,90
2021,1,30,0.6,29,21.7,81,2,70
2021,1,31,3,29.2,22,81,2,90
2021,2,1,0,30.2,21.8,83,1,90
2021,2,2,4.8,30.5,22.4,90,1,90
2021,2,3,1.2,30,22.1,88,2,90
2021,2,4,7.8,29.6,22,89,3,90
2021,2,5,3.2,29.1,22,93,2,40
2021,2,6,0,29.8,22.6,91,2,90
2021,2,7,0,31.2,23,90,2,40
2021,2,8,6.8,30.8,22.7,89,1,70
2021,2,9,2.3,30,22.8,91,2,60
2021,2,10,3,29.6,22.5,93,1,90
2021,2,11,40.7,30.6,23,90,1,360
2021,2,12,0,32.5,23.6,92,1,360
2021,2,13,0,32.6,23.3,90,2,30
2021,2,14,0,30.8,23.6,91,1,360
2021,2,15,0,30.5,22.8,89,2,30
2021,2,16,0,32,22,86,2,90
2021,2,17,11.6,30.8,23.1,90,1,90
2021,2,18,9.6,30.2,21.8,88,2,90
2021,2,19,0.4,28.5,21.6,88,2,40
2021,2,20,0,29.5,21.8,84,2,40
2021,2,21,4.6,29.2,22.6,88,2,30
2021,2,22,44.4,29.2,22.4,93,2,220
2021,2,23,0.4,30.5,23.2,94,1,360
2021,2,24,1.2,30.7,22.8,88,1,90
2021,2,25,0,32.2,23,86,2,90
2021,2,26,0.4,32,23.3,90,2,90
2021,2,27,1.4,32.5,23.6,91,1,90
2021,2,28,0,32.6,23.9,87,2,90
2021,3,1,0,32.8,24,88,2,90
2021,3,2,0,32.5,24.3,87,2,90
2021,3,3,0,32.9,23.2,89,2,90
2021,3,4,0,32.8,23.7,87,2,90
2021,3,5,0,32.2,24.2,85,2,30
2021,3,6,0,32.5,24,88,2,40
2021,3,7,0,32.6,23.9,87,1,90
2021,3,8,0.4,32.3,23.9,87,2,30
2021,3,9,1.2,31.2,24,88,2,40
2021,3,10,1.8,31.5,23.2,87,2,90
2021,3,11,1.4,31.2,23.2,88,2,90
2021,3,12,10.6,32.2,23,93,2,220
2021,3,13,1.2,29.8,23,93,1,360
2021,3,14,0.4,30.2,23,88,2,30
2021,3,15,0,31.6,23.4,92,2,180
2021,3,16,9.4,31.3,23.6,91,1,360
2021,3,17,0,32,23.5,89,2,90
2021,3,18,0,33.6,24.2,86,2,90
2021,3,19,0,33.2,24.4,88,2,90
2021,3,20,0,32.8,24.6,87,1,90
2021,3,21,2.6,33,24.7,90,2,90
2021,3,22,9,32.8,23.8,88,2,40
2021,3,23,1.4,31.7,23.9,88,3,120
2021,3,24,0,31.8,24,89,2,60
2021,3,25,0,32.9,23.6,85,2,90
2021,3,26,0,32.5,24.3,83,2,90
2021,3,27,22,32.9,24,86,2,90
2021,3,28,5.2,32.4,23.8,85,2,90
2021,3,29,0,33,24.1,85,1,360
2021,3,30,0,33.2,24.2,87,1,90
2021,3,31,3.4,32.7,24,87,2,90
2021,4,1,0,32.8,24.3,86,1,90
2021,4,2,0,32.9,24,86,2,90
2021,4,3,0,33.2,24.4,83,1,90
2021,4,4,0,33.4,24.2,84,1,90
2021,4,5,0,32.9,24.3,83,1,40
2021,4,6,1.2,31.5,23.7,83,2,90
2021,4,7,0,32.4,24.3,84,1,90
2021,4,8,4,32.5,23.6,89,1,90
2021,4,9,0,32,24.4,82,1,90
2021,4,10,4.2,32.8,23.9,87,1,90
2021,4,11,0,32.4,23.6,87,2,90
2021,4,12,0,32,24,81,1,100
2021,4,13,6,33.4,24.2,87,1,90
2021,4,14,12.8,33.4,23.8,87,2,40
2021,4,15,0.2,33,23.9,85,1,360
2021,4,16,0,32,24,87,1,90
2021,4,17,0,32.8,23.8,86,2,90
2021,4,18,0,32.5,24.2,87,2,180
2021,4,19,0,33.2,24,84,3,270
2021,4,20,0,33.8,24,88,2,270
2021,4,21,0,33,24.2,83,2,270
2021,4,22,0,32.7,24.2,83,2,270
2021,4,23,0,33,24.3,85,3,320
2021,4,24,0,33.2,24.6,86,2,270
2021,4,25,0,33.8,24.2,86,2,300
2021,4,26,0,32.8,24,85,2,90
2021,4,27,0,32.6,24.3,90,2,90
2021,4,28,0,32.8,24.6,87,2,90
2021,4,29,0,32.9,24.4,84,1,360
2021,4,30,0,33.8,24,82,1,360
2021,5,1,0,33.1,23.9,83,1,90
2021,5,2,0,33.5,24.2,83,2,90
2021,5,3,0,33.2,24.4,85,2,90
2021,5,4,0,33.4,24.6,84,2,90
2021,5,5,0,34,24.4,82,2,90
2021,5,6,3,33.5,24.2,84,2,90
2021,5,7,0,34,24.6,85,2,90
2021,5,8,1.6,33.6,24.8,86,2,90
2021,5,9,7.4,33.4,24.6,84,2,90
2021,5,10,4.6,31.7,24.6,90,1,70
