YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,8.4,-999,-999,-999,7,40
2021,1,2,6.8,-999,-999,-999,7,70
2021,1,3,18,-999,-999,-999,6,70
2021,1,4,3.4,-999,-999,-999,5,40
2021,1,5,0.2,-999,-999,-999,5,40
2021,1,6,2.2,-999,-999,-999,5,40
2021,1,7,32.6,-999,-999,-999,7,40
2021,1,8,19,-999,-999,-999,7,40
2021,1,9,4.6,-999,-999,-999,7,40
2021,1,10,0.2,-999,-999,-999,6,70
2021,1,11,1.6,-999,-999,-999,5,40
2021,1,12,18.6,-999,-999,-999,5,40
2021,1,13,4.4,-999,-999,-999,6,70
2021,1,14,4.4,-999,-999,-999,5,70
2021,1,15,0,-999,-999,-999,4,40
2021,1,16,10.4,-999,-999,-999,5,40
2021,1,17,50.4,-999,-999,-999,9,40
2021,1,18,1.8,-999,-999,-999,8,40
2021,1,19,17.8,-999,-999,-999,7,70
2021,1,20,17.6,-999,-999,-999,7,70
2021,1,21,34,-999,-999,-999,5,90
2021,1,22,0.4,-999,-999,-999,2,360
2021,1,23,1.2,-999,-999,-999,4,40
2021,1,24,2.4,-999,-999,-999,6,70
2021,1,25,4.6,-999,-999,-999,6,70
2021,1,26,-1,-999,-999,-999,5,70
2021,1,27,0,-999,-999,-999,5,70
2021,1,28,9.2,-999,-999,-999,5,70
2021,1,29,5.8,-999,-999,-999,8,70
2021,1,30,7.4,-999,-999,-999,6,70
2021,1,31,1.2,-999,-999,-999,7,70
2021,2,1,0,-999,-999,-999,4,90
2021,2,2,6.4,-999,-999,-999,5,70
2021,2,3,5,-999,-999,-999,6,70
2021,2,4,0,-999,-999,-999,6,70
2021,2,5,0,-999,-999,-999,5,70
2021,2,6,0.8,-999,-999,-999,5,70
2021,2,7,11.6,-999,-999,-999,6,70
2021,2,8,1.6,-999,-999,-999,7,70
2021,2,9,4.6,-999,-999,-999,7,70
2021,2,10,10.8,-999,-999,-999,6,90
2021,2,11,0,-999,-999,-999,4,320
2021,2,12,0,-999,-999,-999,3,40
2021,2,13,0,-999,-999,-999,3,70
2021,2,14,0,-999,-999,-999,3,40
2021,2,15,0,-999,-999,-999,4,70
2021,2,16,6.8,-999,-999,-999,5,90
2021,2,17,26.2,-999,-999,-999,5,40
2021,2,18,1.4,-999,-999,-999,8,40
2021,2,19,0,-999,-999,-999,5,70
2021,2,20,0.2,-999,-999,-999,5,90
2021,2,21,0.2,-999,-999,-999,5,90
2021,2,22,4.2,-999,-999,-999,5,70
2021,2,23,16.6,-999,-999,-999,5,90
2021,2,24,7.2,-999,-999,-999,5,40
2021,2,25,0,-999,-999,-999,2,180
2021,2,26,0,-999,-999,-999,2,360
