YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,35.5,29.2,23.8,93,2,40
2021,1,2,24,27.3,23.9,96,2,70
2021,1,3,15.6,29.6,23.7,95,2,40
2021,1,4,17.4,29.7,22.9,93,2,200
2021,1,5,6.3,30.8,24.5,86,2,40
2021,1,6,18.5,30.8,25,88,4,40
2021,1,7,25.8,30.5,23.9,90,3,40
2021,1,8,57.1,28,24.1,95,2,40
2021,1,9,146.5,26.9,23.7,98,6,40
2021,1,10,35.8,25.4,22.5,96,7,20
2021,1,11,19.6,26.2,23.5,90,7,20
2021,1,12,0.2,26.2,24,89,6,20
2021,1,13,77,26.8,24.4,92,4,360
2021,1,14,0.2,28.9,24.1,91,2,40
2021,1,15,32.5,30.1,24.8,89,4,20
2021,1,16,79.4,28,23,98,3,20
2021,1,17,0.5,28.8,23.5,94,2,40
2021,1,18,67,27.3,23.8,92,4,40
2021,1,19,10.1,27.2,23.5,93,2,40
2021,1,20,3,28.5,23.4,92,1,360
2021,1,21,21.2,30.5,23.3,95,1,360
2021,1,22,70.7,31.8,21.9,93,1,180
2021,1,23,0,30.3,22.4,90,1,180
2021,1,24,0,30.8,23.5,89,2,180
2021,1,25,0,31,21.8,88,2,70
2021,1,26,1.2,30.4,23,85,2,20
2021,1,27,113.5,30.2,23.5,92,2,90
2021,1,28,13.5,28,24.6,93,5,40
2021,1,29,12.2,28,23.3,90,7,40
2021,1,30,9.6,27.9,24.1,85,7,40
2021,1,31,1.2,29.3,23.8,91,5,40
2021,2,1,2,29.7,25.2,79,5,40
2021,2,2,55.7,26.5,23,92,4,40
2021,2,3,17.8,30.6,23.8,87,4,40
2021,2,4,42.6,28.8,23.5,92,4,70
2021,2,5,14.7,26.9,22.4,94,2,110
2021,2,6,15.4,29.9,24.5,90,3,40
2021,2,7,45.7,28,23,92,4,70
2021,2,8,122.7,26.1,22.4,92,3,160
2021,2,9,9,26.7,22.5,94,2,90
2021,2,10,0,29.2,22.9,91,1,140
2021,2,11,0.8,30.2,23.9,90,1,360
2021,2,12,-1,30.8,24.4,86,2,180
2021,2,13,0.8,29.8,24.5,88,3,40
2021,2,14,21.9,27.3,24.2,85,3,20
2021,2,15,0.3,27.7,25.4,83,4,40
2021,2,16,12.6,30.2,23.5,81,4,40
2021,2,17,2.3,28,23.8,86,4,20
2021,2,18,9.4,29.6,23,76,6,40
2021,2,19,1.3,27.4,22.5,74,7,20
2021,2,20,4.7,27.2,22.5,79,6,20
2021,2,21,53.9,27.2,23.6,96,4,20
2021,2,22,6.9,27.7,23.3,93,1,250
2021,2,23,1,29.4,23,91,1,340
2021,2,24,0.8,31.2,21.5,86,2,160
2021,2,25,0,31.4,24,86,2,70
2021,2,26,7.6,31.1,24.6,88,1,20
2021,2,27,0.3,31,22.9,96,2,180
2021,2,28,0,31.5,21.8,85,2,180
2021,3,1,2,30.8,22.9,88,2,180
2021,3,2,0,31,22,87,2,40
2021,3,3,18,31.2,23.2,83,2,70
2021,3,4,27.1,26.9,22,96,2,180
2021,3,5,0.5,31.4,22.3,86,3,70
2021,3,6,0.5,31.2,23.9,83,3,70
2021,3,7,20,30.5,23,81,4,40
2021,3,8,33.8,27.3,23.4,91,2,40
2021,3,9,0,30.6,25,82,5,40
2021,3,10,19.6,30.6,24.2,84,5,40
2021,3,11,128.6,28.2,21.9,95,4,90
2021,3,12,4.9,28.2,23.1,94,3,90
2021,3,13,30.8,28.8,22.3,97,1,90
2021,3,14,26.4,30,24,98,1,220
2021,3,15,0,31.6,24.2,88,1,180
2021,3,16,0,31,24,85,2,20
2021,3,17,0,30.6,23.5,87,2,20
2021,3,18,0,31.2,23.9,86,2,40
2021,3,19,0,30.8,23.3,86,2,40
2021,3,20,0,31.9,24,87,2,40
2021,3,21,14.7,30.3,23.5,93,2,90
2021,3,22,0,32,24,86,2,40
2021,3,23,37.4,29.6,23.8,94,3,70
2021,3,24,33.1,26.8,23.9,96,2,70
2021,3,25,5.9,30.6,23.3,91,2,70
2021,3,26,1,31.6,23.1,88,2,70
2021,3,27,0,31.3,23.3,87,2,180
2021,3,28,5.8,31.3,23.9,89,2,180
2021,3,29,0,31.2,23.9,88,2,180
2021,3,30,2.3,31.2,24,87,2,70
2021,3,31,0,32.4,23.1,82,2,40
2021,4,1,1.8,31.8,23.6,80,3,40
2021,4,2,0.4,30.8,23.3,87,2,200
2021,4,3,8.3,31.8,24.3,82,2,40
2021,4,4,0,31.4,25,79,3,40
2021,4,5,0.2,31.8,25.8,81,2,40
2021,4,6,0,32.4,25.5,81,4,40
2021,4,7,0.7,32.5,25.4,78,3,40
2021,4,8,0.5,31.2,23.1,80,2,180
2021,4,9,3.8,31.7,25,80,2,40
2021,4,10,0,31.6,24.9,79,2,40
2021,4,11,2.2,31.5,24.7,77,3,20
2021,4,12,-1,30.7,26.5,83,3,340
2021,4,13,15.1,32,24.9,82,2,40
2021,4,14,5.8,32,23.2,84,2,40
2021,4,15,3.6,31.4,26.5,87,2,40
2021,4,16,3.8,31.6,26.5,85,3,40
2021,4,17,32.8,31.3,24.5,79,5,360
2021,4,18,265.5,25.1,22.5,98,6,270
2021,4,19,45.2,26.6,22.6,92,5,250
2021,4,20,0,29.6,24.5,86,3,250
2021,4,21,0,32,24.4,81,2,220
2021,4,22,0,32.4,24,79,2,200
2021,4,23,0,33.6,24.6,77,2,220
2021,4,24,0.8,32.8,24.3,82,2,250
2021,4,25,16.3,31.3,23,87,2,180
2021,4,26,0,31.4,24.2,85,2,40
2021,4,27,4.7,30.8,24.9,82,3,40
2021,4,28,-1,30.3,23.7,77,2,40
2021,4,29,0,30.5,22.8,81,2,180
2021,4,30,0,31.3,24.2,84,1,180
2021,5,1,0,31.5,22.9,82,2,40
2021,5,2,1.1,31.7,26,83,4,70
2021,5,3,22.7,30.6,25,86,4,70
2021,5,4,13.3,30.4,25.2,88,3,70
2021,5,5,4.1,31.8,25.8,87,3,40
2021,5,6,3.6,31.8,24.5,87,3,40
2021,5,7,0.6,31.8,25.3,88,3,40
2021,5,8,29.7,30.9,24.1,90,2,40
2021,5,9,0.1,32.2,24.7,89,2,40
2021,5,10,3,30.7,24.3,86,2,70
2021,5,11,3.4,31.4,24,89,2,40
2021,5,12,0.6,32.6,24,82,2,40
2021,5,13,1.8,32.2,24.8,85,2,70
2021,5,14,8,30.4,24,89,2,70
2021,5,15,0.5,32.3,24.4,90,2,90
2021,5,16,2.9,32.7,25.4,85,2,40
2021,5,17,16,29.9,25.3,90,2,70
2021,5,18,2.2,31.8,25,85,2,70
2021,5,19,1,32.5,24.9,82,2,110
2021,5,20,-1,29.8,24.8,90,2,70
2021,5,21,0,32,24.2,89,1,180
2021,5,22,0.1,32.8,24,82,2,180
2021,5,23,0,32.4,24.8,84,2,180
2021,5,24,0,32.6,24.4,84,2,180
2021,5,25,0.2,32.8,24.1,84,2,20
2021,5,26,0,33.3,25,82,2,360
2021,5,27,0,33.1,26,83,2,180
2021,5,28,4.4,31.4,24.8,85,2,180
2021,5,29,0,33,24.9,83,2,90
2021,5,30,0,32.6,25.4,80,2,40
2021,5,31,4.7,32.2,25.6,83,2,20
2021,6,1,41.7,30.2,24,89,3,40
2021,6,2,0,31.1,24,85,2,180
2021,6,3,0,32.2,25,85,2,180
2021,6,4,-1,33.2,25.9,83,2,360
2021,6,5,0,33.4,24.8,83,2,160
2021,6,6,2.6,32.6,25.2,80,2,200
2021,6,7,6.3,31.2,24.3,88,1,200
2021,6,8,8.2,30.8,24.1,88,1,180
2021,6,9,5.8,31.8,23.9,91,1,200
2021,6,10,0.4,31.6,24.2,89,2,160
2021,6,11,60.4,32,22,89,2,180
2021,6,12,0.7,29.4,22.8,92,1,250
2021,6,13,3.6,30.3,23.4,92,1,180
2021,6,14,0,32.2,24.6,87,1,40
2021,6,15,0,32.6,25,85,2,180
2021,6,16,0,34.3,25.3,86,2,180
2021,6,17,0,33.3,24.8,81,2,180
2021,6,18,0,32.5,25,83,2,180
2021,6,19,0,34.5,25.3,75,2,250
2021,6,20,0,31.8,25,81,2,220
2021,6,21,0,33.6,25,84,2,200
2021,6,22,0,33.6,24.8,81,2,180
2021,6,23,0,32.2,24.3,85,1,180
2021,6,24,18.8,32.2,24.1,89,1,220
2021,6,25,2.2,31.7,23.4,87,2,180
2021,6,26,1.5,32.1,24.3,85,2,20
2021,6,27,0,31.3,24.9,85,1,20
2021,6,28,0,31.7,25.1,84,1,40
2021,6,29,0,32.4,24,85,1,180
2021,6,30,0,32.5,25.2,83,1,20
2021,7,1,9,31.6,24.1,83,2,180
2021,7,2,37.8,31.8,23.4,82,2,360
2021,7,3,30.7,30.2,23.3,93,1,180
2021,7,4,-1,31.8,24.2,87,1,200
2021,7,5,0.1,31.9,24.3,86,1,200
2021,7,6,1.6,31,24.3,90,1,180
2021,7,7,0,31.2,24,89,2,200
2021,7,8,3.2,32.8,24.3,86,2,40
2021,7,9,1.1,32,24.1,86,2,180
2021,7,10,19.7,31.7,24.3,92,1,180
2021,7,11,0.1,32.6,24.6,89,2,20
2021,7,12,0,32,25,87,2,40
2021,7,13,89.8,30.7,24,91,1,200
2021,7,14,4.7,32.4,24,87,2,40
2021,7,15,7,31.4,24.3,92,1,360
2021,7,16,0,32.8,24.7,83,2,250
2021,7,17,0,34,25.3,78,2,200
2021,7,18,0.3,33.7,25.9,77,2,200
2021,7,19,0,33.9,26.6,77,3,220
2021,7,20,0,32.2,26,80,2,220
2021,7,21,11.9,33.1,25.1,83,3,220
2021,7,22,6.9,32.7,25.5,77,4,220
2021,7,23,0,32,27.5,74,4,220
2021,7,24,2.3,33.2,26.5,77,4,220
2021,7,25,0,33.7,26.3,74,3,220
2021,7,26,0,33.1,26.8,81,3,220
2021,7,27,4.6,32.4,27,80,4,220
2021,7,28,0,32.7,26.1,79,3,220
2021,7,29,0,33.6,26.5,75,3,220
2021,7,30,0,33.9,26.5,75,3,220
2021,7,31,0,34,26.2,75,3,220
2021,8,1,0,34.7,26.3,76,3,220
2021,8,2,0,34,26.5,76,3,220
2021,8,3,2.2,33.2,26.8,79,2,220
2021,8,4,0,33.6,25.7,75,3,220
2021,8,5,0,35.2,25.9,74,2,220
2021,8,6,0,34.7,25.6,73,3,220
2021,8,7,0,35.4,26.1,72,2,220
2021,8,8,21.5,35.6,24.3,81,2,180
2021,8,9,15.3,29.9,23.6,89,1,200
2021,8,10,0,31.8,24.9,84,2,200
2021,8,11,0.8,34.2,23.5,86,2,180
