YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0.4,31.5,23.6,82,1,300
2021,1,2,21.1,30.2,24.3,88,1,360
2021,1,3,11.7,32.2,23.6,86,0,0
2021,1,4,5.3,30.5,23.5,86,1,40
2021,1,5,8.6,31.5,24,84,1,360
2021,1,6,1.6,32,24.2,78,1,20
2021,1,7,26.7,31,24,88,1,40
2021,1,8,14.8,30.1,24,89,1,360
2021,1,9,32.9,32.6,24,86,1,360
2021,1,10,56.6,27.2,23,93,1,360
2021,1,11,148.2,28.5,23.2,95,1,10
2021,1,12,0.5,27.5,23,84,1,350
2021,1,13,0.2,29.4,23.5,86,1,310
2021,1,14,0,31,21.5,86,1,360
2021,1,15,13.6,30.8,22.7,85,1,360
2021,1,16,13.1,32.2,24,86,1,360
2021,1,17,14,33.2,24,77,0,0
2021,1,18,82.1,27.5,22.9,91,1,80
2021,1,19,2,27,22.9,91,1,360
2021,1,20,0,30.2,23.7,86,1,40
2021,1,21,0,31.5,24.6,81,1,90
2021,1,22,2,32.2,23.1,81,1,360
2021,1,23,-1,32,24,83,1,360
2021,1,24,0,33.2,23.5,83,1,360
2021,1,25,0,32.1,22.6,78,1,10
2021,1,26,1,32,24.1,75,1,10
2021,1,27,14.7,32.2,24,81,1,160
2021,1,28,18.9,29,21.5,88,1,360
2021,1,29,6.4,31,23,86,1,360
2021,1,30,0.9,30.6,23.8,78,1,360
2021,1,31,0.2,31.4,22.5,76,1,360
2021,2,1,5.6,31.3,23.9,85,1,360
2021,2,2,30.1,29,23,94,1,360
2021,2,3,11.6,32.1,23.7,84,1,360
2021,2,4,5.2,32.3,23.2,76,1,360
2021,2,5,3.1,31,24,87,1,360
2021,2,6,4.2,34,24.9,73,1,180
2021,2,7,77,31.8,23,85,1,360
2021,2,8,60.2,28.3,22.9,90,1,360
2021,2,9,27.7,28.3,23.6,87,1,360
2021,2,10,0.2,30,23.6,87,1,360
2021,2,11,0,34,24.3,77,1,80
2021,2,12,0.8,33.2,24.2,80,1,70
2021,2,13,17.8,32.4,24.3,84,1,360
2021,2,14,15.6,32.2,23.5,84,1,360
2021,2,15,0.3,28.5,23.6,85,1,360
2021,2,16,14.7,31.8,23.1,76,1,360
2021,2,17,6.7,29.5,23,82,2,350
2021,2,18,-1,31.7,22.7,68,1,20
2021,2,19,0.3,32,22,69,2,350
2021,2,20,0,27.6,23,78,2,10
2021,2,21,53.1,30.2,23.4,87,1,360
2021,2,22,0.2,31.5,24.2,85,1,360
2021,2,23,-1,32.6,25.2,82,1,360
2021,2,24,-1,34,23.5,70,2,80
2021,2,25,0,34,25.5,72,2,270
2021,2,26,-1,32.8,25.2,74,1,170
2021,2,27,-1,32.6,25.2,81,1,180
2021,2,28,0,35.2,22,74,1,360
2021,3,1,6.2,30.1,24.5,86,1,360
2021,3,2,0,32.1,23.1,76,1,360
2021,3,3,-1,33,24,71,2,40
2021,3,4,2.2,33,24.8,81,2,90
2021,3,5,0.3,34.2,24.5,70,1,90
2021,3,6,-1,33.8,25.4,67,2,40
2021,3,7,0,34.8,24.6,66,1,360
2021,3,8,0.4,32.6,25.2,77,1,70
2021,3,9,0,34.2,22.1,66,1,360
2021,3,10,12.8,33.5,24,73,2,20
2021,3,11,123.1,28.2,23,91,1,20
2021,3,12,13.2,31.4,23.2,83,1,20
2021,3,13,0.1,31.6,24.5,81,2,360
2021,3,14,9,33.2,24.9,78,1,360
2021,3,15,4.1,32.3,24.5,82,1,360
2021,3,16,0.4,33.9,24.5,73,1,360
2021,3,17,0.5,32.3,25.4,80,1,30
2021,3,18,0,34.3,24.4,75,2,300
2021,3,19,10.6,33.4,23.6,78,1,360
2021,3,20,1.9,33.2,25,81,1,360
2021,3,21,4.4,31.6,24.4,84,1,360
2021,3,22,0,34.9,25.1,70,1,360
