YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,30.6,23.4,76,2,140
2021,1,2,0,31.8,24.2,76,3,290
2021,1,3,0,30,25.6,77,3,60
2021,1,4,0,32,25.2,71,2,50
2021,1,5,0,31.3,23.4,68,3,20
2021,1,6,0,32,23.3,65,2,130
2021,1,7,0,32,22.6,66,3,130
2021,1,8,1.2,30.5,25,77,1,210
2021,1,9,18.4,29.8,24,89,1,140
2021,1,10,0,30.4,23.6,75,2,210
2021,1,11,-1,29.6,24.4,75,2,180
2021,1,12,0,30,22.8,70,2,350
2021,1,13,0,32.2,22.8,68,3,190
2021,1,14,0,31.2,24.4,76,3,200
2021,1,15,2.8,29.5,23.4,83,2,330
2021,1,16,2.2,31,23.4,73,1,170
2021,1,17,4.8,30.6,23.8,79,2,350
2021,1,18,0,29.3,23.4,80,2,130
2021,1,19,0,30.8,23.4,72,3,130
2021,1,20,3.8,32.7,24.5,73,2,200
2021,1,21,27,27,24,89,2,150
2021,1,22,0.7,26.8,23.5,91,2,170
2021,1,23,-1,31.8,23.4,75,2,190
2021,1,24,0,31.6,23.2,77,2,80
2021,1,25,0,31.8,22.5,72,3,140
2021,1,26,0,30.6,21,75,2,20
2021,1,27,0,32.2,23.2,65,2,130
2021,1,28,0,29.4,24.2,74,3,60
2021,1,29,0,31.1,21.2,55,3,130
2021,1,30,0,30.6,21.8,65,2,140
2021,1,31,0,30.6,21.4,60,3,140
2021,2,1,-999,31.2,22,66,2,20
2021,2,2,0,31.6,22.6,68,2,340
2021,2,3,0,31.4,24.6,66,2,140
2021,2,4,0.2,29.8,22.6,76,2,50
2021,2,5,-999,31.2,24.3,75,3,130
2021,2,6,0,30.4,23.6,73,3,50
2021,2,7,0,33.4,24.6,57,2,40
2021,2,8,-1,29.2,23,69,3,30
2021,2,9,0,30.6,24.8,72,1,120
2021,2,10,0,30.3,23.7,74,3,140
2021,2,11,5.2,28.1,23.6,86,1,360
2021,2,12,0,29.7,24.4,83,4,330
2021,2,13,22,30.6,24.6,78,4,330
2021,2,14,-1,29.8,23.6,81,3,330
2021,2,15,0.2,29,22,78,2,330
2021,2,16,-1,31.6,21.4,74,2,170
2021,2,17,0.6,31.2,22,92,3,200
2021,2,18,0,29.2,22.3,74,2,80
2021,2,19,-1,30.3,21.6,68,2,350
2021,2,20,0,30.6,20.2,53,2,20
2021,2,21,0,30.8,23,68,1,340
2021,2,22,6,31.4,24.2,71,3,340
2021,2,23,1.4,27.6,23.2,90,2,350
2021,2,24,0,31.2,24,77,3,140
2021,2,25,0,30.6,23.2,71,2,140
2021,2,26,0,31.6,22.4,67,3,130
2021,2,27,0,32.6,23.4,65,2,130
2021,2,28,0,32,24.6,68,2,120
2021,3,1,0,32.6,22.4,65,2,150
2021,3,2,0,33,23,66,2,140
2021,3,3,0,31,25.5,67,2,240
2021,3,4,0,32,23.1,64,3,130
2021,3,5,0,31.8,25.8,67,3,140
2021,3,6,0,31.8,23,61,3,130
2021,3,7,0,31.3,22.6,64,4,180
2021,3,8,0,33,22.6,59,2,10
2021,3,9,0,33,25.8,57,2,30
2021,3,10,0,32.6,24,52,3,20
2021,3,11,0,32.6,25,54,2,190
2021,3,12,3.2,32.2,24.4,61,2,130
2021,3,13,0.4,30.8,23.6,71,2,130
2021,3,14,0,28,24.4,83,1,230
2021,3,15,12.6,29.2,25.2,78,3,140
2021,3,16,0,31.4,23.2,73,3,160
2021,3,17,0,32.4,24,69,2,130
2021,3,18,0,33.4,23.8,65,2,130
2021,3,19,0,31.8,23.4,71,2,10
2021,3,20,0,32.8,24,67,3,140
2021,3,21,0,33,26.5,70,3,140
2021,3,22,0,32,26,68,3,150
2021,3,23,0,31.8,26.5,63,4,130
2021,3,24,0,32.8,26.6,62,3,60
2021,3,25,0,33.4,25.3,68,2,110
2021,3,26,0,33,24.8,58,3,160
2021,3,27,0,32.6,25.4,60,2,250
2021,3,28,0,32.4,23.2,62,4,250
2021,3,29,0,32,23.4,66,4,150
2021,3,30,0,32.4,24,64,3,150
2021,3,31,0,33,25.2,69,2,130
2021,4,1,0,32.2,23.8,67,4,20
2021,4,2,0,32.8,23,59,4,130
2021,4,3,0,30.8,23.2,66,5,120
2021,4,4,0,31.6,23.4,60,5,130
2021,4,5,0,33.4,23.6,59,2,140
2021,4,6,0.3,33,25,68,4,130
2021,4,7,0,32.6,23,60,2,150
2021,4,8,-1,31.8,23.4,63,2,140
2021,4,9,0,32.2,22.8,62,2,160
2021,4,10,0,32,24.2,62,3,130
2021,4,11,-1,32.4,23.6,68,2,130
2021,4,12,0,32.2,23.6,64,2,220
2021,4,13,0,34,24.6,62,2,210
2021,4,14,0,32.4,24.4,76,2,180
2021,4,15,0,31.2,25.3,75,2,200
2021,4,16,4.8,31.4,24.7,74,2,60
2021,4,17,0,31.2,26,76,4,340
2021,4,18,0,34.6,25.2,59,4,350
2021,4,19,0,31.5,26.3,71,2,240
2021,4,20,0,31.2,26.2,71,3,310
2021,4,21,0,30.8,24.6,72,3,230
2021,4,22,1.2,30.5,24.3,82,3,230
2021,4,23,-999,31.8,24.3,74,2,40
2021,4,24,7.3,30,23.5,78,2,360
2021,4,25,6.4,29.4,23,82,3,20
2021,4,26,0,31.6,26,72,2,190
2021,4,27,0,31,24,65,3,50
2021,4,28,-1,31.8,23.5,77,2,290
2021,4,29,1.2,31.4,23.6,71,2,200
2021,4,30,0,32.2,23.6,70,2,180
2021,5,1,0,32.2,23.8,69,3,120
2021,5,2,0,33.2,28.2,77,4,160
2021,5,3,0,33,27.8,59,3,150
2021,5,4,0,32.8,28.2,69,3,140
2021,5,5,0,34.2,28.2,54,4,50
2021,5,6,0,32.8,26.4,62,3,160
2021,5,7,-999,31.6,25.8,61,4,140
2021,5,8,0,33.8,24.8,59,1,70
2021,5,9,14,32.8,24.2,63,3,140
2021,5,10,-1,31,24.8,80,3,140
2021,5,11,0.4,32,27.6,68,4,150
2021,5,12,0,31.2,27.8,71,3,140
2021,5,13,0,31.6,27.2,69,4,140
2021,5,14,0,32.2,28,62,5,140
2021,5,15,-999,31.8,28.2,68,4,140
2021,5,16,0,32.2,28.4,64,5,140
2021,5,17,0,32.4,25.8,63,4,140
2021,5,18,-1,34.6,28.4,67,3,140
2021,5,19,33,32.2,24.8,68,3,150
2021,5,20,12,28.6,24.4,84,2,120
2021,5,21,0,30.8,24.8,80,2,190
2021,5,22,5.6,31.6,23.4,79,2,200
2021,5,23,0,32.6,25,64,2,190
2021,5,24,-1,31.4,24.6,76,2,180
2021,5,25,0,32.6,25.6,67,2,30
2021,5,26,0.4,30.8,25.1,77,1,350
2021,5,27,0,33.6,25,66,2,110
2021,5,28,13.8,29.6,25.4,83,2,50
2021,5,29,11.6,32.6,25.6,75,2,200
2021,5,30,0.4,31.6,25,85,2,270
2021,5,31,0,34,25.5,72,2,190
