YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,-999,-999,-999,5,40
2021,1,2,0,-999,-999,-999,5,40
2021,1,3,0,28.4,27.8,78,4,40
2021,1,4,0,30,27,73,4,40
2021,1,5,0,30.4,27.6,72,3,40
2021,1,6,0,30,26.8,71,4,40
2021,1,7,0,30.2,26.8,71,4,40
2021,1,8,0,30,27.4,71,5,20
2021,1,9,0,28.8,27.2,70,5,40
2021,1,10,0,30,26.2,69,5,40
2021,1,11,1,26.8,25.4,74,6,20
2021,1,12,0,26.6,25.8,67,6,40
2021,1,13,0,29,25.6,65,5,40
2021,1,14,0,29,26.2,70,5,20
2021,1,15,0,28.8,26.2,75,4,20
2021,1,16,0,28.4,26.4,71,4,40
2021,1,17,0,28,26.2,70,5,20
2021,1,18,0,27.8,26.4,76,4,40
2021,1,19,0,28.4,26.6,74,4,20
2021,1,20,10.9,29,27.6,78,2,20
2021,1,21,79,29.6,25.6,75,2,120
2021,1,22,2,27.4,23.4,84,1,180
2021,1,23,0,28.4,25.8,81,1,240
2021,1,24,0,30,25.2,78,1,240
2021,1,25,0,30.4,27.4,73,3,20
2021,1,26,0,30.4,26,65,3,40
2021,1,27,0,29,26.6,71,4,40
2021,1,28,0,29,26.6,76,4,40
2021,1,29,0,29,26.2,65,6,40
2021,1,30,0,27.4,25.8,67,7,40
2021,1,31,0,28.4,25.8,66,6,40
2021,2,1,-999,29,25.4,69,5,40
2021,2,2,0,28,26,69,5,20
2021,2,3,0,28.8,26.2,67,5,40
2021,2,4,0,28,26,74,5,20
2021,2,5,0,29.6,26,72,4,20
2021,2,6,0,30,26.4,72,5,20
2021,2,7,0,29.8,26.6,70,5,20
2021,2,8,0,27.6,26.4,75,5,40
2021,2,9,0,30.2,26.2,69,4,40
2021,2,10,10,30.2,26.2,72,2,40
2021,2,11,0,30.6,25.2,77,2,220
2021,2,12,0,30.2,26.6,74,1,320
2021,2,13,10,30.2,27.2,74,2,20
2021,2,14,0,30.4,25.8,75,2,360
2021,2,15,0,29.2,26.6,72,2,20
2021,2,16,10,30,26.8,67,3,20
2021,2,17,0,30.2,26.2,66,4,20
2021,2,18,-1,29,25.8,65,5,20
2021,2,19,-1,28.4,25.8,63,5,20
2021,2,20,0,27.8,25.2,67,6,20
2021,2,21,1,27.2,26,67,4,20
