YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,17.9,26.9,23.1,93,8,20
2021,1,2,37,26.5,23.6,93,7,30
2021,1,3,8.4,26.8,24,94,3,40
2021,1,4,21.2,27.4,24,92,3,40
2021,1,5,1.2,28.9,25.2,88,2,40
2021,1,6,12.4,29,24,86,4,30
2021,1,7,20.7,28.5,24.5,92,6,360
2021,1,8,41.9,27.5,22,87,6,10
2021,1,9,13.3,26.2,20.8,86,8,20
2021,1,10,5.8,24.9,20.8,86,9,360
2021,1,11,2.2,26.8,24,76,8,360
2021,1,12,0,26.4,21.2,77,8,20
2021,1,13,7.2,28,23.5,87,6,20
2021,1,14,8,26.5,23.9,93,7,20
2021,1,15,12.7,26.7,23.8,88,6,20
2021,1,16,-1,27.2,23,83,6,360
2021,1,17,40.2,26.2,23.2,91,6,360
2021,1,18,62.2,26.8,22.1,90,4,20
2021,1,19,88.3,26.5,21.8,95,8,30
2021,1,20,21.2,28.5,23,94,2,100
2021,1,21,25.2,29,21.5,93,2,130
2021,1,22,0,31.2,22.8,88,2,180
2021,1,23,0,28.8,22.2,87,2,90
2021,1,24,1.7,28.6,23.5,87,2,40
2021,1,25,0,28.5,21.3,86,2,40
2021,1,26,0,28.5,23.3,85,3,20
2021,1,27,0.2,29,23.3,89,6,30
2021,1,28,0,28.6,23,78,7,20
2021,1,29,1.8,28.5,21.6,77,7,30
2021,1,30,-1,26.8,21.8,76,7,30
2021,1,31,14,28,20.8,83,6,30
2021,2,1,4.7,28.5,22.8,86,4,360
2021,2,2,6,28.5,22.3,87,6,20
2021,2,3,19.4,28.6,23,86,7,20
2021,2,4,46.8,26.2,21.6,93,5,40
2021,2,5,20,26.5,22.4,90,8,360
2021,2,6,0,28.3,24.4,92,3,20
2021,2,7,2.6,29.4,24,87,5,20
2021,2,8,28.4,28.5,23.8,89,5,20
2021,2,9,22.4,27,22.5,93,3,90
2021,2,10,2.8,27.5,23.5,94,2,80
2021,2,11,-1,31,23,90,2,160
2021,2,12,0,30.1,25.1,89,3,30
2021,2,13,0.4,29.2,25.2,84,4,30
2021,2,14,-1,29,25,82,3,30
2021,2,15,2.2,29.5,24.9,79,3,60
2021,2,16,0,29.5,24.3,76,3,40
2021,2,17,-1,29,22.5,79,5,40
2021,2,18,2.8,28.5,22.6,79,6,20
2021,2,19,0.4,26.5,22.8,70,8,30
2021,2,20,0.4,27.1,23,70,7,20
2021,2,21,47,26,23,92,6,20
2021,2,22,149.7,26.2,22.5,97,4,30
2021,2,23,-1,29.2,23.4,92,2,90
2021,2,24,0,29.5,21,91,2,90
2021,2,25,0,29.8,21.8,88,2,70
2021,2,26,-1,30.4,22.7,88,1,90
2021,2,27,9.2,29.7,23.6,89,2,50
2021,2,28,3.2,30.7,23.6,88,2,80
2021,3,1,-1,30.3,22.5,89,2,30
2021,3,2,0.2,30.5,22.8,86,3,90
2021,3,3,71.6,29.8,22,90,3,70
2021,3,4,0.6,31,24,81,3,90
2021,3,5,6.6,30,24.2,84,3,90
2021,3,6,0,31.6,24,79,2,40
2021,3,7,51.6,30.7,21.6,79,3,40
2021,3,8,30.5,29.2,22.8,90,3,60
2021,3,9,0,29.7,24.8,84,3,80
2021,3,10,2,29.5,24.2,85,5,40
2021,3,11,31.1,30,22.1,85,4,90
2021,3,12,50.1,28.5,21.5,88,3,20
2021,3,13,81.6,26.6,21.5,91,5,360
2021,3,14,89.8,26.4,21.9,95,5,360
2021,3,15,3.6,28.8,22,94,2,90
2021,3,16,-1,29.6,23.5,92,1,40
2021,3,17,0,30.3,23,92,1,40
2021,3,18,8.9,30.9,24.1,90,2,80
2021,3,19,0,32,24.9,87,2,90
2021,3,20,0,33,24.8,85,2,90
2021,3,21,1.2,32,24.5,85,3,90
2021,3,22,46.1,30,23.8,91,4,70
2021,3,23,10.2,29.7,24.5,87,3,90
2021,3,24,1.2,30.9,25.5,86,3,70
2021,3,25,50.6,30.3,22.8,87,3,30
2021,3,26,5,30,22.5,91,2,40
2021,3,27,0,32.1,23.5,86,2,90
2021,3,28,0,30.9,23.6,87,2,90
2021,3,29,0,32.3,23,84,2,80
2021,3,30,0,31.9,25.5,86,3,90
2021,3,31,-1,31,25.2,86,3,90
2021,4,1,0,29.6,24,84,3,90
2021,4,2,0,29.4,24.3,80,3,40
2021,4,3,1.6,29.6,24.3,80,2,40
2021,4,4,-1,31,24.7,78,3,40
2021,4,5,11.9,30.6,24,87,4,40
