YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,30,22,80,3,160
2021,1,2,0,29,22.5,85,2,160
2021,1,3,0,31.5,23,79,2,160
2021,1,4,0,31,23.5,79,2,180
2021,1,5,0,30.4,25,85,2,340
2021,1,6,0,31.5,23.7,83,2,160
2021,1,7,0,30.2,23.7,85,2,160
2021,1,8,0,29.5,23.5,82,3,320
2021,1,9,0,29,21.5,84,3,180
2021,1,10,0,31,21,72,2,180
2021,1,11,0,30.4,20.5,79,2,160
2021,1,12,0,27.7,21.3,82,3,360
2021,1,13,0,29.5,22.5,77,2,320
2021,1,14,0,30,23.8,78,2,360
2021,1,15,0,29.5,23.5,81,3,340
2021,1,16,0,30.5,23.8,82,2,180
2021,1,17,-1,29.1,24.8,85,2,340
2021,1,18,0,29.4,23.4,81,2,320
2021,1,19,0,32.3,23.8,79,2,180
2021,1,20,0,31.4,24,79,2,360
2021,1,21,1.6,30.5,25,83,2,180
2021,1,22,83,31.7,25,84,3,180
2021,1,23,6.8,26.5,24,94,2,160
2021,1,24,-1,29.4,24,88,2,160
2021,1,25,0,29.8,25.5,84,3,90
2021,1,26,20.6,30.4,24,86,2,160
2021,1,27,0,30.5,23.8,83,2,160
2021,1,28,2.4,30.2,23,84,2,160
2021,1,29,0,31.7,21.6,81,3,180
2021,1,30,0,30.2,20.7,77,3,180
2021,1,31,0,29.5,19.5,74,3,180
2021,2,1,0,30,20.5,79,3,160
2021,2,2,0,28.5,21,75,3,320
2021,2,3,0,30.6,22,76,2,360
2021,2,4,0,30.6,21.2,79,2,180
2021,2,5,0,29.8,22,82,3,340
2021,2,6,0,31.5,24,79,2,90
2021,2,7,0,31.7,23,82,2,160
2021,2,8,0,33,22.8,71,2,160
2021,2,9,-1,33,23.5,74,3,160
2021,2,10,0.6,32.8,24.4,79,3,160
2021,2,11,0,29.4,24.4,87,5,340
2021,2,12,0,28.2,24.8,82,6,340
2021,2,13,0,28.2,23,82,3,340
2021,2,14,0,29.2,23.8,78,4,320
2021,2,15,0,29,21.6,78,3,320
2021,2,16,1.6,31.5,23,74,3,180
2021,2,17,0,29,22.8,75,3,320
2021,2,18,0,30,21,69,3,140
2021,2,19,0,30,20,69,3,180
2021,2,20,0,29.7,18.8,75,3,180
2021,2,21,0,29.5,20.2,78,3,360
2021,2,22,-1,28.7,24.7,76,2,340
2021,2,23,20.6,29.5,24,86,2,340
2021,2,24,0,31.2,24,87,4,340
2021,2,25,0,31.8,24.5,83,3,320
2021,2,26,0,31,24.2,83,4,320
2021,2,27,0,30.5,25.2,85,5,320
2021,2,28,0,33.4,24.6,90,2,160
2021,3,1,0,31.4,24.3,93,2,160
2021,3,2,0,31,24.2,87,2,320
2021,3,3,0,32.5,23.2,82,2,160
2021,3,4,0,31.2,24.5,85,2,160
2021,3,5,0,33.5,23.5,86,3,160
2021,3,6,0,32.7,22.8,90,2,90
2021,3,7,0,33.7,22.9,92,2,160
2021,3,8,0,32,23,89,3,340
2021,3,9,0,33.2,22.2,84,2,160
2021,3,10,0,32,22.5,80,3,180
2021,3,11,0,32.5,23.8,79,3,340
2021,3,12,0,29.8,24.5,86,2,340
2021,3,13,0,31.6,25,84,2,160
2021,3,14,0,30.7,25,92,2,160
2021,3,15,0,30.8,25,93,2,340
2021,3,16,0,33,25.5,85,2,160
2021,3,17,0,32.5,26.2,85,4,320
2021,3,18,0,31.3,26.3,93,3,340
2021,3,19,0,31.8,24.7,92,3,160
2021,3,20,0.2,33.8,25.5,87,2,160
2021,3,21,7,34.5,25.5,88,2,180
2021,3,22,0,32.5,24.8,85,3,90
2021,3,23,0,32.3,24.8,80,2,160
2021,3,24,0,32.5,24.8,88,3,340
2021,3,25,0,31.8,24.6,93,3,160
2021,3,26,0,33,24.5,87,2,340
2021,3,27,0,33,26,87,3,340
2021,3,28,-1,32.2,25,88,3,340
2021,3,29,0,33,25,82,4,320
2021,3,30,0,33.5,25.5,81,3,320
2021,3,31,0,33.8,25.2,84,3,160
2021,4,1,0,35.5,24,75,2,180
2021,4,2,0,34.8,23.5,77,2,320
2021,4,3,0,33.4,24,83,3,340
2021,4,4,0,33.7,25.6,88,3,340
2021,4,5,-1,31.8,25,90,2,340
2021,4,6,0,34.7,25,86,4,180
2021,4,7,33,34.2,24.5,86,3,320
2021,4,8,-1,33,25,87,3,320
2021,4,9,6.8,32.5,23.8,80,3,320
2021,4,10,0.4,31.8,24,79,3,320
2021,4,11,0,32.4,24.6,77,3,340
2021,4,12,0,32.6,23.8,76,3,340
2021,4,13,0,-999,-999,84,4,320
2021,4,14,0,-999,-999,81,4,340
2021,4,15,-1,-999,-999,80,3,320
2021,4,16,41,-999,-999,78,3,320
2021,4,17,0,32.3,26,79,3,340
2021,4,18,0,-999,-999,77,3,340
