YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,32.1,23.2,86,1,30
2021,1,2,21.3,29.4,22.3,91,7,20
2021,1,3,0,30.5,22.4,86,1,90
2021,1,4,0.1,30.6,22.5,86,1,360
2021,1,5,4.6,31.3,22.2,82,2,360
2021,1,6,0.6,29,24,90,1,20
2021,1,7,2,29.8,23.7,91,1,30
2021,1,8,0.2,30,23,92,1,30
2021,1,9,0,30.9,23,86,1,340
2021,1,10,26,30.3,22,86,2,20
2021,1,11,0.7,28,21.8,90,2,20
2021,1,12,0.6,27.9,21.8,88,3,360
2021,1,13,-1,28.6,24.3,86,2,340
2021,1,14,17,28.7,23.7,95,1,340
2021,1,15,-1,30.5,21.7,90,1,30
2021,1,16,4.2,30.8,22.5,88,2,360
2021,1,17,4.8,29.8,22.2,88,1,20
2021,1,18,6.1,27.8,21.3,92,2,20
2021,1,19,33.5,30.1,22.6,86,1,340
2021,1,20,9.8,31.2,24.3,86,2,140
2021,1,21,3.8,30.9,24.7,91,1,70
2021,1,22,0.8,30.6,22.5,89,1,120
2021,1,23,-1,31.8,22,85,1,40
2021,1,24,0.2,30.2,22.7,90,1,360
2021,1,25,0.4,31.4,19.5,83,1,360
2021,1,26,2.3,30.7,22.5,83,1,360
2021,1,27,0,31.6,22.5,78,2,90
2021,1,28,15.4,31.4,22.7,87,2,360
2021,1,29,2.4,31.2,21.8,84,2,360
2021,1,30,2.2,27.6,20.6,88,2,360
2021,1,31,-1,30.1,22.6,85,2,20
2021,2,1,8.6,28,22,90,1,50
2021,2,2,2.4,30.7,22.3,86,1,20
2021,2,3,5.4,31.4,22.4,83,2,360
2021,2,4,0.6,31.6,24.2,86,2,20
2021,2,5,7.2,30.4,22,89,1,30
2021,2,6,5.8,32,22.2,84,2,20
2021,2,7,15.4,31,22.4,91,1,360
2021,2,8,1.2,27.9,21.5,91,1,20
2021,2,9,0,31.5,22.2,84,1,360
2021,2,10,-1,31.6,24.8,86,1,340
2021,2,11,8.2,31.4,24,88,1,360
2021,2,12,2,31.9,22.6,89,1,180
2021,2,13,7.4,31.8,23,84,1,20
2021,2,14,0.2,31.7,23.2,82,2,340
2021,2,15,5.3,28.7,21.9,91,1,360
2021,2,16,8.7,31.1,22.1,87,1,360
2021,2,17,32.4,31,22,85,2,20
2021,2,18,0,31.6,22.5,75,3,360
2021,2,19,0,30.5,22,76,3,20
2021,2,20,0.2,27.2,22,74,3,20
2021,2,21,40.5,26.4,21.5,92,2,360
2021,2,22,0,30.7,23,85,1,180
2021,2,23,0,32.4,22.5,84,1,320
2021,2,24,0,32.2,23.4,79,2,360
2021,2,25,0,32.3,23,83,1,360
2021,2,26,0,32,22,87,1,360
2021,2,27,0,32.4,23,84,1,20
2021,2,28,4.4,32.3,21.4,84,1,360
2021,3,1,0,30.8,23,82,1,360
2021,3,2,0,32.4,20.9,82,1,160
2021,3,3,0,32.2,23,80,6,20
2021,3,4,0,32.4,23,81,1,20
2021,3,5,7.8,31.7,20.4,89,1,360
2021,3,6,-1,32,20.8,80,1,20
2021,3,7,0.8,32,22.5,81,2,20
2021,3,8,8,31.6,21.3,83,1,360
2021,3,9,27,30.7,21,88,1,20
2021,3,10,1.4,29.6,21,87,2,360
2021,3,11,3.9,27.8,24,92,2,20
2021,3,12,0,30,22,91,9,20
2021,3,13,0,31.2,22.8,84,1,180
2021,3,14,-1,31.4,24,81,1,160
2021,3,15,8.3,32.5,23,79,1,90
2021,3,16,0,32.5,22,84,1,340
2021,3,17,0,31.6,22,84,1,360
2021,3,18,-1,32.3,23.3,84,1,360
2021,3,19,0,32.4,22,82,1,20
2021,3,20,1,31.8,22.4,87,1,20
2021,3,21,13.6,32.4,22.6,84,1,360
2021,3,22,0,32,21.7,82,2,360
2021,3,23,0,32.2,22.5,78,2,20
2021,3,24,2,32,24.9,82,2,360
2021,3,25,0.8,32.2,23.2,82,1,20
2021,3,26,0.2,31.9,21.5,87,2,360
2021,3,27,18.8,29.8,22,88,1,360
2021,3,28,0,31.6,24.3,82,1,360
2021,3,29,0,31.8,21,84,1,160
2021,3,30,2.9,31.1,22.8,87,1,320
2021,3,31,26.4,31.2,24.6,89,2,20
2021,4,1,2,30.8,24.7,90,1,20
2021,4,2,0,31.6,21.3,87,1,160
2021,4,3,-1,32.1,20.5,84,1,320
2021,4,4,0,32.2,22,80,1,140
2021,4,5,0,31.9,21.3,82,1,360
2021,4,6,0,32.2,22.5,84,1,360
2021,4,7,0,31.8,22.5,84,1,140
2021,4,8,0,32.9,24.2,81,2,110
2021,4,9,-1,30.9,23.2,87,2,110
2021,4,10,0,31.4,23,83,1,140
2021,4,11,0,32.8,22.9,80,1,140
2021,4,12,0,34.2,22.5,76,5,360
2021,4,13,2,33.2,22.5,83,1,360
2021,4,14,-1,32.4,24.8,82,1,140
2021,4,15,0.2,32.6,24.7,81,1,350
2021,4,16,11.2,31.8,22.5,84,1,180
2021,4,17,0,32.6,23.2,80,2,340
2021,4,18,0,28.2,23.5,80,1,250
2021,4,19,0,31.8,24.4,75,4,220
2021,4,20,0.2,32,24,83,2,220
2021,4,21,0.5,32.2,25.4,78,3,200
2021,4,22,0,32.6,25.7,83,3,200
2021,4,23,0,32.9,23.9,85,3,240
2021,4,24,0,33.2,24,77,2,220
2021,4,25,-1,33.4,22,76,1,240
2021,4,26,4.2,32,22,82,1,140
2021,4,27,0.2,30.4,22.1,86,1,360
2021,4,28,0,32.8,24.4,82,1,340
2021,4,29,0,32.7,24.8,81,1,160
2021,4,30,0,33.2,23.8,81,1,120
2021,5,1,0,33,22.6,78,1,340
2021,5,2,2.6,33.4,22.7,80,1,20
2021,5,3,-1,32.6,23,76,2,50
2021,5,4,0,33.4,23.6,77,2,20
2021,5,5,0,33.6,25.8,74,2,50
2021,5,6,0,33.6,24.9,77,2,50
2021,5,7,-1,33.4,23.1,81,1,30
2021,5,8,0.2,33.6,23.5,79,1,360
2021,5,9,0,33.7,23.9,80,1,20
2021,5,10,12,33.4,22.6,81,1,90
2021,5,11,0,33,23.1,78,1,290
2021,5,12,-1,33.4,24.3,84,1,360
2021,5,13,3.4,36.2,25.1,81,1,360
2021,5,14,0,33.4,25.8,83,2,90
2021,5,15,-1,31.6,25.5,82,1,360
2021,5,16,0,33.8,24.9,79,1,360
2021,5,17,0,33.8,26.4,78,2,360
2021,5,18,-1,32.9,25.2,85,1,360
2021,5,19,0,30.5,24.9,85,1,360
2021,5,20,8.6,31.2,25.1,88,1,140
2021,5,21,0,31.4,25,86,1,270
2021,5,22,0,32.2,25,82,1,180
2021,5,23,0.2,33,25,83,1,160
2021,5,24,0,33.2,25.6,81,1,340
2021,5,25,-1,31.8,25.9,85,1,140
2021,5,26,25.8,32.8,24.8,89,1,160
2021,5,27,1,31.6,25.2,90,1,360
2021,5,28,0,33,25.5,86,1,150
2021,5,29,0,33.2,26.3,82,1,340
2021,5,30,40.8,31.6,25,84,1,180
2021,5,31,10.2,31.6,25.2,88,2,220
2021,6,1,43.7,28.6,24,96,3,220
2021,6,2,-1,30.3,25,86,2,250
2021,6,3,0,32.9,25.1,87,1,160
2021,6,4,0,32.5,24,85,2,180
2021,6,5,8.2,32,22.1,84,2,340
2021,6,6,24.8,31.6,21.1,85,1,20
2021,6,7,0,30.9,24,85,1,180
2021,6,8,0,31.6,24,86,1,200
2021,6,9,0.2,32.2,24.9,84,1,180
2021,6,10,0,31.7,25.3,86,1,180
2021,6,11,88.5,31,23,92,2,180
2021,6,12,8.6,29.6,23.4,91,1,340
2021,6,13,0,31.4,23.9,82,1,160
2021,6,14,0,31.8,25,86,1,180
2021,6,15,0,32.2,24.3,86,1,200
2021,6,16,-1,32.3,24.4,85,1,160
2021,6,17,0,33.4,25.3,85,1,160
2021,6,18,0,32.3,25.1,83,1,210
2021,6,19,0,32.3,25,79,2,200
2021,6,20,0,32.4,24,78,1,220
2021,6,21,0,32.5,23,79,1,220
2021,6,22,0,32.4,25.6,81,1,180
2021,6,23,0,32.2,24.1,81,1,140
2021,6,24,0,33.3,25.3,83,1,180
2021,6,25,0,32.3,24.5,83,1,180
2021,6,26,40.9,33,23.4,86,1,180
2021,6,27,1,31.4,24.2,84,1,20
