YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,-1,29.8,22.4,83,1,150
2021,1,2,0.1,29.8,23,88,2,330
2021,1,3,0.9,30.5,22.5,86,1,150
2021,1,4,1.6,29,22.8,87,1,200
2021,1,5,0,31.9,22.6,85,1,270
2021,1,6,0,30.5,23.7,87,1,160
2021,1,7,3.2,29.4,22.6,88,1,150
2021,1,8,4.2,29.8,22.8,88,2,160
2021,1,9,1.1,31,22.8,86,1,330
2021,1,10,0.2,31.1,23.8,87,2,130
2021,1,11,1.6,29.5,23.2,89,1,300
2021,1,12,34.6,29.6,22.8,91,3,300
2021,1,13,44.3,30.9,23.4,86,2,330
2021,1,14,17.2,29.8,23.4,91,1,180
2021,1,15,0.5,30.2,22.7,86,1,350
2021,1,16,9,30.7,22,90,2,310
2021,1,17,-1,30,23,88,1,270
2021,1,18,1.2,27.2,23,91,1,140
2021,1,19,48.6,30.2,22.6,88,1,360
2021,1,20,7,30.2,22.5,90,2,180
2021,1,21,-1,31,23.1,89,1,320
2021,1,22,6.6,30.5,21.8,89,1,170
2021,1,23,0,31,23,86,2,330
2021,1,24,-1,31,23.7,84,1,140
2021,1,25,0,31.2,22.8,86,1,280
2021,1,26,-1,31,23,87,2,140
2021,1,27,0,30.9,21.7,76,2,310
2021,1,28,16,31,22.2,85,2,310
2021,1,29,0,31.2,22.1,82,1,350
2021,1,30,0,30.5,23,88,2,310
2021,1,31,0.9,31.5,23.5,79,2,360
2021,2,1,0.2,28.2,23,90,2,310
2021,2,2,0.5,30.9,23,88,1,170
2021,2,3,0,30.5,22.5,83,2,20
2021,2,4,0,30.5,22.4,80,2,320
2021,2,5,0,30.4,22,84,2,180
2021,2,6,0,31.4,23,84,2,330
2021,2,7,4.2,30.6,24.2,94,1,140
2021,2,8,0.1,28.5,23,90,1,340
2021,2,9,1,30.8,23.2,86,1,180
2021,2,10,0.2,31.3,23.5,86,1,180
2021,2,11,0,31.8,22.5,87,1,130
2021,2,12,0.8,29.7,22.4,86,1,140
