YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,7.6,27.2,22.8,86,2,360
2021,1,2,13.9,31.7,22.5,79,2,240
2021,1,3,6.4,29.1,21,79,2,320
2021,1,4,14.2,29,22.5,85,2,340
2021,1,5,8.2,31.4,22,76,2,360
2021,1,6,5.8,27.2,21.2,87,2,360
2021,1,7,6.5,25,20,96,1,20
2021,1,8,0,28.3,22,87,1,360
2021,1,9,0,30.5,22.8,80,1,140
2021,1,10,3.6,32,22.4,78,1,320
2021,1,11,7,30.8,23.2,81,1,40
2021,1,12,6.2,28,22.6,94,1,180
2021,1,13,-1,30.4,22.7,82,2,180
2021,1,14,-1,31.2,22.6,78,2,160
2021,1,15,0.8,31.1,21.6,82,1,360
2021,1,16,7.6,28.5,23,88,1,360
2021,1,17,22.4,29.2,22.5,91,2,320
2021,1,18,6.2,26,22.5,94,2,180
2021,1,19,-1,28.8,21.8,87,2,180
2021,1,20,4,31,22.8,80,3,160
2021,1,21,-1,30.4,22.1,80,1,340
2021,1,22,33.8,29.3,21,87,1,260
2021,1,23,0,28.8,23,84,1,300
2021,1,24,1.8,32,22.2,74,3,300
2021,1,25,0,31.8,22.2,77,1,300
2021,1,26,3,32.4,23.6,79,2,160
2021,1,27,0,32,22,69,3,160
2021,1,28,0,31.8,22.1,72,2,300
2021,1,29,-1,30,21.2,71,3,20
2021,1,30,3.8,30.8,21,78,3,360
2021,1,31,21,30.4,22,71,4,360
2021,2,1,-1,30.2,21,79,3,360
2021,2,2,0,29.5,22,79,1,360
2021,2,3,0,32.8,22.2,73,3,20
2021,2,4,-1,31.2,21.8,72,3,300
2021,2,5,1.6,31.9,22,71,3,320
2021,2,6,0,32.1,21.5,71,4,300
2021,2,7,-1,31.6,22.1,77,2,200
2021,2,8,43.2,32,21.6,88,2,300
2021,2,9,0,30.2,22.5,81,2,160
2021,2,10,0,32.2,22,76,2,360
2021,2,11,24.2,31.3,22.1,80,1,360
2021,2,12,42.6,30.8,23.1,87,1,140
2021,2,13,53,32,22.1,83,1,360
2021,2,14,0,30.1,22.6,87,1,360
2021,2,15,18.2,31.7,21,78,2,160
2021,2,16,6.2,30.4,20.5,85,1,360
2021,2,17,0,30.6,21,78,2,320
2021,2,18,0,31.8,22,70,2,20
2021,2,19,0,31.2,21.5,73,2,20
2021,2,20,-1,31.1,21.5,77,2,160
2021,2,21,0,30,21,81,2,360
2021,2,22,0,30.4,22,80,2,320
2021,2,23,0,31.4,21,79,2,360
2021,2,24,0,31.9,22.8,78,2,360
2021,2,25,0,32,21,76,2,160
2021,2,26,0,32.8,21.2,74,2,160
2021,2,27,0,33.4,22.5,74,2,300
2021,2,28,11.4,34.2,23,71,2,340
2021,3,1,0,32.1,22.2,78,1,300
2021,3,2,0,31.6,22.1,83,2,320
2021,3,3,0,31.6,23,62,4,20
2021,3,4,0,33.8,22.8,67,3,20
2021,3,5,0,30.9,20.5,73,2,20
2021,3,6,2.2,31.4,21,70,1,300
2021,3,7,0,33.5,21,63,2,20
2021,3,8,0,32.5,21.9,73,2,300
2021,3,9,0,33.5,22.1,70,2,100
2021,3,10,6.4,30.9,22,79,2,300
2021,3,11,1.4,28.1,20.5,91,1,360
2021,3,12,2.4,28.6,21,91,1,160
2021,3,13,0,32.2,21.5,78,2,270
2021,3,14,-1,32.7,21.5,75,2,140
2021,3,15,0,33.4,23,75,2,160
2021,3,16,0,32.5,21.2,78,2,360
2021,3,17,0,33.2,22.6,77,2,300
2021,3,18,0,33.6,22.4,68,2,20
2021,3,19,0,33,22,70,2,40
2021,3,20,0,34.1,22.2,72,2,160
2021,3,21,4.8,32.1,22.5,77,2,60
2021,3,22,0,34.1,23.5,63,3,340
2021,3,23,0,33.9,23.5,60,3,360
2021,3,24,10.8,31.5,22.5,71,3,300
2021,3,25,0,33.8,23,64,2,20
2021,3,26,0,34.8,22,66,2,20
2021,3,27,0,31.6,22.5,72,3,270
2021,3,28,9.6,29.4,22.6,83,2,200
2021,3,29,10,33.2,21.5,77,3,320
2021,3,30,20.8,28.9,22,88,2,160
2021,3,31,2.6,30.2,22.8,88,2,40
2021,4,1,0,31.6,22.8,84,2,170
2021,4,2,-1,32.9,23.5,77,1,180
2021,4,3,0,32.5,21,72,2,300
2021,4,4,0,33.1,22.5,73,3,270
2021,4,5,0,33.2,22.5,72,3,270
2021,4,6,0,32.3,22,74,3,300
2021,4,7,0,32.5,22.4,71,2,270
2021,4,8,13.8,30.6,22,78,2,290
2021,4,9,0,31.2,22.8,77,2,160
2021,4,10,39.2,31.7,22.4,85,2,20
2021,4,11,22.2,31.3,22.4,82,1,300
2021,4,12,8.9,31.3,22.5,79,2,300
2021,4,13,1.2,31.6,22,83,1,360
2021,4,14,0,30.5,22.4,82,2,140
2021,4,15,-1,30.8,23,77,2,360
2021,4,16,-1,31.6,23,79,2,360
2021,4,17,8.4,29.7,22,89,2,240
2021,4,18,2.2,30.7,20,77,3,320
2021,4,19,0,32.5,21,75,1,360
2021,4,20,0,32.1,20,66,1,320
2021,4,21,0,31.2,21.4,77,2,160
2021,4,22,0,32.2,21.6,73,2,240
2021,4,23,0,32,22,77,1,280
2021,4,24,2.2,32.7,21,76,2,300
2021,4,25,0.4,31.4,21.5,81,2,320
2021,4,26,12.2,31.1,22.5,81,2,300
2021,4,27,0,29.1,21,83,1,270
2021,4,28,0,32.6,22.6,74,2,360
2021,4,29,0,33.9,22.2,76,2,180
2021,4,30,0,32.8,23,73,1,40
2021,5,1,0,33.5,23.5,73,2,160
2021,5,2,0.2,31.3,23,76,2,40
2021,5,3,0,31.9,23.2,67,3,320
2021,5,4,0,32.6,24.6,67,3,20
2021,5,5,0,31.6,24,66,3,20
2021,5,6,1,33.8,24.2,64,3,20
2021,5,7,4.6,32.5,21.2,80,2,320
2021,5,8,0.2,31.4,23.5,82,2,20
2021,5,9,0.2,30.5,22,81,2,220
2021,5,10,0,30.8,22,79,1,360
2021,5,11,0,32.8,23.1,73,1,180
2021,5,12,1,31.2,22.2,79,2,290
2021,5,13,4,33.6,22.5,74,2,180
2021,5,14,-1,31.7,22.4,82,1,360
2021,5,15,0.6,34,23,73,2,60
2021,5,16,4.2,33.1,23,71,2,360
2021,5,17,56.1,32.4,21.8,81,1,300
2021,5,18,151.8,30.9,22,88,2,360
2021,5,19,-1,30.9,23.5,83,1,360
2021,5,20,9.6,31.2,23.2,86,1,360
2021,5,21,1.8,31,23,82,1,360
2021,5,22,-1,30.4,23,82,2,140
2021,5,23,-1,31.2,22.5,86,2,300
2021,5,24,0,30.3,22.8,82,2,360
2021,5,25,8.8,30.9,22.6,83,1,360
2021,5,26,8.2,29.6,23,88,1,290
2021,5,27,0,31,23.8,82,2,160
2021,5,28,0,32,23,81,2,160
2021,5,29,36,31.5,22.5,79,2,360
2021,5,30,16.2,29.2,21.5,88,1,320
2021,5,31,1.4,26.6,23,91,1,360
2021,6,1,0,29.9,22.5,85,1,360
2021,6,2,0,31.3,23.2,82,1,360
2021,6,3,0,31.1,23,81,2,260
2021,6,4,-1,31.3,22.8,85,2,160
2021,6,5,-1,31,23.5,79,2,180
2021,6,6,1.8,28.1,22,90,1,360
2021,6,7,0,30.1,23,83,2,160
2021,6,8,-1,29.7,23.5,83,1,160
2021,6,9,-1,30.9,22.8,79,1,160
2021,6,10,51.6,31.3,23,81,2,360
2021,6,11,0.6,29.2,22.5,88,1,360
2021,6,12,0,30.3,21.5,80,1,270
2021,6,13,-1,31.5,22,79,2,300
2021,6,14,1.4,30.2,22.7,83,1,140
2021,6,15,-1,31.5,23,83,1,300
2021,6,16,0.8,30.6,22.4,84,1,360
2021,6,17,0,31.7,22,79,2,300
2021,6,18,0,31.8,22.2,78,2,160
2021,6,19,0,30.2,22,85,1,160
2021,6,20,0,32.1,22,77,1,300
2021,6,21,0,31.4,21,80,1,300
2021,6,22,0,31.6,22,77,2,140
2021,6,23,-1,32.1,21,78,1,360
2021,6,24,0.2,31.7,21.6,76,2,300
2021,6,25,-1,31.6,22.4,77,2,260
2021,6,26,6.2,32,23.8,81,2,160
2021,6,27,0.2,29.3,22,89,1,160
2021,6,28,-1,32.4,21.5,73,2,200
2021,6,29,0,31.9,21.8,75,2,300
2021,6,30,1.2,30.5,21.4,87,1,300
2021,7,1,0,31,23.2,83,1,160
2021,7,2,0,29.3,22.4,85,1,340
2021,7,3,8.2,28.6,22.8,89,1,360
2021,7,4,-1,28.3,22.5,87,2,300
2021,7,5,-1,31.1,21.5,70,2,300
2021,7,6,2.4,31.5,22,81,1,360
2021,7,7,0.8,30.2,21,82,1,300
2021,7,8,79.4,32.2,22.8,80,2,360
2021,7,9,1.4,28.7,22.5,87,1,260
2021,7,10,0,30.6,22.5,79,2,160
