YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,13.4,31.3,23.3,88,7,40
2021,1,2,10.2,29.5,22.8,94,9,40
2021,1,3,31.2,30.1,23,89,8,50
2021,1,4,5,30,23,88,8,50
2021,1,5,3,31,23,88,7,40
2021,1,6,3.6,31,23.4,87,8,40
2021,1,7,53.2,29.8,22.5,94,7,30
2021,1,8,83.3,28.8,22,90,5,30
2021,1,9,30.5,31,21.5,91,4,90
2021,1,10,46.2,29,22.2,96,9,40
2021,1,11,92.9,29,22.3,94,7,30
2021,1,12,29.2,28,22.8,94,7,30
2021,1,13,24,28,22.8,94,5,20
2021,1,14,0.4,28.6,23.2,88,4,40
2021,1,15,0,30.4,23.5,90,5,30
2021,1,16,29.8,31,23.8,88,4,40
2021,1,17,14.6,29.2,23.5,89,7,40
2021,1,18,102.4,27.2,21,95,7,270
2021,1,19,0.2,30,23,94,5,90
2021,1,20,0.6,31,24.3,92,3,110
2021,1,21,4.5,31.2,24.4,92,3,150
2021,1,22,0,31.7,25,92,3,90
2021,1,23,0,31.5,25,92,4,90
2021,1,24,0,31.8,24,90,6,40
2021,1,25,0,31.7,23.8,86,6,40
2021,1,26,45.6,31,22.8,87,6,30
2021,1,27,26.6,31.5,23.3,91,4,90
2021,1,28,10,29.5,23.4,81,10,30
2021,1,29,13.5,30.2,23,91,9,30
2021,1,30,1,29.5,21,86,13,30
2021,1,31,1,31.5,23.2,84,12,40
2021,2,1,16.8,29.5,22.8,88,10,40
2021,2,2,1.8,31,21,91,7,40
2021,2,3,3,31.5,21.8,85,8,20
2021,2,4,4.1,31.2,22.2,83,9,40
2021,2,5,5,31.4,23,89,7,40
2021,2,6,8,31.3,23.4,88,8,40
2021,2,7,23.7,31,23,91,10,40
2021,2,8,85.6,28.5,21.7,100,8,40
2021,2,9,16.5,30.8,20.8,95,7,90
2021,2,10,0.8,29,23.2,93,6,90
2021,2,11,0,31.8,24.5,90,4,110
2021,2,12,27.7,30.7,23.5,89,3,90
2021,2,13,0,31.5,24.2,89,4,30
2021,2,14,134.2,31.2,22,91,5,40
2021,2,15,9,27.8,21,93,9,30
2021,2,16,10.5,31,21,90,5,30
2021,2,17,21.9,31.8,22.5,84,9,30
2021,2,18,0.5,28.5,23,76,13,30
2021,2,19,0.2,28,21.5,75,14,30
2021,2,20,8.3,29.3,23,89,12,30
2021,2,21,11.2,29,22.5,93,8,30
2021,2,22,0,31.5,22,92,5,270
2021,2,23,-1,31.6,23,89,6,90
2021,2,24,0.1,31.8,22.8,87,6,80
2021,2,25,0.2,31.2,23.7,87,4,60
2021,2,26,6.8,29.7,24,91,5,30
2021,2,27,14.6,31.5,22.5,89,4,90
2021,2,28,0.2,31.7,24.8,87,6,50
2021,3,1,17,31,23.5,91,5,30
2021,3,2,1.2,32,23.4,87,6,40
2021,3,3,0,32.2,24.5,85,5,40
2021,3,4,3.6,32,23.5,87,7,40
2021,3,5,0,31.5,24.8,89,7,40
2021,3,6,1.6,31.8,23.5,83,8,40
2021,3,7,0.5,32,23.5,84,9,40
2021,3,8,0.1,32,24,86,8,40
2021,3,9,0,32,23,81,9,40
2021,3,10,25.4,31,22.5,86,10,20
2021,3,11,104.2,28,21.8,98,5,40
2021,3,12,8.8,28,22,94,8,90
2021,3,13,4.2,28,22,94,4,20
2021,3,14,0,32.5,25.2,89,3,150
2021,3,15,0,33,24,91,4,140
2021,3,16,0,34,22.5,85,4,90
2021,3,17,1.6,33,23.2,86,5,30
2021,3,18,0.3,32.7,25,87,5,50
2021,3,19,10.5,32.4,24,88,6,30
2021,3,20,3.6,31.5,24.2,92,6,40
