YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,44.2,26.2,22.6,94,1,250
2021,1,2,39.9,29.2,23.7,89,1,340
2021,1,3,21.4,30.2,23.5,88,1,140
2021,1,4,43.6,29.2,22.6,91,2,270
2021,1,5,14.8,29.9,24,86,3,50
2021,1,6,31.2,30.4,23.1,92,3,240
2021,1,7,50.6,26.9,23,94,2,270
2021,1,8,0,32.1,22.5,86,2,290
2021,1,9,0.2,31.3,24,84,2,80
2021,1,10,63.8,30.3,24.4,90,3,90
2021,1,11,73,26,23.1,95,2,270
2021,1,12,15.8,30,23.8,89,2,270
2021,1,13,0.2,30.2,23.5,87,2,70
2021,1,14,27,30.3,24.5,86,2,270
2021,1,15,51,27,23,96,2,240
2021,1,16,76.9,29.6,22.1,91,2,290
2021,1,17,29.9,27.2,23.2,93,1,280
2021,1,18,117.4,25.7,22.7,95,1,220
2021,1,19,1.8,31.9,23.9,84,2,100
2021,1,20,5.7,32,24,86,2,120
2021,1,21,1.8,29,22.1,90,2,270
2021,1,22,0.2,31.2,23.1,88,2,40
2021,1,23,-1,31,23.4,88,2,110
2021,1,24,22.8,30.2,23.7,86,2,360
2021,1,25,39.1,30.3,23.8,91,2,360
2021,1,26,4.8,31,22.5,86,2,270
2021,1,27,4,30,20,85,2,30
2021,1,28,36.8,30.6,22.5,85,3,340
2021,1,29,26.5,30.2,23.2,83,3,10
2021,1,30,5.6,30.1,24,77,5,40
2021,1,31,88.3,30,23,85,4,320
2021,2,1,2.6,29.7,21.8,94,1,250
2021,2,2,16.8,29.3,23.6,88,1,270
2021,2,3,15.2,30.4,24,83,3,40
2021,2,4,6.8,29.9,24.1,83,3,40
2021,2,5,1.4,31.2,23.3,86,2,60
2021,2,6,5,30.5,24,85,2,340
2021,2,7,92,30,23.8,94,2,70
2021,2,8,39.6,26.2,22.6,95,1,270
2021,2,9,3,30.8,23.2,85,3,120
2021,2,10,0.5,32,24.3,86,3,110
2021,2,11,0,30.9,23.5,86,2,90
2021,2,12,0,30.8,24,82,2,60
2021,2,13,0,32,24,82,2,60
2021,2,14,18.6,31.1,23.9,84,2,260
