YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,31,23.3,58,2,80
2021,1,2,0,30.8,23.2,65,2,280
2021,1,3,0,31.8,25.1,73,2,240
2021,1,4,0,31.6,23.2,74,2,40
2021,1,5,0,31.8,23.7,82,1,50
2021,1,6,0,31.5,23.3,80,2,290
2021,1,7,0,31.5,22.8,82,2,360
2021,1,8,0,31.1,22.7,81,2,300
2021,1,9,0,30.8,23.2,68,3,80
2021,1,10,0,30.6,22.8,55,2,100
2021,1,11,0,31.2,22.2,67,2,80
2021,1,12,0,30,20.8,73,2,350
2021,1,13,0,30,22.7,72,2,60
2021,1,14,0,31.1,23.2,75,2,60
2021,1,15,0,31.4,23.9,77,2,60
2021,1,16,0,31.8,23.7,71,2,80
2021,1,17,-1,30.2,24.4,66,2,330
2021,1,18,0,30.1,23.7,70,2,60
2021,1,19,0,31.5,23.3,73,2,100
2021,1,20,0,30.8,25.1,80,2,290
2021,1,21,19.5,32.3,24.3,82,3,60
2021,1,22,6.2,31.1,24.1,85,2,60
2021,1,23,4.6,30,23.3,91,2,180
2021,1,24,0,31.3,23.7,82,2,220
2021,1,25,-1,31,24.6,86,1,40
2021,1,26,-1,31.3,24.1,79,2,290
2021,1,27,4.4,31.3,23.3,85,2,60
2021,1,28,0,30.3,23.7,82,1,90
2021,1,29,0,32.3,23.1,55,2,40
2021,1,30,0,30.3,22.4,58,3,90
2021,1,31,0,30.6,22.2,53,3,90
2021,2,1,0,29.9,20.4,67,2,290
2021,2,2,0,30.4,22.9,68,2,290
2021,2,3,0,30.8,23.2,63,2,100
2021,2,4,0,31.5,23.2,65,2,70
2021,2,5,0,30.7,23.6,72,2,90
2021,2,6,0,30.8,23.8,75,2,60
2021,2,7,0,31.4,21.8,75,2,60
2021,2,8,0,32,23.6,72,2,70
2021,2,9,0,31.6,23.6,66,2,90
2021,2,10,3.6,31.6,24,74,2,60
2021,2,11,0,31.2,22.7,80,2,350
2021,2,12,0,31,22.7,74,2,330
2021,2,13,0,30.3,23.3,79,2,300
2021,2,14,0,30.4,21.9,81,2,60
2021,2,15,0,30,22.7,76,2,90
2021,2,16,0,31.4,22.7,72,2,290
2021,2,17,0,30.6,22.7,72,2,310
2021,2,18,0,30.8,22.3,63,3,300
2021,2,19,0.2,30.5,21.8,55,3,90
2021,2,20,0,31.4,21.8,60,3,90
2021,2,21,0,30.9,22.7,67,2,90
2021,2,22,0,30.7,24.5,74,1,40
2021,2,23,0.6,31.2,23.6,84,1,40
2021,2,24,7.8,31.6,24.1,78,2,280
2021,2,25,0,31.3,23.7,78,2,290
2021,2,26,0,32.3,22.7,79,2,270
2021,2,27,0,31.4,24.1,79,2,290
2021,2,28,0,31.7,24.1,78,2,290
2021,3,1,0,32,23.1,80,2,90
2021,3,2,0,31.9,23.6,82,2,60
2021,3,3,10.4,31.9,23.3,75,2,70
2021,3,4,0,31.4,23.5,75,2,60
2021,3,5,0,32.8,21.8,70,2,90
2021,3,6,0,32.8,22.2,71,2,300
2021,3,7,0,32.5,21.8,70,2,70
2021,3,8,0,31.4,23.4,72,2,290
2021,3,9,0,32.6,22.1,69,2,90
2021,3,10,0,32.5,23.1,58,2,290
2021,3,11,0,32,22.3,65,2,270
2021,3,12,0,32.4,25.8,62,2,90
2021,3,13,0,31.8,25.5,68,2,80
2021,3,14,0,32.5,26,65,2,70
2021,3,15,0,31.8,26,71,2,320
2021,3,16,-1,33.1,24.5,71,2,210
2021,3,17,0,32.3,24.8,77,2,90
2021,3,18,3.5,32.5,25.6,80,2,90
2021,3,19,0,32.6,24.6,82,2,60
2021,3,20,0.8,32.4,24.4,81,1,210
2021,3,21,23.8,32.6,24.8,85,2,300
2021,3,22,0,32.8,25.5,72,2,90
2021,3,23,0,32.8,25.4,65,2,90
2021,3,24,0,32.9,24.1,75,2,90
2021,3,25,0,33,24.5,73,2,90
2021,3,26,0,32.9,23.7,68,2,290
2021,3,27,0,32.6,24,73,2,60
2021,3,28,0,32.6,24.1,73,2,60
2021,3,29,0,33.1,25.5,75,2,80
2021,3,30,0,33,24.6,70,2,300
2021,3,31,0,33.4,24.2,72,2,290
2021,4,1,0,33.7,22.2,73,2,90
2021,4,2,0,34.4,21.3,68,2,290
2021,4,3,0,33.7,23.7,71,2,60
2021,4,4,0,33.2,24.1,69,2,60
2021,4,5,0,32.9,25.1,70,2,60
2021,4,6,0,33.6,26,66,2,290
2021,4,7,0,35.6,25.1,67,2,70
2021,4,8,0.4,33.1,25.5,73,2,340
2021,4,9,5.4,32.8,23.3,78,2,270
2021,4,10,0,32.9,23.8,76,2,290
2021,4,11,10.8,33,22.9,70,2,300
2021,4,12,0,32.1,22.9,72,2,300
2021,4,13,1.2,32.4,24.1,79,2,40
2021,4,14,0,32.3,24.2,80,2,320
2021,4,15,0,32.5,25.6,75,2,280
2021,4,16,0,33.9,25,72,2,60
2021,4,17,0,33,25.6,73,2,290
2021,4,18,5.6,33.1,24.1,76,2,50
2021,4,19,0,32.5,25,77,2,60
2021,4,20,0,31.9,24.9,76,2,340
2021,4,21,0,32.3,24.7,79,2,310
2021,4,22,0,32.4,24.1,78,3,300
2021,4,23,0,32.1,21.8,76,3,350
2021,4,24,0,32.2,22,72,2,310
2021,4,25,0,32.1,22.1,73,2,300
2021,4,26,0,32.2,24.6,77,2,200
2021,4,27,3.3,33,23.8,73,2,90
2021,4,28,0,32.3,23.5,75,2,60
2021,4,29,0,32.2,23.8,74,2,290
2021,4,30,0,32.6,24.6,74,2,100
2021,5,1,0,33.2,25.1,74,2,270
2021,5,2,0,33.6,26,72,2,230
2021,5,3,0,34.2,24.5,69,2,300
2021,5,4,0,33.5,25.2,73,2,300
2021,5,5,0,34.4,25.5,72,2,300
2021,5,6,0,34.3,24.8,69,2,40
2021,5,7,0,34.5,26.2,72,2,280
2021,5,8,0,34.8,26.1,68,2,60
2021,5,9,-1,34.2,25.9,71,3,80
2021,5,10,1,34.6,26,77,3,40
2021,5,11,1.4,34.8,26,77,2,50
2021,5,12,0,35.8,27.4,69,2,80
2021,5,13,0,37,26.8,66,2,150
2021,5,14,0,34.7,26.6,63,2,300
2021,5,15,0,36.8,27.5,66,2,40
2021,5,16,0,35.8,27.3,67,2,280
2021,5,17,0,36.1,27.5,62,3,290
2021,5,18,10.1,36.1,24.6,70,3,300
2021,5,19,0,37.7,25.9,71,2,80
2021,5,20,8,34.8,25.8,75,3,240
2021,5,21,0.4,33.2,26,80,2,200
2021,5,22,46.4,32.8,24.1,87,3,60
2021,5,23,12.4,33.5,24.9,83,2,90
2021,5,24,0.4,33.4,24.1,76,2,80
2021,5,25,0.9,33.8,25.7,74,2,50
2021,5,26,1.2,33.8,27.1,80,2,50
2021,5,27,0,33.2,26.1,81,2,170
2021,5,28,-1,34,27.2,83,2,300
2021,5,29,0.2,34,27.2,79,2,40
2021,5,30,0,33.3,25.5,80,1,90
2021,5,31,0,34.3,25.5,76,2,60
2021,6,1,3.4,33.8,26.5,75,2,360
2021,6,2,51.4,34.2,25.5,82,3,280
2021,6,3,31.4,32.4,24.6,87,3,210
2021,6,4,9.6,32.8,24.5,91,2,60
2021,6,5,34.6,32.1,23.9,83,2,170
2021,6,6,0.2,30.5,24.1,87,1,90
2021,6,7,0.1,32,25.1,83,2,90
2021,6,8,17.3,30.8,25,83,3,150
2021,6,9,7,31.8,24.5,81,3,90
2021,6,10,3,32.4,24.2,81,3,160
2021,6,11,8.2,31.4,25.5,81,3,150
