YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,9.1,26.5,21.5,94,3,360
2021,1,2,4.8,27.2,22.5,93,4,40
2021,1,3,78.5,27,23.6,98,2,40
2021,1,4,30.7,29.9,24,93,3,40
2021,1,5,2.2,28.1,23.5,95,2,320
2021,1,6,6.1,29.6,24,91,3,360
2021,1,7,4,30.1,23,87,2,40
2021,1,8,10.6,28.6,21.9,92,4,360
2021,1,9,46.2,26.3,21.3,95,4,360
2021,1,10,18.9,25,22,89,4,360
2021,1,11,0,26.5,23.6,83,3,40
2021,1,12,1.9,27.2,22.5,81,2,360
2021,1,13,20.4,26.4,23,100,3,340
2021,1,14,55.2,28.6,22,95,2,40
2021,1,15,8.8,26.7,24,91,3,40
2021,1,16,-1,28.2,24,84,3,40
2021,1,17,25,27.8,22.7,91,3,40
2021,1,18,8.2,26.6,22.9,94,4,40
2021,1,19,14.3,27.5,23,91,4,40
2021,1,20,36.8,27,24,97,2,40
2021,1,21,1.3,28.9,23,95,2,320
2021,1,22,5.8,28.2,24,94,1,360
2021,1,23,0,30.5,23.6,92,1,360
2021,1,24,4.7,29.3,24,93,2,360
2021,1,25,8.4,29.6,23,94,2,340
2021,1,26,20.1,27.6,23.8,96,2,360
2021,1,27,3.3,28.3,23,93,2,360
2021,1,28,0.3,28.1,23.6,88,2,40
2021,1,29,-1,28.7,24,77,3,40
2021,1,30,0.9,26.5,21.4,85,2,40
2021,1,31,1.3,27.3,21.8,87,3,360
2021,2,1,0,27.5,23,85,3,40
2021,2,2,1.8,28.3,23.1,84,3,360
2021,2,3,10.2,27.5,21.6,87,4,40
2021,2,4,0,29,22.5,83,4,40
2021,2,5,3.5,27.6,23.3,87,3,40
2021,2,6,2.4,27.8,21.1,91,2,360
2021,2,7,0.2,29.2,24.2,93,3,360
2021,2,8,5.4,30,24.1,89,3,360
2021,2,9,95.8,27.6,22,94,3,40
2021,2,10,12.8,25.2,21.1,97,2,320
2021,2,11,0,31,23,92,1,360
2021,2,12,0,28.5,23.5,89,2,40
2021,2,13,2.7,26.2,22.5,91,2,360
2021,2,14,1.8,28.3,22.3,94,1,360
2021,2,15,24,27.8,22,97,2,320
2021,2,16,5.3,28.3,21,89,2,60
2021,2,17,3.9,28.7,23.5,87,3,320
2021,2,18,14.7,28.4,19.5,90,4,360
2021,2,19,0,25.2,21.5,88,4,40
2021,2,20,0,27.6,22.9,83,3,40
2021,2,21,8.8,27,22.9,90,3,360
2021,2,22,81.8,26.6,23.5,95,3,340
2021,2,23,7.4,29,22.5,95,2,360
2021,2,24,0,29.6,22.5,93,2,340
2021,2,25,0,29.9,21,84,1,340
2021,2,26,0,29.5,21.3,88,1,360
2021,2,27,7.3,29.6,24,91,2,320
2021,2,28,38.1,27.9,24.2,95,2,320
2021,3,1,3.1,29.8,22.5,92,3,360
2021,3,2,2,29.3,23.9,89,1,360
2021,3,3,24.3,27,22,94,2,360
2021,3,4,13.7,29,22,94,1,340
2021,3,5,0,30.5,24.8,86,1,360
2021,3,6,0,30.4,24.5,86,2,360
2021,3,7,0,30.2,25.5,85,2,40
2021,3,8,11.7,30.6,23,85,3,40
2021,3,9,0.5,30.5,23.5,86,3,40
2021,3,10,0,29.8,24.5,85,2,40
2021,3,11,2.3,30.6,24.4,87,3,40
2021,3,12,12.4,29.7,23.2,88,3,360
2021,3,13,22.7,28,22.5,90,2,40
2021,3,14,27.3,28.2,23.6,94,3,40
2021,3,15,12.7,27,24,98,1,360
2021,3,16,0,30.5,24,89,1,360
2021,3,17,0,30.5,24,90,1,360
