YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,0,21.3,-999,74,4,40
2021,1,2,0,24.1,-999,85,5,40
2021,1,3,1.2,23.8,-999,88,4,40
2021,1,4,0,25.2,-999,91,2,40
2021,1,5,0,25.5,-999,89,4,20
2021,1,6,0,24.3,-999,87,3,40
2021,1,7,1.1,21.4,-999,89,6,20
2021,1,8,0.4,21,-999,82,6,40
2021,1,9,0,19.5,-999,78,6,40
2021,1,10,0,20,-999,76,4,40
2021,1,11,1.6,22,-999,84,3,20
2021,1,12,1.2,20.2,-999,84,4,20
2021,1,13,0,20,-999,84,3,40
2021,1,14,0,23.2,-999,82,3,40
2021,1,15,0,25.5,-999,79,2,40
2021,1,16,4.8,25.6,-999,86,5,20
2021,1,17,0,24.5,-999,83,8,20
2021,1,18,1.3,23.6,-999,83,6,20
2021,1,19,3.2,23.2,-999,89,6,40
2021,1,20,5.2,24.6,-999,91,6,70
2021,1,21,13.5,24.2,-999,97,4,70
2021,1,22,6.8,25.1,-999,97,2,360
2021,1,23,0,25.7,-999,89,3,40
2021,1,24,0,25.5,-999,83,4,40
2021,1,25,0,22.5,-999,89,3,40
2021,1,26,0,24.5,-999,79,3,40
2021,1,27,0,24.9,-999,84,4,70
2021,1,28,4.8,24.3,-999,90,4,40
2021,1,29,0,22.5,22.5,73,7,40
2021,1,30,0,22.7,-999,73,5,70
2021,1,31,-1,23.5,-999,78,5,70
2021,2,1,0,24.7,-999,84,3,70
2021,2,2,0,24.9,-999,84,5,40
2021,2,3,0,24.1,-999,82,5,70
2021,2,4,0,24.5,-999,76,5,70
2021,2,5,0,25,-999,80,3,70
2021,2,6,0,24.8,-999,83,3,70
2021,2,7,0,23.4,-999,88,4,70
2021,2,8,0,25.2,-999,84,5,70
2021,2,9,0,24.8,-999,80,5,70
2021,2,10,3.9,24,-999,93,5,70
2021,2,11,1.8,25.7,-999,94,2,290
2021,2,12,0,25.5,-999,87,1,360
2021,2,13,0,25.8,-999,86,2,40
2021,2,14,0,26.8,-999,88,1,340
2021,2,15,0,25.7,-999,86,3,70
2021,2,16,0,24.7,-999,77,3,90
2021,2,17,0.9,25.6,-999,83,4,20
2021,2,18,0,21.7,-999,69,5,40
2021,2,19,0,22.4,-999,72,3,40
2021,2,20,0,23.2,-999,71,3,70
2021,2,21,0,24.1,-999,79,3,90
2021,2,22,6.4,25.2,-999,90,3,70
2021,2,23,8.8,22.8,-999,98,4,40
2021,2,24,2.2,23.7,-999,97,4,40
2021,2,25,0,26.2,-999,94,1,90
2021,2,26,0,28,-999,93,1,360
2021,2,27,0,27.5,-999,91,1,70
2021,2,28,0,26.7,-999,90,3,70
2021,3,1,0,27,-999,90,3,90
2021,3,2,0.4,27.6,-999,90,4,40
2021,3,3,0,25.4,-999,88,4,60
2021,3,4,-1,26.5,-999,89,4,90
2021,3,5,0,27.6,-999,90,2,90
2021,3,6,0,28.6,-999,87,2,140
2021,3,7,1,26.9,-999,87,3,20
2021,3,8,0,26.7,-999,86,4,40
2021,3,9,0,27.1,-999,89,4,70
2021,3,10,0,26.7,-999,83,5,70
2021,3,11,0,26.2,-999,82,5,70
2021,3,12,-1,27.2,-999,83,3,70
2021,3,13,0,26,-999,82,4,70
2021,3,14,0,25.5,-999,77,4,70
2021,3,15,-1,26.2,-999,82,4,70
2021,3,16,0,26.9,-999,92,4,70
2021,3,17,0,27.5,-999,93,3,70
2021,3,18,0,27.6,-999,89,4,70
2021,3,19,0,27.4,-999,87,2,70
2021,3,20,0,27.8,-999,90,3,70
2021,3,21,3,27.9,-999,89,5,360
2021,3,22,-1,24.2,-999,86,6,40
2021,3,23,2,24.4,-999,73,4,70
2021,3,24,5.4,25,-999,97,2,360
2021,3,25,0.8,24.6,-999,92,4,40
2021,3,26,0,26,-999,88,4,90
2021,3,27,0,29,-999,88,4,140
2021,3,28,0,30.5,-999,88,2,240
2021,3,29,0,30.1,-999,91,1,360
2021,3,30,0,30,-999,90,1,290
2021,3,31,0,30.6,-999,90,1,360
2021,4,1,0,30.3,-999,92,2,140
2021,4,2,0,30.6,-999,91,2,140
2021,4,3,0,29.9,-999,91,1,360
2021,4,4,0,28.5,-999,84,5,70
2021,4,5,0,25.2,-999,82,5,40
2021,4,6,0,25.8,-999,77,3,40
2021,4,7,0,24.2,-999,80,2,40
2021,4,8,0,26.1,-999,85,3,70
2021,4,9,0,26.6,-999,79,4,70
2021,4,10,0,26.7,-999,81,4,70
2021,4,11,0,27.2,-999,86,4,70
2021,4,12,1,27.5,-999,90,3,90
2021,4,13,0,28,-999,88,3,70
2021,4,14,0,28.5,-999,85,2,90
2021,4,15,0,28.8,-999,83,2,70
2021,4,16,0,28.5,-999,90,3,90
2021,4,17,3.8,29.4,-999,87,5,40
2021,4,18,0,26.5,-999,72,8,40
2021,4,19,0,25.7,-999,74,7,40
2021,4,20,1.4,26.5,-999,78,8,20
2021,4,21,0.1,26.8,-999,90,6,20
2021,4,22,0,28.4,-999,91,4,360
2021,4,23,0,30,-999,82,1,360
2021,4,24,0,28.6,-999,81,2,70
2021,4,25,1,27.2,-999,79,2,40
2021,4,26,0,26.8,-999,73,4,90
2021,4,27,0,26.8,-999,76,3,90
2021,4,28,0,27.5,-999,84,2,90
2021,4,29,0,29.8,-999,85,1,340
2021,4,30,0,30.1,-999,85,1,360
2021,5,1,0,32.5,-999,84,1,90
2021,5,2,0.3,28.2,-999,94,2,90
2021,5,3,0,27.5,-999,92,5,120
2021,5,4,0,29.4,-999,89,4,120
2021,5,5,0,32.7,-999,87,2,90
2021,5,6,2.2,28.9,-999,89,3,90
2021,5,7,0,30.5,-999,90,3,120
2021,5,8,0,31,-999,89,2,140
2021,5,9,0,33.2,-999,88,1,120
2021,5,10,0,32.6,-999,88,3,140
2021,5,11,0,33.2,-999,87,3,140
2021,5,12,0,33.5,-999,85,3,140
2021,5,13,0,32.5,-999,85,4,140
2021,5,14,0,31.6,-999,88,4,120
2021,5,15,0,31.5,-999,85,4,120
2021,5,16,0,32.4,-999,88,3,140
2021,5,17,0,32.1,-999,86,2,120
2021,5,18,0,32.2,-999,86,3,140
2021,5,19,0,32.1,-999,84,3,140
2021,5,20,0,32.9,-999,85,3,140
2021,5,21,0,33,-999,82,2,140
2021,5,22,0,33.5,-999,84,2,180
2021,5,23,0,33.8,-999,83,1,120
2021,5,24,0,32,-999,82,1,140
2021,5,25,0.8,32.3,-999,83,1,140
2021,5,26,0,33.4,-999,82,1,140
2021,5,27,0,34.7,-999,80,1,270
2021,5,28,0,34,-999,82,1,270
2021,5,29,0,34.2,-999,88,1,270
2021,5,30,0,32.8,-999,87,3,250
2021,5,31,0,33.2,-999,89,1,270
2021,6,1,0,33.9,-999,82,1,360
2021,6,2,0,33.6,-999,81,3,140
2021,6,3,-1,32.8,-999,86,4,140
2021,6,4,2.2,32.7,-999,82,4,240
2021,6,5,3.2,33.1,-999,88,3,210
2021,6,6,0,33.5,-999,85,2,360
2021,6,7,4.1,32.2,-999,88,2,90
2021,6,8,65.8,29.3,-999,92,1,90
2021,6,9,0,31,-999,90,2,120
2021,6,10,5.4,30.8,-999,86,4,120
2021,6,11,42,31.2,-999,88,3,120
2021,6,12,0,31.8,-999,88,2,120
2021,6,13,0,32.8,-999,88,1,180
2021,6,14,3.4,32.1,-999,90,2,240
2021,6,15,0,32.2,-999,87,4,240
2021,6,16,0,31.6,-999,88,5,240
2021,6,17,4.6,31,-999,90,5,240
2021,6,18,41.2,31.8,-999,90,4,270
2021,6,19,0.2,31.9,-999,88,4,270
2021,6,20,0.1,32.8,-999,86,5,270
2021,6,21,0,35.6,-999,90,5,240
2021,6,22,3.4,30.7,-999,91,4,240
2021,6,23,22.8,29.1,-999,96,1,240
2021,6,24,6.1,29.5,-999,90,2,240
2021,6,25,0.2,30.9,-999,87,3,240
2021,6,26,1,31,-999,86,3,240
2021,6,27,3.8,31,-999,90,3,180
2021,6,28,0.3,32.3,-999,88,3,240
2021,6,29,0,32.5,-999,90,3,240
2021,6,30,0,31,-999,79,3,240
2021,7,1,0,32.6,-999,86,3,240
2021,7,2,0,32.5,-999,89,2,270
2021,7,3,0.2,32,-999,82,3,90
2021,7,4,0,31,-999,86,4,90
2021,7,5,22.4,30.3,-999,92,3,90
2021,7,6,0,31.2,-999,90,3,140
2021,7,7,0,31.6,-999,88,3,140
2021,7,8,0,31,-999,88,3,90
2021,7,9,0,32.5,-999,90,3,120
2021,7,10,0,31.8,-999,84,3,120
