YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,36.8,29.7,21.6,92,2,20
2021,1,2,77.8,29.1,24.1,94,2,360
2021,1,3,32,30,23.5,90,2,360
2021,1,4,46.2,29.5,23,92,2,20
2021,1,5,23.8,30.5,23,90,3,30
2021,1,6,7.6,30,24,89,2,20
2021,1,7,29.6,30.1,23.5,91,3,20
2021,1,8,192,27.3,23.5,95,3,20
2021,1,9,130.6,25.7,22.5,94,4,20
2021,1,10,21.6,24,21.4,95,3,20
2021,1,11,0.2,25.8,23,86,3,20
2021,1,12,0,27.6,22.5,80,4,20
2021,1,13,31.8,27.7,23,86,3,20
2021,1,14,49,28.5,22.5,92,2,20
2021,1,15,5.6,30.3,22.4,90,2,20
2021,1,16,15.2,27.1,23.3,93,3,20
2021,1,17,34.4,28.9,23.7,92,2,40
2021,1,18,39,27.3,23,91,2,20
2021,1,19,39.2,25.5,22.7,96,2,20
2021,1,20,1.8,29.5,23.8,92,1,360
2021,1,21,7.4,31.5,24.1,90,2,20
2021,1,22,15.6,30.3,22.8,89,2,320
2021,1,23,0,31.4,22.5,87,2,140
2021,1,24,1,32,23.9,86,2,40
2021,1,25,0,31.5,21.6,86,3,20
2021,1,26,0,31.5,21.8,85,2,60
2021,1,27,89.8,30.7,22.5,91,2,20
2021,1,28,4.4,27.5,22.5,90,3,20
2021,1,29,4.4,28.5,22.5,83,4,10
2021,1,30,5.4,27.1,20.9,86,4,40
2021,1,31,5.6,29.5,22.5,84,5,40
2021,2,1,3,29,22.5,91,2,360
2021,2,2,37,29.9,22.2,90,4,40
2021,2,3,47,31,22.5,86,3,20
2021,2,4,32.2,28.5,23.5,86,3,20
2021,2,5,47.8,29.1,23,92,3,20
2021,2,6,38.6,30.2,23.5,91,3,20
2021,2,7,52.6,29.5,21.9,94,2,20
2021,2,8,92,26,20.8,96,2,20
2021,2,9,106.6,27,19,93,3,40
2021,2,10,0,29.5,23,90,1,20
2021,2,11,19,29.5,23.4,91,1,360
2021,2,12,2,32,23.8,86,1,20
2021,2,13,33.8,27,23.1,94,1,20
2021,2,14,17.4,27.8,22.6,90,2,40
2021,2,15,0,30.3,22.6,86,3,40
2021,2,16,0,29.5,23,82,2,20
2021,2,17,1.4,29,22.5,87,3,40
2021,2,18,2.4,29.7,23,82,5,40
2021,2,19,0.2,28.6,20.9,77,5,40
2021,2,20,3.6,26.5,22,85,3,40
2021,2,21,91,25.5,22,95,4,40
2021,2,22,96.6,27.5,22.1,96,1,180
2021,2,23,0,32,23.8,88,2,40
2021,2,24,0,31.6,23,82,3,90
2021,2,25,1.6,31.5,24,82,2,40
2021,2,26,0,31.5,23.8,84,2,90
2021,2,27,2.8,32.2,24,84,3,90
2021,2,28,5.8,31,22,88,2,30
2021,3,1,6,31.1,24.2,84,2,40
2021,3,2,0,31.5,22.1,83,3,40
2021,3,3,18.6,30.8,23.8,84,2,30
2021,3,4,0,31.3,23.1,85,2,90
2021,3,5,7.8,31.2,23.2,82,3,40
2021,3,6,0.2,30.5,21.6,85,2,40
2021,3,7,1.4,31.2,22.6,82,3,40
2021,3,8,28.8,31,22.5,85,2,40
2021,3,9,1.2,30.5,20.8,83,3,40
2021,3,10,45.8,31.3,22.5,85,4,40
2021,3,11,105,26.5,22.5,95,4,40
2021,3,12,60.2,28.5,23.6,93,3,60
2021,3,13,26.8,29.4,22.8,93,2,40
2021,3,14,1,30,23.1,90,2,40
2021,3,15,0,32,23.4,88,1,140
2021,3,16,0.6,32.2,23.3,84,2,40
2021,3,17,0,32.7,23,83,3,40
2021,3,18,3.4,32,24.6,82,3,40
2021,3,19,0,32.2,23.8,81,3,40
2021,3,20,11,32,23.7,82,3,40
2021,3,21,41.8,32,24.4,87,2,90
2021,3,22,6.8,31.8,24.5,89,2,20
2021,3,23,78.6,29,23,91,3,40
2021,3,24,22.8,29.5,24,89,3,60
2021,3,25,12.4,31,23.5,86,2,20
2021,3,26,0,31,23,84,2,40
2021,3,27,1.4,31.5,23,87,2,40
2021,3,28,4,32,23.8,84,2,20
2021,3,29,3,31.8,22.5,88,3,40
2021,3,30,1,32.2,23.5,83,2,40
2021,3,31,1,32,22.9,82,2,40
2021,4,1,11.2,31.5,23.5,83,3,40
2021,4,2,2,31,23,85,2,40
2021,4,3,1.8,32,23.8,81,2,40
2021,4,4,0,31.8,22.5,83,3,20
2021,4,5,0.2,32,24,81,2,20
2021,4,6,0,31.5,22.5,85,2,20
2021,4,7,0,31.5,23.2,82,2,20
2021,4,8,0,32,23.5,79,2,40
2021,4,9,0,32,23.8,82,2,20
2021,4,10,0,32,23,79,3,60
2021,4,11,0.4,32.5,23.5,82,2,40
2021,4,12,0,33.5,23.3,81,3,20
2021,4,13,0,32,23.5,84,2,40
2021,4,14,5,32.5,24.5,84,3,40
2021,4,15,29,29.5,22.5,89,2,360
2021,4,16,10.6,31.5,21.6,88,2,20
2021,4,17,0,32,24,78,3,30
2021,4,18,78.6,27.3,23.3,90,4,270
2021,4,19,42.8,26.5,19.6,90,5,270
2021,4,20,-1,28.5,24.5,85,4,220
2021,4,21,0,31.5,23.8,82,2,220
2021,4,22,0.4,32.9,24,82,4,180
2021,4,23,9,31.7,25,83,2,190
2021,4,24,0,32.5,24,85,2,220
2021,4,25,19.6,32.7,23.2,87,2,40
2021,4,26,0,31,22,83,3,60
2021,4,27,5,28.8,21.7,91,1,20
2021,4,28,0,31.1,21,84,2,40
2021,4,29,0,32.4,21,83,2,110
2021,4,30,0,33,22.6,80,2,40
2021,5,1,0,32.6,23.1,83,3,20
2021,5,2,9.2,32,26,83,3,40
2021,5,3,17.2,31,23.8,87,2,40
2021,5,4,0.4,30.8,26,87,3,40
2021,5,5,4.6,31.5,25.1,86,3,40
2021,5,6,9.2,32,24.3,81,3,40
2021,5,7,4.4,32.7,25,84,3,20
2021,5,8,9.2,31,24.5,90,2,40
2021,5,9,19.4,33,24.3,85,2,40
2021,5,10,4.2,32.3,24,87,3,60
2021,5,11,11.4,32.5,24.5,85,2,60
2021,5,12,7.6,32,23.4,83,2,40
2021,5,13,18.8,31.9,24.1,87,3,40
2021,5,14,1.8,32,24.5,85,3,40
2021,5,15,13,32.5,24.3,85,2,40
2021,5,16,3.4,32.7,24.7,88,3,60
2021,5,17,31.4,32,24.8,88,3,40
2021,5,18,12,32.5,25.4,81,2,40
2021,5,19,0.2,32.4,24,87,3,40
2021,5,20,29.6,30.5,24,91,1,360
2021,5,21,0,33,24.5,84,1,360
2021,5,22,1.8,33.4,24,85,3,120
2021,5,23,0,33.2,24.5,83,2,40
2021,5,24,0,33.5,24.5,81,1,40
2021,5,25,5,33,25.4,84,2,40
2021,5,26,3.8,33,24,86,3,40
2021,5,27,7,33,25.2,80,2,40
2021,5,28,0,33.5,25.6,83,2,40
2021,5,29,0,34.7,24.5,84,3,180
2021,5,30,0,34.5,24.9,82,1,90
2021,5,31,0.2,34,25.5,82,2,90
2021,6,1,38.8,31.3,24.8,91,4,360
2021,6,2,0.8,29.2,23,85,3,180
2021,6,3,0,33.5,24.8,83,1,360
2021,6,4,0,34.3,25,79,3,180
2021,6,5,0.8,34,23,81,2,180
2021,6,6,1.4,32.8,25.5,83,2,140
2021,6,7,8.8,31.8,23.5,91,3,180
2021,6,8,50,32,24,91,2,180
2021,6,9,83,32,23.8,93,2,140
2021,6,10,32.4,32.6,24,91,3,140
2021,6,11,19.4,31.5,23.5,91,2,180
2021,6,12,5.4,30.5,24,88,2,40
2021,6,13,47.6,31.4,23,93,2,140
2021,6,14,0,34,24.5,82,2,180
2021,6,15,0,34,25,84,2,140
2021,6,16,0.4,34.8,25,82,2,220
2021,6,17,7.4,34.5,24.5,80,2,40
2021,6,18,0,34.5,25.4,82,1,180
2021,6,19,0,33.8,26,83,4,220
2021,6,20,0,33.5,24.9,82,2,220
